Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-11-29,580.0,594.9,552.0,585.0,569.6,73513.0,423.36
2007-11-30,580.0,597.0,555.7,587.0,584.85,93601.0,551.06
2007-12-03,561.0,612.0,561.0,605.0,604.2,49611.0,296.96
2007-12-04,580.0,629.75,580.0,624.0,624.3,73656.0,451.96
2007-12-05,585.1,665.0,585.1,644.4,648.75,105783.0,685.51
2007-12-06,602.3,668.75,600.0,625.0,614.15,28739.0,183.04
2007-12-07,674.0,674.0,610.0,625.0,624.0,85305.0,537.17
2007-12-10,590.0,634.0,590.0,625.0,624.45,56078.0,351.19
2007-12-11,621.2,679.9,621.2,666.0,662.0,137110.0,905.81
2007-12-12,601.0,702.6,601.0,685.2,690.35,150839.0,1043.39
2007-12-13,692.0,708.0,662.0,670.0,680.05,78910.0,533.07
2007-12-14,685.1,705.0,677.0,685.1,685.7,214077.0,1479.14
2007-12-17,665.0,688.9,602.0,625.0,617.95,31444.0,202.48
2007-12-18,600.6,638.75,586.0,604.0,603.7,29052.0,174.14
2007-12-19,607.0,626.0,565.0,606.7,597.7,18917.0,114.41
2007-12-20,614.0,614.0,573.0,607.2,603.65,10606.0,63.98
2007-12-24,695.0,695.0,605.0,615.0,617.35,20264.0,124.93
2007-12-26,640.0,688.0,610.1,675.0,670.2,134454.0,896.3
2007-12-27,600.1,699.0,600.1,690.0,688.25,66265.0,453.22
2007-12-28,680.0,712.8,679.0,705.0,702.3,70732.0,493.63
2007-12-31,726.15,726.15,690.25,692.0,692.75,49989.0,350.71
2008-01-01,687.5,704.85,680.1,700.0,700.2,36699.0,255.87
2008-01-02,700.0,714.0,690.0,700.0,700.3,31174.0,217.86
2008-01-03,690.0,749.95,690.0,749.9,744.4,79227.0,577.89
2008-01-04,754.0,889.3,754.0,858.9,847.3,382474.0,3222.57
2008-01-07,850.0,870.0,801.8,810.0,818.25,73031.0,617.93
2008-01-08,815.0,844.9,773.05,786.0,783.8,87474.0,713.68
2008-01-09,745.0,830.0,745.0,794.0,791.9,69123.0,554.12
2008-01-10,804.8,824.9,748.0,765.0,762.55,32516.0,257.92
2008-01-11,750.0,759.9,691.3,749.95,744.0,48987.0,355.84
2008-01-14,735.0,828.65,735.0,815.0,800.35,106232.0,842.93
2008-01-15,812.05,820.85,778.1,784.0,798.05,58340.0,468.38
2008-01-16,785.0,800.0,750.1,789.45,780.6,62105.0,482.91
2008-01-17,790.0,819.0,775.0,799.95,793.75,32372.0,258.06
2008-01-18,798.95,837.7,756.0,779.0,787.7,57464.0,462.4
2008-01-21,789.45,789.45,530.0,669.0,636.35,61491.0,437.62
2008-01-22,599.9,602.0,431.0,557.0,530.1,25293.0,127.36
2008-01-23,600.0,640.0,511.15,640.0,620.45,20073.0,117.65
2008-01-24,649.0,649.0,550.0,577.3,569.65,30334.0,175.47
2008-01-25,623.95,642.5,580.05,634.45,630.6,20788.0,129.48
2008-01-28,509.0,632.85,509.0,600.0,599.65,8579.0,51.31
2008-01-29,616.0,649.9,601.0,615.25,616.5,18929.0,116.67
2008-01-30,640.0,640.0,601.0,603.9,606.2,39012.0,237.38
2008-01-31,572.0,621.0,558.3,580.0,581.7,199385.0,1185.61
2008-02-01,595.0,630.0,575.0,597.2,601.1,14378.0,85.17
2008-02-04,670.0,670.0,590.25,610.0,595.95,5807.0,35.03
2008-02-05,600.0,620.95,586.5,592.0,599.9,36805.0,220.4
2008-02-06,592.0,605.0,582.1,590.0,590.1,71826.0,424.35
2008-02-07,590.0,609.0,580.0,590.0,590.1,10235.0,60.55
2008-02-08,578.0,588.95,550.0,553.0,557.6,6799.0,38.32
