Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-10-25,39.95,39.95,34.05,34.3,34.3,50.0,0.02
2011-10-26,28.2,28.2,28.2,28.2,28.2,1.0,0.0
2011-10-31,33.0,33.5,33.0,33.5,33.25,20.0,0.01
2011-11-01,38.5,38.5,34.0,35.8,35.8,604.0,0.21
2011-11-02,38.4,38.5,38.4,38.5,38.5,100.0,0.04
2011-11-03,36.6,37.8,36.5,36.55,36.55,702.0,0.26
2011-11-04,33.0,36.55,33.0,36.55,36.5,525.0,0.18
2011-11-09,35.0,38.75,34.5,34.5,34.95,709.0,0.25
2011-11-11,35.1,37.4,35.05,37.4,37.4,1428.0,0.51
2011-11-14,31.15,37.0,30.2,32.0,31.15,771.0,0.25
2011-11-15,31.0,31.0,31.0,31.0,31.0,21.0,0.01
2011-11-16,30.0,30.0,25.5,28.75,28.75,1325.0,0.38
2011-11-17,30.0,30.0,26.15,30.0,29.95,2578.0,0.76
2011-11-18,25.85,34.0,25.85,34.0,30.05,151.0,0.04
2011-11-21,27.0,27.0,27.0,27.0,27.0,150.0,0.04
2011-11-23,30.0,31.8,26.55,27.0,27.0,5475.0,1.69
2011-11-24,27.65,27.65,27.65,27.65,27.65,51.0,0.01
2011-11-28,27.5,27.5,27.5,27.5,27.5,220.0,0.06
2011-11-30,25.05,25.3,25.05,25.3,25.3,120.0,0.03
2011-12-07,24.1,27.9,24.1,27.9,27.9,300.0,0.08
2011-12-09,23.0,26.0,23.0,26.0,26.0,1600.0,0.39
2011-12-12,29.0,29.0,23.65,27.0,27.0,102.0,0.03
2011-12-16,23.1,25.8,23.1,25.0,24.7,350.0,0.09
2011-12-19,24.9,24.9,24.9,24.9,24.9,700.0,0.17
2011-12-22,25.5,25.75,21.4,25.75,25.75,300.0,0.07
2011-12-26,25.7,25.7,23.0,23.0,25.15,1652.0,0.42
2011-12-27,22.6,25.55,22.6,23.7,23.95,1100.0,0.26
2011-12-28,23.1,26.0,23.0,25.95,25.5,1850.0,0.46
2011-12-29,23.3,26.7,23.3,26.65,26.65,370.0,0.09
2011-12-30,24.3,26.2,24.3,24.6,25.3,616.0,0.15
2012-01-02,26.0,27.45,24.05,27.0,25.45,1150.0,0.29
2012-01-03,23.65,28.5,23.65,28.5,28.5,775.0,0.21
2012-01-04,33.0,33.0,28.0,29.2,28.6,1522.0,0.46
2012-01-05,27.5,28.9,27.5,28.9,28.9,600.0,0.17
2012-01-06,29.0,30.9,27.0,30.8,30.8,490.0,0.14
2012-01-07,35.0,35.0,35.0,35.0,35.0,1.0,0.0
2012-01-09,33.0,34.6,30.0,34.6,34.6,2696.0,0.89
2012-01-10,34.6,34.6,34.5,34.5,34.5,1961.0,0.68
2012-01-11,29.0,34.0,29.0,32.5,32.5,1550.0,0.51
2012-01-12,30.05,32.0,30.05,30.3,30.3,89.0,0.03
2012-01-13,35.7,35.7,30.7,30.7,32.1,518.0,0.17
2012-01-16,31.0,33.9,30.65,31.0,31.0,900.0,0.28
2012-01-17,31.2,33.2,31.0,31.0,31.0,501.0,0.16
2012-01-18,30.6,34.45,30.1,34.4,34.4,1295.0,0.42
2012-01-19,29.75,33.95,29.75,29.9,33.9,152.0,0.05
2012-01-20,30.1,33.45,28.8,32.0,32.0,970.0,0.31
2012-01-23,29.15,29.35,29.15,29.3,29.35,130.0,0.04
2012-01-24,29.5,30.15,26.0,30.15,30.15,2686.0,0.78
2012-01-25,29.6,29.6,29.55,29.55,29.6,331.0,0.1
2012-01-27,31.0,31.0,30.6,30.8,30.8,834.0,0.26
2012-01-30,29.0,30.05,29.0,30.0,30.0,254.0,0.08
2012-01-31,30.0,30.0,30.0,30.0,30.0,100.0,0.03
2012-02-01,31.95,36.0,30.0,34.5,30.9,3321.0,1.08
2012-02-02,30.55,31.95,30.55,31.95,31.95,225.0,0.07
2012-02-03,36.9,36.9,30.25,32.0,32.0,15437.0,4.71
2012-02-06,29.75,32.45,29.75,32.45,30.85,13722.0,4.4
2012-02-07,34.0,34.4,30.9,33.45,32.0,273.0,0.09
2012-02-08,31.1,33.5,31.1,33.5,33.5,400.0,0.13
2012-02-09,33.0,33.0,30.35,30.35,32.7,1005.0,0.33
2012-02-10,33.0,33.0,30.05,30.05,30.75,1006.0,0.31
2012-02-13,36.0,36.0,30.25,31.9,31.9,293.0,0.1
2012-02-14,30.2,32.9,30.2,31.9,31.35,435.0,0.13
2012-02-15,30.0,31.0,30.0,30.2,30.2,537.0,0.16
2012-02-16,32.2,32.2,31.85,32.0,32.0,2045.0,0.65
2012-02-17,32.8,32.8,29.1,30.0,30.2,6798.0,2.08
2012-02-21,30.25,30.5,29.5,30.5,29.55,4148.0,1.24
2012-02-22,30.5,30.5,28.15,28.15,29.0,971.0,0.29
2012-02-23,30.2,31.3,29.9,30.0,30.0,5470.0,1.65
2012-02-24,28.75,29.85,28.75,29.85,29.7,406.0,0.12
2012-02-27,29.0,29.0,29.0,29.0,29.0,350.0,0.1
2012-02-28,31.0,31.0,29.05,29.05,29.05,240.0,0.07
2012-02-29,29.7,30.9,29.7,30.9,30.3,500.0,0.15
2012-03-01,30.4,30.4,29.15,29.95,29.95,650.0,0.2
2012-03-02,30.0,30.0,29.1,30.0,29.95,449.0,0.13
2012-03-05,28.0,31.45,25.2,30.0,30.0,3119.0,0.85
2012-03-06,29.1,29.55,27.95,28.95,28.0,192.0,0.05
2012-03-07,29.95,31.65,28.25,28.25,30.0,20774.0,6.23
2012-03-09,30.0,31.15,30.0,31.15,31.15,3750.0,1.14
2012-03-13,30.0,30.0,28.8,30.0,29.5,161.0,0.05
2012-03-14,31.9,31.95,29.5,31.8,31.8,450.0,0.14
2012-03-15,30.0,30.2,29.5,30.2,30.2,350.0,0.1
2012-03-19,30.2,30.3,30.2,30.2,30.2,601.0,0.18
2012-03-21,28.6,31.5,28.6,31.5,31.5,600.0,0.18
2012-03-22,30.0,30.0,30.0,30.0,30.0,150.0,0.04
2012-03-23,28.05,28.3,28.05,28.3,28.3,1100.0,0.31
2012-03-26,28.05,28.05,27.0,27.0,27.0,249.0,0.07
2012-03-27,26.35,27.95,26.0,27.95,27.95,337.0,0.09
2012-03-28,29.95,29.95,25.3,25.3,25.3,66.0,0.02
2012-03-29,27.7,27.85,25.5,27.85,27.85,285.0,0.08
2012-03-30,29.4,30.45,27.3,30.0,30.0,1072.0,0.32
2012-04-02,27.55,30.0,27.55,30.0,30.0,342.0,0.1
2012-04-03,27.0,31.9,27.0,28.0,28.0,809.0,0.23
2012-04-04,28.7,28.7,28.7,28.7,28.7,142.0,0.04
2012-04-11,28.7,28.7,28.7,28.7,28.7,150.0,0.04
2012-04-12,30.3,30.3,28.7,28.7,28.7,250.0,0.07
2012-04-13,28.7,28.7,25.4,26.0,26.0,7585.0,2.05
2012-04-16,27.1,27.1,26.05,26.05,26.05,10.0,0.0
2012-04-17,25.5,25.5,25.5,25.5,25.5,150.0,0.04
2012-04-18,25.05,27.1,25.05,27.1,27.1,10649.0,2.8
2012-04-19,26.45,26.45,26.0,26.0,26.0,150.0,0.04
2012-04-23,27.0,27.0,26.9,26.9,26.9,743.0,0.2
2012-04-24,27.0,27.1,27.0,27.1,27.1,200.0,0.05
2012-04-27,25.5,26.8,25.5,26.8,26.8,51.0,0.01
2012-04-30,25.6,25.6,25.5,25.5,25.5,1001.0,0.26
2012-05-04,23.9,25.45,23.9,25.15,25.15,1162.0,0.29
2012-05-07,25.5,25.5,25.5,25.5,25.5,50.0,0.01
2012-05-08,23.9,25.0,23.9,24.0,24.0,882.0,0.21
2012-05-09,24.0,24.0,23.05,23.05,23.05,236.0,0.06
2012-05-10,23.1,23.5,22.5,23.5,23.5,481.0,0.11
2012-05-11,22.3,23.0,20.7,23.0,23.0,461.0,0.1
2012-05-14,22.3,23.0,22.0,22.0,22.0,500.0,0.11
2012-05-15,20.75,20.75,20.75,20.75,20.75,5.0,0.0
2012-05-17,21.0,23.85,20.7,23.85,21.65,505.0,0.11
2012-05-18,25.95,25.95,20.75,22.05,22.85,1270.0,0.29
2012-05-21,22.05,22.05,22.05,22.05,22.05,150.0,0.03
2012-05-22,22.5,23.5,22.05,22.05,22.05,315.0,0.07
2012-05-23,21.15,21.5,21.15,21.5,21.5,3.0,0.0
