Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,13.75,14.8,13.75,,,,
1998-03-23,14.4,14.4,14.25,14.4,14.4,1800.0,0.26
1998-03-24,14.5,14.5,13.55,13.85,13.75,39000.0,5.43
1998-03-25,14.65,14.8,14.3,14.75,14.75,25700.0,3.75
1998-03-26,15.0,16.2,14.65,14.85,14.85,24300.0,3.7
1998-03-27,14.55,15.15,14.55,15.0,15.0,14300.0,2.14
1998-03-30,14.8,15.0,14.2,14.25,14.25,8200.0,1.2
1998-03-31,14.95,14.95,13.5,13.5,13.55,12700.0,1.77
1998-04-01,14.05,14.2,13.9,14.0,14.05,4800.0,0.68
1998-04-02,14.9,14.9,14.05,14.4,14.35,3400.0,0.48
1998-04-03,14.85,15.8,14.55,15.8,15.8,25900.0,4.01
1998-04-06,16.75,16.95,16.4,16.95,16.95,16900.0,2.86
1998-04-07,17.0,17.0,17.0,17.0,17.0,600.0,0.1
1998-04-09,18.7,18.7,18.5,18.7,18.7,4400.0,0.82
1998-04-10,19.5,20.4,19.0,19.5,19.65,48800.0,9.54
1998-04-13,19.85,19.85,18.75,19.5,19.4,29900.0,5.82
1998-04-15,20.1,21.35,20.1,21.35,21.35,19200.0,4.08
1998-04-16,22.1,22.5,19.3,19.65,19.7,31600.0,6.46
1998-04-17,18.5,19.5,17.75,19.0,19.0,37900.0,6.98
1998-04-20,17.75,18.0,17.15,17.25,17.55,19400.0,3.43
1998-04-21,17.0,17.9,17.0,17.5,17.7,13000.0,2.28
1998-04-22,18.15,18.5,17.7,17.7,17.7,13400.0,2.43
1998-04-23,17.05,17.1,16.1,16.1,16.3,13300.0,2.22
1998-04-24,16.1,16.1,15.25,15.75,15.75,8000.0,1.25
1998-04-27,15.4,15.75,14.75,15.3,15.5,5800.0,0.89
1998-04-28,15.05,15.5,14.75,15.05,15.3,13200.0,2.0
1998-04-29,15.05,15.9,15.05,15.3,15.3,7200.0,1.11
1998-04-30,15.15,16.25,15.0,16.0,15.95,6500.0,1.01
1998-05-04,16.2,16.5,15.6,16.2,16.15,5200.0,0.83
1998-05-05,16.2,16.25,15.35,15.35,15.45,21300.0,3.34
1998-05-06,15.9,15.95,15.5,15.75,15.75,2800.0,0.44
1998-05-08,15.55,15.75,15.3,15.4,15.4,5900.0,0.91
1998-05-11,15.6,15.8,15.0,15.3,15.25,7300.0,1.11
1998-05-12,14.4,14.95,14.2,14.55,14.55,12600.0,1.83
1998-05-13,14.0,14.7,14.0,14.1,14.2,4100.0,0.58
1998-05-14,13.75,15.05,13.55,14.8,14.8,7200.0,1.04
1998-05-15,15.4,15.4,14.25,14.25,14.3,15700.0,2.31
1998-05-18,14.5,15.25,14.5,14.95,14.95,20000.0,2.99
1998-05-19,14.55,15.3,14.25,15.0,15.15,6300.0,0.94
1998-05-20,15.0,15.25,14.7,15.0,15.05,24300.0,3.64
1998-05-21,15.0,15.1,14.9,14.9,14.9,6800.0,1.02
1998-05-22,14.55,15.0,14.55,15.0,14.95,2100.0,0.31
1998-05-25,14.5,14.9,14.25,14.25,14.35,4400.0,0.63
1998-05-26,14.25,14.4,13.75,13.8,14.05,7600.0,1.07
1998-05-27,14.5,14.5,14.1,14.35,14.35,4500.0,0.65
1998-05-28,14.0,14.3,13.85,14.1,14.1,6200.0,0.87
1998-05-29,14.1,14.15,13.1,14.0,13.95,4100.0,0.57
1998-06-01,15.0,15.35,14.8,15.0,14.95,12000.0,1.83
1998-06-02,14.4,14.75,13.5,13.5,13.65,8300.0,1.17
1998-06-03,12.55,14.0,12.55,14.0,14.0,2000.0,0.27
1998-06-04,14.1,14.95,14.0,14.1,14.1,4600.0,0.66
1998-06-05,14.0,14.0,13.0,13.0,13.1,12000.0,1.62
1998-06-08,13.6,14.4,12.5,13.25,13.0,23900.0,3.25
1998-06-09,13.35,14.0,12.7,12.8,12.9,13400.0,1.79
1998-06-10,12.8,13.5,12.8,13.5,13.4,5000.0,0.66
1998-06-11,13.1,13.1,12.6,12.95,12.95,4900.0,0.63
1998-06-12,11.85,14.05,11.85,14.05,13.95,25500.0,3.45
1998-06-15,12.95,13.7,12.6,12.8,12.8,10900.0,1.43
1998-06-16,11.65,12.3,11.55,12.0,12.0,14000.0,1.69
1998-06-17,12.45,15.0,12.45,13.6,13.6,8400.0,1.14
1998-06-18,12.85,13.0,12.6,12.95,12.8,8900.0,1.15
1998-06-19,12.0,12.2,11.9,11.9,11.95,3900.0,0.47
1998-06-22,11.2,12.5,11.05,11.6,11.6,4400.0,0.52
1998-06-23,11.45,12.0,11.25,12.0,11.95,5100.0,0.6
1998-06-24,12.5,12.5,11.9,11.9,11.9,1600.0,0.19
1998-06-25,12.1,12.6,12.1,12.45,12.45,2500.0,0.31
1998-06-26,12.4,12.4,10.6,10.6,10.85,11600.0,1.32
1998-06-29,11.05,11.35,9.25,10.5,10.4,24600.0,2.53
1998-06-30,10.0,10.5,9.75,9.8,9.9,21200.0,2.12
1998-07-01,10.25,10.25,9.45,9.8,9.6,32400.0,3.14
1998-07-02,9.8,10.0,9.25,9.25,9.35,12100.0,1.15
1998-07-03,9.0,9.6,8.9,9.25,9.2,14600.0,1.34
1998-07-06,9.65,9.65,9.0,9.3,9.25,6700.0,0.61
1998-07-07,9.4,9.4,8.85,9.25,9.25,9700.0,0.89
1998-07-08,9.8,10.15,9.5,10.0,10.1,3600.0,0.35
1998-07-09,10.35,10.4,10.0,10.35,10.25,3100.0,0.32
1998-07-10,10.5,10.65,9.9,10.5,10.5,4700.0,0.49
1998-07-13,10.6,10.9,9.95,9.95,9.95,7000.0,0.72
1998-07-14,10.0,10.0,9.25,9.65,9.45,16400.0,1.56
1998-07-15,10.0,10.0,9.4,9.5,9.5,3000.0,0.29
1998-07-16,9.4,9.7,9.3,9.5,9.5,7800.0,0.74
1998-07-17,9.5,9.6,9.25,9.45,9.45,8800.0,0.83
1998-07-20,9.5,9.5,9.05,9.05,9.05,3200.0,0.3
1998-07-21,9.25,9.3,9.0,9.1,9.1,3600.0,0.33
1998-07-22,9.25,9.35,9.1,9.1,9.1,5100.0,0.47
1998-07-23,8.75,9.0,8.75,9.0,9.0,500.0,0.04
1998-07-24,9.0,9.15,8.75,9.15,9.15,500.0,0.05
1998-07-27,9.0,9.0,8.4,8.7,8.7,1900.0,0.17
1998-07-28,9.0,9.0,7.9,7.9,8.05,7200.0,0.59
1998-07-29,8.2,8.2,7.6,8.05,8.05,3000.0,0.24
1998-07-30,8.25,8.25,7.95,8.2,8.2,7600.0,0.62
