Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-03-24,638.4,650.0,590.1,590.5,601.95,1413.0,8.72
2005-03-28,610.0,617.0,595.0,600.0,598.4,1988.0,12.03
2005-03-29,597.5,604.0,588.1,588.1,591.9,15663.0,93.3
2005-03-30,590.0,609.95,590.0,601.1,601.55,630.0,3.8
2005-03-31,640.0,660.0,605.0,610.3,615.7,2579.0,15.81
2005-04-01,622.0,672.8,621.0,672.8,662.3,1090.0,7.1
2005-04-04,662.3,683.0,662.3,682.0,679.75,1988.0,13.41
2005-04-05,689.0,689.0,656.0,656.0,656.05,1024.0,6.87
2005-04-06,685.0,688.0,657.3,657.3,657.3,797.0,5.28
2005-04-07,671.0,671.0,656.0,665.0,663.0,1336.0,8.86
2005-04-08,660.05,673.95,655.0,655.0,657.8,1112.0,7.33
2005-04-11,655.0,655.0,650.0,651.0,652.45,302.0,1.97
2005-04-12,665.0,665.0,650.6,658.0,656.6,257.0,1.7
2005-04-13,655.0,660.0,643.05,648.0,649.75,472.0,3.08
2005-04-15,649.9,649.9,637.0,649.0,649.0,861.0,5.51
2005-04-18,637.0,643.0,627.65,636.1,637.8,591.0,3.77
2005-04-19,640.0,659.75,640.0,646.1,646.1,504.0,3.27
2005-04-20,646.15,651.0,634.35,650.0,645.35,1875.0,12.08
2005-04-21,689.0,689.0,637.0,659.0,651.55,1079.0,7.07
2005-04-22,669.0,689.0,660.0,685.0,684.45,1565.0,10.65
2005-04-25,695.0,695.0,671.0,675.0,676.85,2972.0,20.45
2005-04-26,678.0,694.0,667.1,673.0,677.75,1855.0,12.69
2005-04-27,703.0,703.0,655.0,660.0,661.85,2533.0,17.12
2005-04-28,672.5,695.0,672.5,680.0,680.7,2863.0,19.61
2005-04-29,684.0,684.95,670.0,670.0,670.9,661.0,4.47
2005-05-02,676.85,676.85,630.0,668.75,659.65,403.0,2.59
2005-05-03,659.65,659.65,640.0,644.0,645.8,745.0,4.82
2005-05-04,687.65,687.65,660.25,668.2,669.75,2718.0,18.27
2005-05-05,675.0,684.7,662.0,680.0,678.45,6309.0,42.65
2005-05-06,690.0,749.0,681.0,690.35,695.8,1405.0,9.84
2005-05-09,692.0,700.0,670.0,695.0,694.45,1202.0,8.33
2005-05-10,699.95,720.0,695.0,715.0,715.15,2642.0,18.85
2005-05-11,700.0,720.0,690.0,719.0,717.2,1461.0,10.38
2005-05-12,715.25,735.0,715.25,731.0,722.35,1678.0,12.19
2005-05-13,735.0,760.0,730.0,733.0,736.0,2341.0,17.46
2005-05-16,656.0,745.0,656.0,730.0,730.0,163.0,1.19
2005-05-17,744.0,744.0,700.0,724.0,727.0,1046.0,7.6
2005-05-18,730.0,732.0,716.0,730.0,729.95,2889.0,21.08
2005-05-19,731.0,740.0,717.0,725.0,729.3,1555.0,11.36
2005-05-20,725.0,729.5,725.0,726.0,725.85,410.0,2.98
2005-05-23,720.0,740.0,700.0,716.2,721.5,1357.0,9.8
2005-05-24,739.0,740.0,704.0,704.0,708.0,3823.0,27.56
2005-05-25,720.0,725.0,705.7,715.0,715.55,46122.0,330.19
2005-05-26,666.0,731.0,665.0,716.75,716.8,1379.0,9.82
2005-05-27,720.0,720.0,703.0,710.0,710.7,854.0,6.08
2005-05-30,715.0,733.5,705.0,730.0,730.25,3347.0,24.0
2005-05-31,730.25,740.0,692.0,718.05,719.6,342.0,2.47
2005-06-01,728.85,729.0,715.0,720.0,720.0,2218.0,15.94
2005-06-02,729.0,729.0,716.05,717.0,717.0,2325.0,16.83
2005-06-03,713.1,721.0,713.1,716.0,717.25,545.0,3.91
2005-06-04,725.0,725.0,719.0,719.0,719.0,71.0,0.51
2005-06-06,721.0,730.0,715.0,720.15,720.25,1314.0,9.51
2005-06-07,720.25,738.5,720.1,725.0,721.85,992.0,7.18
2005-06-08,725.0,730.95,721.0,725.0,725.0,386.0,2.8
2005-06-09,716.0,727.55,716.0,726.85,726.85,80.0,0.58
2005-06-10,716.5,726.95,716.5,724.0,720.0,2146.0,15.45
2005-06-13,717.25,725.0,716.0,716.2,716.05,180.0,1.29
2005-06-14,716.05,724.0,707.2,715.0,714.65,265.0,1.9
2005-06-15,714.0,714.2,706.0,706.0,711.85,1018.0,7.27
2005-06-16,711.85,725.0,700.0,700.0,700.25,968.0,6.85
2005-06-17,656.0,725.0,656.0,708.95,701.65,1196.0,8.45
2005-06-20,702.0,702.0,686.0,694.0,692.2,926.0,6.4
2005-06-21,690.0,696.0,690.0,696.0,696.0,414.0,2.87
2005-06-22,697.0,698.0,680.0,685.2,687.2,1404.0,9.68
2005-06-23,685.2,685.2,665.8,685.0,679.9,1199.0,8.11
2005-06-24,677.0,700.0,677.0,690.3,696.25,675.0,4.68
2005-06-27,651.8,717.0,651.8,690.0,690.25,455.0,3.16
2005-06-28,682.0,688.7,671.2,671.2,677.65,780.0,5.28
2005-06-29,675.0,699.0,675.0,699.0,699.0,425.0,2.92
2005-06-30,666.2,699.0,666.2,675.0,681.55,449.0,3.07
2005-07-01,698.0,698.0,675.0,677.1,678.9,1267.0,8.62
2005-07-04,687.0,688.0,670.0,688.0,686.95,550.0,3.76
2005-07-05,691.0,691.0,676.0,676.25,678.05,1217.0,8.26
2005-07-06,695.0,725.0,675.1,686.95,680.05,941.0,6.46
2005-07-07,690.0,700.0,682.0,690.0,689.35,673.0,4.64
2005-07-08,690.0,695.0,679.0,684.65,681.15,814.0,5.58
2005-07-11,680.25,712.0,680.0,702.0,700.1,1317.0,9.21
2005-07-12,700.0,703.95,680.7,680.7,680.7,937.0,6.5
2005-07-13,704.95,706.0,692.0,706.0,700.55,1093.0,7.67
2005-07-14,700.0,748.0,699.95,740.0,736.55,2216.0,16.03
2005-07-15,736.0,737.15,725.0,737.0,735.85,3714.0,27.11
2005-07-18,740.0,749.9,730.05,739.0,739.0,936.0,6.91
2005-07-19,738.0,823.0,725.1,805.0,807.4,20077.0,160.21
2005-07-20,819.9,859.0,811.0,811.0,813.7,8402.0,70.16
2005-07-21,825.0,825.0,775.0,799.0,795.2,1806.0,14.57
2005-07-22,800.0,825.0,795.25,807.5,810.9,3770.0,30.57
2005-07-25,820.0,820.0,795.0,795.0,798.85,638.0,5.13
2005-07-26,795.0,800.0,783.1,797.75,789.7,976.0,7.7
2005-07-27,800.0,805.0,790.15,790.15,790.15,85.0,0.68
2005-07-29,770.45,799.95,770.45,790.15,790.15,459.0,3.62
2005-08-01,800.0,800.0,771.0,785.55,788.05,1302.0,10.19
2005-08-02,780.0,792.0,780.0,790.0,790.0,847.0,6.68
2005-08-03,788.85,810.0,785.2,810.0,808.05,1384.0,11.06
2005-08-04,795.0,805.8,795.0,800.0,800.8,723.0,5.76
2005-08-05,801.0,805.0,795.0,796.0,797.25,949.0,7.57
2005-08-08,795.0,800.0,780.25,786.0,785.35,2006.0,15.86
2005-08-09,782.25,795.0,780.0,794.0,794.0,657.0,5.17
2005-08-10,790.0,790.0,782.0,788.85,785.3,830.0,6.52
2005-08-11,785.1,795.0,785.05,788.0,788.6,1077.0,8.49
2005-08-12,782.3,790.0,782.3,784.0,786.9,452.0,3.55
2005-08-16,785.0,795.0,780.0,790.0,791.0,1239.0,9.74
2005-08-17,800.0,800.0,785.0,800.0,796.55,1597.0,12.67
2005-08-18,800.0,817.5,792.0,798.0,797.8,1108.0,8.91
2005-08-19,805.0,815.0,795.05,812.0,809.0,1835.0,14.86
2005-08-22,815.0,815.0,801.35,815.0,814.95,4144.0,33.73
2005-08-23,819.95,847.0,800.0,802.55,808.9,3030.0,25.03
2005-08-24,800.0,805.0,790.0,790.25,796.25,948.0,7.56
2005-08-25,791.0,817.95,791.0,796.15,796.15,1054.0,8.45
2005-08-26,829.75,875.8,825.0,875.8,875.8,14765.0,127.13
2005-08-29,875.8,909.0,860.0,885.05,897.5,6931.0,61.41
2005-08-30,909.0,915.0,872.1,885.5,878.75,4810.0,43.08
2005-08-31,875.0,900.0,875.0,882.1,882.1,4953.0,43.92
2005-09-01,880.0,901.0,880.0,891.0,891.3,1427.0,12.74
2005-09-02,911.0,915.0,862.2,915.0,905.95,3395.0,30.52
2005-09-05,910.0,930.0,901.1,909.0,903.25,1225.0,11.24
2005-09-06,920.0,948.95,860.1,880.0,880.0,919.0,8.17
2005-09-08,899.95,920.0,890.05,920.0,912.45,1342.0,12.19
2005-09-09,881.0,914.4,881.0,887.0,888.75,168.0,1.5
2005-09-12,900.0,915.0,890.0,895.0,891.3,2344.0,21.06
2005-09-13,897.8,899.5,885.0,898.0,893.85,1246.0,11.11
2005-09-14,898.0,899.95,865.0,880.0,880.0,2288.0,20.45
2005-09-15,898.7,898.7,860.0,872.0,868.95,1844.0,16.03
2005-09-16,883.85,895.0,863.55,890.0,882.1,3324.0,29.42
2005-09-19,895.0,895.0,860.1,860.1,860.1,681.0,5.98
2005-09-20,860.0,875.0,845.0,856.95,854.25,2544.0,21.76
2005-09-21,866.0,866.0,822.0,842.65,826.35,2669.0,22.33
2005-09-22,840.0,850.0,760.3,760.3,767.4,1956.0,15.8
2005-09-23,820.95,820.95,762.25,770.0,771.1,1192.0,9.24
2005-09-26,765.25,810.25,765.25,804.95,804.4,782.0,6.27
2005-09-27,806.0,839.0,800.0,826.0,829.4,2694.0,22.23
2005-09-28,825.0,865.0,825.0,865.0,849.95,1598.0,13.45
2005-09-29,918.0,928.0,870.0,897.0,896.25,10827.0,97.62
2005-09-30,897.1,900.0,875.0,899.0,897.35,1783.0,15.89
2005-10-03,916.0,916.0,885.0,885.0,886.4,1856.0,16.6
2005-10-04,899.0,899.0,883.0,886.5,894.1,1123.0,9.96
2005-10-05,889.0,899.0,870.0,870.0,874.75,987.0,8.68
2005-10-06,887.95,887.95,857.05,857.05,860.55,1025.0,8.85
2005-10-07,860.0,870.0,852.15,860.0,858.1,886.0,7.62
2005-10-10,865.0,890.0,833.4,833.4,833.4,559.0,4.72
2005-10-11,833.0,850.0,820.0,827.0,831.0,461.0,3.85
2005-10-13,810.0,862.9,810.0,821.25,833.15,760.0,6.31
2005-10-14,825.0,884.75,810.25,820.0,827.1,506.0,4.17
2005-10-17,800.05,839.5,800.05,809.0,809.65,526.0,4.28
2005-10-18,825.0,825.0,810.0,810.0,810.2,179.0,1.46
2005-10-19,809.5,809.9,780.0,781.0,782.75,625.0,4.97
2005-10-20,795.0,815.0,765.1,788.0,772.3,1091.0,8.51
2005-10-21,775.0,793.0,748.0,781.05,784.0,416.0,3.25
2005-10-24,785.0,802.5,768.35,775.0,776.15,374.0,2.96
2005-10-25,775.0,799.0,775.0,794.0,794.0,953.0,7.5
2005-10-26,790.0,791.0,765.0,770.0,767.5,735.0,5.71
2005-10-27,765.0,776.5,751.0,752.0,752.4,437.0,3.31
2005-10-28,741.0,744.0,725.0,725.0,725.0,908.0,6.67
2005-10-31,700.0,740.0,700.0,740.0,726.2,512.0,3.72
2005-11-01,735.0,748.0,730.0,740.0,744.75,566.0,4.14
2005-11-02,769.5,769.5,735.0,750.95,750.95,96.0,0.72
2005-11-07,789.0,789.0,761.5,761.5,766.0,991.0,7.69
2005-11-08,756.25,776.5,717.5,765.0,764.6,643.0,4.86
2005-11-09,784.0,788.8,775.5,785.0,785.0,502.0,3.92
2005-11-10,756.0,790.0,755.0,782.0,782.0,501.0,3.9
2005-11-11,790.0,805.0,790.0,790.0,791.45,413.0,3.28
2005-11-14,796.0,800.0,787.0,795.0,795.0,1504.0,11.94
2005-11-16,746.25,800.0,746.25,800.0,792.45,1111.0,8.77
2005-11-17,797.1,803.0,793.0,795.0,795.0,1558.0,12.4
2005-11-18,802.0,804.95,793.0,800.0,800.0,303.0,2.41
2005-11-21,800.0,820.0,797.0,805.25,805.75,1800.0,14.57
2005-11-22,805.0,810.0,795.0,795.0,796.7,520.0,4.14
2005-11-23,800.0,805.0,795.0,795.0,795.0,457.0,3.64
2005-11-24,820.0,820.0,795.0,805.0,805.0,776.0,6.24
2005-11-25,801.35,839.8,801.0,821.0,828.2,1920.0,15.79
2005-11-26,827.0,840.0,818.0,840.0,835.1,488.0,4.05
2005-11-28,840.0,979.4,836.1,950.0,946.2,12199.0,112.53
2005-11-29,896.0,975.0,896.0,915.3,915.35,5635.0,53.02
2005-11-30,936.0,936.0,895.0,920.0,915.75,3597.0,32.81
2005-12-01,891.25,920.0,891.0,910.0,908.05,909.0,8.22
2005-12-02,924.0,925.0,895.55,896.55,901.95,2042.0,18.58
2005-12-05,905.0,910.95,893.0,900.0,900.05,395.0,3.55
2005-12-06,905.0,949.0,898.35,930.6,928.75,905.0,8.27
2005-12-07,930.0,936.0,920.2,921.0,924.3,2687.0,24.95
2005-12-08,922.0,930.45,922.0,922.0,927.75,114.0,1.06
2005-12-09,939.5,960.9,925.0,960.0,955.35,1422.0,13.46
2005-12-12,960.0,960.0,935.0,945.0,944.8,1346.0,12.75
2005-12-13,871.0,979.0,871.0,966.0,970.8,3292.0,31.37
2005-12-14,983.0,983.0,933.0,959.9,950.6,190.0,1.83
2005-12-15,965.0,969.9,920.0,920.0,924.1,511.0,4.79
2005-12-16,920.0,933.0,911.0,933.0,926.45,796.0,7.32
2005-12-19,927.0,940.05,885.0,922.0,926.75,980.0,9.16
2005-12-20,950.0,950.0,918.0,930.15,930.2,826.0,7.67
2005-12-21,945.0,978.0,940.25,943.0,951.7,1398.0,13.37
2005-12-22,936.0,950.0,936.0,936.0,946.25,676.0,6.38
2005-12-23,950.0,950.0,935.0,945.0,943.2,1361.0,12.86
2005-12-26,916.25,947.95,910.0,915.0,914.0,1450.0,13.4
2005-12-27,919.95,963.0,913.4,954.9,951.1,762.0,7.11
2005-12-28,969.95,1025.0,965.0,1025.0,1016.75,4078.0,40.74
2005-12-29,1020.0,1090.0,1020.0,1057.2,1073.6,3010.0,31.81
2005-12-30,1088.0,1119.0,1066.3,1090.0,1088.8,1884.0,20.48
2006-01-02,1100.0,1197.7,1100.0,1197.7,1197.7,3052.0,35.65
2006-01-03,1230.0,1257.6,1230.0,1257.6,1257.6,2627.0,32.94
2006-01-04,1299.0,1320.0,1215.3,1251.0,1252.15,4526.0,57.79
2006-01-05,1230.5,1255.0,1220.0,1230.0,1227.25,1948.0,24.06
2006-01-06,1235.0,1254.15,1220.3,1225.55,1226.65,526.0,6.49
2006-01-09,1225.05,1240.0,1210.0,1215.1,1222.05,926.0,11.27
2006-01-10,1239.5,1239.5,1216.0,1220.0,1220.0,737.0,8.99
2006-01-12,1215.0,1215.0,1190.0,1205.0,1202.3,1311.0,15.68
2006-01-13,1200.05,1205.0,1160.0,1170.0,1165.4,7314.0,86.58
2006-01-16,1160.0,1183.0,1151.25,1151.25,1163.2,455.0,5.33
2006-01-17,1173.0,1185.0,1171.0,1185.0,1174.15,454.0,5.33
2006-01-18,1150.0,1164.0,1145.0,1150.05,1150.25,616.0,7.09
2006-01-19,1175.0,1207.8,1170.0,1207.8,1207.8,305.0,3.64
2006-01-20,1210.0,1268.2,1155.0,1252.0,1253.6,2429.0,30.63
2006-01-23,1250.05,1269.65,1237.0,1265.5,1265.45,1021.0,12.82
2006-01-24,1294.5,1313.9,1265.0,1275.0,1275.35,1019.0,13.14
2006-01-25,1295.0,1339.15,1295.0,1339.15,1339.15,2137.0,28.31
2006-01-27,1395.0,1406.15,1375.0,1386.9,1376.55,4557.0,63.78
2006-01-30,1420.0,1420.0,1307.75,1307.75,1307.75,3012.0,39.53
2006-01-31,1281.0,1319.8,1259.0,1293.9,1280.85,1356.0,17.33
2006-02-01,1284.0,1287.0,1270.0,1276.0,1276.0,776.0,9.89
2006-02-02,1280.0,1297.95,1275.05,1297.0,1294.0,577.0,7.39
2006-02-03,1304.95,1305.0,1254.4,1280.0,1280.0,260.0,3.31
2006-02-06,1296.0,1312.0,1277.0,1277.0,1277.75,333.0,4.3
2006-02-07,1309.0,1341.65,1245.5,1341.65,1341.65,2336.0,30.61
2006-02-08,1340.0,1407.35,1340.0,1341.1,1346.65,6173.0,86.16
2006-02-10,1387.8,1481.35,1351.0,1481.35,1469.1,8148.0,118.54
2006-02-13,1482.0,1600.0,1449.95,1530.0,1542.25,3855.0,58.7
2006-02-14,1570.0,1595.0,1466.0,1511.0,1516.3,2859.0,43.92
2006-02-15,1515.0,1592.15,1515.0,1592.15,1592.15,4018.0,63.26
2006-02-16,1590.0,1629.0,1535.0,1535.0,1551.75,2545.0,40.31
2006-02-17,1564.0,1564.0,1498.1,1515.0,1500.15,2736.0,41.19
2006-02-20,1498.0,1510.0,1452.0,1510.0,1501.35,1544.0,22.79
2006-02-21,1515.0,1515.0,1493.05,1500.0,1500.0,460.0,6.91
2006-02-22,1529.0,1544.9,1510.0,1512.0,1515.55,1341.0,20.42
2006-02-23,1500.0,1538.0,1500.0,1538.0,1524.35,1685.0,25.57
2006-02-24,1500.0,1525.0,1495.0,1525.0,1523.6,972.0,14.59
2006-02-27,1505.55,1572.0,1505.5,1570.0,1553.75,2433.0,37.4
2006-02-28,1588.0,1588.0,1525.0,1537.0,1538.1,231.0,3.57
2006-03-01,1505.1,1572.0,1505.1,1526.0,1536.2,958.0,14.85
2006-03-02,1552.0,1613.05,1540.05,1606.15,1611.5,10299.0,165.49
2006-03-03,1610.0,1692.1,1610.0,1692.1,1692.1,4484.0,75.12
2006-03-06,1692.0,1776.75,1692.0,1776.75,1776.75,1921.0,34.0
2006-03-07,1859.75,1865.6,1825.0,1865.6,1865.6,4732.0,87.96
2006-03-08,1900.0,1958.0,1820.0,1846.0,1856.15,6960.0,133.7
2006-03-09,1800.0,1860.0,1780.0,1845.0,1848.9,2512.0,45.97
2006-03-10,1855.0,1941.35,1850.0,1941.35,1941.35,2958.0,57.02
2006-03-13,2018.0,2038.45,1992.0,2000.0,2032.5,4159.0,84.43
2006-03-14,2035.0,2035.0,1930.9,1930.9,1930.9,3445.0,67.92
2006-03-16,1900.0,1900.0,1834.35,1834.35,1834.35,2811.0,52.35
2006-03-17,1771.3,1808.0,1744.0,1800.0,1785.1,2464.0,43.55
2006-03-20,1868.0,1868.0,1780.0,1864.0,1842.95,4238.0,77.7
2006-03-21,1850.0,1869.9,1800.15,1815.5,1818.15,1287.0,23.68
2006-03-22,1860.0,1860.0,1727.25,1760.0,1746.05,3081.0,54.95
2006-03-23,1796.95,1798.0,1685.0,1722.0,1743.2,3552.0,62.11
2006-03-24,1750.0,1830.0,1750.0,1821.1,1827.55,1571.0,28.52
2006-03-27,1830.0,1869.9,1801.25,1845.0,1841.65,3462.0,62.82
2006-03-28,1860.0,1860.0,1811.0,1835.0,1835.4,1189.0,21.82
2006-03-29,1876.9,1876.9,1761.6,1850.0,1819.65,1502.0,26.98
2006-03-30,1842.0,1842.0,1750.0,1807.0,1802.65,1306.0,23.5
2006-03-31,1814.0,1830.0,1800.0,1820.0,1804.6,1012.0,18.3
2006-04-03,1849.95,1886.45,1825.0,1886.45,1886.45,1126.0,20.94
2006-04-04,1964.0,1980.8,1901.0,1922.0,1926.95,3522.0,69.25
2006-04-05,1960.0,1970.0,1852.0,1863.0,1890.7,1840.0,35.0
2006-04-07,1856.0,1920.0,1796.3,1815.0,1802.3,2092.0,38.07
2006-04-10,1800.0,1885.0,1800.0,1825.0,1817.05,895.0,16.29
2006-04-12,1835.0,1905.0,1800.0,1809.0,1810.1,2321.0,42.06
2006-04-13,1760.0,1801.0,1630.0,1711.0,1727.0,2530.0,42.93
2006-04-17,1750.0,1770.0,1711.1,1750.0,1740.9,1270.0,22.07
2006-04-18,1740.0,1785.0,1720.0,1770.0,1751.9,940.0,16.5
2006-04-19,1750.0,1809.95,1750.0,1809.95,1798.6,1303.0,23.28
2006-04-20,1629.35,1837.0,1629.35,1786.0,1818.75,1275.0,23.03
2006-04-21,1820.0,1835.0,1760.0,1790.0,1790.5,1434.0,25.64
2006-04-24,1810.0,1849.0,1790.0,1805.0,1807.45,1182.0,21.5
2006-04-25,1849.5,1850.0,1775.1,1775.1,1788.85,1763.0,31.62
2006-04-26,1780.0,1850.0,1780.0,1827.0,1831.2,4754.0,87.32
2006-04-27,1830.0,1857.8,1800.0,1811.0,1810.7,1083.0,19.82
2006-04-28,1727.0,1830.0,1727.0,1788.9,1777.95,1165.0,20.69
2006-04-29,1785.0,1850.0,1785.0,1824.0,1829.9,6858.0,125.51
2006-05-02,1850.0,1850.0,1780.0,1782.5,1794.7,2066.0,37.2
2006-05-03,1781.5,1800.0,1759.0,1775.0,1777.9,2078.0,36.97
2006-05-04,1750.05,1780.0,1745.0,1745.0,1748.0,1968.0,34.56
2006-05-05,1760.0,1760.0,1715.0,1740.0,1741.55,855.0,14.79
2006-05-08,1741.0,1749.9,1690.0,1700.0,1700.15,1893.0,32.37
2006-05-09,1745.0,1745.0,1700.75,1710.1,1726.15,775.0,13.36
2006-05-10,1749.5,1749.85,1700.0,1720.0,1718.05,255.0,4.38
2006-05-11,1700.05,1725.0,1673.0,1673.0,1692.55,294.0,5.01
2006-05-12,1725.0,1725.0,1686.1,1701.0,1709.15,1045.0,17.91
2006-05-15,1700.0,1785.0,1690.0,1690.0,1699.65,1440.0,24.85
2006-05-16,1691.25,1768.5,1628.1,1685.0,1685.0,604.0,10.17
2006-05-17,1710.0,1750.0,1690.0,1700.05,1714.35,857.0,14.76
2006-05-18,1592.0,1709.95,1550.0,1600.0,1588.65,1482.0,23.52
2006-05-19,1697.0,1698.0,1500.0,1500.0,1513.5,1376.0,21.85
2006-05-22,1520.0,1520.0,1365.0,1370.0,1373.75,1263.0,17.51
2006-05-23,1400.0,1500.0,1250.0,1500.0,1497.55,2812.0,41.15
2006-05-24,1497.0,1529.7,1433.0,1436.0,1452.05,780.0,11.65
2006-05-25,1370.0,1378.8,1307.0,1350.0,1341.9,4943.0,66.62
2006-05-26,1380.0,1476.1,1380.0,1457.0,1460.9,531.0,7.73
2006-05-29,1465.0,1500.0,1465.0,1478.25,1478.25,514.0,7.66
2006-05-30,1485.0,1489.7,1450.0,1450.0,1459.85,341.0,5.0
2006-05-31,1325.0,1439.75,1325.0,1380.0,1406.0,1590.0,21.61
2006-06-01,1400.0,1467.8,1268.2,1268.2,1282.5,2397.0,31.3
2006-06-02,1310.0,1310.0,1180.25,1289.9,1289.05,1088.0,13.38
2006-06-05,1310.0,1310.0,1234.0,1234.0,1255.5,1989.0,25.28
2006-06-06,1153.0,1280.0,1153.0,1239.0,1213.7,1692.0,20.65
2006-06-07,1204.0,1228.0,1092.35,1092.35,1092.35,1243.0,13.89
2006-06-08,1038.05,1038.05,1037.75,1037.75,1037.75,336.0,3.49
2006-06-09,1000.0,1089.65,985.9,1060.0,1059.85,7438.0,76.36
2006-06-12,1045.0,1080.0,1007.05,1017.25,1025.3,4579.0,47.73
2006-06-13,978.0,1000.0,974.05,974.1,974.1,890.0,8.7
2006-06-14,940.0,998.95,935.0,985.0,967.2,6705.0,65.65
2006-06-15,982.9,999.95,926.0,975.55,986.25,4251.0,41.71
2006-06-16,1015.0,1035.6,999.8,1035.6,1035.6,6530.0,67.22
2006-06-19,1080.0,1087.0,1017.0,1087.0,1081.15,3875.0,40.83
2006-06-20,1060.1,1135.0,1056.2,1126.0,1129.6,2841.0,32.11
2006-06-21,1150.0,1186.1,1130.0,1186.1,1186.1,211.0,2.49
2006-06-22,1245.45,1245.45,1245.45,1245.45,1245.45,56.0,0.7
2006-06-23,1299.9,1299.9,1217.0,1285.0,1259.6,1843.0,23.09
2006-06-25,1290.0,1299.0,1256.0,1256.0,1262.45,242.0,3.09
2006-06-26,1261.0,1261.0,1199.35,1199.35,1199.35,800.0,9.67
2006-06-27,1145.35,1178.7,1139.9,1140.0,1140.25,310.0,3.57
2006-06-28,1100.0,1147.0,1091.2,1125.0,1125.15,241.0,2.72
2006-06-29,1090.6,1181.0,1090.5,1141.0,1160.6,416.0,4.75
2006-06-30,1120.0,1218.5,1120.0,1205.0,1200.15,1030.0,12.36
2006-07-03,1249.0,1249.0,1162.2,1165.1,1182.05,883.0,10.57
2006-07-04,1200.0,1200.0,1150.0,1156.0,1153.95,1255.0,14.79
2006-07-05,1190.0,1190.0,1160.0,1175.0,1176.7,2931.0,34.35
2006-07-06,1190.0,1220.0,1150.0,1150.5,1173.8,1441.0,17.1
2006-07-07,1210.0,1210.0,1115.15,1115.15,1115.5,876.0,9.94
2006-07-10,1149.0,1149.95,1111.1,1125.0,1130.95,251.0,2.85
2006-07-11,1138.0,1157.9,1135.55,1147.0,1147.05,235.0,2.7
2006-07-12,1125.0,1146.0,1102.0,1125.0,1125.2,336.0,3.8
2006-07-13,1128.0,1147.85,1104.1,1110.0,1107.75,661.0,7.38
2006-07-14,1149.0,1149.0,1090.0,1108.0,1107.45,409.0,4.53
2006-07-17,1080.0,1138.0,1080.0,1092.0,1095.9,2121.0,23.17
2006-07-18,1092.1,1104.0,1082.0,1090.0,1091.4,919.0,9.99
2006-07-19,1128.0,1128.0,1071.0,1085.0,1089.7,4513.0,49.29
2006-07-20,1125.0,1125.0,1080.0,1091.8,1091.8,573.0,6.27
2006-07-21,1079.0,1081.5,1058.05,1065.0,1061.5,412.0,4.43
2006-07-24,1041.0,1075.0,1009.0,1075.0,1071.05,651.0,6.79
2006-07-25,1097.0,1100.0,1053.0,1075.0,1076.95,2012.0,21.66
2006-07-26,1074.75,1100.0,1074.75,1100.0,1085.45,808.0,8.76
2006-07-27,1099.9,1139.45,1099.9,1139.45,1138.9,479.0,5.44
2006-07-28,1195.0,1195.0,1156.0,1195.0,1195.0,938.0,11.16
2006-07-31,1254.75,1254.75,1254.75,1254.75,1254.75,618.0,7.75
2006-08-01,1290.0,1317.5,1290.0,1317.5,1315.7,1784.0,23.44
2006-08-02,1255.0,1349.0,1255.0,1314.0,1314.5,791.0,10.38
2006-08-03,1340.0,1380.25,1322.4,1361.0,1363.8,3755.0,51.26
2006-08-04,1370.0,1380.0,1325.1,1338.9,1333.15,942.0,12.75
2006-08-07,1338.9,1350.0,1282.05,1305.0,1292.4,1150.0,14.96
2006-08-08,1327.7,1328.0,1301.0,1306.0,1305.25,830.0,10.85
2006-08-09,1334.9,1360.0,1297.0,1320.1,1329.45,683.0,9.14
2006-08-10,1330.1,1349.0,1291.25,1300.0,1304.75,727.0,9.5
2006-08-11,1339.65,1341.0,1300.05,1330.0,1324.9,690.0,9.13
2006-08-14,1369.0,1375.0,1344.1,1350.0,1354.55,1019.0,13.9
