Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,4.35,4.35,4.35,,,,
1998-03-24,4.3,4.3,4.3,4.3,4.3,500.0,0.02
1998-03-25,4.95,4.95,4.95,4.95,4.95,500.0,0.02
1998-03-27,4.25,4.25,4.25,4.25,4.25,500.0,0.02
1998-04-02,4.5,4.5,4.5,4.5,4.5,300.0,0.01
1998-04-03,4.5,4.5,4.5,4.5,4.5,400.0,0.02
1998-04-06,3.9,3.9,3.9,3.9,3.9,500.0,0.02
1998-04-07,4.25,4.25,4.25,4.25,4.25,300.0,0.01
1998-04-13,4.25,4.75,4.25,4.75,4.75,700.0,0.03
1998-04-15,5.5,5.5,5.5,5.5,5.5,800.0,0.04
1998-04-16,5.75,5.85,5.75,5.85,5.85,300.0,0.02
1998-04-17,6.15,6.15,5.95,5.95,5.95,300.0,0.02
1998-04-20,6.15,6.2,6.15,6.2,6.2,1000.0,0.06
1998-04-21,5.9,6.2,5.45,6.2,6.2,2100.0,0.13
1998-04-22,6.1,6.5,6.0,6.1,6.1,2000.0,0.12
1998-04-23,6.05,6.05,6.05,6.05,6.05,100.0,0.01
1998-04-27,6.25,6.25,6.25,6.25,6.25,500.0,0.03
1998-04-29,5.65,5.65,5.65,5.65,5.65,200.0,0.01
1998-05-04,6.4,6.4,5.95,6.0,6.0,1900.0,0.12
1998-05-05,6.0,6.2,6.0,6.15,6.15,900.0,0.05
1998-05-06,6.1,6.4,6.1,6.1,6.1,800.0,0.05
1998-05-08,5.8,5.8,5.8,5.8,5.8,400.0,0.02
1998-05-11,6.15,6.15,6.15,6.15,6.15,100.0,0.01
1998-05-14,5.3,5.3,5.25,5.25,5.25,300.0,0.02
1998-05-15,4.75,4.75,4.75,4.75,4.75,200.0,0.01
1998-05-19,5.4,5.4,4.8,4.8,4.8,1200.0,0.06
1998-05-21,5.0,5.5,5.0,5.5,5.5,200.0,0.01
1998-05-22,6.2,6.2,6.2,6.2,6.2,100.0,0.01
1998-05-25,5.95,5.95,5.95,5.95,5.95,100.0,0.01
1998-06-01,6.6,6.6,6.6,6.6,6.6,100.0,0.01
1998-06-02,6.0,6.0,5.75,5.75,5.75,200.0,0.01
1998-06-04,4.9,4.9,4.9,4.9,4.9,1000.0,0.05
1998-06-09,4.25,4.25,4.25,4.25,4.25,100.0,0.0
1998-06-11,3.65,3.65,3.65,3.65,3.65,100.0,0.0
1998-06-15,3.25,4.15,3.25,3.5,3.5,1500.0,0.05
1998-06-16,3.5,3.5,3.5,3.5,3.5,400.0,0.01
1998-07-08,3.5,3.5,3.5,3.5,3.5,100.0,0.0
1998-07-10,3.0,3.0,3.0,3.0,3.0,400.0,0.01
1998-07-20,2.6,2.6,2.6,2.6,2.6,200.0,0.01
1998-07-29,2.6,2.6,2.6,2.6,2.6,500.0,0.01
1998-08-03,3.1,3.15,3.1,3.15,3.15,500.0,0.02
1998-08-11,3.2,3.2,2.5,2.5,2.5,200.0,0.01
1998-08-21,3.0,3.0,3.0,3.0,3.0,500.0,0.02
1998-09-10,4.0,4.0,3.95,3.95,3.95,400.0,0.02
1998-09-14,3.5,3.5,3.5,3.5,3.5,100.0,0.0
1998-09-15,3.25,3.25,3.25,3.25,3.25,100.0,0.0
1998-09-16,3.25,3.25,3.25,3.25,3.25,100.0,0.0
1998-09-17,4.4,4.4,4.4,4.4,4.4,100.0,0.0
1998-09-28,6.4,6.4,6.4,6.4,6.4,100.0,0.01
1998-09-30,9.6,9.6,9.6,9.6,9.6,100.0,0.01
1998-10-05,4.9,4.9,4.9,4.9,4.9,200.0,0.01
1998-10-26,2.65,2.65,2.6,2.6,2.6,900.0,0.02
1998-11-06,2.0,2.0,2.0,2.0,2.0,200.0,0.0
1998-11-09,2.5,2.5,2.5,2.5,2.5,200.0,0.0
1998-11-10,2.15,2.15,2.15,2.15,2.15,100.0,0.0
1998-11-11,3.0,3.0,2.5,2.5,2.5,900.0,0.03
1998-11-12,3.0,3.0,2.95,3.0,3.0,1100.0,0.03
1998-11-13,3.1,3.1,3.1,3.1,3.1,300.0,0.01
1998-11-17,3.45,3.45,3.0,3.0,3.0,400.0,0.01
1998-11-18,3.5,3.5,3.5,3.5,3.5,100.0,0.0
1998-12-09,3.25,3.25,3.25,3.25,3.25,100.0,0.0
1998-12-14,2.6,2.6,2.6,2.6,2.6,500.0,0.01
1998-12-15,2.75,2.75,2.75,2.75,2.75,400.0,0.01
1998-12-17,2.0,2.9,2.0,2.9,2.9,500.0,0.01
1998-12-18,2.75,2.75,2.75,2.75,2.75,100.0,0.0
1998-12-22,2.6,2.6,2.5,2.5,2.5,200.0,0.01
1998-12-23,2.5,2.5,2.5,2.5,2.5,100.0,0.0
1998-12-28,2.55,2.55,2.55,2.55,2.55,100.0,0.0
1998-12-29,3.0,3.0,3.0,3.0,3.0,200.0,0.01
1999-01-08,3.0,3.0,3.0,3.0,3.0,200.0,0.01
1999-01-12,3.25,3.25,3.0,3.0,3.0,300.0,0.01
1999-01-15,2.75,2.75,2.75,2.75,2.75,100.0,0.0
1999-01-18,2.95,3.0,2.95,3.0,3.0,200.0,0.01
1999-01-19,3.0,3.0,3.0,3.0,3.0,200.0,0.01
1999-01-28,2.0,2.0,2.0,2.0,2.0,400.0,0.01
1999-01-29,3.0,3.0,3.0,3.0,3.0,400.0,0.01
1999-02-01,2.15,2.15,2.1,2.1,2.1,700.0,0.01
1999-02-02,2.45,2.9,2.45,2.9,2.9,800.0,0.02
1999-02-15,2.3,2.3,2.3,2.3,2.3,400.0,0.01
1999-02-16,2.4,2.4,2.4,2.4,2.4,200.0,0.0
1999-02-17,2.6,2.6,2.5,2.5,2.5,900.0,0.02
1999-02-19,3.0,3.0,3.0,3.0,3.0,900.0,0.03
1999-02-23,3.0,3.0,3.0,3.0,3.0,300.0,0.01
1999-02-24,3.0,3.5,3.0,3.1,3.1,800.0,0.02
1999-02-25,3.0,3.0,2.5,2.5,2.5,300.0,0.01
1999-02-26,1.9,3.15,1.9,3.15,3.15,500.0,0.01
1999-03-01,4.0,4.0,4.0,4.0,4.0,100.0,0.0
1999-03-03,2.75,2.75,2.75,2.75,2.75,200.0,0.01
1999-03-08,4.0,4.0,3.0,3.0,3.0,300.0,0.01
1999-03-09,2.55,2.55,2.5,2.5,2.5,300.0,0.01
1999-03-15,2.55,2.55,2.55,2.55,2.55,2700.0,0.07
1999-03-19,3.7,3.8,3.7,3.8,3.8,400.0,0.01
1999-03-23,3.25,3.25,3.25,3.25,3.25,100.0,0.0
1999-03-24,3.3,4.0,3.25,4.0,4.0,500.0,0.02
1999-03-25,4.25,4.35,4.25,4.35,4.35,600.0,0.03
1999-03-26,3.1,3.8,3.1,3.8,3.8,300.0,0.01
1999-04-19,2.2,2.2,2.2,2.2,2.2,200.0,0.0
1999-05-11,2.75,2.75,2.75,2.75,2.75,500.0,0.01
1999-05-18,3.0,3.0,3.0,3.0,3.0,300.0,0.01
1999-05-25,2.2,2.2,2.2,2.2,2.2,200.0,0.0
1999-06-03,3.0,3.0,3.0,3.0,3.0,200.0,0.01
1999-06-17,1.9,3.0,1.9,3.0,3.0,400.0,0.01
1999-06-22,2.4,2.4,2.4,2.4,2.4,200.0,0.0
1999-06-24,3.6,3.6,3.5,3.5,3.5,600.0,0.02
1999-06-25,3.8,4.3,3.8,4.3,4.3,200.0,0.01
1999-06-28,3.4,3.4,3.4,3.4,3.4,900.0,0.03
1999-06-29,3.85,3.85,3.85,3.85,3.85,100.0,0.0
1999-07-05,3.5,4.2,3.5,4.2,4.2,500.0,0.02
1999-07-06,3.75,3.75,3.75,3.75,3.75,100.0,0.0
1999-07-09,3.9,4.35,3.9,4.35,4.35,2000.0,0.08
1999-07-12,4.5,4.5,4.0,4.2,4.2,600.0,0.03
1999-07-14,3.75,3.75,3.75,3.75,3.75,500.0,0.02
1999-07-15,3.5,3.5,3.5,3.5,3.5,200.0,0.01
1999-07-19,3.25,3.25,3.25,3.25,3.25,300.0,0.01
1999-07-21,3.75,4.05,3.75,3.75,3.75,1100.0,0.04
1999-07-22,3.85,3.85,3.85,3.85,3.85,200.0,0.01
1999-07-23,3.95,3.95,3.95,3.95,3.95,400.0,0.02
1999-07-27,3.5,3.5,3.5,3.5,3.5,200.0,0.01
1999-07-29,3.6,3.6,3.6,3.6,3.6,700.0,0.03
1999-08-19,3.5,4.0,3.5,3.5,3.5,700.0,0.03
1999-08-20,4.0,4.0,4.0,4.0,4.0,200.0,0.01
1999-08-23,3.75,3.75,3.6,3.6,3.6,1400.0,0.05
1999-08-24,4.0,4.05,4.0,4.0,4.0,1200.0,0.05
1999-08-27,3.5,4.5,3.5,4.5,4.5,600.0,0.03
1999-08-30,4.0,4.0,4.0,4.0,4.0,200.0,0.01
1999-09-01,3.3,4.0,3.3,4.0,4.0,600.0,0.02
1999-09-02,3.5,3.85,3.5,3.85,3.85,200.0,0.01
1999-09-03,4.1,4.1,4.1,4.1,4.1,100.0,0.0
1999-09-06,4.25,4.25,4.25,4.25,4.25,400.0,0.02
1999-09-07,3.65,3.65,3.65,3.65,3.65,100.0,0.0
