Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2009-04-27,29.4,30.4,29.4,29.5,29.5,512.0,0.15
2009-04-28,29.5,29.6,26.0,27.55,28.25,4260.0,1.22
2009-04-29,28.1,28.5,28.1,28.15,28.25,420.0,0.12
2009-05-04,28.5,29.4,28.3,28.3,28.4,7559.0,2.16
2009-05-05,29.0,29.0,28.1,28.5,28.55,27936.0,7.97
2009-05-06,29.55,29.55,28.3,29.0,28.5,16158.0,4.61
2009-05-07,29.95,30.0,29.15,29.15,29.35,14225.0,4.26
2009-05-08,29.9,31.1,28.3,31.0,30.4,26084.0,7.88
2009-05-11,31.0,31.0,29.5,30.5,30.5,1232.0,0.37
2009-05-12,29.5,29.75,29.25,29.25,29.35,1257.0,0.37
2009-05-13,29.0,30.4,28.6,29.05,29.05,8591.0,2.51
2009-05-14,28.25,29.9,28.25,29.5,29.5,340.0,0.1
2009-05-15,29.5,30.2,29.0,29.0,29.05,3674.0,1.08
2009-05-19,30.0,34.9,30.0,32.5,31.75,14457.0,4.76
2009-05-20,32.9,37.0,31.0,36.9,36.1,25593.0,8.76
2009-05-21,36.05,38.65,36.0,36.4,36.15,31386.0,11.68
2009-05-22,36.9,43.4,35.55,43.4,43.4,87196.0,35.59
2009-05-25,46.1,47.75,46.1,47.75,47.75,61151.0,29.17
2009-05-26,52.55,52.55,52.55,52.55,52.55,23880.0,12.55
2009-05-27,57.85,57.85,54.0,54.85,54.8,213150.0,118.26
2009-05-28,55.6,55.6,52.25,53.4,53.2,44349.0,23.6
2009-05-29,53.0,57.0,53.0,56.2,56.25,61803.0,34.44
2009-06-01,57.45,58.0,55.2,56.75,56.6,35734.0,20.31
2009-06-02,57.6,58.0,53.8,53.8,53.8,48411.0,26.59
2009-06-03,54.9,56.5,52.0,56.0,56.15,134752.0,74.49
2009-06-04,59.0,59.0,57.75,59.0,59.0,221961.0,130.47
2009-06-05,61.2,61.5,57.15,58.6,58.45,218903.0,130.25
