Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-11,42.4,42.4,38.05,42.4,42.35,19460.0,8.14
2010-01-12,44.35,44.35,38.3,38.6,38.7,12003.0,4.93
2010-01-13,39.0,42.8,35.2,41.35,41.05,5997.0,2.41
2010-01-14,42.0,43.3,39.65,40.0,40.0,2344.0,0.97
2010-01-15,40.15,41.6,38.15,38.15,39.3,1756.0,0.71
2010-01-18,38.45,38.75,37.5,37.5,38.3,256.0,0.1
2010-01-19,38.8,40.95,38.8,38.8,38.8,552.0,0.22
2010-01-20,38.0,39.25,35.9,36.35,37.65,908.0,0.35
2010-01-21,38.0,38.0,36.35,36.35,36.95,1356.0,0.51
2010-01-22,37.25,38.95,36.7,36.7,36.8,780.0,0.29
2010-01-25,33.95,38.5,33.95,35.1,35.1,916.0,0.32
2010-01-28,33.2,36.8,33.2,36.8,34.3,283.0,0.1
2010-01-29,36.0,39.8,32.5,35.75,35.9,4034.0,1.48
2010-02-01,36.0,36.0,34.9,36.0,36.0,305.0,0.11
2010-02-02,36.0,36.0,35.5,35.5,35.5,246.0,0.09
2010-02-03,34.1,34.1,34.1,34.1,34.1,10.0,0.0
2010-02-08,34.2,40.35,32.2,34.3,34.3,241.0,0.08
2010-02-09,31.3,37.25,31.3,32.85,32.85,800.0,0.26
2010-02-10,32.0,33.0,32.0,32.55,32.55,347.0,0.11
2010-02-11,32.15,33.0,32.0,32.0,32.0,396.0,0.13
2010-02-15,31.8,38.4,31.8,38.4,38.4,22067.0,8.3
2010-02-16,40.4,45.8,40.4,42.7,44.35,282902.0,123.7
2010-02-17,42.9,42.95,37.65,38.75,38.45,65819.0,26.39
2010-02-18,39.65,43.7,38.5,41.95,41.7,242684.0,101.66
2010-02-19,41.95,41.95,38.4,39.3,39.25,21649.0,8.75
2010-02-22,39.95,42.65,38.2,39.0,39.05,26935.0,10.96
2010-02-23,39.5,40.2,35.0,36.6,36.2,33978.0,12.7
2010-02-24,37.0,37.5,35.1,36.05,36.3,11035.0,4.0
2010-02-25,36.35,36.5,34.0,35.0,34.45,8994.0,3.16
2010-02-26,34.8,34.8,32.9,33.85,33.6,6479.0,2.18
2010-03-02,33.95,35.35,33.6,34.4,34.8,1440.0,0.5
2010-03-03,34.1,39.0,34.1,37.15,36.75,19121.0,7.13
2010-03-04,34.75,37.45,34.75,35.8,35.85,8583.0,3.09
2010-03-05,36.5,40.5,35.9,37.55,39.0,31965.0,12.42
2010-03-08,39.15,39.8,37.25,37.7,37.35,16084.0,6.23
2010-03-09,36.5,37.65,36.15,36.15,36.45,1550.0,0.57
2010-03-10,36.2,37.6,36.2,36.3,36.3,1615.0,0.59
2010-03-11,35.75,36.05,35.55,35.55,35.55,2534.0,0.91
2010-03-12,36.0,36.0,35.25,35.3,35.3,1229.0,0.44
2010-03-15,34.7,36.0,34.7,35.6,35.55,1360.0,0.48
2010-03-16,33.85,39.75,33.85,35.65,35.65,860.0,0.32
2010-03-17,35.1,37.2,35.1,37.0,37.0,1717.0,0.63
2010-03-18,35.85,36.0,35.8,35.85,35.85,261.0,0.09
2010-03-19,35.45,36.45,35.45,35.5,35.5,107.0,0.04
2010-03-22,34.6,36.0,34.6,34.65,35.25,1410.0,0.49
2010-03-23,34.25,36.3,34.25,34.6,34.6,822.0,0.29
2010-03-25,30.1,37.3,30.1,35.85,35.85,1890.0,0.65
2010-03-26,35.0,35.0,34.3,34.3,34.3,262.0,0.09
2010-03-29,35.0,35.0,33.85,33.95,33.9,184.0,0.06
2010-03-30,34.0,34.15,34.0,34.1,34.1,174.0,0.06
2010-03-31,33.4,33.55,33.4,33.55,33.55,44.0,0.01
2010-04-01,32.1,35.85,32.05,35.85,34.35,1955.0,0.66
2010-04-05,35.15,35.15,35.05,35.05,35.05,8.0,0.0
2010-04-06,38.75,38.75,34.65,35.45,35.45,907.0,0.32
2010-04-07,35.0,37.5,34.25,36.4,35.85,4748.0,1.7
2010-04-09,34.6,36.5,34.6,34.8,34.8,4411.0,1.57
2010-04-12,36.85,36.85,34.7,35.5,35.5,206.0,0.07
2010-04-13,34.3,36.95,34.3,34.75,34.75,1218.0,0.44
2010-04-15,36.0,36.5,34.55,34.55,34.75,3296.0,1.18
2010-04-16,41.65,41.65,35.1,36.2,36.95,10463.0,3.91
2010-04-19,38.75,38.75,35.25,36.45,35.5,3304.0,1.18
2010-04-20,38.95,38.95,35.75,37.0,36.75,727.0,0.27
2010-04-21,39.4,39.4,32.0,36.1,36.1,2021.0,0.74
2010-04-22,36.95,37.0,36.95,37.0,37.0,501.0,0.19
2010-04-23,37.4,37.4,34.8,36.0,35.8,916.0,0.33
2010-04-26,36.25,37.0,36.1,36.2,36.2,1854.0,0.68
2010-04-27,36.9,36.9,35.5,35.5,35.6,873.0,0.31
2010-04-28,35.1,42.75,35.1,39.1,39.95,55538.0,22.58
2010-04-29,38.4,40.35,36.0,37.0,36.6,25091.0,9.49
2010-04-30,39.0,41.7,38.75,39.7,39.95,122048.0,49.64
2010-05-03,40.45,41.35,38.35,40.65,39.8,11137.0,4.47
2010-05-04,40.0,42.45,40.0,41.5,41.1,37016.0,15.37
2010-05-05,38.45,47.2,38.4,45.9,45.85,134741.0,61.0
2010-05-06,45.9,55.05,42.0,55.05,55.05,257620.0,131.02
2010-05-07,55.0,60.6,51.3,60.6,60.6,667591.0,392.07
2010-05-10,63.15,66.7,59.0,66.7,66.7,657731.0,425.4
2010-05-11,67.0,73.4,65.9,73.4,73.25,699367.0,494.89
2010-05-12,74.15,75.5,70.3,71.6,71.45,1118820.0,814.82
2010-05-13,75.0,75.0,67.9,67.9,67.9,538376.0,371.99
2010-05-14,64.5,64.55,64.5,64.5,64.5,10461.0,6.75
2010-05-17,61.3,61.3,61.3,61.3,61.3,2709.0,1.66
2010-05-18,58.25,58.25,58.25,58.25,58.25,6718.0,3.91
2010-05-19,55.35,55.35,55.35,55.35,55.35,1088.0,0.6
2010-05-20,52.6,52.6,52.6,52.6,52.6,1335.0,0.7
