Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-07-30,4.0,4.2,3.8,4.2,4.2,173811.0,7.09
2012-07-31,4.4,4.4,4.4,4.4,4.4,6985410.0,307.36
2012-08-01,4.6,4.6,4.6,4.6,4.6,4368707.0,200.96
2012-08-02,4.8,4.8,4.8,4.8,4.8,2131694.0,102.32
2012-08-03,5.0,5.0,5.0,5.0,5.0,3071519.0,153.58
2012-08-06,5.25,5.25,5.25,5.25,5.25,93262.0,4.9
2012-08-07,5.5,5.5,5.5,5.5,5.5,83355.0,4.58
2012-08-08,5.75,5.75,5.75,5.75,5.75,1085122.0,62.39
2012-08-09,6.0,6.0,5.5,6.0,6.0,8405723.0,500.5
2012-08-10,6.3,6.3,5.7,5.95,5.95,10186263.0,602.21
2012-08-13,6.0,6.25,5.3,5.7,5.55,7584672.0,439.17
2012-08-14,5.5,5.5,4.95,5.15,5.0,3630589.0,184.7
2012-08-16,4.55,5.6,4.55,5.15,5.05,2379273.0,121.42
2012-08-17,5.15,5.3,5.05,5.1,5.1,1277013.0,66.47
2012-08-21,4.7,6.1,4.7,5.9,5.75,7495743.0,433.25
2012-08-22,5.5,6.2,5.5,5.65,5.65,3448008.0,202.87
2012-08-23,5.6,5.9,5.4,5.65,5.7,2534224.0,141.36
2012-08-24,5.6,5.7,5.45,5.6,5.55,764099.0,42.59
2012-08-27,5.55,5.75,5.2,5.2,5.25,895459.0,48.14
2012-08-28,5.3,5.3,4.3,4.4,4.45,2868624.0,133.77
2012-08-29,4.4,4.8,3.85,4.05,4.0,1917030.0,82.03
2012-08-30,3.85,4.4,3.8,4.4,4.35,2472169.0,104.07
2012-08-31,4.4,4.55,4.05,4.4,4.45,2535264.0,110.93
2012-09-03,4.25,4.65,4.25,4.4,4.35,558816.0,24.82
2012-09-04,4.4,4.55,4.2,4.4,4.35,998583.0,43.59
2012-09-05,4.4,4.75,4.25,4.75,4.75,1744637.0,80.98
2012-09-06,4.95,4.95,4.3,4.3,4.35,5400814.0,239.54
2012-09-07,4.7,4.7,4.5,4.6,4.6,991812.0,45.15
2012-09-08,4.25,4.65,4.25,4.65,4.55,91362.0,4.14
2012-09-10,4.45,4.6,4.25,4.35,4.35,6518314.0,284.04
2012-09-11,4.5,4.5,4.2,4.3,4.2,421293.0,18.0
2012-09-12,4.4,4.55,4.15,4.5,4.5,768151.0,33.98
2012-09-13,4.4,4.75,4.35,4.7,4.7,705407.0,32.69
2012-09-14,4.7,4.9,4.4,4.65,4.65,2567715.0,118.61
2012-09-17,4.75,5.1,4.7,4.9,4.95,1365979.0,67.9
2012-09-18,4.95,5.4,4.85,5.35,5.35,2718255.0,142.21
2012-09-20,5.15,5.4,5.1,5.1,5.1,494881.0,25.67
2012-09-21,5.25,5.35,5.15,5.35,5.35,9356030.0,500.36
2012-09-24,5.6,5.6,5.25,5.6,5.6,3226629.0,179.62
2012-09-25,5.85,5.85,5.55,5.85,5.85,3059155.0,178.44
2012-09-26,6.1,6.1,5.75,6.1,6.1,874737.0,52.72
2012-09-27,6.4,6.4,5.8,6.4,6.4,5564851.0,351.94
2012-09-28,6.7,6.7,6.25,6.35,6.45,2484466.0,163.98
2012-10-01,6.5,6.65,6.25,6.5,6.55,1343672.0,86.48
2012-10-03,6.7,6.85,6.4,6.65,6.65,2260793.0,152.41
2012-10-04,6.85,6.95,6.65,6.95,6.95,4342005.0,299.29
2012-10-05,7.25,7.25,6.85,7.25,7.25,2940278.0,211.01
2012-10-08,7.5,7.6,6.9,6.9,6.9,2587310.0,183.7
2012-10-09,6.6,7.15,6.6,6.6,6.6,3241991.0,214.76
2012-10-10,6.3,6.5,6.3,6.3,6.3,1792001.0,113.02
2012-10-11,6.0,6.4,6.0,6.25,6.1,2451428.0,147.84
