Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-04-01,34.8,37.9,34.7,37.45,37.3,493878.0,182.19
2015-04-06,37.3,39.0,37.1,38.25,38.3,638640.0,243.16
2015-04-07,38.55,38.7,37.55,37.75,37.85,316119.0,120.43
2015-04-08,38.1,38.9,37.8,38.2,38.3,532508.0,204.43
2015-04-09,38.3,38.5,37.35,37.8,37.85,304794.0,115.51
2015-04-10,38.0,38.3,37.6,37.8,37.9,258066.0,97.78
2015-04-13,38.1,39.75,38.0,39.3,39.5,665824.0,260.01
2015-04-15,39.5,41.0,39.4,39.9,39.75,901931.0,361.83
2015-04-16,39.95,40.8,39.15,39.75,39.8,544197.0,216.65
2015-04-17,39.8,40.2,39.15,39.15,39.3,332119.0,131.55
2015-04-20,38.75,39.7,37.6,38.2,38.15,463551.0,178.25
2015-04-21,38.55,39.45,38.0,38.4,38.4,422708.0,163.41
2015-04-22,38.8,39.45,37.9,38.75,38.7,458297.0,177.29
2015-04-23,39.0,39.35,38.5,38.8,38.8,310203.0,120.69
2015-04-24,38.95,39.05,37.1,38.0,38.35,1116983.0,426.52
2015-04-27,38.4,39.3,37.15,37.35,37.6,705144.0,269.33
2015-04-28,37.3,38.35,37.3,38.0,38.2,366221.0,139.26
2015-04-29,38.3,39.25,38.3,38.75,38.65,492366.0,191.08
2015-04-30,39.0,39.25,38.65,39.2,39.1,467898.0,182.73
2015-05-04,39.5,40.3,38.7,40.0,39.85,597477.0,237.7
2015-05-05,39.9,40.5,38.7,39.25,39.25,706400.0,280.47
2015-05-06,38.15,39.9,37.25,37.6,37.5,670658.0,254.56
2015-05-07,37.1,37.55,35.55,35.6,35.65,407475.0,147.62
2015-05-08,36.0,37.4,35.7,37.2,36.85,331061.0,121.49
2015-05-11,37.35,37.8,37.2,37.5,37.45,203956.0,76.41
2015-05-12,37.55,37.95,36.1,36.5,36.4,396686.0,146.9
2015-05-13,36.7,37.3,36.6,36.9,37.05,137197.0,50.61
2015-05-14,37.15,37.8,36.55,36.9,37.0,171895.0,63.51
2015-05-15,37.3,37.3,36.35,36.35,36.5,171454.0,63.1
2015-05-18,36.65,37.6,36.3,37.0,37.1,232296.0,86.55
2015-05-19,37.3,37.45,36.5,36.8,36.9,252153.0,93.32
2015-05-20,36.8,37.45,36.55,36.85,36.9,178025.0,65.72
2015-05-21,37.05,37.25,36.45,36.45,36.55,107959.0,39.68
2015-05-22,36.8,37.2,36.05,36.6,36.45,251741.0,92.48
2015-05-25,36.45,37.15,36.25,36.25,36.35,262546.0,95.71
2015-05-26,36.2,36.4,35.55,35.6,35.65,216093.0,77.76
2015-05-27,35.45,36.3,35.3,35.9,36.1,203094.0,72.77
2015-05-28,35.4,36.65,35.4,36.35,36.25,204043.0,73.79
2015-05-29,36.0,36.65,35.6,35.85,35.85,238689.0,86.16
2015-06-01,36.0,36.5,35.9,36.4,36.05,212381.0,76.61
2015-06-02,36.3,36.4,35.65,35.95,35.9,203873.0,73.43
2015-06-03,36.0,36.0,32.2,34.5,34.4,534761.0,182.82
2015-06-04,33.75,34.95,33.25,34.55,34.45,184178.0,63.36
2015-06-05,34.55,35.2,34.05,34.65,34.7,216993.0,75.43
2015-06-08,34.7,35.0,34.05,34.2,34.3,210852.0,72.95
2015-06-09,34.3,34.55,34.0,34.15,34.15,134157.0,45.9
2015-06-10,34.15,34.8,34.05,34.8,34.65,207711.0,71.44
2015-06-11,34.45,34.65,32.2,32.85,33.0,377167.0,126.3
2015-06-12,33.5,33.5,32.3,32.6,32.55,343428.0,112.04
2015-06-15,33.05,34.45,32.3,33.2,33.25,272353.0,91.08
2015-06-16,32.5,33.6,32.5,33.0,33.05,134214.0,44.3
2015-06-17,32.65,33.9,32.65,33.7,33.55,167869.0,56.38
2015-06-18,33.7,34.5,33.2,34.5,34.3,180466.0,61.35
2015-06-19,34.7,34.85,34.1,34.2,34.3,200657.0,69.13
2015-06-22,34.9,37.6,34.5,36.75,36.8,695511.0,253.28
2015-06-23,36.55,37.1,36.25,36.65,36.7,217242.0,79.62
2015-06-24,36.5,37.0,35.65,36.0,36.1,192086.0,70.28
2015-06-25,36.0,36.25,35.6,35.95,35.75,130117.0,46.6
2015-06-26,36.2,36.2,35.45,35.65,35.6,203814.0,72.55
2015-06-29,35.4,35.4,33.2,35.1,35.0,278131.0,95.77
2015-06-30,35.4,36.0,34.8,35.3,35.4,226426.0,79.69
2015-07-01,35.8,36.0,35.3,35.5,35.55,166572.0,59.47
2015-07-02,35.9,37.4,35.55,36.5,36.5,446708.0,163.74
2015-07-03,36.15,37.25,36.0,36.15,36.25,239469.0,87.44
2015-07-06,36.45,36.6,35.0,36.4,36.45,179460.0,64.93
2015-07-07,36.1,37.1,36.1,36.75,36.65,312371.0,114.6
2015-07-08,36.9,37.15,35.5,36.45,36.4,377166.0,137.55
2015-07-09,36.85,37.25,35.0,35.55,35.3,425769.0,153.38
2015-07-10,35.95,36.45,35.15,35.55,35.5,294716.0,105.13
2015-07-13,35.6,36.5,35.35,35.8,35.8,283825.0,102.04
2015-07-14,36.2,38.0,36.2,37.6,37.7,839111.0,312.42
2015-07-15,38.0,39.4,37.8,38.1,38.0,665471.0,257.23
2015-07-16,38.5,39.0,37.6,37.8,37.9,406160.0,154.31
2015-07-17,38.85,38.9,38.1,38.4,38.3,360721.0,138.33
2015-07-20,38.5,39.0,38.2,38.6,38.55,341231.0,131.66
2015-07-21,38.75,39.05,36.1,36.9,36.75,933288.0,352.2
2015-07-22,36.8,37.4,36.3,36.9,36.75,559218.0,204.86
2015-07-23,37.0,38.05,36.5,37.8,37.8,453152.0,167.99
2015-07-24,37.7,38.85,37.3,37.4,37.55,284000.0,108.09
2015-07-27,37.8,38.0,37.25,37.35,37.35,369943.0,138.83
2015-07-28,37.25,37.85,37.25,37.55,37.55,287263.0,108.0
2015-07-29,37.55,37.85,35.0,36.85,36.9,352231.0,130.06
2015-07-30,36.0,36.15,35.25,35.7,35.75,306402.0,109.57
2015-07-31,35.9,36.35,35.5,35.6,35.6,204772.0,73.35
2015-08-03,35.6,35.9,34.5,35.1,35.2,250178.0,88.49
2015-08-04,35.6,35.6,34.2,34.9,34.85,316826.0,110.52
2015-08-05,35.3,35.4,33.1,34.3,34.25,541310.0,186.79
2015-08-06,34.85,34.85,33.95,34.4,34.4,290317.0,99.61
2015-08-07,34.5,34.6,33.6,33.65,33.95,374833.0,127.97
2015-08-10,34.0,34.75,33.55,33.95,33.75,461172.0,157.01
2015-08-11,34.0,34.2,33.45,33.8,33.6,198810.0,67.19
2015-08-12,33.85,33.85,32.5,32.9,32.8,350159.0,116.0
2015-08-13,33.5,33.55,32.55,32.75,32.7,247703.0,81.8
2015-08-14,32.55,33.4,32.5,33.05,33.1,250945.0,82.88
2015-08-17,32.8,33.1,32.4,32.9,32.9,250960.0,82.13
2015-08-18,32.95,33.2,32.55,33.15,32.95,115314.0,37.96
2015-08-19,33.0,33.9,32.8,33.15,33.15,273674.0,91.27
2015-08-20,33.15,33.65,32.75,32.85,32.8,229413.0,75.93
2015-08-21,32.5,32.55,32.25,32.5,32.45,236826.0,76.71
2015-08-24,31.9,31.9,26.1,28.0,27.45,1108062.0,325.86
2015-08-25,28.4,30.0,27.3,29.85,29.5,942279.0,268.29
2015-08-26,29.9,31.65,28.75,31.3,31.15,440603.0,134.3
2015-08-27,31.55,32.25,31.45,31.5,31.6,280529.0,88.8
2015-08-28,32.3,32.3,31.2,31.25,31.4,252324.0,79.55
2015-08-31,30.85,32.0,30.8,32.0,31.6,267467.0,84.3
