Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-05-05,70.55,70.55,64.3,64.3,64.3,93.0,0.06
2014-05-06,75.0,75.0,70.0,70.0,70.0,73.0,0.05
2014-05-07,69.99,70.0,69.99,70.0,70.0,200.0,0.14
2014-05-09,70.0,70.0,64.5,64.5,64.5,123.0,0.09
2014-05-12,70.0,70.01,64.16,69.63,69.63,4489.0,3.02
2014-05-13,64.23,69.68,64.23,69.21,69.21,2000.0,1.35
2014-05-14,69.0,72.96,68.96,68.96,68.96,273.0,0.19
2014-05-15,69.1,73.26,69.1,73.26,73.21,1010.0,0.74
2014-05-16,57.29,68.0,57.29,63.84,63.84,389.0,0.22
2014-05-19,68.0,70.0,68.0,70.0,70.0,2.0,0.0
2014-05-20,74.0,74.0,71.98,71.98,71.98,275.0,0.2
2014-05-21,70.71,74.0,70.71,74.0,74.0,18.0,0.01
2014-05-22,74.0,74.0,74.0,74.0,74.0,20.0,0.01
2014-05-23,75.0,75.0,75.0,75.0,75.0,2.0,0.0
2014-05-26,75.0,75.0,72.76,72.76,72.76,21.0,0.02
2014-05-27,72.0,72.0,72.0,72.0,72.0,10.0,0.01
2014-05-28,74.0,74.0,74.0,74.0,74.0,12.0,0.01
2014-05-29,75.0,75.0,75.0,75.0,75.0,2.0,0.0
2014-05-30,74.0,74.0,74.0,74.0,74.0,1.0,0.0
2014-06-02,74.0,75.02,74.0,75.02,75.02,52.0,0.04
2014-06-03,74.0,86.0,71.71,75.89,75.89,652.0,0.48
2014-06-04,76.5,76.5,72.81,76.49,76.49,110.0,0.08
2014-06-05,76.66,76.66,76.66,76.66,76.66,66.0,0.05
2014-06-06,78.04,78.04,78.04,78.04,78.04,30.0,0.02
2014-06-09,79.19,79.19,79.19,79.19,79.19,111.0,0.09
2014-06-10,79.44,79.44,75.15,75.15,75.15,27.0,0.02
2014-06-11,79.34,79.34,78.83,78.83,78.83,10.0,0.01
2014-06-13,79.0,79.0,79.0,79.0,79.0,30.0,0.02
2014-06-16,77.9,77.9,77.9,77.9,77.9,141.0,0.11
2014-06-17,77.89,77.89,77.89,77.89,77.89,100.0,0.08
2014-06-19,78.73,78.73,78.73,78.73,78.73,11.0,0.01
2014-06-20,78.01,78.01,78.01,78.01,78.01,11.0,0.01
2014-06-23,77.69,77.69,77.69,77.69,77.69,11.0,0.01
2014-06-24,89.6,89.6,78.06,78.06,78.06,220.0,0.18
2014-06-25,76.51,76.51,76.45,76.45,76.45,42.0,0.03
2014-06-26,76.29,76.29,76.29,76.29,76.29,20.0,0.02
2014-06-27,76.02,76.02,72.5,72.5,72.5,10.0,0.01
2014-06-30,76.61,76.61,76.61,76.61,76.61,112.0,0.09
2014-07-01,89.96,89.96,73.3,78.4,78.4,254.0,0.2
2014-07-02,85.0,85.0,71.05,75.1,74.97,601.0,0.44
2014-07-03,78.26,78.44,78.0,78.44,78.44,349.0,0.27
2014-07-04,94.1,94.1,73.2,73.25,75.57,714.0,0.56
2014-07-07,84.92,85.0,71.07,82.78,82.78,62.0,0.05
2014-07-08,84.9,84.9,77.76,77.76,77.76,43.0,0.03
2014-07-09,85.0,85.0,85.0,85.0,85.0,11.0,0.01
2014-07-10,84.0,85.0,70.0,73.0,73.0,166.0,0.13
2014-07-11,89.0,89.0,78.0,78.0,78.0,1452.0,1.13
2014-07-14,84.0,85.0,72.0,77.5,77.45,234.0,0.19
2014-07-21,84.0,84.0,75.0,80.0,80.0,44.0,0.04
2014-07-22,86.0,86.0,86.0,86.0,86.0,22.0,0.02
2014-07-23,80.0,80.0,80.0,80.0,80.0,22.0,0.02
2014-07-28,86.0,86.0,78.0,78.0,78.0,162.0,0.13
2014-07-30,78.75,78.75,74.6,74.6,76.64,144.0,0.11
2014-07-31,78.0,79.0,78.0,79.0,79.0,169.0,0.13
2014-08-01,88.0,94.55,77.0,87.95,84.59,300.0,0.25
2014-08-04,87.0,87.0,78.25,78.25,78.25,115.0,0.09
2014-08-05,78.25,84.5,77.51,77.51,77.51,70.0,0.06
2014-08-06,79.5,83.9,79.5,79.6,79.6,50.0,0.04
2014-08-08,79.5,86.88,77.0,80.0,79.83,184.0,0.15
2014-08-11,79.5,87.5,79.5,82.5,82.5,162.0,0.14
2014-08-13,88.88,92.8,82.0,92.8,91.08,70.0,0.06
2014-08-14,90.0,94.0,80.0,89.0,89.0,1582.0,1.31
2014-08-18,82.0,83.0,82.0,82.49,82.49,372.0,0.31
2014-08-19,83.0,83.5,79.1,81.95,81.95,87.0,0.07
2014-08-20,78.1,81.95,78.1,81.95,81.95,12.0,0.01
2014-08-22,92.0,92.0,80.0,82.85,82.85,262.0,0.22
2014-08-25,81.0,83.4,81.0,83.4,83.4,75.0,0.06
2014-08-26,83.3,83.3,83.3,83.3,83.3,43.0,0.04
2014-08-27,82.85,88.0,80.5,80.5,80.5,436.0,0.36
2014-08-28,81.0,82.49,81.0,82.18,82.18,627.0,0.51
2014-09-01,81.95,82.2,68.0,80.5,75.01,3792.0,2.85
2014-09-02,82.55,82.65,82.55,82.65,82.62,8.0,0.01
2014-09-03,82.89,82.89,82.38,82.38,82.38,87.0,0.07
2014-09-04,82.4,82.67,82.38,82.67,82.55,75.0,0.06
2014-09-05,82.46,82.5,82.46,82.5,82.5,33.0,0.03
2014-09-08,82.15,82.45,80.05,81.45,81.45,571.0,0.47
2014-09-09,82.98,83.0,81.9,83.0,83.0,1519.0,1.25
2014-09-10,83.0,83.0,83.0,83.0,83.0,163.0,0.14
2014-09-11,83.0,83.25,82.5,83.25,83.25,914.0,0.76
2014-09-12,82.55,83.25,82.55,83.25,83.25,340.0,0.28
2014-09-15,82.85,83.4,82.4,82.4,82.4,372.0,0.31
2014-09-16,82.2,82.45,82.2,82.45,82.45,129.0,0.11
2014-09-17,80.95,81.25,80.95,81.15,81.15,145.0,0.12
