Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-09-28,849.0,849.0,805.15,824.0,812.45,5318.0,43.49
2006-09-29,820.0,854.8,818.0,830.0,831.6,20743.0,174.47
2006-10-03,832.0,832.5,791.5,791.5,793.85,8258.0,66.51
2006-10-04,802.2,813.95,799.9,808.5,801.6,2760.0,22.26
2006-10-05,815.5,818.0,795.25,796.0,798.0,3771.0,30.4
2006-10-06,802.5,812.95,786.05,792.5,790.7,2310.0,18.42
2006-10-09,761.0,800.0,761.0,789.0,787.65,2235.0,17.68
2006-10-10,776.0,798.5,763.75,763.75,768.0,2249.0,17.5
2006-10-11,772.6,804.0,748.0,748.05,753.55,5543.0,43.18
2006-10-12,774.0,785.0,750.0,780.0,780.85,8411.0,64.51
2006-10-13,785.0,788.0,768.0,769.0,771.15,7336.0,57.16
2006-10-16,780.0,784.0,771.55,776.2,776.55,2364.0,18.36
2006-10-17,771.0,777.95,750.0,750.0,758.0,2677.0,20.39
2006-10-18,769.0,800.0,750.1,779.9,775.95,7750.0,60.64
2006-10-19,788.0,789.0,770.0,772.6,775.95,3632.0,28.35
2006-10-20,783.9,833.0,780.6,800.0,806.15,8720.0,70.72
2006-10-21,824.0,824.0,809.0,819.9,818.5,2971.0,24.24
2006-10-23,838.0,838.0,810.0,821.9,813.75,5633.0,46.08
2006-10-26,832.0,850.0,822.5,835.0,832.3,16710.0,140.25
2006-10-27,850.0,865.9,832.15,841.7,840.95,11591.0,98.29
2006-10-30,845.0,845.0,806.0,818.75,812.9,10433.0,86.44
2006-10-31,820.05,839.5,800.25,813.3,816.7,10978.0,89.93
2006-11-01,821.0,827.95,810.0,810.0,812.4,6485.0,52.92
2006-11-02,815.0,893.65,807.55,893.65,893.65,54098.0,467.82
2006-11-03,938.95,938.95,862.05,870.2,870.6,48548.0,427.42
2006-11-06,870.0,930.0,860.0,893.0,895.35,38729.0,349.58
2006-11-07,905.75,907.4,861.2,865.0,868.05,23724.0,209.48
2006-11-08,870.0,881.0,845.0,850.0,849.1,36077.0,312.14
2006-11-09,857.95,887.0,855.25,870.0,870.85,17460.0,152.31
2006-11-10,878.5,878.9,840.0,840.0,850.5,10001.0,85.68
2006-11-13,858.95,908.0,855.25,864.0,866.2,45042.0,397.65
2006-11-14,874.95,889.0,850.0,853.0,863.55,13840.0,119.7
2006-11-15,856.0,872.5,848.1,859.7,857.05,21657.0,184.8
2006-11-16,860.0,868.0,825.0,831.9,833.3,19905.0,168.8
2006-11-17,840.0,847.8,800.1,802.0,808.2,12231.0,100.56
2006-11-20,808.0,814.1,760.0,792.0,789.55,17323.0,135.61
2006-11-21,799.0,868.55,799.0,855.0,856.35,47567.0,405.51
2006-11-22,865.0,884.5,859.9,880.0,870.1,35404.0,308.3
2006-11-23,890.0,890.0,869.0,877.0,878.05,7291.0,63.99
2006-11-24,887.0,922.0,870.0,894.5,898.05,22582.0,204.13
2006-11-27,905.0,905.0,877.1,880.3,879.5,7539.0,67.33
2006-11-28,874.9,885.0,871.0,883.0,878.65,6187.0,54.28
2006-11-29,896.0,896.0,874.15,879.5,881.4,2902.0,25.6
2006-11-30,899.0,901.0,875.0,877.15,878.1,8467.0,74.66
2006-12-01,876.1,888.95,875.0,877.1,879.55,7140.0,62.83
2006-12-04,894.0,967.55,894.0,954.0,960.35,57130.0,539.3
2006-12-05,978.0,978.0,915.05,920.0,919.6,83610.0,792.82
2006-12-06,910.0,931.8,890.0,893.0,894.5,27762.0,251.79
2006-12-07,894.0,924.9,890.5,902.0,901.75,16273.0,146.73
2006-12-08,912.95,929.95,900.0,904.65,904.4,9383.0,85.37
2006-12-11,904.4,906.0,869.0,876.05,877.45,19266.0,171.16
2006-12-12,887.9,894.85,811.3,842.0,834.4,14615.0,124.27
2006-12-13,836.0,864.95,815.0,855.15,857.4,8368.0,70.34
2006-12-14,820.0,898.75,820.0,886.1,886.35,5406.0,47.67
2006-12-15,920.0,925.0,882.15,890.0,905.7,23784.0,214.5
2006-12-18,903.5,903.5,870.0,878.0,876.6,15800.0,138.68
2006-12-19,875.0,878.0,855.0,855.0,858.2,9215.0,80.04
2006-12-20,869.9,869.9,820.0,856.0,835.0,34949.0,294.57
2006-12-21,830.0,841.8,812.1,820.0,818.0,14233.0,117.03
2006-12-22,820.0,869.9,810.0,835.0,832.3,9811.0,81.56
2006-12-26,845.0,864.9,835.0,846.3,849.0,5771.0,49.31
2006-12-27,853.0,905.0,846.0,898.8,891.75,20769.0,181.55
2006-12-28,899.9,922.0,885.0,904.0,901.35,14314.0,130.04
2006-12-29,910.0,922.0,888.05,908.0,909.65,11988.0,108.91
2007-01-02,915.0,915.0,890.0,890.0,892.0,4294.0,38.81
2007-01-03,915.0,918.0,885.55,918.0,909.0,8883.0,80.61
2007-01-04,916.0,973.95,895.5,945.0,952.8,30770.0,290.44
2007-01-05,956.0,970.0,921.15,930.0,933.15,13843.0,131.67
2007-01-08,939.0,960.0,920.0,935.0,938.15,11729.0,110.11
2007-01-09,944.0,984.0,940.0,950.3,954.15,19051.0,183.93
2007-01-10,955.05,979.0,940.25,945.55,949.1,14259.0,136.72
2007-01-11,960.0,1010.0,956.05,989.9,983.55,9391.0,91.53
2007-01-12,1009.0,1015.85,985.0,1013.0,1002.45,23520.0,235.64
2007-01-15,1025.0,1102.7,1025.0,1102.7,1102.7,42545.0,462.58
2007-01-16,1147.7,1175.0,1087.0,1116.0,1114.05,44741.0,503.03
2007-01-17,1125.05,1174.0,1071.0,1093.0,1099.85,80653.0,905.74
2007-01-18,1110.0,1169.0,1101.6,1110.0,1110.35,44396.0,502.42
2007-01-19,1164.0,1168.0,1086.0,1093.55,1095.55,14544.0,159.89
2007-01-22,1100.05,1114.75,1068.35,1074.05,1073.6,8698.0,94.01
2007-01-23,1070.1,1098.0,1055.3,1070.0,1065.95,7075.0,75.78
2007-01-24,1075.0,1075.0,1051.5,1062.05,1063.7,3793.0,40.28
2007-01-25,1068.05,1095.0,1060.0,1095.0,1087.55,3915.0,42.41
2007-01-29,1096.0,1096.0,1071.1,1082.0,1083.85,16180.0,175.21
2007-01-31,1083.05,1083.05,1071.2,1072.3,1077.65,24769.0,267.58
2007-02-01,1145.0,1180.0,1094.0,1110.0,1110.4,19179.0,213.97
2007-02-02,1121.0,1132.0,1106.0,1116.0,1115.15,15031.0,168.49
2007-02-05,1160.0,1160.0,1056.0,1116.05,1116.65,8598.0,96.59
2007-02-06,1129.8,1130.0,1119.0,1121.0,1120.5,8434.0,94.82
2007-02-07,1143.0,1214.0,1135.0,1190.0,1180.5,28211.0,332.68
2007-02-08,1194.8,1234.1,1171.0,1215.0,1223.2,21668.0,261.57
2007-02-09,1238.8,1238.8,1181.55,1185.0,1189.0,10558.0,127.68
2007-02-12,1155.0,1185.0,1025.5,1094.8,1099.8,10937.0,123.22
2007-02-13,1070.7,1150.0,1070.7,1150.0,1136.15,15280.0,172.15
2007-02-14,1130.0,1158.9,1111.0,1158.9,1146.05,3765.0,42.36
2007-02-15,1194.9,1244.9,1162.05,1214.0,1216.15,12627.0,152.19
2007-02-19,1240.0,1250.0,1179.0,1191.0,1193.5,12292.0,149.07
2007-02-20,1199.0,1200.0,1173.7,1197.0,1181.05,4004.0,47.27
2007-02-21,1190.0,1240.0,1180.0,1219.8,1211.35,5573.0,66.92
2007-02-22,1238.95,1238.95,1175.0,1200.0,1196.55,11201.0,134.46
2007-02-23,1210.0,1218.9,1145.0,1152.0,1154.65,10742.0,125.11
2007-02-26,1219.4,1219.4,1115.0,1181.0,1169.7,8042.0,92.11
2007-02-27,1155.0,1165.0,1052.2,1070.0,1067.6,41976.0,457.37
2007-02-28,855.5,1045.0,855.5,985.15,997.7,52985.0,520.67
