Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,572.0,584.0,572.0,,,,
1998-03-23,578.25,585.0,577.0,585.0,585.0,800.0,4.63
1998-03-24,578.4,586.5,572.25,584.0,573.35,7200.0,41.77
1998-03-25,585.0,594.5,583.0,594.5,590.8,2550.0,15.0
1998-03-26,595.0,598.5,590.0,598.5,598.5,5400.0,32.1
1998-03-27,600.0,605.0,594.5,594.5,596.1,19650.0,117.32
1998-03-30,597.0,600.0,594.0,600.0,597.95,2850.0,17.02
1998-03-31,597.5,599.45,586.0,599.0,596.3,15800.0,94.26
1998-04-01,597.0,598.9,592.0,595.2,595.2,1100.0,6.56
1998-04-02,590.05,597.25,590.0,595.0,595.0,15500.0,92.27
1998-04-03,591.0,596.0,585.0,591.0,591.5,5300.0,31.45
1998-04-06,590.0,590.0,580.0,586.25,586.05,3950.0,23.12
1998-04-07,581.0,587.9,576.25,583.5,583.9,68900.0,403.9
1998-04-09,585.0,585.0,565.0,565.0,567.75,2450.0,14.09
1998-04-10,565.0,565.0,553.0,565.0,565.0,2200.0,12.38
1998-04-13,550.0,550.0,516.0,517.0,525.35,1750.0,9.36
1998-04-15,550.0,563.0,545.0,550.0,552.25,6650.0,36.95
1998-04-16,558.0,560.0,541.0,557.5,556.9,7200.0,39.75
1998-04-17,550.0,550.05,545.5,549.0,549.0,2050.0,11.27
1998-04-20,550.0,550.0,544.0,549.5,549.15,7750.0,42.52
1998-04-21,536.5,542.5,536.5,540.55,540.9,6400.0,34.58
1998-04-22,545.0,552.0,540.1,540.1,541.2,1750.0,9.53
1998-04-23,530.1,534.0,523.0,531.0,531.9,6950.0,36.93
1998-04-24,530.9,532.95,520.0,531.0,531.0,1550.0,8.19
1998-04-27,500.0,532.0,500.0,530.5,530.5,2850.0,14.94
1998-04-28,520.0,522.9,502.1,509.0,505.1,2350.0,12.08
1998-04-29,520.0,528.0,520.0,528.0,527.15,3450.0,18.06
1998-04-30,525.0,533.45,525.0,530.0,530.0,1300.0,6.86
1998-05-04,540.0,540.0,525.1,538.2,538.9,12500.0,66.9
1998-05-05,535.0,548.95,535.0,540.25,541.3,3150.0,16.99
1998-05-06,535.0,540.0,535.0,539.0,539.0,400.0,2.15
1998-05-08,535.0,535.0,505.0,523.25,524.1,950.0,4.96
1998-05-11,505.0,525.0,505.0,515.0,516.05,1400.0,7.23
1998-05-12,522.5,522.5,500.0,508.55,508.45,7100.0,36.03
1998-05-13,514.0,515.0,507.0,511.5,510.15,3900.0,19.91
1998-05-14,500.0,530.35,500.0,525.0,525.0,4150.0,21.54
1998-05-15,529.5,529.5,517.0,520.0,520.0,20950.0,109.28
1998-05-18,534.0,534.0,514.1,522.0,522.0,3150.0,16.47
1998-05-19,521.2,521.9,518.05,518.8,519.85,14100.0,73.46
1998-05-20,525.05,525.05,517.0,520.0,520.0,1950.0,10.14
1998-05-21,517.0,522.0,513.5,522.0,519.85,2000.0,10.34
