Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2004-09-24,25.0,26.95,22.6,23.8,23.75,16930372.0,4053.3
2004-09-27,24.0,24.0,22.5,22.8,22.85,3621350.0,831.89
2004-09-28,22.5,23.45,22.05,22.1,22.15,2290600.0,518.66
2004-09-29,22.1,23.5,22.1,23.45,23.2,2686927.0,615.99
2004-09-30,23.5,23.75,23.1,23.35,23.4,1597220.0,373.7
2004-10-01,23.35,24.95,22.5,24.75,24.55,2591134.0,622.16
2004-10-04,24.8,26.75,24.15,26.6,25.7,3864897.0,975.18
2004-10-05,26.2,28.3,25.3,27.65,27.8,6188353.0,1686.96
2004-10-06,28.0,29.3,27.5,27.55,27.6,3616139.0,1029.2
2004-10-07,27.9,30.0,27.75,29.35,29.35,4313866.0,1254.03
2004-10-08,29.7,31.5,29.3,31.45,31.35,5374749.0,1638.05
2004-10-09,31.25,32.25,31.0,31.9,31.95,2857296.0,913.28
2004-10-11,35.8,35.8,31.3,31.8,31.55,6491444.0,2119.24
2004-10-12,33.45,33.45,30.5,30.8,30.9,3081350.0,954.21
2004-10-14,30.0,31.0,29.2,29.95,29.9,1560185.0,467.83
2004-10-15,30.25,30.45,27.75,28.4,28.2,2452247.0,706.43
2004-10-18,28.45,29.25,27.75,28.2,28.0,1637491.0,465.42
2004-10-19,28.0,28.7,27.5,28.65,28.45,1100419.0,310.23
2004-10-20,28.5,28.7,28.0,28.0,28.05,552949.0,156.37
2004-10-21,28.4,29.7,28.1,29.3,29.1,1681665.0,490.87
2004-10-25,29.25,29.45,28.0,29.0,29.0,2744311.0,792.77
2004-10-26,29.2,32.0,28.75,31.85,31.3,2090746.0,632.29
2004-10-27,32.1,32.8,30.75,31.2,31.25,2074681.0,661.92
2004-10-28,31.85,32.8,31.35,32.35,32.4,2550879.0,820.28
2004-10-29,33.95,33.95,31.2,32.75,32.7,1860631.0,607.25
2004-11-01,32.55,32.95,32.1,32.25,32.35,648100.0,210.85
2004-11-02,32.45,33.0,32.05,32.1,32.2,593570.0,193.08
2004-11-03,32.35,32.65,31.5,31.65,31.7,501239.0,160.83
2004-11-04,31.75,33.15,31.75,32.75,32.55,1495204.0,488.58
2004-11-05,32.8,35.35,32.55,34.75,34.9,4030754.0,1376.02
2004-11-08,35.1,35.7,33.2,33.3,33.45,799742.0,271.63
2004-11-09,33.4,34.0,33.0,33.3,33.5,441007.0,148.08
2004-11-10,33.65,34.2,33.05,33.5,33.45,572183.0,192.33
2004-11-11,33.7,34.2,33.25,33.4,33.55,297459.0,99.94
2004-11-12,34.0,34.25,33.05,33.05,33.2,142102.0,47.57
2004-11-16,33.25,33.9,33.15,33.9,33.7,235062.0,78.9
2004-11-17,33.75,35.0,33.5,34.65,34.75,977027.0,337.49
2004-11-18,34.95,38.35,34.3,37.2,37.7,3253213.0,1213.18
2004-11-19,37.85,37.95,35.8,37.7,36.75,923247.0,342.45
2004-11-22,36.5,37.9,33.6,37.75,37.4,426636.0,158.46
2004-11-23,37.0,39.25,37.0,38.7,38.7,620740.0,240.52
2004-11-24,38.95,40.5,38.25,40.1,39.95,1100011.0,435.33
2004-11-25,40.0,40.65,38.55,39.1,38.95,551022.0,218.87
2004-11-29,38.2,40.5,38.2,40.15,40.15,333243.0,133.46
2004-11-30,40.5,43.0,40.5,41.65,41.75,5116229.0,2097.48
2004-12-01,43.6,50.1,42.4,50.1,49.55,4151001.0,1960.7
2004-12-02,51.0,59.15,51.0,56.75,56.15,6307838.0,3562.96
2004-12-03,57.8,67.4,56.5,67.4,67.3,7858318.0,5000.93
2004-12-06,69.5,74.05,61.65,63.65,62.9,11627471.0,8017.16
2004-12-07,64.0,69.2,62.05,69.2,68.1,7721669.0,5137.92
2004-12-08,70.0,74.95,70.0,74.95,74.85,7574697.0,5527.19
2004-12-09,77.7,82.35,75.6,82.35,81.1,9983953.0,8003.01
2004-12-10,84.8,89.25,82.0,89.25,89.25,8813314.0,7690.75
2004-12-13,89.25,93.75,89.25,93.75,93.75,5211958.0,4866.98
