Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,36.6,37.75,36.5,,,,
1998-03-24,36.75,37.0,35.6,35.6,35.95,1750.0,0.64
1998-03-25,35.75,35.75,35.3,35.3,35.6,18500.0,6.58
1998-03-26,37.0,38.5,35.3,36.0,36.0,14600.0,5.37
1998-03-27,35.65,37.0,35.25,36.0,36.0,3300.0,1.18
1998-03-30,35.85,38.9,35.3,36.0,36.0,10100.0,3.75
1998-03-31,36.35,36.35,32.4,34.0,33.85,36400.0,12.36
1998-04-01,34.3,37.25,34.3,37.25,37.25,4550.0,1.67
1998-04-02,38.0,39.35,37.0,37.5,37.5,4950.0,1.86
1998-04-03,37.4,38.55,37.25,37.5,37.5,4600.0,1.74
1998-04-06,38.0,39.0,37.4,39.0,38.5,1600.0,0.61
1998-04-07,38.5,39.0,38.0,38.65,38.3,4550.0,1.75
1998-04-09,40.9,42.15,40.0,42.15,42.15,15750.0,6.58
1998-04-10,46.0,46.0,43.0,43.05,43.25,9200.0,4.08
1998-04-13,43.5,44.95,42.0,42.55,42.55,4900.0,2.1
1998-04-15,43.25,46.7,42.15,43.75,43.35,13100.0,5.85
1998-04-16,44.0,44.0,42.0,42.0,42.05,12350.0,5.28
1998-04-17,38.25,43.75,38.25,43.75,43.75,4750.0,2.01
1998-04-20,43.0,43.0,40.0,42.0,42.0,5200.0,2.19
1998-04-21,42.1,42.1,41.2,41.2,41.2,1350.0,0.57
1998-04-22,42.1,44.25,41.95,42.5,42.1,2450.0,1.05
1998-04-23,40.05,40.05,38.5,38.5,38.7,2300.0,0.9
1998-04-24,36.55,39.4,36.55,39.4,39.4,1000.0,0.38
1998-04-27,40.8,40.8,38.6,38.7,38.7,750.0,0.3
1998-04-28,38.0,38.5,35.75,35.75,35.95,1450.0,0.54
1998-04-29,37.25,37.25,35.6,35.6,35.6,1500.0,0.55
1998-04-30,36.0,36.95,35.8,35.8,36.35,700.0,0.25
1998-05-04,37.9,38.0,36.75,38.0,38.0,800.0,0.3
1998-05-05,39.0,39.0,37.0,37.5,38.3,2150.0,0.81
1998-05-06,39.5,39.5,35.5,35.5,35.6,2600.0,0.96
1998-05-08,38.0,38.0,36.25,36.5,36.5,4500.0,1.64
1998-05-11,36.6,36.75,36.5,36.7,36.7,650.0,0.24
1998-05-12,34.0,36.9,34.0,35.3,35.3,2650.0,0.95
1998-05-13,36.25,38.0,36.25,38.0,38.0,1950.0,0.72
1998-05-14,38.0,40.0,38.0,40.0,39.95,2750.0,1.09
1998-05-15,38.0,40.0,37.55,40.0,39.5,2900.0,1.12
1998-05-18,38.95,40.85,38.0,40.85,40.55,2000.0,0.8
1998-05-19,38.1,41.0,38.1,41.0,39.25,750.0,0.29
1998-05-20,40.0,43.0,40.0,43.0,41.6,1200.0,0.5
