Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-09-14,75.0,124.0,58.95,117.5,113.65,48415594.0,43842.82
2007-09-17,120.0,135.0,120.0,131.5,130.55,14840899.0,19196.78
2007-09-18,133.0,144.0,128.0,137.2,136.6,12035220.0,16286.15
2007-09-19,142.0,147.5,135.35,136.5,138.3,8580431.0,12093.92
2007-09-20,138.0,139.3,125.0,127.9,127.95,3272732.0,4253.46
2007-09-21,127.0,128.25,120.8,121.6,121.75,1557971.0,1931.52
2007-09-24,124.0,131.95,122.0,127.5,127.55,1804665.0,2300.63
2007-09-25,127.8,127.8,121.1,122.35,122.2,374188.0,463.08
2007-09-26,124.0,124.0,112.25,114.0,113.7,482844.0,564.58
2007-09-27,114.25,116.4,111.0,112.55,112.8,481067.0,545.47
2007-09-28,113.3,120.0,102.1,115.55,114.95,1247954.0,1392.13
2007-10-01,119.9,134.0,116.0,125.4,125.1,1957538.0,2484.67
2007-10-03,126.0,136.4,124.0,131.5,131.1,1578820.0,2070.86
2007-10-04,129.4,149.0,127.0,143.85,142.7,3652045.0,5236.2
2007-10-05,148.7,156.0,140.25,142.1,145.85,2124910.0,3197.95
2007-10-08,149.0,149.9,133.1,133.95,135.85,793780.0,1121.2
2007-10-09,130.0,147.0,126.1,146.75,145.05,1376605.0,1925.68
2007-10-10,146.0,173.0,146.0,158.25,157.65,2823198.0,4441.76
2007-10-11,163.4,179.0,159.0,171.75,170.1,1663932.0,2812.48
2007-10-12,169.9,185.0,166.8,169.35,169.3,1182842.0,2046.16
2007-10-15,171.85,195.0,169.8,192.1,189.75,2539764.0,4704.72
2007-10-16,185.0,211.8,185.0,206.0,205.7,3153193.0,6435.31
2007-10-17,187.0,209.95,185.35,199.9,197.95,1443653.0,2862.79
2007-10-18,201.0,217.75,182.3,184.1,196.85,2418324.0,5095.71
2007-10-19,184.9,190.0,177.2,177.2,177.55,691752.0,1256.46
2007-10-22,168.0,182.4,161.65,174.3,174.45,692440.0,1220.63
2007-10-23,180.0,191.0,178.1,191.0,187.3,516179.0,957.83
2007-10-24,193.4,195.0,184.05,185.6,185.6,563460.0,1071.56
2007-10-25,186.0,197.1,181.0,183.0,183.25,980316.0,1853.35
2007-10-26,185.1,191.4,182.0,185.7,184.6,378044.0,704.11
2007-10-29,187.95,191.85,179.0,179.8,180.2,645157.0,1182.98
2007-10-30,182.6,182.65,164.0,172.05,173.0,319472.0,557.92
2007-10-31,173.5,186.5,165.2,168.5,169.4,903292.0,1579.49
2007-11-01,172.95,176.8,156.0,158.9,158.8,453038.0,768.74
2007-11-02,155.0,174.0,152.0,165.0,165.05,536272.0,874.76
2007-11-05,163.75,180.0,159.25,162.0,161.5,623666.0,1048.12
2007-11-06,163.9,169.95,155.1,156.4,157.15,308060.0,499.14
2007-11-07,158.0,161.0,144.25,151.65,150.05,288902.0,438.16
2007-11-08,145.0,149.0,141.25,143.9,143.5,185605.0,269.08
2007-11-09,147.0,149.0,144.15,146.3,145.45,40849.0,59.64
2007-11-12,140.0,144.9,130.0,140.05,140.85,122278.0,171.2
2007-11-13,142.5,149.0,141.5,147.5,147.2,138590.0,201.99
2007-11-14,153.7,157.0,152.0,155.0,155.45,250701.0,387.88
2007-11-15,155.6,174.0,154.35,163.25,163.9,258521.0,423.89
2007-11-16,164.0,169.0,159.2,164.0,163.15,135910.0,223.49
2007-11-19,168.9,185.0,160.0,164.2,163.6,106864.0,177.2
2007-11-20,164.0,165.35,155.1,157.05,158.3,90169.0,144.51
2007-11-21,159.0,159.0,140.5,149.9,144.9,84366.0,127.32
2007-11-22,146.9,146.9,122.8,139.0,137.45,86379.0,119.48
2007-11-23,146.0,150.4,140.0,144.2,145.7,72214.0,104.27
