Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-08-20,6.65,6.65,6.65,6.65,6.65,755.0,0.05
2013-08-21,6.35,6.35,6.35,6.35,6.35,10.0,0.0
2013-08-23,6.05,6.05,6.05,6.05,6.05,5.0,0.0
2013-08-26,5.75,5.75,5.75,5.75,5.75,100.0,0.01
2013-08-28,5.5,5.5,5.5,5.5,5.5,10.0,0.0
2013-08-29,5.25,5.25,5.25,5.25,5.25,1.0,0.0
2013-10-01,5.0,5.0,5.0,5.0,5.0,600.0,0.03
2013-10-03,4.75,4.75,4.75,4.75,4.75,505.0,0.02
2013-10-04,4.55,4.55,4.55,4.55,4.55,1000.0,0.05
2013-10-07,4.35,4.35,4.35,4.35,4.35,1050.0,0.05
2013-10-11,4.15,4.35,4.15,4.35,4.35,2.0,0.0
2013-10-14,4.15,4.15,4.15,4.15,4.15,500.0,0.02
2013-10-15,3.95,3.95,3.95,3.95,3.95,1301.0,0.05
2013-10-17,3.8,3.8,3.8,3.8,3.8,2005.0,0.08
2013-10-18,3.65,3.95,3.65,3.9,3.9,2340.0,0.09
2013-10-21,4.0,4.0,4.0,4.0,4.0,2.0,0.0
2013-10-22,3.8,4.05,3.8,4.05,4.05,2002.0,0.08
2013-10-23,3.85,3.85,3.85,3.85,3.85,10.0,0.0
2013-10-24,3.7,3.7,3.7,3.7,3.7,2.0,0.0
2013-10-25,3.55,3.55,3.55,3.55,3.55,2750.0,0.1
2013-10-28,3.4,3.4,3.4,3.4,3.4,3036.0,0.1
2013-10-29,3.3,3.5,3.25,3.25,3.25,15916.0,0.52
2013-10-30,3.1,3.1,3.1,3.1,3.1,2000.0,0.06
2013-10-31,2.95,2.95,2.95,2.95,2.95,5800.0,0.17
2013-11-01,3.0,3.0,2.9,2.95,2.95,433.0,0.01
2013-11-05,2.9,2.9,2.85,2.85,2.85,19803.0,0.57
2013-11-06,2.75,2.8,2.75,2.75,2.75,44427.0,1.23
2013-11-07,2.65,2.85,2.65,2.65,2.65,19612.0,0.52
2013-11-08,2.6,2.6,2.6,2.6,2.6,25.0,0.0
2013-11-11,2.6,2.6,2.6,2.6,2.6,16005.0,0.42
2013-11-12,2.6,2.6,2.5,2.5,2.5,555.0,0.01
2013-11-13,2.6,2.6,2.4,2.5,2.5,20220.0,0.51
2013-11-14,2.6,2.6,2.4,2.45,2.45,15268.0,0.37
2013-11-18,2.5,2.5,2.45,2.5,2.5,33574.0,0.84
2013-11-19,2.6,2.6,2.6,2.6,2.6,1.0,0.0
2013-11-20,2.7,2.7,2.7,2.7,2.7,748.0,0.02
2013-11-22,2.8,2.8,2.8,2.8,2.8,743.0,0.02
2013-11-25,2.7,2.9,2.7,2.7,2.7,1053.0,0.03
2013-11-26,2.6,2.6,2.6,2.6,2.6,1.0,0.0
2013-11-27,2.5,2.5,2.5,2.5,2.5,348.0,0.01
2013-11-29,2.5,2.55,2.5,2.55,2.55,1222.0,0.03
2013-12-02,2.55,2.55,2.5,2.5,2.5,1025.0,0.03
2013-12-03,2.6,2.6,2.6,2.6,2.6,268.0,0.01
2013-12-04,2.7,2.7,2.7,2.7,2.7,58.0,0.0
2013-12-05,2.8,2.8,2.8,2.8,2.8,4809.0,0.13
2013-12-09,2.9,2.9,2.9,2.9,2.9,700.0,0.02
2013-12-10,2.8,2.8,2.8,2.8,2.8,2014.0,0.06
2013-12-11,2.7,2.8,2.7,2.8,2.8,978.0,0.03
2013-12-12,2.8,2.8,2.8,2.8,2.8,2500.0,0.07
2013-12-19,2.8,2.8,2.7,2.7,2.7,8.0,0.0
2013-12-20,2.6,2.6,2.6,2.6,2.6,100.0,0.0
2013-12-27,2.65,2.65,2.65,2.65,2.65,250.0,0.01
2014-01-01,2.65,2.65,2.65,2.65,2.65,200.0,0.01
2014-01-06,2.65,2.65,2.65,2.65,2.65,101.0,0.0
2014-01-09,2.4,2.4,2.4,2.4,2.4,100.0,0.0
2014-01-10,2.2,2.3,2.2,2.3,2.3,1135.0,0.03
2014-01-13,2.5,2.5,2.5,2.5,2.5,1295.0,0.03
2014-01-14,2.3,2.3,2.3,2.3,2.3,25.0,0.0
2014-01-16,2.3,2.3,2.1,2.2,2.2,1709.0,0.04
2014-01-17,2.2,2.2,2.2,2.2,2.2,4.0,0.0
2014-01-21,2.4,2.4,2.4,2.4,2.4,516.0,0.01
2014-01-22,2.25,2.25,2.25,2.25,2.25,400.0,0.01
2014-01-23,2.25,2.45,2.2,2.2,2.2,945.0,0.02
2014-01-27,2.0,2.05,2.0,2.05,2.05,3144.0,0.06
2014-01-30,1.95,1.95,1.95,1.95,1.95,525.0,0.01
2014-02-04,2.1,2.1,2.1,2.1,2.1,348.0,0.01
2014-02-05,1.9,2.1,1.9,2.1,2.1,466.0,0.01
2014-02-06,1.9,2.1,1.9,2.1,2.1,774.0,0.02
2014-02-07,1.9,1.9,1.9,1.9,1.9,66.0,0.0
2014-02-10,1.9,1.9,1.75,1.75,1.75,200.0,0.0
2014-02-12,1.85,1.85,1.85,1.85,1.85,43.0,0.0
2014-02-19,1.8,1.8,1.8,1.8,1.8,200.0,0.0
2014-02-28,1.75,1.75,1.75,1.75,1.75,2500.0,0.04
2014-03-11,1.6,1.6,1.6,1.6,1.6,10.0,0.0
2014-03-12,1.5,1.5,1.45,1.45,1.45,11115.0,0.16
2014-03-13,1.35,1.35,1.35,1.35,1.35,1715.0,0.02
2014-03-14,1.3,1.3,1.3,1.3,1.3,70.0,0.0
2014-03-18,1.25,1.3,1.25,1.25,1.25,1062.0,0.01
2014-03-27,1.25,1.25,1.25,1.25,1.25,20.0,0.0
2014-03-28,1.25,1.3,1.2,1.2,1.2,1330.0,0.02
2014-03-31,1.2,1.2,1.2,1.2,1.2,1650.0,0.02
2014-04-01,1.2,1.2,1.2,1.2,1.2,500.0,0.01
2014-04-03,1.25,1.25,1.25,1.25,1.25,133.0,0.0
2014-04-04,1.3,1.3,1.3,1.3,1.3,72.0,0.0
2014-04-07,1.35,1.35,1.35,1.35,1.35,83.0,0.0
2014-04-09,1.4,1.4,1.4,1.4,1.4,17.0,0.0
2014-04-10,1.35,1.45,1.35,1.45,1.45,5140.0,0.07
2014-04-11,1.45,1.45,1.45,1.45,1.45,400.0,0.01
2014-08-08,2.25,2.25,2.25,2.25,2.25,100.0,0.0
2014-08-11,2.15,2.15,2.15,2.15,2.15,500.0,0.01
2014-08-13,2.25,2.25,2.25,2.25,2.25,3026.0,0.07
2014-08-14,2.15,2.15,2.15,2.15,2.15,130.0,0.0
2014-08-18,2.25,2.25,2.25,2.25,2.25,166.0,0.0
2014-08-19,2.35,2.35,2.35,2.35,2.35,875.0,0.02
2014-08-20,2.25,2.25,2.25,2.25,2.25,291.0,0.01
2014-08-21,2.15,2.2,2.15,2.2,2.2,225.0,0.0
2014-08-22,2.1,2.2,2.1,2.2,2.2,109.0,0.0
2014-08-25,2.2,2.2,2.1,2.1,2.1,1000.0,0.02
2014-08-26,2.0,2.0,2.0,2.0,2.0,4571.0,0.09
2014-08-28,1.95,1.95,1.95,1.95,1.95,603.0,0.01
2014-09-01,2.0,2.0,2.0,2.0,2.0,300.0,0.01
2014-09-02,1.9,1.9,1.9,1.9,1.9,85.0,0.0
2014-09-05,1.95,1.95,1.8,1.8,1.8,60.0,0.0
2014-09-08,1.95,1.95,1.85,1.85,1.85,316.0,0.01
2014-09-09,1.7,2.0,1.7,1.8,1.8,2302.0,0.05
2014-09-10,1.95,1.95,1.95,1.95,1.95,1300.0,0.03
2014-09-12,2.1,2.1,2.1,2.1,2.1,200.0,0.0
2014-09-15,2.2,2.2,2.2,2.2,2.2,68.0,0.0
2014-09-16,2.3,2.3,2.3,2.3,2.3,1775.0,0.04
2014-09-17,2.2,2.25,2.2,2.25,2.25,31.0,0.0
2014-09-18,2.35,2.35,2.35,2.35,2.35,51.0,0.0
2014-09-19,2.35,2.45,2.35,2.45,2.45,781.0,0.02
2014-09-23,2.45,2.45,2.45,2.45,2.45,117.0,0.0
2014-09-24,2.4,2.4,2.4,2.4,2.4,25.0,0.0
2014-09-29,2.5,2.5,2.5,2.5,2.5,1051.0,0.03
2014-09-30,2.6,2.6,2.6,2.6,2.6,63.0,0.0
2014-10-01,2.7,2.7,2.7,2.7,2.7,50.0,0.0
2014-10-07,2.8,2.8,2.8,2.8,2.8,50.0,0.0
2014-10-08,2.9,2.9,2.9,2.9,2.9,500.0,0.01
2014-10-09,3.0,3.0,3.0,3.0,3.0,37.0,0.0
2015-01-13,2.85,2.85,2.85,2.85,2.85,1001.0,0.03
2015-02-20,2.75,2.85,2.75,2.85,2.85,1000.0,0.03
2015-02-26,2.75,2.75,2.75,2.75,2.75,2250.0,0.06
2015-03-09,2.85,2.85,2.8,2.8,2.8,100002.0,2.85
2015-04-09,2.5,2.5,2.5,2.5,2.5,850.0,0.02
2015-04-10,2.4,2.4,2.4,2.4,2.4,100.0,0.0
2015-04-13,2.35,2.35,2.35,2.35,2.35,85.0,0.0
2015-04-17,2.25,2.25,2.25,2.25,2.25,200.0,0.0
2015-04-20,2.15,2.15,2.15,2.15,2.15,1005.0,0.02
2015-04-21,2.05,2.05,2.05,2.05,2.05,44.0,0.0
2015-04-22,2.0,2.05,2.0,2.05,2.05,580.0,0.01
2015-05-05,2.1,2.1,2.1,2.1,2.1,15.0,0.0
2015-05-06,2.0,2.0,2.0,2.0,2.0,500.0,0.01
2015-05-25,1.9,1.9,1.9,1.9,1.9,100.0,0.0
2015-05-26,1.85,1.95,1.85,1.95,1.95,700.0,0.01
2015-05-27,2.0,2.0,1.9,1.9,1.9,109.0,0.0
2015-05-28,1.9,1.9,1.9,1.9,1.9,3.0,0.0
2015-06-09,1.85,1.95,1.85,1.85,1.85,10000.0,0.19
2015-06-12,1.8,1.8,1.8,1.8,1.8,25.0,0.0
2015-06-15,1.8,1.8,1.8,1.8,1.8,1.0,0.0
2015-06-17,1.85,1.85,1.85,1.85,1.85,1.0,0.0
2015-06-30,1.8,1.8,1.8,1.8,1.8,10.0,0.0
2015-07-07,1.75,1.8,1.75,1.8,1.75,2000.0,0.04
2015-07-08,1.8,1.8,1.7,1.7,1.7,1001.0,0.02
2015-07-10,1.7,1.7,1.7,1.7,1.7,300.0,0.01
