Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-01-02,89.1,94.95,88.3,89.6,88.95,3443300.0,3148.48
2015-01-05,89.7,93.45,88.35,92.5,91.65,2042183.0,1861.48
2015-01-06,89.9,90.55,86.0,86.0,86.3,1677334.0,1473.38
2015-01-07,86.95,90.65,85.4,89.8,89.45,1753030.0,1546.28
2015-01-08,90.9,100.5,89.15,96.8,96.9,6383300.0,6140.56
2015-01-09,97.9,116.25,97.6,116.25,115.7,12384277.0,13392.13
2015-01-12,118.0,134.4,113.4,126.75,129.95,17485970.0,21724.86
2015-01-13,126.9,131.2,118.35,120.9,120.9,7496775.0,9404.57
2015-01-14,122.0,124.75,114.45,117.7,117.65,3273143.0,3897.63
2015-01-15,119.25,124.45,116.35,119.1,119.95,2757082.0,3351.54
2015-01-16,119.1,128.7,117.35,126.95,126.95,4167583.0,5196.25
2015-01-19,127.85,130.9,124.15,124.15,124.95,1653672.0,2108.11
2015-01-20,125.0,125.7,119.5,120.85,121.2,1143884.0,1397.27
2015-01-21,121.25,123.65,117.0,118.2,117.9,1090967.0,1302.5
2015-01-22,118.45,121.95,116.5,117.2,117.1,1135497.0,1355.51
2015-01-23,119.0,119.6,109.8,111.0,111.25,1194355.0,1351.37
2015-01-27,112.1,122.35,106.2,122.35,122.35,1917741.0,2233.29
2015-01-28,124.65,127.0,113.65,114.85,114.95,2160614.0,2615.36
2015-01-29,114.8,120.2,113.55,114.75,115.0,1449995.0,1697.92
2015-01-30,116.35,117.7,106.6,109.0,108.6,1522538.0,1703.15
2015-02-02,110.0,119.45,108.3,118.8,118.65,2508274.0,2934.3
2015-02-03,119.5,120.65,113.8,115.0,116.65,1053927.0,1229.42
2015-02-04,117.5,119.85,114.0,114.6,115.2,1209673.0,1410.71
2015-02-05,115.95,121.0,113.25,114.75,114.75,1666877.0,1968.02
2015-02-06,115.85,117.25,112.5,113.15,113.2,1082292.0,1239.95
2015-02-09,112.0,114.35,107.6,108.05,108.1,682655.0,756.64
2015-02-10,107.0,111.9,103.75,104.5,104.55,786834.0,844.61
2015-02-11,105.7,107.9,98.35,101.0,100.75,1574190.0,1609.93
2015-02-12,101.0,107.0,101.0,105.8,105.45,1209151.0,1267.53
2015-02-13,106.4,110.8,105.6,107.5,107.05,994461.0,1074.75
2015-02-16,107.75,110.6,106.1,107.75,107.0,779597.0,843.92
2015-02-18,107.95,109.3,105.0,106.15,105.65,775607.0,830.18
2015-02-19,105.65,115.9,105.15,113.95,114.25,2444722.0,2736.62
2015-02-20,113.9,118.4,110.5,113.6,113.6,2026139.0,2330.09
2015-02-23,114.55,118.0,112.1,113.35,113.05,1055318.0,1213.96
2015-02-24,113.05,115.9,109.1,110.5,110.65,684039.0,768.39
2015-02-25,110.85,112.6,109.1,111.75,110.85,747798.0,828.65
2015-02-26,111.15,111.15,105.4,106.3,106.2,698947.0,754.47
2015-02-27,106.2,109.35,106.0,107.15,107.35,487210.0,523.73
2015-02-28,107.15,110.85,103.4,109.0,108.85,650337.0,698.71
2015-03-02,109.1,121.7,106.4,120.0,120.05,2816800.0,3286.11
2015-03-03,120.15,123.9,116.6,119.7,119.65,2028873.0,2452.87
2015-03-04,120.95,121.9,113.05,113.5,113.75,795523.0,933.29
2015-03-05,113.8,117.2,112.55,117.1,115.15,742828.0,851.4
2015-03-09,115.4,121.8,114.75,115.0,115.45,908910.0,1070.65
2015-03-10,116.0,124.9,116.0,120.0,119.5,2511763.0,3033.48
2015-03-11,120.7,123.75,119.0,120.5,120.15,1331379.0,1615.52
2015-03-12,121.4,123.05,119.0,119.75,119.95,796957.0,963.57
2015-03-13,120.75,121.7,114.2,115.8,115.1,949615.0,1112.38
2015-03-16,115.1,116.35,111.4,112.9,112.95,536730.0,610.11
2015-03-17,113.95,115.8,112.1,113.9,113.85,400897.0,456.93
2015-03-18,114.5,114.5,112.6,112.75,113.0,315535.0,357.65
2015-03-19,114.05,118.5,113.7,114.4,114.35,869802.0,1009.03
2015-03-20,114.35,115.0,110.05,113.9,114.1,821729.0,928.98
2015-03-23,114.9,114.9,107.1,107.95,108.2,630114.0,690.61
2015-03-24,108.0,110.4,105.3,105.55,105.9,439453.0,473.4
2015-03-25,106.4,108.7,103.1,103.25,103.8,478957.0,503.54
2015-03-26,103.0,104.45,101.05,101.6,101.95,464030.0,477.23
2015-03-27,102.2,103.9,97.1,102.1,102.05,987904.0,996.71
2015-03-30,103.55,106.75,102.9,106.4,105.9,658713.0,691.79
2015-03-31,106.1,108.6,103.55,107.0,107.2,500907.0,536.0
2015-04-01,107.4,111.5,106.0,110.1,110.55,671780.0,733.35
2015-04-06,110.85,112.8,108.8,110.7,110.5,486253.0,539.36
2015-04-07,111.4,111.4,107.8,108.6,109.15,406428.0,443.74
2015-04-08,110.4,119.95,109.25,118.85,118.45,1953492.0,2264.89
2015-04-09,119.45,121.8,115.5,120.5,119.55,1697514.0,2024.62
2015-04-10,119.75,139.7,119.75,137.8,137.7,6177591.0,8153.76
2015-04-13,137.65,141.65,133.2,135.25,134.55,2160885.0,2977.61
2015-04-15,134.95,143.3,130.75,134.0,135.05,3087412.0,4260.71
2015-04-16,135.0,136.65,129.5,133.6,133.25,1349971.0,1791.4
2015-04-17,133.0,140.45,131.4,134.5,134.0,1748058.0,2381.42
2015-04-20,134.0,136.45,123.5,126.15,125.95,1118262.0,1456.58
2015-04-21,127.0,133.5,125.0,129.3,129.3,1074222.0,1392.06
2015-04-22,130.15,133.0,125.0,128.5,129.1,874244.0,1131.97
2015-04-23,130.3,132.0,126.5,127.8,127.45,578705.0,747.71
2015-04-24,128.0,128.15,117.7,120.9,120.0,632757.0,777.07
2015-04-27,120.9,123.6,109.3,110.0,110.45,669831.0,764.42
2015-04-28,106.2,109.9,101.6,107.6,108.5,998583.0,1064.44
2015-04-29,108.0,115.15,107.05,111.25,111.85,746975.0,835.25
2015-04-30,110.0,115.6,109.95,115.0,113.5,410172.0,461.74
2015-05-04,114.1,117.6,114.1,115.6,116.1,363124.0,420.95
2015-05-05,116.5,119.4,115.0,116.3,116.2,422729.0,495.42
2015-05-06,115.9,116.9,107.1,107.7,107.45,519015.0,571.74
2015-05-07,107.0,109.55,105.0,107.0,106.85,474242.0,507.15
2015-05-08,109.2,113.4,108.8,109.6,109.65,422294.0,469.18
2015-05-11,111.35,112.7,109.0,110.2,110.05,235221.0,260.39
2015-05-12,109.25,111.15,106.5,107.1,106.95,296447.0,320.6
2015-05-13,107.75,110.7,106.8,108.95,109.05,355554.0,387.43
2015-05-14,109.0,112.2,107.4,110.55,110.75,308333.0,341.46
2015-05-15,110.75,112.7,109.6,110.3,110.45,248058.0,275.71
2015-05-18,110.55,111.4,107.7,108.7,108.4,303897.0,331.94
2015-05-19,108.6,114.8,108.1,112.4,112.3,532830.0,600.52
2015-05-20,112.0,113.95,110.55,112.0,112.1,259374.0,291.42
2015-05-21,112.45,113.0,109.35,110.05,110.25,224642.0,248.49
2015-05-22,111.45,113.4,110.85,111.5,111.1,241587.0,271.03
2015-05-25,111.05,111.65,108.5,108.9,108.85,125813.0,138.34
2015-05-26,108.8,111.8,108.2,109.35,109.5,191141.0,210.4
2015-05-27,108.25,108.85,104.75,105.7,105.55,400363.0,424.87
2015-05-28,105.75,110.5,105.75,110.4,110.1,330778.0,358.0
2015-05-29,110.4,114.4,110.0,113.1,113.2,505841.0,568.2
2015-06-01,113.45,113.85,109.5,109.9,110.0,172164.0,191.41
2015-06-02,110.35,111.9,103.1,103.7,104.45,515585.0,551.41
2015-06-03,104.7,104.95,97.1,101.7,100.95,715822.0,720.22
2015-06-04,101.55,104.9,101.0,104.75,103.7,344534.0,355.33
2015-06-05,101.75,105.5,101.75,103.5,103.5,208019.0,216.08
2015-06-08,103.45,104.6,98.5,100.75,100.6,274616.0,277.29
2015-06-09,100.6,102.55,98.6,101.05,100.6,241622.0,242.45
2015-06-10,100.25,104.05,100.25,102.75,102.7,206117.0,211.05
2015-06-11,103.65,104.0,99.0,100.0,99.65,230180.0,231.69
2015-06-12,99.4,100.5,98.2,98.75,98.7,160089.0,158.38
2015-06-15,98.7,101.45,98.7,100.0,100.15,181244.0,181.51
2015-06-16,100.35,100.35,97.55,100.0,99.7,153233.0,152.02
2015-06-17,100.2,102.25,99.1,100.4,100.7,257924.0,260.14
2015-06-18,100.95,105.35,100.15,103.1,103.05,410380.0,423.32
2015-06-19,103.75,106.25,103.0,103.8,104.3,283526.0,296.85
2015-06-22,104.05,113.1,103.85,111.2,109.25,610337.0,658.55
2015-06-23,111.2,113.8,109.2,109.75,109.8,369649.0,411.61
