Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,124.0,126.65,124.0,,,,
1998-03-24,127.0,127.0,121.1,121.1,122.15,3700.0,4.58
1998-03-25,130.0,130.0,124.5,125.75,125.7,2700.0,3.39
1998-03-26,127.0,127.0,120.5,122.0,122.4,4200.0,5.24
1998-03-27,124.45,124.45,120.0,120.0,120.0,2800.0,3.4
1998-03-30,121.5,130.0,114.0,114.0,114.1,42300.0,51.71
1998-03-31,114.1,116.95,107.8,114.0,110.9,5000.0,5.57
1998-04-01,113.95,114.0,108.0,109.0,109.0,5200.0,5.76
1998-04-02,112.9,112.9,108.05,108.05,108.65,6900.0,7.57
1998-04-03,108.0,110.0,106.05,108.5,108.5,3600.0,3.91
1998-04-06,111.0,111.3,109.0,111.0,110.85,4800.0,5.3
1998-04-07,113.25,113.85,108.0,109.0,109.25,8100.0,8.94
1998-04-09,114.0,120.0,114.0,119.95,118.55,9600.0,11.3
1998-04-10,130.0,130.0,115.0,121.1,121.45,13000.0,15.91
1998-04-13,120.25,123.95,118.0,119.8,118.8,14500.0,17.52
1998-04-15,126.6,130.7,126.6,130.7,130.7,10200.0,13.17
1998-04-16,142.4,142.4,130.0,130.7,130.45,17900.0,23.82
1998-04-17,129.0,131.0,123.25,127.9,127.45,9200.0,11.69
1998-04-20,122.05,127.25,122.05,123.5,124.0,9700.0,12.12
1998-04-21,122.5,136.25,120.0,136.25,121.05,926400.0,1123.56
1998-04-22,133.2,133.2,133.2,133.2,133.2,300.0,0.39
1998-04-23,146.0,146.55,146.0,146.55,146.55,3800.0,5.57
1998-04-24,151.0,151.2,151.0,151.2,151.2,5000.0,7.56
1998-04-27,151.25,151.25,151.25,151.25,151.25,700.0,1.06
1998-04-28,151.3,151.3,151.3,151.3,151.3,500.0,0.76
1998-04-29,166.45,166.45,144.5,146.0,147.9,44300.0,70.41
1998-04-30,145.2,162.7,145.2,162.7,162.7,31200.0,47.57
1998-05-04,166.05,177.0,163.3,171.0,170.55,35700.0,61.22
1998-05-05,173.9,174.0,160.1,167.5,166.6,33100.0,55.27
1998-05-06,173.0,183.3,166.0,176.2,176.4,99500.0,175.44
1998-05-08,175.0,185.0,175.0,177.0,176.9,55800.0,100.23
1998-05-11,175.0,175.0,168.0,168.5,169.25,18000.0,30.71
1998-05-12,161.0,169.45,153.0,160.0,166.95,152300.0,251.67
1998-05-13,154.0,158.4,150.4,150.4,150.4,23200.0,35.83
1998-05-14,153.0,165.35,143.9,165.3,163.0,32400.0,50.29
1998-05-15,166.0,170.0,160.0,162.5,161.95,26700.0,44.0
1998-05-18,164.85,178.15,164.45,165.0,167.9,368700.0,625.34
1998-05-19,181.55,184.7,181.55,184.7,184.7,5900.0,10.89
1998-05-20,203.0,203.2,199.0,203.2,203.2,46700.0,94.72
1998-05-21,211.9,211.9,187.0,192.1,192.3,79500.0,157.7
1998-05-22,187.25,195.0,187.25,193.0,192.85,24700.0,47.45
1998-05-25,180.0,208.0,180.0,192.0,191.8,123200.0,231.01
1998-05-26,192.0,192.0,180.05,183.0,182.2,50200.0,92.88
1998-05-27,200.0,200.0,175.0,176.0,175.65,76800.0,148.18
1998-05-28,178.95,180.0,175.0,177.1,177.95,26200.0,46.65
1998-05-29,163.25,169.0,160.35,164.0,163.1,27800.0,45.59
1998-06-01,165.0,179.4,165.0,168.15,169.5,39300.0,69.49
1998-06-02,167.8,169.0,152.65,156.85,153.15,16800.0,26.68
1998-06-03,154.5,166.95,152.2,166.95,161.85,16100.0,25.55
1998-06-04,158.0,167.6,157.1,163.9,163.55,8200.0,13.39
1998-06-05,162.1,162.1,147.3,148.0,148.9,23500.0,35.73
1998-06-08,139.0,149.5,134.25,136.5,135.4,36800.0,49.71
1998-06-09,134.5,139.5,134.1,139.5,136.35,41200.0,56.42
1998-06-10,140.0,140.0,126.55,128.9,128.3,7300.0,9.69
1998-06-11,121.0,125.85,121.0,124.0,123.6,6600.0,8.12
1998-06-12,126.0,132.0,125.0,125.0,125.65,22000.0,28.41
1998-06-15,120.0,121.0,113.2,113.2,113.2,5000.0,5.84
1998-06-16,104.1,124.0,102.45,110.0,113.05,32200.0,36.77
1998-06-17,117.9,124.25,112.55,124.25,123.55,17800.0,21.64
1998-06-18,124.9,124.9,113.6,113.6,114.65,6200.0,7.43
1998-06-19,111.9,122.05,110.2,118.0,115.0,32900.0,38.61
1998-06-22,107.0,115.0,104.0,108.0,107.2,18500.0,20.83
1998-06-23,114.0,116.0,104.0,113.65,114.65,24000.0,26.92
1998-06-24,120.0,124.0,118.05,124.0,123.9,14900.0,18.15
1998-06-25,136.0,136.3,132.0,136.3,135.05,31900.0,42.96
1998-06-26,133.0,133.0,122.5,125.0,122.85,84500.0,104.16
1998-06-29,120.0,133.0,120.0,130.0,129.4,29900.0,36.83
1998-06-30,128.0,130.0,122.7,129.0,128.65,60200.0,75.67
1998-07-01,125.0,126.95,124.0,125.0,125.0,6900.0,8.64
1998-07-02,123.5,125.0,122.0,122.0,122.0,1500.0,1.85
1998-07-03,120.0,120.0,111.0,112.0,113.35,7100.0,8.0
1998-07-06,117.0,117.0,114.25,115.5,115.5,3100.0,3.59
1998-07-07,116.75,118.4,113.05,114.3,114.7,5800.0,6.73
1998-07-08,118.9,123.8,118.5,123.8,122.8,18100.0,21.88
1998-07-09,126.0,129.9,121.0,122.0,122.1,10200.0,12.79
1998-07-10,124.4,131.85,124.0,131.85,131.85,22400.0,28.94
1998-07-13,132.0,140.5,132.0,138.0,138.55,52700.0,72.79
1998-07-14,132.0,147.15,131.0,146.0,145.15,39500.0,55.21
1998-07-15,156.75,156.75,153.0,156.75,156.05,80300.0,125.56
1998-07-16,160.0,160.7,155.75,159.95,159.75,37300.0,59.19
1998-07-17,159.0,160.0,156.25,158.0,157.45,17800.0,28.18
1998-07-20,153.5,156.5,150.75,152.0,152.8,21400.0,32.87
1998-07-21,151.5,153.5,148.5,150.8,150.1,23200.0,35.02
1998-07-22,153.6,154.0,141.0,143.7,142.95,22700.0,33.14
1998-07-23,141.1,144.0,138.0,140.0,139.55,42400.0,59.47
1998-07-24,137.1,143.4,137.05,141.45,140.25,36200.0,50.9
1998-07-27,141.0,143.9,133.0,136.65,137.5,19000.0,26.24
1998-07-28,137.95,144.65,136.15,143.0,143.35,27400.0,38.69
1998-07-29,141.9,146.6,141.7,145.45,145.35,19400.0,27.96
1998-07-30,145.0,146.5,141.65,142.5,142.7,9100.0,13.11
1998-07-31,144.5,144.5,141.55,142.6,142.35,5000.0,7.13
1998-08-03,138.25,140.0,137.2,138.8,138.7,7300.0,10.13
1998-08-04,138.1,139.0,136.65,138.85,138.55,7700.0,10.65
