Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-09-02,1945.0,1945.0,1860.1,1925.0,1925.0,52.0,1.0
2010-09-03,1920.0,1922.0,1902.0,1918.0,1914.6,665.0,12.76
2010-09-06,1925.0,1925.0,1892.0,1904.9,1904.95,233.0,4.45
2010-09-07,1904.1,1918.95,1902.0,1910.05,1915.45,5609.0,107.14
2010-09-08,1915.05,1929.0,1915.0,1920.0,1916.8,8831.0,170.04
2010-09-09,1949.0,1949.0,1905.1,1915.0,1915.5,534.0,10.25
2010-09-13,1928.0,1950.0,1895.0,1895.0,1899.75,714.0,13.68
2010-09-14,1900.0,1920.0,1900.0,1909.95,1905.5,627.0,11.95
2010-09-15,1905.0,1935.0,1905.0,1927.0,1926.6,7602.0,146.17
2010-09-16,1930.0,1930.0,1910.2,1920.7,1920.4,505.0,9.69
2010-09-17,1913.0,1927.7,1913.0,1927.0,1925.1,359.0,6.91
2010-09-20,1930.0,1930.0,1900.55,1912.05,1913.2,298.0,5.71
2010-09-21,1903.0,1919.95,1903.0,1908.5,1909.85,470.0,8.99
2010-09-22,1914.0,1939.9,1914.0,1930.0,1928.25,765.0,14.74
2010-09-23,1920.05,1937.0,1920.05,1927.0,1923.85,375.0,7.23
2010-09-24,1930.0,1934.95,1924.0,1930.0,1926.6,684.0,13.19
2010-09-27,1929.0,1945.0,1920.0,1945.0,1943.1,304.0,5.88
2010-09-28,1944.8,1945.0,1909.0,1925.0,1925.0,199.0,3.83
2010-09-29,1925.2,1960.0,1916.3,1925.2,1940.0,392.0,7.59
2010-09-30,1915.3,1950.0,1915.3,1950.0,1942.55,349.0,6.77
2010-10-01,1915.1,1948.9,1915.05,1922.0,1926.95,134.0,2.58
2010-10-04,1915.0,1942.0,1902.0,1933.0,1930.05,284.0,5.46
2010-10-05,1933.0,1944.0,1916.15,1940.0,1936.85,112.0,2.16
2010-10-06,1927.1,1976.75,1927.1,1964.6,1962.15,462.0,9.02
2010-10-07,1970.0,1986.45,1950.0,1980.0,1979.95,441.0,8.7
2010-10-08,1950.0,1970.0,1926.1,1930.05,1941.55,2921.0,57.01
2010-10-11,1960.0,1970.0,1941.6,1950.0,1954.1,189.0,3.71
2010-10-12,1960.0,1974.0,1955.1,1958.0,1967.9,93.0,1.83
2010-10-13,1965.0,1984.0,1956.0,1972.0,1972.25,465.0,9.17
2010-10-14,1989.0,1999.9,1980.0,1999.9,1997.85,616.0,12.27
2010-10-15,1997.85,2002.0,1991.0,1991.0,1992.7,231.0,4.61
2010-10-18,1992.2,1999.0,1971.2,1975.0,1985.6,197.0,3.91
2010-10-19,1985.1,1989.75,1980.0,1982.0,1982.1,334.0,6.63
2010-10-20,1978.2,1978.2,1950.0,1973.9,1973.9,177.0,3.47
2010-10-21,1970.0,1989.9,1960.0,1961.0,1961.4,217.0,4.28
2010-10-22,1950.0,1965.2,1942.0,1946.0,1948.15,264.0,5.14
2010-10-25,1983.15,2000.0,1958.45,1963.0,1961.2,514.0,10.17
2010-10-26,1985.0,1985.0,1940.0,1940.0,1945.35,371.0,7.25
2010-10-27,1940.0,1969.8,1940.0,1940.0,1941.75,215.0,4.18
2010-10-28,1950.0,1950.0,1933.0,1945.0,1945.0,144.0,2.8
2010-10-29,1985.05,1985.05,1936.7,1940.1,1944.15,1139.0,22.18
2010-11-01,1970.0,1980.0,1950.7,1965.5,1970.05,1416.0,27.88
2010-11-02,1975.0,1987.2,1947.2,1965.05,1968.0,4251.0,83.69
2010-11-03,1984.2,1984.2,1960.05,1977.4,1974.35,1003.0,19.76
2010-11-04,1980.0,1999.2,1960.0,1962.5,1967.25,473.0,9.32
2010-11-05,1970.0,1994.0,1963.5,1980.0,1980.2,743.0,14.7
2010-11-08,1980.0,1998.9,1965.0,1990.0,1990.0,1260.0,25.04
2010-11-09,1995.0,2033.0,1995.0,2030.0,2030.95,4715.0,95.58
