Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-04-12,150.0,167.4,124.0,158.4,159.1,22110514.0,34489.57
2010-04-13,159.0,159.0,152.0,154.0,154.4,3371371.0,5219.09
2010-04-15,154.05,156.4,151.7,153.25,153.35,957308.0,1475.96
2010-04-16,153.1,153.1,137.2,139.35,140.0,1068372.0,1524.05
2010-04-19,135.35,145.0,133.0,138.5,138.1,700175.0,985.64
2010-04-20,139.75,140.35,132.0,133.0,133.7,236207.0,317.2
2010-04-21,134.0,134.0,130.5,131.15,131.3,125554.0,165.38
2010-04-22,131.4,131.4,126.1,126.1,127.2,142223.0,182.31
2010-04-23,126.0,126.0,114.55,118.7,118.15,479609.0,567.11
2010-04-26,118.5,137.25,113.35,132.8,133.4,3182346.0,4206.89
2010-04-27,132.4,132.8,122.4,127.1,125.75,1039992.0,1313.97
2010-04-28,124.0,129.3,120.5,124.1,123.5,514618.0,644.57
2010-04-29,124.0,127.7,123.6,125.15,125.45,176943.0,222.7
2010-04-30,126.0,127.95,120.55,127.0,124.3,281479.0,350.93
2010-05-03,125.5,137.8,124.0,126.5,127.65,1714033.0,2266.16
2010-05-04,127.9,133.75,126.1,130.0,130.15,731734.0,961.42
2010-05-05,128.0,129.25,124.55,126.85,126.65,430793.0,546.84
2010-05-06,127.4,130.95,125.4,126.7,126.85,287571.0,367.4
2010-05-07,125.1,126.0,121.2,122.05,122.3,80035.0,98.97
2010-05-10,124.9,126.65,123.1,126.0,125.95,561668.0,706.85
2010-05-11,126.1,130.0,125.75,126.3,126.3,265012.0,340.15
2010-05-12,126.9,127.9,124.1,124.8,125.15,71671.0,89.82
2010-05-13,126.85,126.85,122.2,123.0,123.35,50372.0,62.64
2010-05-14,122.1,124.0,117.55,118.1,119.15,155782.0,190.67
2010-05-17,118.95,118.95,112.1,114.0,114.8,64116.0,74.54
2010-05-18,114.5,127.5,112.6,119.35,119.1,239461.0,290.22
2010-05-19,117.75,124.8,114.1,114.95,116.1,98314.0,118.02
2010-05-20,116.3,121.0,113.15,114.05,114.1,35163.0,41.1
2010-05-21,112.1,112.1,105.5,105.6,106.2,65552.0,71.24
2010-05-24,108.7,126.8,107.4,120.0,121.35,535208.0,651.37
2010-05-25,120.0,122.0,112.0,112.5,112.95,241116.0,282.79
2010-05-26,115.5,121.0,114.0,115.2,115.7,117653.0,137.51
2010-05-27,116.9,118.5,112.4,114.3,114.65,48080.0,55.74
2010-05-28,116.3,119.6,115.9,115.9,116.35,46429.0,54.49
2010-05-31,115.0,121.5,115.0,117.7,117.45,79008.0,94.07
2010-06-01,116.35,120.25,114.0,114.85,114.85,51664.0,60.53
2010-06-02,120.0,120.0,113.2,115.0,114.5,32241.0,37.19
2010-06-03,116.9,119.0,114.5,115.0,114.95,47108.0,54.91
2010-06-04,115.9,116.85,112.25,113.0,113.5,23804.0,27.34
2010-06-07,107.0,116.45,107.0,112.2,112.45,62178.0,70.65
2010-06-08,112.9,115.9,112.55,112.9,112.85,47547.0,54.27
2010-06-09,113.5,127.95,113.5,119.5,120.25,1196188.0,1473.36
2010-06-10,120.35,125.35,119.3,122.2,123.1,557953.0,690.52
2010-06-11,120.9,124.7,119.0,119.5,119.65,227236.0,275.47
2010-06-14,120.9,124.9,120.4,121.5,121.8,77448.0,94.77
2010-06-15,123.9,126.5,121.0,122.7,122.6,133508.0,165.27
2010-06-16,123.25,125.4,120.3,121.05,120.9,47669.0,58.1
2010-06-17,121.85,124.85,120.9,122.15,122.35,51400.0,63.29
2010-06-18,122.7,123.8,119.25,120.0,120.2,30959.0,37.65
2010-06-21,121.3,122.9,120.1,120.5,120.35,27289.0,33.15
2010-06-22,119.45,121.35,119.1,120.15,119.85,15696.0,18.89
2010-06-23,119.9,122.0,119.6,120.25,120.5,101805.0,123.14
2010-06-24,121.5,123.85,119.8,120.75,120.4,38948.0,47.17
2010-06-25,120.0,123.85,120.0,121.0,121.2,58971.0,72.32
2010-06-28,121.9,124.75,120.0,122.0,122.1,47889.0,58.77
2010-06-29,122.9,122.9,117.75,118.85,118.5,37065.0,44.31
2010-06-30,118.0,120.9,111.25,118.1,118.3,19065.0,22.58
2010-07-01,117.1,120.75,117.1,120.15,120.05,51985.0,61.5
2010-07-02,120.9,127.2,120.9,123.5,122.85,164245.0,204.99
2010-07-05,122.0,124.5,121.3,122.2,122.55,22825.0,28.05
2010-07-06,122.15,124.0,121.15,122.0,121.45,21813.0,26.68
2010-07-07,121.9,123.95,121.15,122.0,122.1,83547.0,102.42
2010-07-08,122.8,123.55,120.55,120.65,121.05,45466.0,55.41
2010-07-09,122.1,122.1,120.0,120.2,120.3,14007.0,16.97
2010-07-12,120.6,122.5,120.05,120.2,120.45,16397.0,19.88
2010-07-13,120.9,122.9,120.55,122.6,121.9,32216.0,39.24
2010-07-14,122.9,123.45,120.8,121.75,121.65,29318.0,35.78
2010-07-15,122.05,122.05,119.8,120.0,120.1,14938.0,18.06
2010-07-16,120.5,125.0,118.9,122.0,121.75,78258.0,95.57
2010-07-19,121.0,123.9,121.0,121.2,121.1,51366.0,62.57
2010-07-20,121.7,122.0,119.05,119.8,119.8,59547.0,72.05
2010-07-21,120.75,124.6,119.6,120.6,120.45,93643.0,114.4
2010-07-22,120.9,122.5,119.45,119.95,119.7,238906.0,287.05
2010-07-23,120.0,121.5,115.5,115.55,117.05,249163.0,296.62
2010-07-26,118.5,118.5,114.55,114.8,115.1,61889.0,71.69
2010-07-27,115.45,117.3,115.1,116.7,116.55,53949.0,62.91
2010-07-28,116.15,117.2,111.3,114.5,114.7,101901.0,116.71
2010-07-29,114.5,115.0,111.0,111.1,111.5,145677.0,164.72
2010-07-30,112.6,112.6,107.2,107.3,108.0,35054.0,38.39
2010-08-02,110.5,111.4,108.1,108.4,108.7,88900.0,97.0
2010-08-03,108.0,111.0,102.65,102.9,103.6,161075.0,169.15
2010-08-04,103.25,104.95,96.65,97.25,97.05,374458.0,371.04
2010-08-05,97.9,102.9,97.0,97.0,97.55,146389.0,145.06
2010-08-06,98.55,100.85,98.0,98.05,98.2,222596.0,220.67
2010-08-09,99.05,100.9,98.5,99.4,99.05,123925.0,123.19
2010-08-10,99.3,100.0,95.75,96.25,96.4,109186.0,106.87
2010-08-11,94.5,97.0,88.5,89.0,89.2,308124.0,284.14
2010-08-12,88.6,96.5,82.5,83.95,83.85,670310.0,593.17
