Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-08-10,178.0,182.0,168.05,177.0,177.0,3495.0,6.0
2007-08-13,180.0,181.0,171.35,178.0,178.0,12061.0,21.34
2007-08-14,180.0,182.95,170.0,171.0,170.45,1205.0,2.07
2007-08-16,178.9,178.9,162.25,168.9,167.45,385.0,0.65
2007-08-17,167.0,175.75,159.1,159.1,159.1,1560.0,2.52
2007-08-20,160.0,167.1,154.6,167.1,167.1,1553.0,2.49
2007-08-21,162.0,175.45,162.0,173.0,174.35,7155.0,12.36
2007-08-22,174.0,178.0,166.0,171.25,172.05,2708.0,4.68
2007-08-23,175.0,175.0,170.0,170.0,170.0,2207.0,3.76
2007-08-24,165.5,172.4,162.1,165.05,168.75,1700.0,2.88
2007-08-27,165.0,174.0,165.0,174.0,172.1,1011.0,1.71
2007-08-28,172.0,172.0,167.0,167.0,167.0,130.0,0.22
2007-08-29,171.0,171.0,168.0,168.0,168.0,150.0,0.25
2007-08-30,174.0,176.35,171.0,176.35,175.2,2184.0,3.81
2007-08-31,175.0,182.9,175.0,175.0,175.1,3663.0,6.48
2007-09-03,177.5,183.9,177.0,181.2,181.05,951.0,1.73
2007-09-04,185.8,190.1,181.25,190.1,190.1,1504.0,2.82
2007-09-05,199.0,199.65,190.0,199.0,194.0,39694.0,76.89
2007-09-06,203.7,203.7,187.1,190.0,190.6,4807.0,9.33
2007-09-07,193.9,194.0,187.5,187.5,190.15,4359.0,8.4
2007-09-10,185.0,191.9,185.0,187.6,187.6,2527.0,4.78
2007-09-11,187.2,190.0,185.0,185.1,185.25,768.0,1.44
2007-09-12,185.2,191.0,185.1,186.1,187.75,3478.0,6.58
2007-09-13,188.0,194.0,185.0,185.0,186.25,2164.0,4.06
2007-09-14,185.1,188.0,185.0,187.0,187.0,2800.0,5.21
2007-09-17,195.95,195.95,177.65,177.8,178.2,2947.0,5.32
2007-09-18,178.0,187.15,178.0,184.05,185.5,1703.0,3.15
2007-09-19,184.0,194.8,183.0,194.8,189.05,14606.0,27.5
2007-09-20,190.0,190.1,185.1,187.0,185.8,2396.0,4.52
2007-09-21,185.05,194.0,180.2,194.0,191.15,9903.0,18.65
2007-09-24,190.0,194.0,183.6,183.6,184.8,13182.0,24.92
2007-09-25,180.0,183.0,175.6,177.0,177.55,2384.0,4.27
2007-09-26,170.25,180.0,170.25,173.0,172.35,4614.0,8.0
2007-09-27,170.0,172.0,163.75,167.0,167.35,5238.0,8.78
2007-09-28,167.25,175.75,167.25,171.5,171.6,4565.0,7.92
2007-10-01,166.0,176.8,166.0,175.15,175.35,5573.0,9.62
2007-10-03,175.0,184.15,175.0,184.15,184.15,7866.0,14.32
2007-10-04,193.0,193.4,182.5,192.95,191.95,20504.0,39.04
2007-10-05,200.0,201.55,192.0,201.55,201.55,34242.0,68.66
2007-10-08,211.0,211.65,205.1,211.65,211.65,38569.0,81.6
2007-10-09,211.65,222.25,211.65,222.25,222.25,22666.0,50.36
2007-10-10,233.4,233.4,233.4,233.4,233.4,16297.0,38.04
2007-10-11,245.1,245.1,245.1,245.1,245.1,14896.0,36.51
2007-10-12,257.4,257.4,257.4,257.4,257.4,19243.0,49.53
2007-10-15,270.3,270.3,270.3,270.3,270.3,3270.0,8.84
2007-10-16,283.85,283.85,264.0,283.85,283.85,68678.0,194.87
2007-10-17,295.0,298.05,269.7,298.05,298.05,42890.0,125.29
2007-10-18,312.95,312.95,312.95,312.95,312.95,3720.0,11.64
2007-10-19,328.6,328.6,297.3,298.05,301.6,69264.0,217.1
2007-10-22,310.0,316.7,290.1,316.7,316.3,62519.0,196.74
2007-10-23,328.4,332.15,300.5,300.6,301.45,60899.0,193.23
2007-10-24,314.0,314.0,287.0,290.0,289.8,23044.0,67.64
2007-10-25,292.95,300.0,276.5,284.9,284.1,47336.0,136.02
