Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-06-30,164.0,164.0,164.0,164.0,164.0,1.0,0.0
2010-07-02,136.05,196.8,136.05,172.55,176.0,584.0,1.04
2010-07-05,141.5,198.0,141.5,175.0,175.0,102.0,0.19
2010-07-06,150.0,205.0,150.0,198.45,197.1,937.0,1.81
2010-07-07,220.0,225.0,196.0,210.0,202.85,1189.0,2.44
2010-07-08,215.95,215.95,185.05,188.25,187.75,877.0,1.76
2010-07-09,195.0,204.5,187.9,202.0,202.0,153.0,0.3
2010-07-12,188.0,206.6,186.1,201.0,201.0,36.0,0.07
2010-07-13,201.0,210.0,198.0,210.0,210.0,279.0,0.57
2010-07-14,209.9,209.9,197.3,200.0,200.0,271.0,0.55
2010-07-15,191.0,206.9,191.0,195.0,197.7,657.0,1.3
2010-07-16,190.1,202.0,190.1,202.0,202.0,87.0,0.18
2010-07-19,202.0,204.95,200.0,200.0,200.0,174.0,0.35
2010-07-20,193.3,207.0,193.3,205.95,205.95,118.0,0.24
2010-07-21,200.0,200.0,192.0,192.0,194.15,339.0,0.66
2010-07-22,191.0,199.0,183.0,197.0,192.45,230.0,0.45
2010-07-23,224.0,224.0,192.0,195.05,195.5,2018.0,4.03
2010-07-26,195.1,198.0,180.25,190.9,192.85,539.0,1.03
2010-07-27,191.0,194.9,183.7,194.9,194.9,45.0,0.09
2010-07-28,200.0,200.0,185.5,190.0,189.35,637.0,1.22
2010-07-29,190.0,197.8,162.7,176.0,181.35,189.0,0.35
2010-07-30,178.1,189.9,178.1,180.5,180.5,114.0,0.21
2010-08-02,172.0,188.5,172.0,185.5,185.5,118.0,0.22
2010-08-03,186.0,195.0,181.2,189.0,189.0,416.0,0.78
2010-08-04,184.0,200.0,184.0,200.0,200.0,390.0,0.78
2010-08-05,199.95,200.0,187.1,193.0,193.85,721.0,1.39
2010-08-06,199.5,205.0,195.0,204.7,204.7,1016.0,2.06
2010-08-09,204.45,204.45,204.45,204.45,204.45,10.0,0.02
2010-08-10,200.0,202.7,192.55,202.0,202.0,47.0,0.09
2010-08-11,203.6,211.6,200.0,200.0,200.0,1804.0,3.68
2010-08-12,202.0,240.0,201.25,226.0,221.2,2651.0,5.94
2010-08-13,239.0,239.0,201.1,214.9,209.75,1830.0,4.0
2010-08-16,209.0,210.0,194.55,199.0,200.2,317.0,0.64
2010-08-17,199.9,200.0,191.0,199.7,198.45,652.0,1.29
2010-08-18,192.1,200.0,178.1,195.65,195.7,570.0,1.12
2010-08-19,193.1,202.8,193.1,202.8,202.8,200.0,0.4
2010-08-20,198.0,198.0,197.6,197.8,197.8,50.0,0.1
2010-08-23,191.0,200.0,191.0,193.0,193.0,145.0,0.28
2010-08-24,190.0,218.5,190.0,193.1,193.1,92.0,0.18
2010-08-25,190.0,198.4,190.0,198.4,198.25,506.0,1.0
2010-08-26,196.9,201.0,182.2,189.0,190.6,397.0,0.76
2010-08-27,204.45,204.45,192.1,192.1,192.1,115.0,0.23
2010-08-30,190.0,195.0,190.0,195.0,195.0,320.0,0.62
2010-08-31,191.0,196.75,191.0,192.05,192.05,3186.0,6.2
2010-09-01,193.0,198.0,184.1,184.1,184.1,344.0,0.64
2010-09-02,190.0,198.5,180.0,191.0,193.75,698.0,1.32
2010-09-03,195.7,195.7,191.25,191.25,191.25,57.0,0.11
2010-09-06,197.0,197.0,197.0,197.0,197.0,30.0,0.06
2010-09-07,195.5,198.0,195.5,198.0,197.45,1196.0,2.36
2010-09-08,199.9,200.0,197.0,200.0,200.0,177.0,0.35
2010-09-09,190.3,199.0,190.3,199.0,199.0,13.0,0.03
2010-09-13,196.0,196.0,196.0,196.0,196.0,5.0,0.01
2010-09-14,184.5,195.5,184.5,195.5,195.5,100.0,0.19
2010-09-15,186.0,200.0,186.0,188.15,188.15,320.0,0.62
2010-09-16,199.0,199.0,185.0,185.0,185.0,587.0,1.11
2010-09-17,186.0,192.9,177.0,185.0,189.2,734.0,1.39
2010-09-20,190.0,196.0,189.5,196.0,195.4,316.0,0.62
2010-09-21,214.0,214.0,190.0,190.0,190.0,22.0,0.04
2010-09-22,185.0,188.25,182.15,187.0,183.75,477.0,0.88
2010-09-23,187.05,189.7,185.1,185.1,186.7,11.0,0.02
2010-09-24,182.0,188.9,182.0,187.0,187.0,1467.0,2.72
2010-09-27,194.7,195.0,184.5,184.5,184.5,497.0,0.95
2010-09-28,185.0,192.85,184.0,186.5,186.5,3910.0,7.41
2010-09-29,182.0,190.5,181.0,183.1,186.5,3026.0,5.63
2010-09-30,189.7,189.7,177.5,180.0,182.25,3892.0,7.21
2010-10-01,185.0,188.0,184.0,184.0,184.0,165.0,0.31
2010-10-04,182.1,185.6,176.5,182.0,180.65,1146.0,2.08
2010-10-05,184.0,187.7,178.2,187.7,182.95,4.0,0.01
2010-10-06,182.95,183.1,182.95,183.05,183.05,180.0,0.33
2010-10-07,186.0,186.0,173.0,176.7,176.8,861.0,1.54
2010-10-08,180.0,180.4,175.6,176.0,178.4,1812.0,3.24
2010-10-11,182.0,182.0,179.9,181.0,181.0,81.0,0.15
2010-10-12,182.0,182.0,179.2,182.0,182.0,82.0,0.15
2010-10-13,181.9,183.4,178.0,182.0,181.5,645.0,1.16
2010-10-14,178.4,178.4,178.4,178.4,178.4,44.0,0.08
2010-10-15,183.7,183.7,175.1,183.6,179.0,2053.0,3.68
2010-10-18,174.0,179.0,174.0,179.0,179.0,200.0,0.35
2010-10-20,183.0,183.4,175.1,178.55,178.55,2282.0,4.06
2010-10-21,182.0,184.7,178.15,180.0,180.0,2446.0,4.42
2010-10-22,180.0,180.0,174.0,174.0,174.0,1037.0,1.83
2010-10-25,170.0,176.0,166.5,171.9,172.7,2940.0,5.05
2010-10-26,179.7,180.0,174.5,178.8,177.2,1375.0,2.44
2010-10-27,173.1,180.0,173.1,177.5,177.5,1898.0,3.34
2010-10-28,183.85,184.45,183.85,184.0,184.0,1101.0,2.03
2010-10-29,187.5,187.5,171.3,181.0,178.2,3122.0,5.57
2010-11-01,185.05,188.05,176.6,178.0,178.0,14.0,0.02
2010-11-02,173.45,182.9,173.45,177.0,177.0,651.0,1.16
2010-11-03,179.95,180.0,174.0,174.0,174.0,318.0,0.57
2010-11-04,176.0,176.0,174.1,174.1,174.1,560.0,0.98
2010-11-05,183.0,183.0,183.0,183.0,183.0,24.0,0.04
2010-11-08,180.0,190.0,176.0,190.0,190.0,1072.0,1.97
2010-11-09,197.7,197.7,190.0,190.0,190.0,41.0,0.08
2010-11-10,183.1,190.7,183.0,188.9,188.9,1130.0,2.11
2010-11-11,184.1,196.0,184.1,192.0,192.45,872.0,1.66
2010-11-12,181.0,192.9,176.2,176.2,176.7,1582.0,2.91
2010-11-16,173.1,173.1,173.1,173.1,173.1,10.0,0.02
2010-11-18,170.05,170.05,170.0,170.0,170.0,225.0,0.38
2010-11-19,161.0,173.0,161.0,173.0,171.95,280.0,0.47
2010-11-22,170.0,176.95,161.3,175.0,174.0,14.0,0.02
2010-11-26,176.0,176.0,176.0,176.0,176.0,10.0,0.02
2010-11-30,173.0,173.0,173.0,173.0,173.0,20.0,0.03
2010-12-01,175.0,175.0,175.0,175.0,175.0,100.0,0.18
2010-12-02,174.9,175.0,167.1,167.1,167.1,120.0,0.21
2010-12-07,175.0,175.0,175.0,175.0,175.0,30.0,0.05
2010-12-08,180.2,180.2,180.2,180.2,180.2,1.0,0.0
2010-12-10,176.0,176.0,176.0,176.0,176.0,1.0,0.0
2010-12-13,167.55,174.8,167.2,174.8,167.25,201.0,0.34
2010-12-14,174.3,174.3,174.3,174.3,174.3,1.0,0.0
2010-12-16,170.0,173.3,166.0,173.3,173.3,11.0,0.02
2010-12-20,166.0,166.0,165.0,165.0,165.0,22.0,0.04
2010-12-21,173.2,173.2,173.2,173.2,173.2,1.0,0.0
