Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-04-07,60.0,254.0,60.0,248.0,239.65,2932542.0,6721.1
2005-04-08,241.0,287.6,240.0,287.6,287.6,2039092.0,5495.55
2005-04-11,300.0,322.8,277.65,280.0,283.65,2641213.0,7965.5
2005-04-12,283.4,340.4,278.0,340.4,335.65,3251140.0,10186.23
2005-04-13,349.7,349.7,309.1,310.5,313.8,4410083.0,14220.37
2005-04-15,310.55,310.55,283.1,297.9,296.15,2283206.0,6768.89
2005-04-18,291.0,312.0,284.15,298.0,299.0,1616380.0,4874.82
2005-04-19,302.5,308.0,281.15,281.15,285.95,796627.0,2376.92
2005-04-20,298.7,298.85,286.55,297.25,294.35,854663.0,2505.49
2005-04-21,295.0,304.7,292.0,298.0,299.9,482273.0,1437.83
2005-04-22,300.0,316.5,297.4,311.0,309.85,740723.0,2287.05
2005-04-25,306.0,310.75,301.15,302.5,303.45,245969.0,753.37
2005-04-26,310.75,339.7,304.0,335.3,335.35,1825583.0,5959.26
2005-04-27,331.0,338.7,303.1,307.45,308.65,1013349.0,3302.53
2005-04-28,310.9,318.0,303.15,305.0,307.75,568857.0,1762.33
2005-04-29,308.5,320.9,296.2,312.0,311.05,1149389.0,3575.44
2005-05-02,315.0,317.35,308.15,310.0,311.05,358982.0,1121.31
2005-05-03,312.0,316.0,309.0,312.65,312.55,210770.0,659.48
2005-05-04,314.0,328.4,313.0,325.85,324.9,440276.0,1420.46
2005-05-05,331.0,331.0,311.1,314.05,316.0,314502.0,1002.84
2005-05-06,316.0,319.45,311.1,312.0,313.4,113547.0,357.92
2005-05-09,316.45,317.2,309.1,309.55,310.4,94749.0,296.62
2005-05-10,313.3,322.5,311.2,313.05,314.5,150988.0,478.08
2005-05-11,312.0,316.55,301.1,312.0,311.3,112011.0,350.2
2005-05-12,321.0,339.9,316.0,339.0,336.45,413462.0,1367.85
2005-05-13,339.0,345.0,330.0,334.0,335.4,208481.0,706.24
2005-05-16,338.0,341.8,333.0,341.0,338.9,160476.0,541.72
2005-05-17,333.0,333.0,311.75,312.85,314.55,87834.0,281.94
2005-05-18,316.0,323.9,312.1,320.1,319.9,122258.0,390.34
2005-05-19,324.8,324.8,316.0,320.4,319.7,48450.0,154.95
2005-05-20,322.0,322.0,315.35,320.0,320.05,56549.0,181.06
2005-05-23,320.0,345.5,317.1,340.0,343.85,177858.0,598.79
2005-05-24,330.0,409.0,330.0,393.5,398.2,1244785.0,4852.6
2005-05-25,394.9,396.0,371.6,378.5,376.8,523443.0,2009.33
2005-05-26,379.0,418.95,375.0,394.9,399.55,1254620.0,5101.02
2005-05-27,399.55,402.0,377.85,383.4,381.4,336990.0,1319.26
2005-05-30,381.55,405.9,381.4,386.35,384.95,452269.0,1776.51
2005-05-31,388.65,394.7,383.65,388.0,387.55,222794.0,867.09
2005-06-01,391.25,392.95,380.0,380.65,383.05,105476.0,408.08
2005-06-02,385.0,388.4,374.1,375.0,376.15,75281.0,287.25
2005-06-03,379.9,379.9,371.95,375.35,374.75,63928.0,240.19
2005-06-04,377.9,377.9,372.1,372.35,373.2,18691.0,70.05
2005-06-06,374.0,387.85,374.0,377.15,377.1,54779.0,208.58
2005-06-07,380.0,382.0,374.0,376.15,377.4,45605.0,172.38
2005-06-08,379.9,385.0,368.55,368.55,371.3,66718.0,252.16
