Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-08,87.7,90.0,86.3,87.5,87.4,10840.0,9.55
2010-01-11,88.85,94.25,88.8,93.9,92.8,126746.0,117.35
2010-01-12,93.0,96.9,90.4,92.55,92.65,314540.0,297.05
2010-01-13,90.9,92.95,90.0,91.6,91.35,81502.0,74.48
2010-01-14,92.05,99.85,92.05,98.0,98.3,384238.0,372.51
2010-01-15,98.75,101.5,96.05,97.0,96.9,369557.0,364.78
2010-01-18,96.0,96.55,93.85,95.0,94.35,106011.0,100.89
2010-01-19,95.5,102.8,94.55,96.85,96.35,511502.0,506.77
2010-01-20,97.5,99.8,95.3,97.5,97.0,205535.0,200.98
2010-01-21,97.5,104.8,94.6,98.0,97.45,765861.0,771.27
2010-01-22,96.05,96.05,90.55,92.6,92.65,270553.0,252.34
2010-01-25,91.0,95.0,91.0,93.0,92.9,66907.0,62.62
2010-01-27,92.5,94.1,84.05,85.0,85.4,127421.0,114.22
2010-01-28,87.45,88.75,82.8,83.9,83.4,71007.0,60.88
2010-01-29,82.5,85.55,78.1,83.45,83.15,106321.0,86.89
2010-02-01,82.5,88.5,82.5,87.55,86.8,69823.0,60.27
2010-02-02,88.0,89.7,83.5,84.25,83.85,67078.0,58.35
2010-02-03,85.3,87.0,84.6,87.0,86.6,54151.0,46.52
2010-02-04,84.6,86.75,80.05,84.0,83.3,46231.0,39.1
2010-02-05,80.7,82.4,79.5,80.6,80.95,59197.0,47.96
2010-02-06,82.0,83.4,81.25,83.05,82.3,9252.0,7.6
2010-02-08,82.0,84.4,81.1,82.25,82.25,36926.0,30.44
2010-02-09,80.6,83.5,80.6,82.6,82.4,16169.0,13.36
2010-02-10,82.9,84.25,81.3,82.0,81.75,55826.0,46.29
2010-02-11,82.1,83.8,82.1,83.3,82.8,30911.0,25.66
2010-02-15,83.3,83.9,81.0,82.0,82.0,26072.0,21.56
2010-02-16,81.15,84.0,81.15,83.65,83.2,25118.0,20.74
2010-02-17,84.9,85.0,83.1,85.0,84.45,42078.0,35.46
2010-02-18,84.95,84.95,81.25,81.85,81.7,29947.0,24.73
2010-02-19,81.5,82.5,79.7,80.0,80.15,48470.0,39.14
2010-02-22,81.8,82.25,79.1,79.1,79.45,20641.0,16.62
2010-02-23,79.8,79.8,78.0,78.25,78.3,18575.0,14.62
2010-02-24,78.0,79.4,77.0,78.5,78.0,12405.0,9.67
2010-02-25,79.4,79.4,76.7,77.0,76.95,22691.0,17.53
2010-02-26,77.9,80.75,76.55,79.55,79.65,24094.0,18.98
2010-03-02,80.75,82.25,80.05,81.45,81.1,38490.0,31.29
2010-03-03,81.8,83.5,81.25,82.85,82.65,50365.0,41.49
2010-03-04,82.8,84.0,82.3,83.15,83.15,24716.0,20.56
2010-03-05,82.65,84.65,82.25,82.65,82.65,30963.0,25.84
2010-03-08,83.5,86.0,83.0,83.0,83.3,79811.0,67.52
2010-03-09,84.25,84.3,82.0,83.35,83.4,40729.0,33.94
2010-03-10,82.0,84.5,81.1,83.3,83.15,64978.0,54.17
2010-03-11,82.15,83.65,81.9,82.6,82.35,31465.0,26.0
2010-03-12,82.7,83.8,81.3,81.35,81.55,10479.0,8.62
2010-03-15,81.0,81.1,79.05,79.05,79.15,14346.0,11.45
2010-03-16,79.2,81.35,79.2,80.75,80.65,37080.0,29.87
2010-03-17,81.3,82.0,80.1,80.25,80.2,19827.0,16.03
2010-03-18,80.9,81.9,80.3,80.5,80.6,20466.0,16.54
2010-03-19,80.5,81.5,79.0,79.35,79.4,26328.0,21.09
2010-03-22,78.75,82.95,78.75,80.85,80.35,65373.0,53.06
2010-03-23,81.0,88.35,81.0,84.8,84.85,517043.0,441.83
2010-03-25,85.9,89.85,85.15,86.8,86.5,328039.0,287.15
2010-03-26,86.6,88.2,83.5,84.35,84.45,106149.0,91.53
