Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,19.4,19.85,19.3,,,,
1998-03-23,19.5,19.5,19.5,19.5,19.5,600.0,0.12
1998-03-24,19.75,20.2,19.75,20.2,20.0,14100.0,2.82
1998-03-25,20.8,20.8,20.05,20.3,20.25,7100.0,1.44
1998-03-26,20.9,20.9,20.25,20.25,20.25,4650.0,0.95
1998-03-27,20.0,20.1,19.75,19.8,19.8,1900.0,0.38
1998-03-30,20.0,20.0,19.5,19.5,19.5,800.0,0.16
1998-03-31,19.0,19.4,18.4,18.5,18.5,7950.0,1.5
1998-04-01,19.0,19.95,18.6,19.1,19.1,6900.0,1.32
1998-04-02,19.2,19.9,19.2,19.35,19.35,3900.0,0.76
1998-04-03,19.8,19.85,19.05,19.65,19.65,1700.0,0.33
1998-04-06,19.9,21.0,19.05,20.1,20.2,8950.0,1.8
1998-04-07,21.3,21.3,19.9,20.75,20.75,8650.0,1.77
1998-04-09,21.0,22.5,20.2,22.5,22.5,24650.0,5.26
1998-04-10,24.0,24.75,23.0,24.05,24.15,23900.0,5.76
1998-04-13,23.75,24.05,23.05,23.8,23.9,14700.0,3.49
1998-04-15,24.15,26.3,24.15,26.3,26.3,5400.0,1.41
1998-04-16,27.0,28.95,27.0,28.0,28.6,37600.0,10.76
1998-04-17,28.0,28.95,27.05,28.9,28.45,17800.0,4.99
1998-04-20,28.0,29.0,26.75,27.5,27.4,30950.0,8.73
1998-04-21,28.25,29.85,28.25,29.85,29.75,21300.0,6.24
1998-04-22,32.0,32.75,30.5,31.25,31.7,30100.0,9.64
1998-04-23,31.75,33.0,29.0,33.0,32.1,27400.0,8.53
1998-04-24,32.45,32.45,28.9,30.1,30.0,24900.0,7.4
1998-04-27,32.95,33.0,28.8,29.45,29.1,19000.0,5.7
1998-04-28,28.05,28.5,26.75,27.5,27.2,22150.0,6.09
1998-04-29,29.75,29.75,26.0,27.0,26.3,10650.0,2.96
1998-04-30,26.0,26.5,25.0,26.5,26.45,7300.0,1.89
1998-05-04,27.0,29.1,27.0,29.1,29.1,9100.0,2.6
1998-05-05,29.1,30.95,28.7,29.6,29.8,15500.0,4.55
