Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-03-02,47.8,47.9,38.2,41.25,41.25,125.0,0.06
2010-03-03,40.1,48.1,40.1,47.6,46.8,2781.0,1.3
2010-03-04,47.95,48.1,45.0,45.15,46.0,2708.0,1.26
2010-03-05,45.1,45.1,45.1,45.1,45.1,8.0,0.0
2010-03-08,45.15,47.75,45.15,47.75,47.75,1950.0,0.91
2010-03-09,46.5,48.0,46.5,48.0,48.0,418.0,0.2
2010-03-10,46.4,48.0,45.4,48.0,48.0,1805.0,0.85
2010-03-11,47.0,48.6,45.8,45.8,45.8,342.0,0.16
2010-03-12,42.6,48.6,42.6,45.55,45.55,14.0,0.01
2010-03-15,42.6,42.6,42.6,42.6,42.6,1.0,0.0
2010-03-16,49.6,49.6,42.2,44.3,44.7,916.0,0.42
2010-03-17,46.5,47.45,43.4,44.0,45.8,3200.0,1.47
2010-03-18,43.55,44.2,43.55,44.2,44.2,35.0,0.02
2010-03-19,39.9,47.85,39.9,45.0,45.2,2814.0,1.27
2010-03-22,48.0,48.0,43.35,44.5,44.65,534.0,0.24
2010-03-23,43.0,45.0,42.5,42.5,42.5,34.0,0.01
2010-03-25,45.5,45.5,39.85,43.05,43.05,42.0,0.02
2010-03-26,42.05,43.8,42.05,42.6,42.6,398.0,0.17
2010-03-29,41.75,43.0,41.75,41.85,41.85,61.0,0.03
2010-03-30,41.5,41.5,41.3,41.45,41.45,103.0,0.04
2010-03-31,43.75,43.75,40.65,42.5,42.5,1008.0,0.42
2010-04-01,43.75,43.75,41.95,42.2,42.2,734.0,0.31
2010-04-05,44.5,49.95,44.5,46.6,48.45,9305.0,4.45
2010-04-06,49.45,50.25,49.0,49.0,49.35,531.0,0.26
2010-04-07,47.55,49.9,46.35,46.45,46.45,320.0,0.15
2010-04-08,45.3,53.8,45.2,48.05,49.0,16140.0,8.25
2010-04-09,49.9,51.35,47.0,51.0,51.0,1402.0,0.7
2010-04-12,50.0,50.0,47.3,48.2,48.6,826.0,0.4
2010-04-13,50.35,50.35,49.0,49.8,49.8,302.0,0.15
2010-04-15,44.55,49.0,44.55,44.8,44.95,670.0,0.3
2010-04-16,43.0,50.9,43.0,46.55,46.65,2968.0,1.44
2010-04-19,50.0,50.0,45.25,46.15,46.15,1266.0,0.6
2010-04-20,45.25,46.3,45.25,46.25,46.25,785.0,0.36
2010-04-21,45.7,47.0,45.7,46.55,46.55,596.0,0.28
2010-04-22,47.0,47.05,46.5,46.5,46.8,180.0,0.08
2010-04-23,47.95,49.55,45.85,48.0,47.75,1155.0,0.56
2010-04-27,56.6,56.6,50.0,50.2,50.6,8969.0,4.64
2010-04-28,54.9,57.8,46.6,50.7,50.2,6997.0,3.74
2010-04-29,50.0,51.45,48.4,50.95,50.95,261.0,0.13
2010-04-30,54.0,54.0,49.0,50.35,50.4,6272.0,3.16
2010-05-03,52.85,52.85,50.0,50.0,50.0,721.0,0.36
2010-05-04,54.0,54.0,48.1,50.8,49.45,605.0,0.31
2010-05-05,54.0,54.0,45.35,48.4,48.4,1790.0,0.86
2010-05-06,51.75,51.75,46.3,49.75,49.15,1156.0,0.57
2010-05-07,45.0,47.0,45.0,45.0,45.75,1043.0,0.48
2010-05-10,53.25,53.25,44.15,48.45,47.35,14878.0,7.74
2010-05-11,48.75,48.75,48.0,48.0,48.0,111.0,0.05
2010-05-12,46.05,48.75,46.05,48.75,48.75,52.0,0.02
2010-05-13,48.0,52.7,47.0,48.5,48.5,288.0,0.14
2010-05-14,48.45,48.5,46.05,47.9,47.9,7042.0,3.26
2010-05-17,49.45,49.45,45.15,45.15,45.15,4021.0,1.96
2010-05-18,47.95,47.95,46.5,46.5,46.5,16.0,0.01
2010-05-19,43.25,46.45,43.25,46.45,46.45,50.0,0.02
2010-05-20,37.5,49.5,37.5,44.95,41.55,463.0,0.18
2010-05-21,40.25,44.8,40.0,44.5,41.75,1066.0,0.46
2010-05-24,47.8,48.7,35.1,45.0,44.85,4561.0,2.03
2010-05-25,41.4,44.55,40.0,42.0,41.35,1072.0,0.44
2010-05-26,47.0,47.0,41.0,43.9,41.1,814.0,0.34
2010-05-27,41.25,42.5,40.1,40.15,40.15,300.0,0.12
2010-05-28,40.15,42.85,40.15,42.85,42.85,475.0,0.2
2010-05-31,42.0,43.25,40.55,42.75,41.85,112.0,0.05
2010-06-01,41.05,41.9,41.0,41.9,41.9,247.0,0.1
2010-06-02,47.0,47.0,40.95,42.5,42.7,498.0,0.22
2010-06-03,40.5,44.9,40.5,41.75,42.15,529.0,0.22
2010-06-04,45.0,50.6,45.0,50.6,50.6,28651.0,14.45
2010-06-07,50.6,60.75,47.5,60.75,60.75,447168.0,257.47
2010-06-08,64.45,66.85,54.7,54.8,55.75,1099671.0,680.53
2010-06-09,55.75,57.0,51.1,52.0,52.25,195029.0,103.78
2010-06-10,53.0,57.5,52.2,57.5,57.5,524168.0,295.02
2010-06-11,60.0,62.5,58.2,60.5,60.7,513192.0,310.14
2010-06-14,61.9,62.9,58.0,59.5,58.95,78553.0,46.19
2010-06-15,58.95,62.9,58.5,59.05,59.55,130693.0,79.24
2010-06-16,58.65,60.0,57.65,58.3,58.45,34282.0,20.12
2010-06-17,59.25,59.4,55.05,55.1,55.8,11466.0,6.57
2010-06-18,56.1,56.4,51.8,52.7,52.4,29228.0,15.65
2010-06-21,53.5,55.1,52.95,55.0,54.85,27863.0,15.13
2010-06-22,54.0,54.9,52.5,52.5,52.9,7739.0,4.15
2010-06-23,52.9,53.8,52.0,52.9,52.95,4351.0,2.31
2010-06-24,52.0,53.8,52.0,53.0,53.2,6138.0,3.27
2010-06-25,52.65,54.8,52.55,53.05,53.35,5118.0,2.73
2010-06-28,52.5,53.45,52.5,52.75,52.9,3066.0,1.62
2010-06-29,51.6,52.9,51.6,51.9,51.7,3240.0,1.69
2010-06-30,50.25,54.9,50.25,52.15,52.3,9728.0,5.14
2010-07-01,52.0,54.4,51.05,52.45,52.65,5063.0,2.67
2010-07-02,54.5,54.95,51.05,53.5,53.3,11779.0,6.36
2010-07-05,52.3,52.75,52.3,52.5,52.7,789.0,0.42
2010-07-06,52.05,53.2,52.0,52.5,52.5,1587.0,0.83
2010-07-07,53.0,53.5,51.15,51.15,51.5,2431.0,1.28
2010-07-08,54.8,54.8,51.5,51.9,51.9,5803.0,3.03
2010-07-09,53.0,53.5,51.5,52.5,52.55,6219.0,3.26
2010-07-12,51.45,52.35,51.45,52.0,51.95,1413.0,0.73
2010-07-13,52.9,52.9,50.4,50.85,50.9,5755.0,2.93
2010-07-14,51.2,52.7,50.15,51.1,51.85,4815.0,2.5
2010-07-15,50.85,52.45,50.85,51.5,51.5,1416.0,0.73
2010-07-16,52.0,52.0,51.0,51.9,51.05,845.0,0.43
2010-07-19,51.9,51.9,50.25,50.3,50.4,5093.0,2.58
2010-07-20,50.4,51.75,49.05,49.35,49.95,806.0,0.41
2010-07-21,50.0,51.4,49.7,49.7,49.8,2210.0,1.11
2010-07-22,50.1,50.45,49.5,50.0,50.05,751.0,0.37
2010-07-23,51.85,51.85,49.2,49.3,49.75,6974.0,3.5
2010-07-26,49.25,50.7,49.1,49.1,49.2,1400.0,0.69
2010-07-27,49.5,50.5,48.2,48.25,48.25,575.0,0.28
2010-07-28,48.5,49.45,47.5,48.5,48.45,2514.0,1.2
2010-07-29,47.1,49.0,47.0,47.25,48.1,3267.0,1.57
2010-07-30,47.05,48.95,47.05,48.45,47.35,4882.0,2.34
2010-08-02,48.0,50.65,48.0,49.0,48.8,2392.0,1.17
2010-08-03,48.25,50.4,48.0,48.7,48.7,6182.0,3.04
2010-08-04,48.5,49.8,47.85,49.5,49.35,6742.0,3.3
2010-08-05,50.0,56.65,48.8,53.2,53.05,46620.0,24.97
2010-08-06,53.85,61.5,53.85,55.05,55.35,119004.0,69.31
2010-08-09,56.4,61.0,56.4,60.1,60.65,51185.0,30.27
2010-08-10,63.0,70.9,58.7,65.4,65.35,133851.0,89.44
2010-08-11,63.4,65.5,61.4,61.95,61.85,17515.0,11.0
2010-08-12,63.9,72.4,61.55,71.1,70.2,428611.0,295.97
2010-08-13,71.0,72.45,67.05,70.5,70.7,175135.0,123.11
2010-08-16,67.5,73.6,64.85,70.5,70.5,81516.0,58.5
2010-08-17,68.5,72.0,67.1,68.9,68.3,20771.0,14.34
2010-08-18,60.0,69.7,60.0,67.1,67.3,17553.0,11.95
2010-08-19,70.0,70.5,67.0,69.0,68.45,13053.0,8.92
2010-08-20,69.65,69.65,66.5,67.7,67.15,18044.0,12.25
2010-08-23,67.9,67.95,66.7,67.05,67.25,3250.0,2.19
2010-08-24,68.7,68.7,65.8,66.75,66.9,2594.0,1.73
2010-08-25,65.8,67.85,64.0,64.3,64.8,3342.0,2.18
2010-08-26,65.5,72.5,65.5,67.95,67.3,87575.0,61.78
2010-08-27,67.1,69.9,65.05,65.7,65.95,41814.0,28.52
2010-08-30,68.0,69.3,66.5,67.5,67.65,59916.0,40.83
2010-08-31,67.0,68.95,64.3,66.5,66.15,37251.0,24.93
2010-09-01,67.8,67.9,65.25,67.3,67.0,10234.0,6.81
2010-09-02,69.0,70.4,67.0,68.05,68.15,46745.0,32.16
2010-09-03,66.05,71.0,66.05,71.0,70.3,20096.0,14.09
2010-09-06,72.0,72.0,69.0,71.4,70.75,34557.0,24.42
2010-09-07,71.5,72.8,69.25,69.25,69.9,29641.0,21.12
2010-09-08,70.8,70.8,68.5,68.8,69.0,22683.0,15.8
2010-09-09,64.1,69.5,64.1,67.5,68.4,23389.0,16.14
2010-09-13,68.4,69.85,67.6,68.0,68.0,13262.0,9.02
2010-09-14,67.2,67.75,65.05,65.05,65.35,10484.0,6.99
2010-09-15,67.5,67.5,64.4,64.9,64.8,3737.0,2.45
2010-09-16,64.4,65.6,63.0,63.7,63.5,11139.0,7.17
2010-09-17,64.0,65.05,63.55,64.15,63.95,8884.0,5.69
2010-09-20,65.65,68.85,65.1,68.0,67.7,40666.0,27.47
2010-09-21,67.7,68.05,65.05,65.7,66.25,7071.0,4.71
2010-09-22,67.85,67.85,65.0,65.9,65.9,3353.0,2.21
2010-09-23,65.55,66.25,64.6,64.6,64.6,3497.0,2.28
2010-09-24,66.55,66.55,64.1,64.5,64.55,6338.0,4.11
2010-09-27,64.5,66.3,64.5,65.0,65.15,2444.0,1.6
2010-09-28,65.5,65.9,63.35,65.5,65.2,2637.0,1.71
2010-09-29,64.7,64.7,63.05,64.25,64.25,1024.0,0.66
2010-09-30,64.2,67.0,61.7,67.0,66.65,16280.0,10.66
2010-10-01,70.0,72.5,66.25,66.6,67.9,84098.0,58.23
2010-10-04,67.95,67.95,65.15,65.45,65.8,8024.0,5.31
2010-10-05,63.25,67.0,63.25,66.0,66.2,4554.0,3.01
2010-10-06,66.5,67.0,64.15,64.85,64.85,2633.0,1.73
2010-10-07,64.85,66.85,64.5,65.0,65.3,2387.0,1.56
2010-10-08,65.0,65.0,62.6,62.9,62.9,6800.0,4.32
2010-10-11,64.0,65.5,64.0,64.25,64.5,2789.0,1.81
2010-10-12,66.0,67.0,64.55,65.0,65.05,3819.0,2.5
2010-10-13,66.0,68.8,65.7,67.1,67.35,12746.0,8.59
2010-10-14,66.5,68.5,66.0,66.5,66.65,3501.0,2.36
2010-10-15,66.5,67.95,65.5,65.85,65.9,7867.0,5.23
2010-10-18,74.0,74.0,69.0,70.0,69.95,47615.0,33.53
2010-10-19,70.05,71.0,68.2,69.05,69.1,7031.0,4.91
2010-10-20,68.8,70.9,66.5,66.55,67.55,7567.0,5.23
2010-10-21,65.55,69.0,65.55,67.8,67.8,3415.0,2.32
2010-10-22,66.2,67.95,66.2,66.7,66.9,1196.0,0.8
2010-10-25,66.5,69.0,65.65,67.5,67.5,1683.0,1.14
2010-10-26,66.3,68.5,66.15,66.15,66.95,6546.0,4.39
2010-10-27,66.0,72.5,66.0,70.5,70.4,26208.0,18.57
2010-10-28,69.05,72.5,69.05,70.0,70.4,5565.0,3.96
