Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-12-20,350.0,399.95,292.55,347.5,344.85,23229487.0,76203.38
2005-12-21,347.0,367.3,344.4,350.3,351.65,6054629.0,21809.75
2005-12-22,352.7,354.8,316.0,319.05,318.8,2802745.0,9302.0
2005-12-23,320.1,340.5,312.45,313.8,317.05,4045141.0,13275.12
2005-12-26,318.0,324.0,298.75,301.2,301.25,1768065.0,5495.46
2005-12-27,302.5,312.8,300.0,308.8,307.45,1224404.0,3771.25
2005-12-28,309.0,317.0,305.0,309.1,307.75,801422.0,2496.07
2005-12-29,314.8,318.0,310.25,313.0,312.2,696860.0,2189.46
2005-12-30,315.0,315.0,304.65,305.5,307.15,357348.0,1111.8
2006-01-02,307.0,311.05,303.4,305.0,304.5,220710.0,677.75
2006-01-03,305.05,310.0,304.1,305.0,305.3,208618.0,640.4
2006-01-04,307.9,317.4,303.3,308.5,309.25,382474.0,1190.46
2006-01-05,312.0,313.9,304.1,305.65,305.25,163545.0,504.03
2006-01-06,310.0,312.2,302.5,303.0,303.7,198679.0,609.73
2006-01-09,306.65,307.9,298.75,299.5,301.35,113564.0,345.36
2006-01-10,303.9,327.5,301.15,313.5,313.55,1717675.0,5445.09
2006-01-12,311.0,320.5,308.1,311.4,311.0,548314.0,1726.63
2006-01-13,320.0,323.0,313.0,314.0,313.9,494848.0,1573.39
2006-01-16,316.0,323.45,315.0,317.8,315.95,367931.0,1174.22
2006-01-17,312.4,321.9,305.3,309.0,307.3,225778.0,708.24
2006-01-18,302.2,309.0,298.0,301.15,301.55,169650.0,514.04
2006-01-19,302.0,316.75,302.0,312.5,311.85,451868.0,1410.38
2006-01-20,313.4,332.95,313.4,325.0,324.5,1379896.0,4485.72
2006-01-23,323.8,331.0,316.0,321.65,321.9,616976.0,2006.78
2006-01-24,322.5,334.9,319.05,320.4,321.6,1044711.0,3413.98
2006-01-25,321.0,324.0,308.1,310.0,312.15,580252.0,1836.59
2006-01-27,310.0,314.75,305.1,305.1,306.5,206308.0,638.69
2006-01-30,307.5,310.75,291.0,291.3,292.45,253639.0,755.9
2006-01-31,290.0,305.5,286.55,295.65,296.0,306258.0,916.24
2006-02-01,300.25,302.0,282.05,284.6,284.55,203817.0,596.96
2006-02-02,281.0,291.9,271.25,274.9,273.35,199121.0,556.51
2006-02-03,265.1,280.95,262.05,266.7,264.45,160668.0,431.18
2006-02-06,252.0,286.0,252.0,272.5,271.65,191480.0,516.33
2006-02-07,273.0,278.65,266.1,268.0,267.15,102662.0,277.84
2006-02-08,270.0,270.0,261.1,262.0,262.45,75494.0,198.99
2006-02-10,260.15,281.0,260.15,273.55,274.1,306377.0,842.41
2006-02-13,265.05,280.4,265.05,273.6,275.05,142002.0,391.99
2006-02-14,273.0,278.5,266.2,267.25,267.7,86720.0,236.87
2006-02-15,270.0,274.9,265.25,266.1,266.4,80118.0,215.73
2006-02-16,270.4,272.9,260.0,262.55,263.3,37363.0,99.19
2006-02-17,265.55,269.0,250.0,252.0,251.3,92052.0,235.97
2006-02-20,251.0,252.0,243.0,244.5,243.9,82077.0,201.55
2006-02-21,240.0,254.75,240.0,245.05,246.6,60311.0,150.48
2006-02-22,248.0,248.0,231.25,233.95,233.65,81721.0,195.45
