Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-10-06,60.3,60.9,52.6,53.75,53.7,259758.0,147.33
2008-10-07,53.5,56.5,50.9,55.0,53.85,236020.0,125.78
2008-10-08,53.0,53.0,40.6,44.75,44.85,744958.0,333.02
2008-10-10,40.05,43.0,36.0,38.4,38.7,581785.0,230.41
2008-10-13,40.0,54.1,40.0,52.6,51.85,696999.0,325.77
2008-10-14,54.5,60.0,49.0,49.0,49.95,1730438.0,939.25
2008-10-15,48.0,49.8,42.25,43.65,44.2,621064.0,287.28
2008-10-16,42.0,47.0,38.6,44.85,44.4,610511.0,256.81
2008-10-17,45.0,47.75,42.0,42.0,43.15,407529.0,184.55
2008-10-20,42.0,44.25,38.7,40.0,39.3,420283.0,170.19
2008-10-21,39.1,41.6,38.3,41.45,41.05,260315.0,104.85
2008-10-22,39.0,43.2,39.0,39.1,39.9,534627.0,223.02
2008-10-23,38.0,40.4,36.7,37.95,37.55,402616.0,155.72
2008-10-24,38.0,38.4,31.15,31.15,32.35,415004.0,143.25
2008-10-27,32.0,32.1,24.15,27.2,27.4,684036.0,187.13
2008-10-28,30.4,31.4,29.0,30.65,30.3,107068.0,32.18
2008-10-29,30.0,32.5,29.5,30.75,30.25,325036.0,99.3
2008-10-31,31.0,32.95,30.55,32.25,32.25,243402.0,78.05
2008-11-03,34.55,38.0,32.75,34.2,33.85,799981.0,272.72
2008-11-04,35.0,36.55,34.1,34.7,35.0,1203411.0,424.5
2008-11-05,34.75,35.9,28.1,29.85,29.35,1041722.0,332.65
2008-11-06,28.9,30.7,27.35,27.8,27.75,994994.0,285.5
2008-11-07,27.25,29.9,26.5,28.2,28.15,658765.0,183.63
2008-11-10,29.4,30.75,28.3,29.3,29.1,1114582.0,329.38
2008-11-11,29.5,29.5,27.2,27.4,27.35,430493.0,121.59
2008-11-12,27.0,28.4,26.0,27.25,27.2,527824.0,145.75
2008-11-14,27.95,28.2,26.1,26.35,26.3,462631.0,125.08
2008-11-17,28.0,31.9,27.4,28.4,28.2,4230145.0,1244.0
2008-11-18,28.2,29.0,27.1,27.4,27.25,780524.0,216.99
2008-11-19,27.75,28.3,24.1,25.0,24.9,816795.0,213.73
2008-11-20,25.0,25.0,22.1,23.25,23.1,815008.0,189.14
2008-11-21,22.6,24.65,22.2,23.55,23.35,615675.0,144.79
2008-11-24,23.6,24.85,23.3,23.8,23.7,511183.0,122.55
2008-11-25,25.0,25.85,23.8,24.6,24.8,624235.0,155.08
2008-11-26,24.9,29.75,24.25,29.15,29.25,2302860.0,635.61
2008-11-28,26.9,28.5,26.2,28.0,27.65,700082.0,192.75
2008-12-01,29.5,29.5,25.5,27.6,27.45,543005.0,152.02
2008-12-02,26.5,27.3,25.55,26.9,26.95,260788.0,69.58
2008-12-03,28.0,29.8,27.35,28.3,28.55,831169.0,239.41
2008-12-04,29.0,29.8,26.5,28.0,28.0,1740273.0,487.3
2008-12-05,28.5,29.35,27.5,27.8,27.7,597664.0,170.0
2008-12-08,28.5,29.25,27.3,27.65,27.8,377557.0,107.08
2008-12-10,28.4,28.6,27.65,28.25,28.25,227906.0,64.26
2008-12-11,28.4,30.6,28.05,29.15,29.1,1786848.0,524.11
2008-12-12,28.7,29.9,27.6,29.3,29.3,837388.0,244.02
2008-12-15,29.5,32.7,29.2,30.15,30.5,2320471.0,723.95
2008-12-16,30.9,34.25,30.5,32.2,32.15,2154840.0,699.67
2008-12-17,34.0,34.0,28.7,29.0,29.05,994952.0,311.49
2008-12-18,29.4,32.1,28.6,30.65,30.6,2177417.0,667.11
2008-12-19,30.9,36.8,30.9,36.5,35.7,5929661.0,2015.39
2008-12-22,38.0,38.0,32.8,33.35,33.25,2117251.0,751.03
2008-12-23,33.5,34.5,31.55,31.8,31.85,1097743.0,360.29
2008-12-24,32.0,35.35,31.0,34.7,34.4,1913290.0,640.72
2008-12-26,34.95,37.9,34.2,34.6,34.8,2883429.0,1045.02
2008-12-29,35.95,37.9,35.2,37.0,37.25,2583410.0,950.94
2008-12-30,38.0,42.3,36.2,41.95,41.75,6453767.0,2569.31
2008-12-31,42.75,44.0,39.85,40.6,40.8,4029577.0,1697.83
2009-01-01,42.1,43.25,41.35,41.85,41.85,1838066.0,778.32
2009-01-02,42.0,44.85,40.8,43.75,43.05,2777228.0,1208.86
2009-01-05,44.0,44.5,42.1,42.5,42.65,1100326.0,474.86
2009-01-06,41.25,43.9,41.25,43.0,42.9,1497914.0,641.61
2009-01-07,43.25,44.0,35.2,36.8,36.65,1216879.0,478.96
2009-01-09,35.5,39.7,32.2,34.85,35.1,1233014.0,433.03
2009-01-12,34.05,37.8,34.05,35.0,34.7,1076235.0,385.22
2009-01-13,30.0,36.4,30.0,33.55,33.4,732085.0,249.81
2009-01-14,35.25,37.35,34.2,35.45,35.4,1154213.0,411.6
2009-01-15,34.5,35.7,32.5,34.15,34.25,1014991.0,353.14
2009-01-16,34.6,35.8,34.0,34.65,34.5,573859.0,200.05
2009-01-19,34.95,39.9,33.0,39.35,37.8,2587948.0,952.19
2009-01-20,38.0,39.9,35.6,36.4,36.2,4304691.0,1623.27
2009-01-21,36.0,37.9,34.45,34.65,34.95,1479432.0,537.47
2009-01-22,35.0,36.35,31.15,31.3,31.75,1517860.0,504.74
2009-01-23,31.75,32.8,30.1,30.95,30.75,1149959.0,361.03
2009-01-27,31.95,34.25,30.25,33.55,33.6,1936170.0,633.97
2009-01-28,34.0,35.2,32.8,33.65,33.75,1764901.0,599.2
2009-01-29,34.0,34.5,32.3,32.65,32.75,1739856.0,579.58
2009-01-30,33.0,35.7,32.8,35.1,35.05,2662384.0,919.99
2009-02-02,34.0,35.4,31.05,32.5,32.7,1122174.0,376.8
2009-02-03,33.0,35.45,32.15,32.7,32.55,1106388.0,368.06
2009-02-04,33.0,34.3,32.5,32.7,32.85,1516412.0,506.28
