Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-11-20,7.95,8.2,7.55,8.2,8.1,195419.0,15.24
2008-11-21,7.9,8.2,7.7,8.0,8.0,131554.0,10.43
2008-11-24,8.25,8.4,8.15,8.4,8.4,270305.0,22.68
2008-11-25,8.8,8.85,8.8,8.85,8.85,378239.0,33.47
2008-11-26,9.3,9.3,8.9,9.3,9.3,1343832.0,123.63
2008-11-28,9.0,9.8,8.85,9.8,9.7,713036.0,67.54
2008-12-01,10.0,10.2,9.75,10.1,10.1,1055077.0,106.83
2008-12-02,9.95,10.55,9.6,10.25,10.35,733389.0,74.0
2008-12-03,10.75,10.9,10.35,10.6,10.6,231733.0,24.74
2008-12-04,10.75,11.15,10.3,11.15,11.15,855335.0,93.83
2008-12-05,11.25,11.65,10.8,11.15,11.2,355815.0,40.38
2008-12-08,11.8,11.8,11.4,11.6,11.75,469728.0,54.93
2008-12-10,12.2,12.35,12.05,12.35,12.35,335859.0,41.42
2008-12-11,12.95,13.0,12.85,13.0,13.0,296860.0,38.58
2008-12-12,13.45,13.65,12.4,13.65,13.65,955563.0,128.47
2008-12-15,14.3,14.35,14.0,14.35,14.35,306626.0,43.95
2008-12-16,15.1,15.1,14.25,15.1,15.1,3095081.0,461.7
2008-12-17,15.4,15.85,14.35,15.0,14.9,1791484.0,273.35
2008-12-18,14.65,15.65,14.35,15.65,15.5,1205351.0,182.53
2008-12-19,15.9,16.3,15.2,16.3,16.3,1179687.0,187.95
2008-12-22,16.55,17.05,16.4,16.9,16.8,1058017.0,178.12
2008-12-23,16.8,16.9,16.0,16.0,16.4,1344195.0,220.27
2008-12-24,15.75,16.0,15.6,15.6,15.6,139170.0,21.79
2008-12-26,15.0,16.2,14.85,16.2,16.0,1694895.0,261.34
2008-12-29,16.4,16.8,16.0,16.75,16.8,1170956.0,194.78
2008-12-30,17.05,17.65,16.6,17.3,17.55,1850993.0,321.65
2008-12-31,17.7,18.1,17.1,17.2,17.7,956290.0,169.9
2009-01-01,17.5,18.15,17.4,17.75,17.95,1052502.0,188.27
2009-01-02,17.8,18.85,17.35,18.85,18.85,1414500.0,262.31
2009-01-05,19.3,19.45,18.55,18.7,18.9,1040236.0,199.72
2009-01-06,18.85,19.85,18.35,19.15,19.5,2043185.0,392.33
2009-01-07,19.4,19.4,18.55,18.55,18.55,868777.0,163.24
2009-01-09,17.65,17.65,17.65,17.65,17.65,43399.0,7.66
2009-01-12,16.8,17.05,16.8,16.8,16.8,1884248.0,317.17
2009-01-13,16.1,16.3,16.0,16.0,16.0,265789.0,42.59
2009-01-14,15.2,15.5,15.2,15.2,15.2,516056.0,78.48
2009-01-15,14.45,14.45,14.45,14.45,14.45,156391.0,22.6
2009-01-16,13.75,15.05,13.75,14.5,14.75,1635334.0,231.39
2009-01-19,14.85,15.5,14.35,15.3,15.35,773364.0,117.04
2009-01-20,14.8,15.5,14.6,14.6,14.7,296373.0,44.65
2009-01-21,14.1,14.65,14.0,14.0,14.0,390020.0,55.33
2009-01-22,14.0,14.1,13.3,13.3,13.4,495843.0,67.34
2009-01-23,12.8,13.15,12.75,12.75,12.75,308382.0,39.48
2009-01-27,12.15,12.15,12.15,12.15,12.15,364218.0,44.25
2009-01-28,11.55,12.8,11.55,12.1,12.45,1441381.0,180.18
2009-01-29,12.5,12.65,11.85,11.85,11.9,432296.0,52.69
2009-01-30,12.3,12.3,11.3,11.6,11.55,401430.0,46.25
2009-02-02,11.55,11.55,11.0,11.0,11.0,896937.0,98.84
2009-02-03,11.55,11.55,10.45,10.45,10.45,305258.0,32.23
2009-02-04,10.2,11.0,9.95,11.0,11.0,1128243.0,118.61
2009-02-05,11.4,11.5,11.0,11.05,11.15,447408.0,50.41
