Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,9.3,9.3,9.3,,,,
1998-03-24,9.3,9.3,9.3,9.3,9.3,200.0,0.02
1998-03-25,10.7,10.7,10.7,10.7,10.7,100.0,0.01
1998-03-26,11.8,11.8,11.8,11.8,11.8,100.0,0.01
1998-03-30,10.65,10.65,10.65,10.65,10.65,100.0,0.01
1998-04-17,11.5,11.5,11.5,11.5,11.5,100.0,0.01
1998-04-20,12.5,12.5,12.5,12.5,12.5,100.0,0.01
1998-05-13,12.5,12.5,12.5,12.5,12.5,200.0,0.02
1998-05-15,11.25,11.25,11.25,11.25,11.25,100.0,0.01
1998-06-04,10.15,10.15,10.15,10.15,10.15,100.0,0.01
1998-06-12,9.15,9.15,9.15,9.15,9.15,100.0,0.01
1998-08-10,10.5,10.5,10.5,10.5,10.5,500.0,0.05
1998-08-11,10.5,10.5,10.0,10.0,10.0,4500.0,0.45
1998-08-12,10.0,10.0,10.0,10.0,10.0,500.0,0.05
1998-08-19,10.0,10.0,10.0,10.0,10.0,1000.0,0.1
1998-08-20,10.0,10.0,10.0,10.0,10.0,500.0,0.05
1998-08-31,10.0,10.0,10.0,10.0,10.0,1000.0,0.1
1998-09-07,10.25,10.25,10.25,10.25,10.25,100.0,0.01
1998-10-16,10.0,10.0,10.0,10.0,10.0,500.0,0.05
1998-10-19,10.0,10.0,10.0,10.0,10.0,500.0,0.05
1998-12-09,10.0,10.0,10.0,10.0,10.0,500.0,0.05
1998-12-21,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-02-25,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-02-26,10.0,10.0,10.0,10.0,10.0,100.0,0.01
1999-03-03,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-03-05,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-03-08,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-03-12,10.0,10.0,10.0,10.0,10.0,100.0,0.01
1999-03-16,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-03-18,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-03-19,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-03-22,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-03-23,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-03-24,10.0,10.0,10.0,10.0,10.0,100.0,0.01
1999-03-26,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-03-31,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-04-01,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-04-05,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-04-07,10.1,10.1,10.0,10.0,10.0,300.0,0.03
1999-04-08,10.0,10.0,10.0,10.0,10.0,100.0,0.01
1999-04-09,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-04-13,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-04-16,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-04-19,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-04-20,10.0,10.0,10.0,10.0,10.0,100.0,0.01
1999-04-21,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-04-22,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-04-23,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-04-26,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-04-28,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-04-30,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-05-03,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-05-05,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-05-06,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-05-07,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-05-10,9.75,10.0,9.75,10.0,10.0,200.0,0.02
1999-05-11,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-05-12,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-05-13,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-05-14,12.0,12.0,12.0,12.0,12.0,100.0,0.01
1999-05-17,12.0,12.0,12.0,12.0,12.0,200.0,0.02
1999-05-18,12.0,12.0,12.0,12.0,12.0,100.0,0.01
1999-05-19,12.0,12.0,12.0,12.0,12.0,100.0,0.01
1999-05-20,12.0,12.0,12.0,12.0,12.0,100.0,0.01
1999-05-21,12.0,12.0,12.0,12.0,12.0,100.0,0.01
1999-05-24,10.0,10.0,10.0,10.0,10.0,100.0,0.01
1999-05-25,10.0,10.0,10.0,10.0,10.0,100.0,0.01
1999-05-26,10.0,10.0,10.0,10.0,10.0,100.0,0.01
