Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-03-02,25.8,26.3,22.05,26.3,26.3,1183.0,0.31
2010-03-04,26.45,26.45,23.7,26.35,24.8,300.0,0.08
2010-03-05,26.5,26.5,25.1,25.1,25.1,1000.0,0.26
2010-03-08,24.85,25.0,24.85,25.0,25.0,250.0,0.06
2010-03-09,25.9,25.9,24.6,24.6,24.6,1736.0,0.42
2010-03-10,25.5,25.5,24.1,24.1,24.1,250.0,0.06
2010-03-11,24.75,24.75,24.75,24.75,24.75,100.0,0.02
2010-03-16,24.1,24.2,24.1,24.1,24.15,200.0,0.05
2010-03-17,23.25,24.6,21.15,24.6,24.6,210.0,0.05
2010-03-18,24.0,24.0,21.4,22.3,22.3,81.0,0.02
2010-03-19,20.9,24.9,20.85,24.9,22.15,488.0,0.11
2010-03-22,26.3,26.6,21.1,24.25,24.05,14839.0,3.71
2010-03-23,22.35,24.9,22.35,24.8,23.05,1302.0,0.3
2010-03-25,22.2,24.0,22.2,24.0,24.0,352.0,0.08
2010-03-26,24.7,24.7,23.0,24.0,24.0,1116.0,0.27
2010-03-29,23.05,24.0,23.05,24.0,24.0,1365.0,0.32
2010-03-30,23.1,23.9,23.1,23.9,23.9,1802.0,0.43
2010-03-31,23.35,23.6,23.35,23.6,23.6,180.0,0.04
2010-04-01,23.0,26.0,23.0,25.75,25.75,300.0,0.07
2010-04-05,23.3,29.45,23.25,28.95,29.25,8177.0,2.16
2010-04-06,29.1,29.35,25.55,29.2,29.2,3005.0,0.85
2010-04-07,30.5,33.8,28.25,28.65,28.75,10269.0,3.2
2010-04-08,30.0,30.0,28.9,28.9,28.9,1150.0,0.34
2010-04-09,29.5,29.8,27.0,29.8,29.35,2550.0,0.73
2010-04-12,28.0,30.75,27.5,29.9,29.7,4798.0,1.4
2010-04-13,30.95,31.0,27.65,28.2,28.05,5468.0,1.61
2010-04-15,28.3,28.65,28.3,28.65,28.65,573.0,0.16
2010-04-16,28.15,29.7,28.15,29.7,28.9,500.0,0.14
2010-04-19,26.6,29.5,26.6,27.15,27.05,2320.0,0.66
2010-04-20,25.85,29.4,25.85,29.3,29.3,6476.0,1.85
2010-04-21,34.5,34.5,29.0,29.75,29.95,3777.0,1.16
2010-04-22,28.3,31.5,28.3,30.35,30.35,1454.0,0.45
2010-04-23,25.35,30.0,25.3,29.0,28.95,2458.0,0.7
2010-04-26,32.7,32.8,28.55,29.55,29.7,10560.0,3.31
2010-04-27,29.0,31.0,28.3,28.3,28.3,1835.0,0.54
2010-04-28,27.45,29.85,27.45,29.2,28.9,3549.0,1.01
2010-04-29,28.1,30.15,28.1,29.95,29.95,1120.0,0.33
2010-04-30,34.5,34.5,28.7,28.75,28.95,8995.0,2.71
2010-05-03,28.2,29.65,27.8,28.5,28.5,400.0,0.11
2010-05-04,29.0,34.2,29.0,31.5,31.05,81277.0,26.11
2010-05-05,31.8,32.4,29.25,30.0,30.0,12077.0,3.68
2010-05-06,30.0,30.75,29.5,29.6,30.4,980.0,0.3
2010-05-07,30.5,30.5,28.45,28.45,28.45,3651.0,1.06
2010-05-10,28.45,29.95,28.45,29.65,29.1,2749.0,0.81
2010-05-11,28.15,29.45,28.15,28.35,28.35,401.0,0.11
2010-05-12,30.85,33.0,30.5,30.5,31.05,16854.0,5.36
2010-05-13,30.5,32.45,30.3,32.0,32.0,7623.0,2.43
2010-05-14,31.0,32.75,30.85,32.5,31.3,2380.0,0.75
2010-05-17,28.4,35.45,28.4,31.6,32.25,26739.0,8.95
2010-05-18,31.0,32.8,30.65,32.2,32.0,942.0,0.3
2010-05-19,32.6,32.6,31.3,31.6,31.6,2465.0,0.79
2010-05-20,31.0,32.2,30.2,31.25,31.25,1087.0,0.34
2010-05-21,30.0,30.05,29.5,30.0,30.0,2639.0,0.79
2010-05-24,29.7,29.7,29.7,29.7,29.7,35.0,0.01
2010-05-25,28.8,28.8,28.8,28.8,28.8,100.0,0.03
2010-05-26,28.0,31.7,28.0,28.5,28.95,2206.0,0.64
2010-05-27,31.75,31.85,28.75,29.8,29.8,1256.0,0.37
2010-05-28,29.7,29.7,27.0,28.25,27.65,6180.0,1.77
2010-05-31,27.65,29.0,26.55,27.7,27.65,3279.0,0.9
2010-06-01,28.1,28.1,27.1,27.1,27.1,500.0,0.14
2010-06-02,28.0,28.1,26.0,28.0,28.0,4231.0,1.18
2010-06-03,27.8,28.0,27.5,27.5,27.5,1118.0,0.31
2010-06-04,26.55,29.25,26.55,26.7,27.2,845.0,0.24
2010-06-07,26.4,26.5,26.4,26.5,26.45,9.0,0.0
2010-06-08,27.5,27.75,27.0,27.0,27.0,2500.0,0.68
