Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-05-31,27.95,27.95,25.75,25.9,26.0,58321.0,15.54
2007-06-01,26.9,26.9,25.15,26.75,26.35,13977.0,3.66
2007-06-04,27.95,27.95,25.25,25.5,25.7,7840.0,2.01
2007-06-05,25.5,25.65,25.05,25.1,25.05,3668.0,0.93
2007-06-06,25.1,25.6,24.5,24.7,24.85,3628.0,0.91
2007-06-07,23.2,25.2,23.2,24.25,24.35,3071.0,0.75
2007-06-08,24.85,26.25,24.45,25.0,25.2,7770.0,1.96
2007-06-11,24.7,25.25,24.1,24.85,24.9,3304.0,0.82
2007-06-12,24.0,24.8,23.6,24.4,24.4,2004.0,0.48
2007-06-13,23.5,24.95,23.5,24.6,23.8,3833.0,0.92
2007-06-14,23.7,24.65,23.6,24.25,24.25,2392.0,0.58
2007-06-15,24.05,24.65,23.5,23.65,23.65,1794.0,0.43
2007-06-18,23.5,23.9,23.5,23.5,23.5,1604.0,0.38
2007-06-19,23.65,24.15,23.25,23.3,23.3,2187.0,0.51
2007-06-20,23.3,23.8,23.25,23.5,23.5,1058.0,0.25
2007-06-21,23.55,24.0,23.0,24.0,24.0,1738.0,0.41
2007-06-22,24.0,24.0,23.45,23.6,23.65,1617.0,0.38
2007-06-25,23.6,23.7,22.95,23.7,23.55,2020.0,0.47
2007-06-26,21.7,25.0,21.7,23.6,24.05,2478.0,0.58
2007-06-27,23.0,23.75,23.0,23.15,23.15,1254.0,0.29
2007-06-28,24.7,24.7,23.25,24.6,24.5,1203.0,0.29
2007-06-29,23.55,27.95,23.5,26.0,26.4,34347.0,8.96
2007-07-02,27.75,29.0,25.05,26.75,26.2,10904.0,2.91
2007-07-03,26.0,26.0,23.55,24.85,24.95,4120.0,1.03
2007-07-04,25.8,26.75,24.9,25.5,25.55,11029.0,2.83
2007-07-05,24.55,25.1,24.55,24.8,24.8,1523.0,0.38
2007-07-06,25.9,27.0,25.0,25.5,25.35,2250.0,0.57
2007-07-09,25.5,25.5,24.5,25.0,25.0,2502.0,0.63
2007-07-10,24.0,25.0,24.0,24.7,24.35,3662.0,0.9
2007-07-11,23.75,25.0,23.75,24.25,24.25,1433.0,0.35
2007-07-12,25.25,26.7,24.15,24.5,24.5,6993.0,1.75
2007-07-13,24.2,24.4,23.45,23.45,23.55,9471.0,2.27
2007-07-16,23.5,23.75,22.0,23.3,22.85,5815.0,1.35
2007-07-17,23.5,23.5,22.5,22.5,22.85,10016.0,2.31
2007-07-18,23.05,24.2,22.75,22.8,22.85,13078.0,3.06
2007-07-19,22.55,23.4,22.05,22.5,22.35,4473.0,1.01
2007-07-20,22.2,22.95,22.0,22.2,22.2,2804.0,0.63
2007-07-23,22.0,22.8,21.0,22.0,22.0,3131.0,0.69
2007-07-24,21.2,22.0,19.85,20.0,20.1,21730.0,4.46
