Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2000-04-12,134.75,134.75,127.0,127.0,127.0,150.0,0.19
2000-04-13,118.0,129.0,118.0,129.0,129.0,150.0,0.18
2000-04-18,118.7,118.7,118.7,118.7,118.7,50.0,0.06
2000-05-08,109.2,109.2,109.2,109.2,109.2,250.0,0.27
2000-05-09,108.0,117.9,108.0,117.9,112.65,1100.0,1.21
2000-05-10,111.0,111.0,103.65,103.65,103.65,1050.0,1.11
2000-05-11,96.0,100.0,95.4,95.4,95.4,650.0,0.63
2000-05-12,89.0,95.0,87.8,87.8,87.8,650.0,0.6
2000-05-15,86.0,86.0,81.0,84.0,83.8,850.0,0.7
2000-05-16,77.1,82.0,77.1,78.0,78.15,2600.0,2.04
2000-05-17,78.5,78.5,76.1,76.15,76.15,600.0,0.47
2000-05-18,74.0,74.0,73.0,73.0,73.0,300.0,0.22
2000-05-19,76.0,76.0,74.1,74.1,74.1,250.0,0.19
2000-05-22,74.5,74.6,74.5,74.6,74.6,100.0,0.07
2000-05-23,74.6,74.6,74.0,74.6,74.35,950.0,0.71
2000-05-26,69.1,73.9,69.1,73.9,73.7,300.0,0.22
2000-05-29,72.25,72.4,72.2,72.4,72.3,250.0,0.18
2000-05-30,74.9,75.0,74.0,75.0,74.9,1550.0,1.16
2000-05-31,78.0,78.0,76.55,77.95,78.0,4650.0,3.62
2000-06-01,76.95,76.95,72.0,72.5,72.5,1200.0,0.89
2000-06-02,70.15,74.75,70.0,74.75,74.75,850.0,0.61
2000-06-05,75.0,75.05,72.0,72.0,72.0,1500.0,1.12
2000-06-06,70.0,72.0,70.0,72.0,72.0,350.0,0.25
2000-06-07,72.5,72.5,72.3,72.3,72.3,300.0,0.22
2000-06-08,72.0,72.0,67.1,67.4,67.4,1700.0,1.18
2000-06-09,69.5,72.75,69.5,72.0,72.0,1200.0,0.85
2000-06-12,67.55,72.0,67.55,70.5,70.5,5700.0,4.1
2000-06-13,69.3,71.0,69.0,70.1,70.1,1850.0,1.29
2000-06-14,74.45,74.5,71.75,71.75,71.75,400.0,0.3
2000-06-15,71.15,72.05,71.15,72.0,72.0,200.0,0.14
2000-06-16,71.5,71.5,68.65,68.65,68.65,150.0,0.11
2000-06-19,70.0,70.0,70.0,70.0,70.0,1000.0,0.7
2000-06-20,72.0,74.5,72.0,72.05,73.6,800.0,0.58
2000-06-21,76.55,77.4,75.0,77.2,77.1,850.0,0.64
2000-06-22,74.15,74.15,72.1,72.25,72.65,650.0,0.47
2000-06-23,73.0,73.0,73.0,73.0,73.0,350.0,0.26
2000-06-26,69.5,69.5,69.0,69.0,69.0,500.0,0.35
2000-06-27,71.0,71.0,71.0,71.0,71.0,25.0,0.02
2000-06-28,72.5,72.55,72.5,72.55,72.55,100.0,0.07
2000-06-29,71.0,71.0,70.5,70.5,70.5,300.0,0.21
2000-06-30,70.05,70.05,66.0,68.95,68.95,1350.0,0.91
2000-07-03,65.0,65.0,63.5,65.0,65.0,850.0,0.55
2000-07-04,63.3,66.5,63.25,65.0,65.0,1350.0,0.86
2000-07-05,65.5,70.15,65.1,70.0,69.55,1900.0,1.29
2000-07-06,69.0,75.0,69.0,75.0,73.2,1500.0,1.08
2000-07-07,74.85,74.9,70.5,74.9,74.9,850.0,0.62
2000-07-10,73.0,73.0,71.0,71.0,71.0,100.0,0.07
2000-07-11,71.0,72.5,69.6,72.0,72.0,1150.0,0.83
2000-07-12,71.5,72.0,71.0,71.0,71.5,1400.0,1.0
2000-07-13,70.0,70.1,68.8,68.8,68.8,450.0,0.31
2000-07-14,67.0,68.0,63.3,68.0,64.15,4550.0,2.94
2000-07-17,67.0,69.25,65.5,65.55,65.55,1400.0,0.95
2000-07-18,65.0,65.0,65.0,65.0,65.0,25.0,0.01
2000-07-19,69.7,70.0,69.7,70.0,69.9,650.0,0.45
2000-07-20,72.0,73.0,66.6,73.0,70.75,925.0,0.65
2000-07-21,71.0,74.0,70.95,74.0,72.45,775.0,0.56
2000-07-24,71.0,71.05,67.1,67.1,67.1,250.0,0.18
2000-07-25,69.0,69.45,66.0,69.45,69.45,625.0,0.41
2000-07-26,73.9,74.0,71.1,74.0,73.6,650.0,0.48
2000-07-27,76.9,77.0,69.5,69.95,69.95,450.0,0.32
2000-07-28,68.0,72.0,67.0,69.0,69.0,1250.0,0.86
2000-07-31,66.05,69.0,65.85,69.0,69.0,1075.0,0.71
2000-08-01,71.0,71.0,66.0,68.5,67.4,2650.0,1.81
2000-08-02,68.4,70.0,67.0,70.0,68.4,1429.0,0.97
2000-08-03,67.3,67.3,63.15,66.15,65.95,1650.0,1.09
2000-08-04,65.0,65.0,63.0,63.0,63.0,200.0,0.13
2000-08-07,65.0,65.0,65.0,65.0,65.0,50.0,0.03
2000-08-08,64.85,66.85,64.35,64.35,64.35,1250.0,0.81
2000-08-09,68.5,68.5,68.5,68.5,68.5,1.0,0.0
2000-08-10,69.9,72.0,67.0,72.0,71.2,950.0,0.67
2000-08-11,71.25,71.25,66.0,68.0,67.95,6100.0,4.31
2000-08-14,67.5,67.5,64.5,65.0,65.0,300.0,0.2
2000-08-16,63.1,63.7,63.1,63.7,63.7,125.0,0.08
2000-08-17,64.25,64.25,64.2,64.2,64.2,200.0,0.13
2000-08-18,67.35,67.35,67.35,67.35,67.35,25.0,0.02
2000-08-21,67.9,72.0,64.0,64.0,64.0,225.0,0.16
2000-08-22,68.0,68.0,63.05,68.0,68.0,375.0,0.24
2000-08-23,67.8,67.9,67.8,67.9,67.9,250.0,0.17
2000-08-24,67.0,69.85,67.0,68.0,68.0,800.0,0.54
2000-08-25,66.15,70.65,64.0,70.65,70.65,725.0,0.48
2000-08-28,68.8,73.0,68.8,72.5,72.5,1200.0,0.85
2000-08-29,73.0,78.15,73.0,74.1,75.7,610.0,0.45
2000-08-30,78.0,81.8,78.0,81.8,81.25,775.0,0.63
2000-08-31,83.5,87.75,83.5,87.05,87.05,2201.0,1.92
2000-09-04,90.0,91.0,88.55,89.0,89.0,1500.0,1.34
2000-09-05,90.0,93.0,90.0,90.05,90.45,2375.0,2.17
2000-09-06,93.0,97.6,90.15,92.0,92.0,5235.0,4.99
2000-09-07,90.0,91.7,87.0,87.0,87.2,2785.0,2.46
2000-09-08,86.0,87.85,83.15,85.0,84.85,4750.0,4.04
2000-09-11,86.0,88.5,84.45,87.35,87.55,5350.0,4.66
2000-09-12,86.0,89.0,84.25,87.0,87.05,6825.0,5.91
2000-09-13,91.0,91.8,80.35,80.35,81.1,4230.0,3.57
2000-09-14,81.25,83.2,80.6,80.6,80.6,1750.0,1.43
2000-09-15,79.1,80.95,79.1,79.5,79.5,375.0,0.3
2000-09-18,76.05,76.05,73.6,73.6,73.6,525.0,0.39
2000-09-19,71.0,73.75,68.0,73.75,68.25,2720.0,1.88
2000-09-20,72.9,73.0,68.0,70.0,69.1,1195.0,0.84
2000-09-21,65.25,67.0,63.75,65.0,64.6,2249.0,1.46
2000-09-22,63.0,69.0,61.7,65.0,62.65,2083.0,1.37
2000-09-25,60.0,64.95,60.0,62.35,62.35,280.0,0.17
2000-09-26,61.75,62.7,60.0,60.0,60.0,1922.0,1.17
2000-09-27,62.0,62.0,57.0,57.0,57.0,975.0,0.57
2000-09-28,56.0,58.55,55.4,57.35,55.6,1550.0,0.87
2000-09-29,56.0,56.0,53.8,55.8,55.75,1210.0,0.67
2000-10-03,52.9,55.25,52.9,55.25,54.15,600.0,0.32
2000-10-05,56.85,56.85,54.05,54.2,54.2,1663.0,0.91
2000-10-06,52.1,52.1,52.0,52.0,52.0,550.0,0.29
2000-10-09,53.0,55.0,52.25,55.0,55.0,275.0,0.15
2000-10-10,53.0,53.2,51.0,51.95,51.95,2028.0,1.05
2000-10-11,48.55,50.0,48.0,48.1,48.1,1325.0,0.65
2000-10-12,46.0,46.65,44.55,45.8,45.2,1200.0,0.54
2000-10-13,43.0,45.0,41.6,45.8,41.6,4200.0,1.76
2000-10-16,41.6,44.0,38.3,38.3,38.3,1662.0,0.66
2000-10-17,36.0,38.9,35.5,37.4,37.05,800.0,0.29
2000-10-18,35.25,35.3,34.1,34.15,34.15,850.0,0.29
2000-10-19,34.0,34.0,31.5,31.5,31.5,5475.0,1.76
2000-10-20,31.9,34.05,31.9,34.05,34.05,1961.0,0.65
2000-10-23,34.1,35.85,34.0,35.5,34.6,2075.0,0.71
2000-10-24,35.5,35.85,33.0,34.5,34.6,4225.0,1.44
2000-10-25,36.7,37.35,36.0,37.35,37.35,2350.0,0.86
2000-10-26,39.8,39.9,39.0,39.9,39.9,400.0,0.16
2000-10-27,42.0,43.1,41.0,43.0,43.05,700.0,0.3
2000-10-30,43.0,46.5,40.5,40.5,41.95,2900.0,1.3
2000-10-31,40.1,43.0,39.0,41.45,41.45,3528.0,1.45
2000-11-01,44.0,44.6,41.1,41.1,41.85,2325.0,0.99
2000-11-02,40.1,41.75,40.05,41.75,41.75,250.0,0.1
2000-11-03,42.5,43.0,39.0,43.0,41.2,5166.0,2.13
2000-11-06,42.0,44.5,42.0,43.0,42.75,2130.0,0.92
2000-11-07,42.6,43.0,41.5,42.5,41.6,1400.0,0.59
2000-11-08,44.8,44.9,43.9,43.9,43.9,3777.0,1.69
2000-11-09,45.85,45.85,43.0,44.15,43.75,3616.0,1.6
2000-11-10,42.0,43.0,40.25,40.25,40.25,5445.0,2.22
2000-11-13,37.6,41.0,37.6,37.75,37.9,1900.0,0.72
2000-11-14,38.95,39.9,36.3,39.75,38.7,3030.0,1.16
2000-11-15,41.4,41.5,35.6,35.6,35.6,18200.0,6.77
2000-11-16,36.4,36.55,34.1,34.8,34.8,5391.0,1.9
2000-11-17,33.75,34.85,32.05,33.9,32.5,32415.0,10.61
2000-11-20,33.85,35.0,31.5,31.95,31.95,34879.0,11.35
2000-11-21,31.5,31.95,29.5,30.4,29.8,37939.0,11.52
2000-11-22,31.9,32.2,28.9,32.2,32.2,44193.0,13.69
2000-11-23,33.95,34.8,33.0,34.8,34.8,13372.0,4.55
2000-11-24,37.6,37.6,37.6,37.6,37.6,4970.0,1.87
2000-11-27,40.65,40.65,40.65,40.65,40.65,5455.0,2.22
2000-11-28,43.9,43.9,43.9,43.9,43.9,31003.0,13.61
2000-11-29,46.9,47.45,46.9,47.45,47.45,26242.0,12.43
2000-11-30,51.2,51.25,51.2,51.25,51.25,27865.0,14.28
2000-12-01,55.35,55.35,53.05,55.35,55.35,20519.0,11.34
2000-12-04,59.8,59.8,54.4,59.8,59.8,54458.0,32.01
2000-12-05,64.6,64.6,60.5,64.6,64.6,52840.0,33.51
2000-12-06,69.8,69.8,69.8,69.8,69.8,4860.0,3.39
2000-12-07,75.4,75.4,66.5,71.8,70.85,122095.0,88.74
2000-12-08,69.25,71.8,65.2,65.2,65.2,61142.0,40.62
2000-12-11,62.0,70.45,60.25,70.45,69.9,82622.0,54.22
2000-12-12,73.5,73.5,65.25,66.0,68.6,93820.0,66.77
2000-12-13,70.0,74.0,69.0,70.6,70.8,116887.0,83.76
2000-12-14,72.0,73.0,68.35,68.55,69.0,33997.0,24.0
