Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-04-02,289.2,290.0,289.2,289.2,289.2,5409.0,15.64
2007-04-03,274.75,294.0,274.75,289.0,290.55,157972.0,449.88
2007-04-04,293.0,301.0,289.9,293.0,297.7,50788.0,150.73
2007-04-05,310.0,310.0,282.9,288.0,288.9,157148.0,466.7
2007-04-09,296.95,296.95,280.1,282.0,284.2,34032.0,98.32
2007-04-10,285.0,290.0,278.1,280.15,284.0,70772.0,201.28
2007-04-11,286.4,292.75,276.1,281.4,282.95,29313.0,84.48
2007-04-12,275.1,285.0,273.25,273.25,275.3,10876.0,30.36
2007-04-13,279.7,289.1,278.0,289.1,289.1,65633.0,187.7
2007-04-16,295.0,303.6,290.0,303.6,303.6,556318.0,1635.84
2007-04-17,317.9,318.8,311.0,318.8,318.8,37409.0,119.26
2007-04-18,334.75,334.75,318.0,322.0,321.55,372219.0,1232.57
2007-04-19,317.0,337.65,307.0,337.0,336.1,241194.0,795.56
2007-04-20,343.9,344.9,325.1,326.3,327.05,60948.0,204.2
2007-04-23,334.0,334.8,322.05,324.0,326.3,50312.0,164.56
2007-04-24,325.9,342.5,325.9,339.0,340.2,101911.0,344.06
2007-04-25,341.9,354.7,336.0,346.0,347.45,199709.0,691.24
2007-04-26,350.0,360.9,344.2,347.5,348.85,110041.0,387.69
2007-04-27,346.0,346.5,331.45,331.5,332.25,58427.0,198.51
2007-04-30,327.0,337.9,325.0,332.0,331.3,60134.0,200.44
2007-05-03,335.0,343.3,333.1,333.1,335.4,27131.0,91.95
2007-05-04,335.0,338.0,322.0,322.55,323.8,19299.0,63.82
2007-05-07,325.1,330.0,319.05,319.25,320.25,10222.0,33.16
2007-05-08,326.0,336.3,316.0,327.95,327.7,71336.0,234.72
2007-05-09,317.3,344.1,317.3,342.5,340.6,106038.0,356.99
2007-05-10,357.0,357.0,344.0,350.0,351.65,261555.0,914.9
2007-05-11,342.05,356.0,342.05,352.0,353.15,48638.0,171.22
2007-05-14,360.0,363.25,352.0,360.0,359.75,51993.0,186.94
2007-05-15,358.05,367.4,358.05,364.0,364.95,18084.0,65.97
2007-05-16,372.0,383.2,369.0,383.2,383.15,423825.0,1608.73
2007-05-17,390.0,400.4,387.0,387.1,390.45,455991.0,1789.23
2007-05-18,392.95,404.75,382.0,402.8,401.75,177476.0,706.42
2007-05-21,410.0,418.2,408.1,415.0,412.5,55998.0,231.2
2007-05-22,419.75,419.75,408.1,411.0,412.55,61066.0,251.99
2007-05-23,416.0,428.7,406.0,413.0,415.5,223750.0,933.47
2007-05-24,413.0,433.7,407.15,425.0,425.4,133082.0,559.58
2007-05-25,422.9,442.0,417.3,439.0,439.2,76103.0,332.01
2007-05-28,444.8,454.0,440.15,443.05,444.95,91585.0,410.36
2007-05-29,449.9,449.9,429.0,431.0,432.35,43500.0,190.84
2007-05-30,429.0,435.0,420.0,422.05,430.1,95269.0,407.11
2007-05-31,430.0,432.9,420.15,423.0,421.95,37501.0,159.46
2007-06-01,422.75,429.95,417.0,417.0,417.2,67544.0,283.68
2007-06-04,423.0,425.9,417.0,417.0,417.5,44357.0,186.52
2007-06-05,424.55,424.9,416.2,423.0,422.25,106715.0,448.01
2007-06-06,426.15,427.0,405.0,405.5,410.05,38985.0,163.59
2007-06-07,401.05,415.0,399.05,402.0,402.5,42256.0,171.44
2007-06-08,397.0,410.9,392.0,396.0,395.7,296946.0,1194.64
2007-06-11,415.0,415.0,392.1,396.45,395.35,41031.0,165.69
2007-06-12,407.0,407.0,386.0,394.0,393.8,118710.0,468.76
2007-06-13,396.5,402.9,390.2,390.2,392.3,26665.0,105.76
2007-06-14,410.0,410.0,395.0,396.55,398.45,26396.0,105.13
2007-06-15,404.5,411.8,395.05,406.0,405.1,55858.0,226.31
2007-06-18,409.0,412.5,396.55,398.4,400.0,24447.0,98.82
2007-06-19,412.0,412.0,397.1,398.5,398.05,15352.0,61.47
2007-06-20,410.0,410.0,391.6,393.05,393.3,32590.0,128.87
2007-06-21,397.0,403.5,394.1,397.5,399.35,34265.0,136.95
2007-06-22,402.45,418.0,387.4,410.0,413.65,123397.0,506.75
2007-06-25,414.95,420.05,413.5,417.0,415.05,76669.0,319.58
2007-06-26,420.0,420.4,407.0,407.25,412.05,66265.0,275.97
2007-06-27,412.0,414.9,401.05,402.0,404.35,51882.0,211.12
2007-06-28,409.7,424.6,405.25,418.55,419.65,114240.0,479.44
2007-06-29,422.0,425.9,418.2,421.0,420.05,55042.0,231.9
2007-07-02,420.25,428.0,420.2,423.15,423.3,73490.0,311.84
2007-07-03,429.0,434.0,425.0,427.45,426.85,98600.0,423.19
2007-07-04,427.9,429.95,423.0,426.0,426.25,36785.0,156.85
2007-07-05,433.0,433.0,415.0,426.0,424.25,69083.0,291.6
2007-07-06,428.5,433.0,417.0,425.15,426.6,67744.0,289.89
2007-07-09,434.9,449.75,429.3,431.15,432.25,117274.0,511.84
2007-07-10,440.0,451.0,430.1,449.0,447.0,157759.0,696.53
2007-07-11,446.0,485.5,445.15,482.0,479.5,275913.0,1289.89
2007-07-12,488.7,519.0,488.0,518.75,514.5,443844.0,2238.34
2007-07-13,520.0,537.0,517.6,523.0,523.7,250029.0,1321.05
2007-07-16,528.0,529.0,501.0,518.0,514.75,220230.0,1132.75
2007-07-17,523.0,547.6,517.1,529.65,531.3,326398.0,1741.36
2007-07-18,54.6,60.8,53.0,59.4,59.5,5730569.0,3291.09
2007-07-19,59.75,60.65,57.2,57.45,57.7,2457562.0,1450.64
2007-07-20,58.0,58.0,53.05,54.05,54.5,2429532.0,1338.44
2007-07-23,50.15,58.5,50.15,58.4,58.0,2797580.0,1579.51
2007-07-24,58.5,58.95,54.65,55.1,55.25,1235530.0,695.34
2007-07-25,53.0,56.7,53.0,55.25,55.3,1432124.0,799.91
2007-07-26,55.2,57.9,54.9,57.3,57.35,1069028.0,604.8
2007-07-27,55.5,55.85,52.25,52.5,52.65,752261.0,404.57
2007-07-30,52.05,56.25,51.7,53.65,53.85,867685.0,467.8
2007-07-31,55.0,56.25,54.1,55.05,55.0,731403.0,402.36
2007-08-01,54.55,54.55,52.1,52.15,52.45,757713.0,403.08
2007-08-02,52.5,54.45,52.15,53.7,53.8,328700.0,176.58
2007-08-03,54.55,56.85,54.5,55.45,55.75,806894.0,447.26
2007-08-06,55.9,56.25,53.05,55.15,55.3,527029.0,290.17
2007-08-07,55.05,56.9,54.1,54.75,55.0,277480.0,153.96
2007-08-08,55.0,56.45,54.7,55.2,55.45,559217.0,310.54
2007-08-09,56.0,56.5,54.15,55.0,54.9,514100.0,285.03
2007-08-10,53.1,55.0,52.5,54.4,54.6,359057.0,193.85
2007-08-13,55.8,55.8,54.45,54.65,54.55,217311.0,119.4
2007-08-14,53.0,55.35,53.0,54.55,54.65,203665.0,112.04
2007-08-16,55.0,55.0,52.25,52.5,52.65,239069.0,126.91
2007-08-17,60.0,60.0,48.5,53.3,54.4,394129.0,206.91
2007-08-20,55.95,58.8,54.0,54.6,55.45,413208.0,231.56
2007-08-21,55.55,56.5,51.55,53.45,53.35,271888.0,148.01
2007-08-22,60.0,60.0,52.0,54.1,53.9,245563.0,131.29
2007-08-23,54.55,56.0,52.1,52.5,52.85,283407.0,152.23
2007-08-24,52.0,55.15,51.95,54.1,54.55,328724.0,177.62
2007-08-27,54.75,55.95,53.2,53.55,53.8,360054.0,196.45
2007-08-28,53.5,54.4,53.25,53.3,53.5,78289.0,42.17
2007-08-29,53.0,54.2,52.1,54.0,53.55,81566.0,43.75
2007-08-30,53.5,54.9,53.2,53.45,53.5,136180.0,73.53
2007-08-31,53.5,54.9,53.1,54.1,54.2,186871.0,101.53
2007-09-03,54.05,63.95,54.05,63.05,63.1,3930729.0,2376.44
2007-09-04,63.8,66.4,63.0,65.3,64.9,2326482.0,1514.07
2007-09-05,67.0,71.25,63.7,68.35,68.55,3034202.0,2066.26
2007-09-06,69.5,73.4,61.0,71.6,71.95,2625761.0,1877.54
2007-09-07,72.1,74.45,71.05,73.0,73.15,2151145.0,1570.11
2007-09-10,78.0,78.0,70.0,73.35,73.55,1495531.0,1103.21
2007-09-11,73.05,74.5,71.25,71.5,71.75,907679.0,661.76
2007-09-12,71.2,73.0,68.05,68.5,68.6,1115385.0,787.8
2007-09-13,68.6,71.35,68.5,70.15,69.8,675121.0,472.89
2007-09-14,70.5,71.45,68.75,69.15,68.9,335244.0,234.78
2007-09-17,68.75,70.0,68.75,69.25,69.05,311655.0,215.13
2007-09-18,68.95,73.6,68.5,72.0,72.1,866319.0,619.31
2007-09-19,72.85,80.5,72.5,75.6,76.05,4134191.0,3192.26
2007-09-20,77.0,77.25,73.0,74.45,74.25,1213829.0,914.2
2007-09-21,74.75,76.5,73.15,74.15,73.95,577888.0,430.03
2007-09-24,74.5,83.1,74.5,80.2,80.65,2592302.0,2056.97
2007-09-25,81.0,84.55,77.5,82.75,83.55,2948924.0,2427.0
2007-09-26,82.6,85.0,81.75,82.35,82.25,840177.0,703.24
2007-09-27,83.05,83.8,79.5,82.0,80.95,596884.0,486.92
2007-09-28,80.5,83.2,80.1,80.45,80.5,641493.0,521.09
2007-10-01,79.45,82.4,78.15,79.7,80.4,681309.0,548.21
2007-10-03,81.0,81.0,75.0,75.65,76.85,781478.0,611.56
2007-10-04,75.05,78.5,74.85,78.0,77.85,431815.0,332.05
2007-10-05,78.9,79.0,71.0,71.25,72.7,755785.0,571.32
2007-10-08,73.7,75.5,73.7,75.0,74.85,1156012.0,863.81
2007-10-09,72.5,75.0,72.5,75.0,74.85,729520.0,544.1
2007-10-10,75.5,82.15,75.5,80.0,80.45,1371913.0,1089.76
2007-10-11,81.0,81.0,77.0,78.8,79.1,1172608.0,927.91
2007-10-12,79.0,79.9,75.0,75.45,75.7,874507.0,680.68
2007-10-15,76.0,86.45,75.5,85.2,85.1,2634174.0,2166.59
2007-10-16,84.0,88.8,82.7,85.3,85.65,1795231.0,1552.56
2007-10-17,80.0,83.1,71.0,80.5,81.0,2045946.0,1598.05
2007-10-18,84.6,84.6,72.9,74.55,75.3,843769.0,683.45
2007-10-19,84.0,84.0,69.0,71.9,72.15,957749.0,700.73
2007-10-22,70.0,76.4,65.1,73.0,73.0,358140.0,264.69
2007-10-23,75.45,81.4,74.5,79.95,79.95,1196589.0,948.91
2007-10-24,81.0,82.4,77.75,78.2,79.6,757057.0,607.14
2007-10-25,80.05,80.05,76.5,78.0,78.25,335655.0,263.37
2007-10-26,78.0,80.5,76.55,77.25,77.55,531574.0,418.03
2007-10-29,79.8,82.5,77.55,81.0,81.85,1207748.0,977.53
2007-10-30,82.5,84.45,78.1,81.5,81.45,1614665.0,1329.28
2007-10-31,82.0,85.7,81.0,84.15,84.45,1681595.0,1411.4
2007-11-01,84.95,89.5,82.55,83.35,84.55,2224476.0,1933.22
2007-11-02,80.55,84.55,80.3,83.75,83.75,449615.0,375.87
2007-11-05,83.0,84.5,81.0,81.1,81.5,322061.0,266.35
2007-11-06,81.0,82.95,75.7,76.55,77.55,357049.0,283.81
2007-11-07,77.8,80.0,72.0,75.8,75.7,366208.0,279.21
2007-11-08,70.3,76.9,70.3,76.5,76.25,234390.0,176.84
2007-11-09,79.2,79.9,76.25,77.0,77.1,185950.0,143.83
2007-11-12,76.0,76.0,72.55,73.5,73.75,379562.0,279.79
2007-11-13,73.05,77.5,72.6,73.4,73.2,545950.0,405.39
2007-11-14,74.0,77.0,72.55,73.0,73.3,520215.0,388.43
2007-11-15,73.05,82.75,72.5,78.0,78.4,1716863.0,1340.32
2007-11-16,81.8,84.0,78.5,79.0,80.05,1458972.0,1179.7
2007-11-19,81.0,82.45,77.75,78.5,78.55,557659.0,445.92
2007-11-20,78.2,79.9,74.1,76.7,76.7,419855.0,327.9
2007-11-21,77.0,78.45,73.5,73.9,73.95,303049.0,230.01
2007-11-22,73.5,75.05,71.35,72.75,72.95,442431.0,322.75
2007-11-23,74.95,76.9,72.75,73.45,73.2,542552.0,404.04
2007-11-26,74.05,80.5,74.05,78.0,78.25,822206.0,643.92
2007-11-27,77.25,79.35,74.5,78.5,78.6,380437.0,296.42
2007-11-28,79.0,82.0,76.5,76.95,77.0,689187.0,546.55
2007-11-29,78.5,80.5,77.3,79.15,78.95,423641.0,334.98
2007-11-30,79.75,80.2,77.1,77.9,77.7,292892.0,230.49
2007-12-03,78.75,80.85,78.05,78.1,78.45,619913.0,492.98
2007-12-04,79.2,81.3,77.05,78.9,78.8,888974.0,708.29
2007-12-05,79.0,79.65,77.05,77.6,77.4,237866.0,186.33
2007-12-06,79.4,79.4,76.0,76.9,76.55,223595.0,174.05
2007-12-07,77.0,78.9,75.55,75.95,76.5,411349.0,314.6
2007-12-10,76.5,77.8,75.15,76.9,77.45,568138.0,438.6
2007-12-11,76.2,90.8,76.2,89.2,87.7,7697220.0,6609.91
2007-12-12,88.95,101.9,85.5,97.3,99.3,10744706.0,10182.36
2007-12-13,98.8,106.45,97.15,100.0,100.55,6308241.0,6452.24
2007-12-14,99.95,108.0,98.0,98.5,98.8,2525333.0,2562.38
2007-12-17,98.1,100.75,90.0,92.0,91.8,1414676.0,1360.13
2007-12-18,91.05,98.7,89.2,94.7,94.2,1985894.0,1894.4
2007-12-19,94.9,99.6,94.1,95.05,96.2,4605775.0,4428.72
2007-12-20,96.5,99.0,93.2,97.0,97.5,2005021.0,1930.48
2007-12-24,100.0,100.0,96.0,97.25,97.3,1327920.0,1300.34
2007-12-26,98.0,111.4,97.5,109.85,108.55,4272639.0,4525.62
2007-12-27,108.0,117.4,107.5,109.25,109.6,6964930.0,7786.11
2007-12-28,108.9,109.9,103.25,108.2,108.9,2586843.0,2770.8
2007-12-31,110.0,113.75,106.0,106.0,107.3,2466630.0,2729.24
2008-01-01,106.35,114.25,106.35,112.75,112.0,2430630.0,2725.16
2008-01-02,107.95,114.8,107.95,111.3,111.7,1537547.0,1710.17
2008-01-03,109.0,113.0,108.05,110.1,110.3,931525.0,1035.12
2008-01-04,112.0,112.4,109.0,109.15,109.55,917512.0,1015.42
2008-01-07,105.55,125.0,105.55,123.0,122.6,4654979.0,5520.78
2008-01-08,124.7,142.1,118.05,124.55,124.55,7642930.0,9804.51
2008-01-09,126.0,126.0,113.5,114.15,114.4,2982135.0,3541.18
2008-01-10,113.15,120.5,105.55,107.8,107.25,1756060.0,2014.07
2008-01-11,119.0,119.0,99.25,106.9,105.9,1493182.0,1546.0
2008-01-14,102.0,109.4,102.0,104.4,104.4,1010574.0,1062.93
2008-01-15,104.4,106.5,99.6,102.25,101.5,1852736.0,1899.99
2008-01-16,96.4,106.55,96.4,104.0,104.05,1450630.0,1484.05
2008-01-17,101.25,111.95,101.25,108.2,108.35,1712583.0,1857.45
2008-01-18,107.8,115.5,102.0,103.0,103.3,3260614.0,3600.82
2008-01-21,103.0,103.0,82.65,83.0,84.45,2156437.0,2004.1
2008-01-22,80.0,81.0,67.6,77.3,75.5,497382.0,352.2
2008-01-23,76.6,90.6,76.6,90.6,90.25,843643.0,718.65
2008-01-24,96.3,101.0,79.0,80.8,80.85,906933.0,788.22
2008-01-25,80.8,88.0,80.8,85.9,85.55,819425.0,691.41
2008-01-28,77.15,84.4,76.0,81.4,81.55,378817.0,308.87
2008-01-29,82.5,84.8,80.5,81.4,81.05,491652.0,403.66
2008-01-30,81.5,86.9,74.5,75.15,76.15,1525283.0,1244.92
2008-01-31,77.0,77.75,71.05,75.5,74.8,724818.0,543.41
2008-02-01,76.0,79.3,75.2,78.0,77.55,614950.0,475.04
2008-02-04,78.9,82.4,78.9,80.6,80.55,460682.0,373.37
2008-02-05,79.0,82.1,77.5,78.75,78.5,499510.0,397.33
2008-02-06,76.5,82.85,71.3,81.5,81.5,846102.0,682.1
2008-02-07,82.9,85.3,79.8,80.6,80.65,1052977.0,869.13
2008-02-08,82.5,82.5,79.05,82.0,81.25,551762.0,446.96
2008-02-11,79.0,80.85,67.6,73.9,75.75,2126749.0,1582.36
2008-02-12,74.8,78.5,65.35,66.35,67.25,482421.0,335.13
2008-02-13,68.4,72.1,66.3,70.0,69.85,981477.0,686.67
2008-02-14,71.6,83.85,71.6,83.0,82.8,2145143.0,1688.22
2008-02-15,79.9,84.9,79.4,80.8,81.6,2360562.0,1952.24
2008-02-18,82.5,85.6,80.05,81.3,81.05,2177860.0,1792.01
2008-02-19,82.45,90.4,82.3,85.4,85.7,4836634.0,4202.09
2008-02-20,86.4,88.7,84.3,85.9,85.65,1644061.0,1423.38
2008-02-21,86.5,87.9,83.5,87.0,86.95,1885926.0,1628.16
2008-02-22,81.05,89.0,81.05,86.5,86.55,951700.0,815.74
2008-02-25,87.1,98.6,85.0,95.75,96.75,12523301.0,11237.92
2008-02-26,97.55,99.5,93.55,93.8,94.4,2815521.0,2729.4
2008-02-27,95.85,100.3,93.75,94.1,94.8,5518013.0,5387.58
2008-02-28,92.0,96.25,92.0,94.05,94.15,1223297.0,1159.32
2008-02-29,85.15,100.3,85.15,93.05,93.9,3333770.0,3213.75
2008-03-03,90.1,92.95,86.35,86.5,86.65,1395426.0,1240.28
2008-03-04,85.05,88.45,77.9,81.0,81.3,1621874.0,1334.56
2008-03-05,82.5,83.85,80.2,82.5,82.75,1453466.0,1200.75
2008-03-07,81.9,81.9,73.0,73.25,74.5,1650357.0,1254.87
2008-03-10,74.5,74.9,67.3,74.45,73.0,1967110.0,1378.72
2008-03-11,72.5,81.8,71.1,77.0,77.25,3183856.0,2486.11
