Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-09-26,59.0,59.8,52.0,56.45,53.55,2235.0,1.25
2006-09-27,52.25,57.2,52.25,56.75,56.75,330.0,0.19
2006-09-28,52.15,62.95,52.15,59.8,59.8,1452.0,0.83
2006-09-29,59.0,59.65,57.5,59.0,59.5,905.0,0.53
2006-10-03,58.95,61.0,58.95,61.0,61.0,1810.0,1.1
2006-10-04,64.0,73.2,64.0,68.0,69.35,15998.0,11.22
2006-10-05,74.0,74.25,67.0,67.0,68.65,22025.0,15.8
2006-10-06,69.1,70.2,68.0,69.0,69.45,6866.0,4.75
2006-10-09,69.0,74.8,69.0,69.0,69.05,4576.0,3.18
2006-10-10,69.5,69.5,67.5,67.5,67.5,2833.0,1.92
2006-10-11,68.5,69.8,68.0,68.75,68.75,2955.0,2.04
2006-10-12,68.75,68.75,66.05,66.6,66.5,3064.0,2.04
2006-10-13,67.0,67.75,66.25,66.25,66.25,3035.0,2.03
2006-10-16,66.5,70.0,66.5,67.6,67.7,4203.0,2.88
2006-10-17,67.9,69.0,66.4,66.4,66.9,1344.0,0.91
2006-10-18,69.2,69.25,65.9,65.9,66.55,1687.0,1.14
2006-10-19,65.3,68.0,65.3,66.5,66.6,459.0,0.31
2006-10-20,66.35,69.45,66.35,69.45,68.5,2574.0,1.76
2006-10-21,70.2,70.7,68.6,70.6,69.9,4010.0,2.8
2006-10-23,70.85,70.9,69.0,70.3,70.05,1500.0,1.05
2006-10-26,68.55,70.5,68.55,70.0,70.1,1403.0,0.98
2006-10-27,69.25,70.65,69.25,70.05,70.05,510.0,0.36
2006-10-30,69.3,73.9,69.0,71.0,70.45,3171.0,2.23
2006-10-31,73.75,73.85,70.45,71.0,71.0,1596.0,1.16
2006-11-01,70.0,71.0,70.0,70.0,70.0,1347.0,0.94
2006-11-02,71.0,76.25,70.5,75.0,74.95,16509.0,12.1
2006-11-03,75.0,82.35,72.6,76.0,76.05,7020.0,5.37
2006-11-06,77.0,78.9,76.0,76.0,76.2,8873.0,6.88
2006-11-07,75.0,83.9,75.0,76.15,77.3,5696.0,4.49
2006-11-08,78.0,78.5,73.0,74.85,74.85,1000.0,0.77
2006-11-09,70.05,74.7,70.05,72.0,72.5,1825.0,1.33
2006-11-10,73.9,77.25,71.1,75.0,75.1,39898.0,29.98
2006-11-13,76.0,86.8,76.0,80.5,81.95,14278.0,11.66
2006-11-14,84.0,93.4,82.5,86.0,85.75,51488.0,46.08
2006-11-15,88.0,91.0,85.35,86.0,85.65,14919.0,13.05
2006-11-16,90.0,90.0,87.25,87.25,87.85,14058.0,12.5
2006-11-17,88.75,89.0,85.5,87.0,86.1,4251.0,3.67
2006-11-20,87.0,90.0,82.0,84.5,83.35,7821.0,6.56
2006-11-21,87.75,96.5,85.0,95.0,93.35,67251.0,62.24
2006-11-22,108.0,108.0,92.25,92.9,93.1,70581.0,66.93
2006-11-23,93.5,94.75,88.55,91.15,91.75,44018.0,40.65
2006-11-24,91.0,91.8,89.05,89.95,89.7,14915.0,13.5
2006-11-27,97.0,97.0,91.0,96.0,95.7,27965.0,26.59
2006-11-28,97.95,98.5,93.0,97.0,96.6,33775.0,32.53
2006-11-29,99.0,100.7,97.6,98.75,98.8,29384.0,29.16
2006-11-30,98.75,114.0,98.0,110.7,109.4,93095.0,99.64
2006-12-01,114.0,120.35,113.5,120.35,120.35,74953.0,88.97
2006-12-04,126.85,132.4,124.5,132.4,132.4,132832.0,173.87
2006-12-05,140.0,145.65,140.0,145.65,145.65,22371.0,32.5
2006-12-06,160.2,160.25,131.6,142.1,142.15,297376.0,432.46
2006-12-07,141.0,144.0,128.0,129.0,129.15,114171.0,153.12
2006-12-08,132.0,133.2,123.1,125.75,125.3,80939.0,101.74
2006-12-11,125.0,137.85,125.0,134.5,137.4,142717.0,194.65
2006-12-12,135.0,137.0,123.7,124.0,123.95,59056.0,77.46
2006-12-13,120.0,127.5,117.75,118.7,118.05,44688.0,53.23
2006-12-14,120.5,122.0,115.1,118.1,118.4,43028.0,51.18
2006-12-15,120.45,123.45,118.6,119.0,120.0,23366.0,28.32
2006-12-18,122.0,123.95,119.0,121.35,121.6,15534.0,18.85
2006-12-19,121.45,123.0,116.0,119.0,118.3,12142.0,14.46
2006-12-20,119.25,120.5,117.0,117.75,118.6,12658.0,15.02
2006-12-21,119.0,119.05,116.55,117.2,117.75,4323.0,5.1
2006-12-22,120.1,122.4,117.8,119.3,120.7,18082.0,21.77
2006-12-26,119.15,120.4,117.3,119.25,118.65,10784.0,12.82
2006-12-27,118.7,120.9,117.4,118.4,117.95,3001.0,3.55
2006-12-28,116.05,116.5,113.05,116.5,115.5,8077.0,9.26
2006-12-29,110.0,117.0,110.0,115.6,115.1,13651.0,15.66
2007-01-02,116.8,118.35,116.0,116.0,116.35,4940.0,5.79
2007-01-03,116.0,121.9,115.0,118.15,118.45,7913.0,9.32
2007-01-04,118.5,123.4,118.5,121.5,121.45,2818.0,3.42
2007-01-05,123.2,123.2,119.0,119.1,119.65,2591.0,3.15
