Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-02-06,190.0,190.0,180.4,181.05,181.4,7375.0,13.59
2007-02-07,186.9,189.85,183.3,188.0,187.95,4019.0,7.54
2007-02-08,185.4,188.0,182.4,183.6,185.95,610.0,1.13
2007-02-09,180.3,184.95,175.0,181.2,181.2,240.0,0.43
2007-02-12,180.0,180.0,170.1,180.0,179.9,901.0,1.6
2007-02-13,184.9,184.9,180.1,180.1,180.1,150.0,0.27
2007-02-14,178.0,180.0,175.05,180.0,180.0,398.0,0.71
2007-02-15,180.0,180.0,172.65,172.65,172.65,271.0,0.48
2007-02-19,198.5,200.0,173.1,179.9,179.9,1844.0,3.4
2007-02-20,180.0,183.85,172.1,177.1,176.5,5660.0,10.03
2007-02-21,180.05,180.05,160.0,170.0,170.0,19244.0,32.96
2007-02-22,170.0,172.75,168.1,170.0,170.0,25592.0,43.51
2007-02-23,168.0,168.05,168.0,168.05,168.05,100.0,0.17
2007-02-26,168.05,175.9,161.0,161.0,161.0,341.0,0.57
2007-02-27,169.2,169.25,153.5,160.0,160.0,4416.0,7.37
2007-02-28,160.0,171.95,158.0,158.0,158.0,975.0,1.56
2007-03-01,178.7,178.7,158.2,165.5,165.5,240.0,0.39
2007-03-02,162.5,162.5,140.2,153.0,150.3,1622.0,2.44
2007-03-05,149.45,149.45,131.0,135.0,134.6,900.0,1.25
2007-03-06,146.0,146.0,143.05,143.05,143.05,649.0,0.94
2007-03-07,145.0,162.0,145.0,154.8,154.8,10596.0,15.9
2007-03-08,150.0,150.1,150.0,150.0,150.0,600.0,0.9
2007-03-12,155.9,165.0,150.0,165.0,161.95,800.0,1.28
2007-03-14,159.0,160.0,158.0,160.0,160.0,13700.0,21.91
2007-03-15,158.0,162.0,150.0,162.0,160.2,806.0,1.28
2007-03-16,153.0,160.0,142.0,159.0,158.8,399.0,0.62
2007-03-19,161.0,161.0,161.0,161.0,161.0,1.0,0.0
2007-03-20,162.9,162.9,162.0,162.0,162.0,20.0,0.03
2007-03-21,161.25,161.25,155.0,155.0,155.0,80.0,0.13
2007-03-22,158.0,158.9,147.85,147.85,147.85,5.0,0.01
2007-03-23,146.0,175.0,143.0,167.0,152.9,2454.0,3.65
2007-03-26,152.1,176.0,149.0,152.0,159.65,54810.0,88.35
2007-03-28,167.0,168.0,150.5,164.0,161.35,50456.0,84.72
2007-03-29,154.0,161.0,152.0,160.0,159.25,240312.0,382.76
2007-03-30,158.0,160.0,151.5,160.0,160.0,40169.0,64.25
2007-04-02,153.15,160.0,152.0,160.0,157.95,3970.0,6.24
2007-04-03,150.0,159.0,150.0,159.0,158.7,700.0,1.08
2007-04-04,152.0,161.0,142.0,159.0,158.95,5647.0,8.91
2007-04-05,160.0,161.0,158.0,161.0,160.0,874.0,1.4
2007-04-09,163.0,166.0,159.0,164.5,164.5,1236.0,2.03
2007-04-10,160.0,163.0,159.95,163.0,161.25,550.0,0.89
2007-04-11,160.05,160.15,156.5,159.0,159.0,10138.0,16.12
2007-04-12,157.0,158.75,150.65,153.1,153.1,378.0,0.59
2007-04-13,154.0,155.0,153.25,155.0,155.0,535.0,0.82
2007-04-16,152.0,158.5,152.0,155.1,155.1,778.0,1.19
2007-04-17,158.9,158.9,155.0,155.0,155.0,13.0,0.02
2007-04-18,152.25,157.0,151.0,157.0,154.85,783.0,1.21
2007-04-19,159.5,159.5,153.15,153.45,153.45,144.0,0.22
2007-04-20,153.2,154.5,151.1,154.0,154.3,1316.0,2.01
2007-04-23,158.75,158.75,155.0,155.0,155.0,320.0,0.5
2007-04-24,154.9,161.9,154.9,155.6,155.6,613.0,0.96
2007-04-25,161.95,166.9,158.0,161.15,161.6,1207.0,1.95
2007-04-26,170.0,180.0,160.0,173.9,174.85,14649.0,25.33
2007-04-27,170.0,173.9,159.0,159.0,160.0,9920.0,16.16
2007-04-30,156.0,169.5,155.0,158.1,157.1,1624.0,2.54
2007-05-03,164.9,170.0,159.55,159.55,160.95,2200.0,3.59
2007-05-04,165.0,165.0,155.2,155.2,156.2,1100.0,1.75
2007-05-07,156.15,160.0,156.0,160.0,157.95,333.0,0.52
2007-05-08,150.25,160.95,150.25,155.7,155.7,541.0,0.85
