Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,59.5,59.9,58.5,,,,
1998-03-23,58.0,58.0,58.0,58.0,58.0,100.0,0.06
1998-03-24,56.5,58.0,56.5,58.0,57.65,1700.0,0.98
1998-03-25,57.0,58.75,57.0,58.75,58.55,400.0,0.23
1998-03-26,60.0,60.9,58.0,58.0,58.0,1400.0,0.82
1998-03-27,57.5,57.5,57.05,57.5,57.5,400.0,0.23
1998-03-30,58.5,58.85,57.5,57.5,57.5,900.0,0.52
1998-03-31,57.1,57.1,54.0,54.0,54.0,1000.0,0.56
1998-04-01,56.9,59.1,56.9,59.1,59.05,700.0,0.41
1998-04-02,58.5,58.5,58.5,58.5,58.5,100.0,0.06
1998-04-03,58.5,58.5,57.05,58.0,58.0,500.0,0.29
1998-04-06,59.95,59.95,58.2,58.75,58.75,500.0,0.29
1998-04-07,59.0,59.9,57.0,59.9,59.25,1100.0,0.65
1998-04-09,63.9,65.0,61.7,64.8,63.9,1800.0,1.15
1998-04-10,65.0,70.25,65.0,70.25,70.25,2600.0,1.78
1998-04-13,69.2,71.0,67.5,67.55,68.85,2500.0,1.73
1998-04-15,70.0,75.5,70.0,75.5,75.5,2700.0,1.99
1998-04-16,74.25,76.25,74.0,74.5,74.5,2800.0,2.09
1998-04-17,70.1,72.0,68.0,71.9,71.95,1700.0,1.19
1998-04-20,68.3,69.4,66.15,66.15,67.4,1000.0,0.68
1998-04-21,69.0,69.05,65.05,65.2,65.2,1900.0,1.27
1998-04-22,66.0,69.4,62.5,63.0,63.0,800.0,0.52
1998-04-23,63.15,63.5,63.15,63.5,63.5,300.0,0.19
1998-04-24,59.0,61.4,59.0,61.4,61.4,700.0,0.42
1998-04-27,65.0,65.0,59.0,59.0,59.0,600.0,0.36
1998-04-28,60.5,60.65,58.75,60.0,60.0,1400.0,0.84
1998-04-29,60.0,60.0,60.0,60.0,60.0,100.0,0.06
1998-04-30,60.0,61.75,59.1,60.55,60.75,600.0,0.36
1998-05-04,60.65,62.0,60.65,62.0,62.0,500.0,0.31
1998-05-05,61.0,61.0,60.2,60.2,60.2,800.0,0.49
1998-05-06,59.6,60.0,59.6,60.0,60.0,500.0,0.3
1998-05-08,58.0,60.0,58.0,59.5,59.5,500.0,0.3
1998-05-11,59.5,60.5,59.5,60.5,60.5,400.0,0.24
1998-05-12,57.05,60.0,57.05,59.0,59.65,800.0,0.48
1998-05-13,58.65,58.8,56.0,58.5,58.5,1200.0,0.7
1998-05-14,57.0,57.0,56.0,57.0,56.75,1100.0,0.62
1998-05-15,56.1,57.4,56.1,57.4,57.4,200.0,0.11
1998-05-18,59.35,59.35,59.35,59.35,59.35,100.0,0.06
1998-05-19,59.5,59.5,59.0,59.0,59.0,300.0,0.18
1998-05-20,61.95,64.5,61.35,61.35,61.35,1000.0,0.63
1998-05-21,66.0,67.5,64.0,65.0,65.0,1300.0,0.87
1998-05-22,65.8,65.8,63.0,64.0,64.0,1100.0,0.71
1998-05-25,62.1,62.25,62.0,62.1,62.1,600.0,0.37
1998-05-26,61.1,61.5,60.1,60.1,61.0,1000.0,0.61
1998-05-28,57.1,57.1,57.1,57.1,57.1,100.0,0.06
1998-06-01,59.4,59.4,56.0,56.0,56.0,500.0,0.28
1998-06-02,55.0,55.0,53.0,53.2,53.35,800.0,0.43
1998-06-03,54.05,55.0,54.0,55.0,55.0,900.0,0.49
1998-06-04,55.0,60.0,55.0,60.0,60.0,1500.0,0.85
1998-06-05,55.1,56.95,55.0,56.95,55.5,600.0,0.33
1998-06-08,52.5,53.5,52.5,53.5,53.5,300.0,0.16
1998-06-09,53.15,53.5,52.5,52.5,52.75,1500.0,0.8
1998-06-10,52.25,53.0,52.1,53.0,53.0,300.0,0.16
1998-06-11,53.0,53.0,47.75,53.0,53.0,400.0,0.21
1998-06-15,52.0,52.0,52.0,52.0,52.0,100.0,0.05
1998-06-16,49.0,49.05,49.0,49.05,49.05,300.0,0.15
1998-06-18,51.95,52.0,51.95,52.0,52.0,300.0,0.16
1998-06-19,50.0,50.0,50.0,50.0,50.0,200.0,0.1
1998-06-23,48.9,51.9,48.9,51.9,51.9,300.0,0.15
1998-06-24,50.0,50.95,49.8,50.0,50.0,700.0,0.35
1998-06-25,51.0,52.0,50.5,51.75,51.75,1100.0,0.56
1998-06-26,52.45,52.45,52.45,52.45,52.45,100.0,0.05
1998-06-29,51.95,52.0,51.95,52.0,52.0,300.0,0.16
1998-06-30,51.5,52.0,51.05,51.05,51.25,600.0,0.31
1998-07-01,52.05,52.05,51.0,51.0,51.0,200.0,0.1
1998-07-02,51.05,51.05,51.05,51.05,51.05,100.0,0.05
1998-07-03,52.45,52.45,52.45,52.45,52.45,100.0,0.05
1998-07-06,52.0,52.8,51.6,52.8,52.8,300.0,0.16
1998-07-07,52.05,52.05,52.05,52.05,52.05,100.0,0.05
1998-07-08,52.0,53.0,52.0,52.3,52.3,400.0,0.21
1998-07-09,53.9,54.0,53.9,54.0,54.0,200.0,0.11
1998-07-10,53.4,53.55,53.4,53.55,53.55,200.0,0.11
1998-07-13,54.5,55.5,54.5,55.25,55.25,700.0,0.38
1998-07-14,53.8,59.2,53.8,59.0,59.0,500.0,0.28
1998-07-15,59.95,59.95,56.7,56.7,56.7,200.0,0.12
1998-07-16,58.5,58.5,57.0,57.0,57.0,200.0,0.12
1998-07-17,57.0,57.0,57.0,57.0,57.0,100.0,0.06
1998-07-20,56.0,56.0,56.0,56.0,56.0,100.0,0.06
1998-07-21,60.4,60.4,53.0,53.0,53.25,1700.0,0.92
1998-07-22,55.95,57.0,55.95,57.0,57.0,700.0,0.39
1998-07-23,54.3,55.0,54.0,55.0,55.0,600.0,0.33
1998-07-24,52.25,55.4,52.25,54.15,54.15,800.0,0.43
1998-07-27,54.2,54.7,54.0,54.7,54.7,400.0,0.22
1998-07-28,52.3,53.05,52.3,53.05,52.85,800.0,0.42
1998-07-29,57.1,57.1,56.05,57.1,57.1,700.0,0.4
1998-07-30,59.7,60.25,58.0,59.5,59.5,2300.0,1.36
1998-07-31,56.6,59.0,56.5,59.0,58.85,1000.0,0.58
1998-08-03,56.7,56.7,56.7,56.7,56.7,100.0,0.06
1998-08-04,56.0,56.0,56.0,56.0,56.0,200.0,0.11
1998-08-05,53.5,53.5,52.65,52.65,52.65,700.0,0.37
1998-08-06,52.85,54.95,52.85,54.95,54.95,500.0,0.27
1998-08-07,53.6,53.6,53.5,53.5,53.5,300.0,0.16
1998-08-10,53.0,53.0,53.0,53.0,53.0,200.0,0.11
1998-08-11,52.5,52.9,52.5,52.9,52.9,200.0,0.11
1998-08-12,52.5,52.5,52.5,52.5,52.5,100.0,0.05
1998-08-13,51.55,52.6,51.55,52.6,52.6,500.0,0.26
1998-08-14,53.5,53.5,52.0,52.0,52.0,700.0,0.37
1998-08-18,52.0,52.95,50.35,50.35,50.35,600.0,0.31
1998-08-19,51.05,51.05,51.0,51.0,51.0,200.0,0.1
1998-08-20,50.0,50.0,50.0,50.0,50.0,100.0,0.05
1998-08-21,52.25,52.25,49.65,49.65,49.65,300.0,0.15
1998-08-24,48.0,49.0,48.0,49.0,49.0,200.0,0.1
1998-08-25,47.0,49.0,46.0,48.0,48.5,1100.0,0.53
1998-08-27,48.1,48.5,48.1,48.5,48.5,200.0,0.1
1998-08-28,48.2,48.2,48.2,48.2,48.2,400.0,0.19
1998-08-31,47.95,48.0,47.95,48.0,48.0,300.0,0.14
1998-09-01,48.4,49.0,47.0,48.1,48.3,700.0,0.34
1998-09-02,50.45,51.0,49.0,49.0,49.0,400.0,0.2
1998-09-03,51.0,52.5,49.25,49.25,49.25,600.0,0.31
1998-09-04,48.6,48.6,48.5,48.5,48.55,200.0,0.1
1998-09-08,49.75,49.85,49.75,49.85,49.85,200.0,0.1
1998-09-09,52.0,52.4,51.5,52.4,52.4,400.0,0.21
1998-09-10,49.0,49.5,48.75,49.2,49.35,600.0,0.29
1998-09-11,50.5,50.5,48.75,48.75,48.85,300.0,0.15
1998-09-14,48.75,48.75,48.75,48.75,48.75,100.0,0.05
1998-09-15,50.0,50.0,49.5,49.5,49.5,200.0,0.1
1998-09-17,50.0,50.0,49.0,49.0,49.0,500.0,0.25
1998-09-22,50.0,50.7,49.0,49.0,49.3,900.0,0.45
1998-09-24,49.0,50.0,49.0,50.0,50.0,200.0,0.1
1998-09-25,51.8,51.8,51.8,51.8,51.8,100.0,0.05
1998-09-29,48.1,48.5,48.1,48.25,48.25,400.0,0.19
1998-10-08,51.0,51.0,50.0,50.0,50.0,300.0,0.15
1998-10-09,48.0,48.0,48.0,48.0,48.0,300.0,0.14
1998-10-12,49.0,49.9,48.0,48.0,48.0,600.0,0.3
1998-10-13,47.0,51.85,47.0,51.85,50.85,2900.0,1.47
1998-10-14,50.75,51.75,50.75,51.7,51.7,300.0,0.15
