Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2003-07-16,1000.05,1000.05,1000.0,1000.0,1000.0,18160.0,181.6
2003-07-17,1000.05,1000.05,999.98,999.98,999.98,9751.0,97.51
2003-07-18,1000.0,1000.0,999.95,999.95,999.95,1305.0,13.05
2003-07-21,1000.0,1000.0,999.94,999.94,999.94,329.0,3.29
2003-07-22,999.95,1000.0,999.9,1000.0,1000.0,3346.0,33.46
2003-07-23,999.96,1000.0,999.95,999.97,999.97,375.0,3.75
2003-07-24,1000.0,1000.0,1000.0,1000.0,1000.0,62.0,0.62
2003-07-25,999.95,1000.0,999.95,1000.0,999.96,617.0,6.17
2003-07-28,999.97,999.97,999.97,999.97,999.97,1.0,0.01
2003-07-29,1000.0,1000.05,999.95,999.95,999.95,1083.0,10.83
2003-07-30,999.95,1000.0,999.95,1000.0,1000.0,150.0,1.5
2003-07-31,1000.04,1000.04,999.95,1000.0,1000.0,88.0,0.88
2003-08-01,1000.01,1000.02,1000.0,1000.0,1000.0,1001.0,10.01
2003-08-04,999.95,1000.04,999.95,1000.0,999.95,9674.0,96.74
2003-08-05,1000.0,1000.0,999.91,999.91,999.94,5729.0,57.29
2003-08-06,1000.0,1000.0,999.9,999.95,999.95,7904.0,79.04
2003-08-07,999.99,999.99,999.95,999.95,999.95,505.0,5.05
2003-08-08,999.99,999.99,999.99,999.99,999.99,200.0,2.0
2003-08-11,999.99,999.99,999.95,999.95,999.95,5883.0,58.83
2003-08-12,999.95,999.98,999.95,999.97,999.97,3110.0,31.1
2003-08-13,1000.0,1000.0,999.95,999.95,999.95,1013.0,10.13
2003-08-14,999.95,999.95,999.95,999.95,999.95,100.0,1.0
2003-08-18,999.95,1000.05,999.95,1000.0,1000.0,4500.0,45.0
2003-08-19,1000.05,1000.05,999.96,999.96,999.96,42.0,0.42
2003-08-20,1000.05,1000.05,999.95,999.95,999.95,1449.0,14.49
2003-08-21,999.95,1000.0,999.95,999.95,999.95,6347.0,63.47
2003-08-22,1000.05,1000.05,999.95,999.95,999.95,3765.0,37.65
2003-08-25,999.95,1000.05,999.95,1000.0,1000.0,2184.0,21.84
2003-08-26,1000.0,1000.0,999.95,999.95,999.95,1752.0,17.52
2003-08-27,1000.0,1000.0,999.95,999.95,999.95,500.0,5.0
2003-08-28,999.97,999.97,999.96,999.96,999.96,444.0,4.44
2003-08-29,1000.0,1000.0,999.95,1000.0,999.99,7751.0,77.51
2003-09-01,1000.0,1000.0,999.95,999.95,999.95,3001.0,30.01
2003-09-02,1000.0,1000.0,999.95,1000.0,1000.0,1430.0,14.3
2003-09-03,999.96,1000.0,999.96,999.98,999.98,2700.0,27.0
2003-09-04,1000.0,1000.0,999.99,999.99,999.99,1202.0,12.02
2003-09-05,1000.0,1000.0,1000.0,1000.0,1000.0,1702.0,17.02
2003-09-08,1000.0,1000.0,999.99,1000.0,999.99,3435.0,34.35
2003-09-09,1000.0,1000.0,999.96,1000.0,1000.0,3550.0,35.5
2003-09-10,999.96,999.96,999.95,999.95,999.95,700.0,7.0
2003-09-11,1000.0,1000.0,999.95,1000.0,1000.0,2015.0,20.15
2003-09-12,999.99,999.99,999.99,999.99,999.99,1001.0,10.01
2003-09-15,999.95,1000.0,999.95,1000.0,1000.0,321.0,3.21
2003-09-16,1000.0,1000.0,999.95,999.95,999.95,1020.0,10.2
2003-09-17,1000.0,1000.0,999.95,1000.0,1000.0,2353.0,23.53
2003-09-18,999.99,1000.0,999.99,1000.0,1000.0,4106.0,41.06
2003-09-19,1000.0,1000.0,999.95,999.97,999.97,10708.0,107.08
2003-09-22,1000.0,1000.0,999.95,999.95,999.95,569.0,5.69
2003-09-23,1000.0,1000.0,999.95,999.95,999.95,764.0,7.64
2003-09-24,1000.0,1000.0,999.95,999.95,999.95,11625.0,116.24
2003-09-25,999.95,1000.0,999.95,999.95,999.95,4385.0,43.85
2003-09-26,999.95,1000.0,999.95,999.99,999.99,5521.0,55.21
