Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-11-27,270.0,290.0,240.0,240.75,241.4,19342596.0,48387.82
2006-11-28,235.0,241.35,224.0,234.25,234.2,5352538.0,12620.73
2006-11-29,236.15,270.65,236.0,266.85,266.5,18653857.0,48080.48
2006-11-30,275.0,275.85,256.25,261.0,261.0,7833949.0,20913.94
2006-12-01,262.0,270.0,261.05,262.25,262.55,3582330.0,9509.03
2006-12-04,264.0,271.85,258.1,266.5,266.4,4220465.0,11247.23
2006-12-05,268.6,271.8,260.0,261.6,261.7,3269370.0,8692.94
2006-12-06,262.0,266.45,250.0,250.9,251.85,3359654.0,8651.88
2006-12-07,250.0,254.7,241.9,246.7,246.7,2688836.0,6684.69
2006-12-08,247.0,254.7,237.8,247.5,248.2,2970418.0,7432.81
2006-12-11,250.2,251.8,233.3,238.5,239.55,2335327.0,5680.54
2006-12-12,239.55,248.4,218.0,232.8,227.75,2875651.0,6828.53
2006-12-13,230.6,235.0,217.0,232.7,231.65,2327780.0,5279.98
2006-12-14,235.0,246.7,233.0,246.2,243.15,1502485.0,3601.48
2006-12-15,247.0,250.95,244.75,244.9,245.2,1182406.0,2923.68
2006-12-18,247.0,267.7,239.05,262.55,261.8,4744859.0,12199.61
2006-12-19,264.7,270.6,248.55,249.45,251.15,4903621.0,12809.28
2006-12-20,254.0,257.4,242.55,244.0,243.85,2448983.0,6037.27
2006-12-21,246.3,252.0,238.1,247.0,246.95,1656822.0,4083.37
2006-12-22,247.5,251.7,244.55,251.0,250.1,1223151.0,3047.17
2006-12-26,252.0,255.9,250.0,251.5,251.3,864663.0,2186.26
2006-12-27,253.75,258.4,252.55,255.7,255.5,1453584.0,3717.93
2006-12-28,258.3,258.65,248.0,250.6,249.7,1222754.0,3078.0
2006-12-29,255.0,257.75,252.5,253.05,253.75,1450261.0,3696.41
2007-01-02,254.7,261.8,252.55,261.55,259.4,989272.0,2542.92
2007-01-03,263.0,265.0,257.0,264.0,264.05,1938393.0,5093.71
2007-01-04,265.9,266.5,257.55,257.55,258.5,906635.0,2371.14
2007-01-05,260.0,264.8,249.0,252.85,252.75,1434119.0,3696.64
2007-01-08,251.3,252.9,246.65,247.3,247.7,811857.0,2024.73
2007-01-09,249.0,253.9,243.15,245.8,245.5,717016.0,1775.44
2007-01-10,245.9,256.0,240.0,240.4,240.85,545610.0,1328.35
2007-01-11,241.0,245.8,236.5,244.6,244.35,544709.0,1317.59
2007-01-12,245.1,248.85,242.7,243.1,243.7,217030.0,532.41
2007-01-15,247.7,250.5,243.25,248.65,247.95,408723.0,1015.04
2007-01-16,248.5,250.0,244.0,244.55,244.4,200696.0,492.95
2007-01-17,245.0,248.45,242.25,243.0,243.55,233327.0,571.79
2007-01-18,243.55,248.9,240.0,241.85,241.95,358359.0,876.91
2007-01-19,244.0,244.3,239.1,240.8,240.95,293940.0,710.4
2007-01-22,241.95,242.9,238.0,238.25,238.85,193082.0,464.27
2007-01-23,238.9,243.5,237.05,239.5,239.05,336239.0,808.39
2007-01-24,239.5,241.8,235.25,236.75,236.65,293939.0,700.09
2007-01-25,238.0,239.0,234.0,234.25,235.65,841390.0,1990.9
2007-01-29,236.0,238.75,235.15,237.0,237.25,433883.0,1028.39
2007-01-31,239.5,240.0,233.75,236.55,235.7,344570.0,812.92
2007-02-01,238.0,239.9,234.25,235.25,235.3,181048.0,427.27
