Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-07-11,40.0,40.0,32.5,35.1,35.65,16440754.0,5986.84
2008-07-14,35.0,40.35,34.2,38.25,38.65,6298284.0,2431.7
2008-07-15,38.0,38.5,35.1,36.2,36.8,1848497.0,695.04
2008-07-16,36.5,37.9,34.3,34.75,34.85,610484.0,218.81
2008-07-17,35.5,38.7,35.5,37.8,37.85,1223693.0,459.02
2008-07-18,38.6,38.6,36.6,36.9,36.9,329713.0,122.74
2008-07-21,33.5,38.85,33.5,37.5,37.6,844976.0,321.42
2008-07-22,37.3,38.15,37.3,38.05,38.0,198103.0,75.23
2008-07-23,38.1,42.65,38.1,38.85,38.95,1671679.0,676.89
2008-07-24,38.95,41.2,38.5,39.0,39.0,591502.0,233.89
2008-07-25,38.5,40.25,38.1,39.15,39.25,228998.0,89.82
2008-07-28,39.35,40.7,39.05,40.3,40.25,181540.0,72.92
2008-07-29,39.0,40.95,39.0,40.55,40.2,236760.0,95.52
2008-07-30,40.55,41.9,40.25,40.5,40.6,174786.0,71.08
2008-07-31,40.5,43.15,40.3,42.0,42.2,490332.0,206.99
2008-08-01,41.8,42.95,41.0,41.0,41.15,116961.0,49.19
2008-08-04,41.5,48.0,40.55,41.7,41.95,1177986.0,525.59
2008-08-05,42.2,45.4,40.4,44.95,45.0,548548.0,244.49
2008-08-06,45.0,46.75,43.55,43.55,43.85,191858.0,86.99
2008-08-07,42.4,44.9,42.35,42.5,42.7,86417.0,37.58
2008-08-08,43.0,43.5,38.05,38.85,38.95,303574.0,118.98
2008-08-11,36.45,40.2,36.45,38.9,38.55,149500.0,58.2
2008-08-12,37.55,40.5,37.55,38.5,38.55,195528.0,76.83
2008-08-13,37.25,39.7,37.25,38.45,38.45,110201.0,42.38
2008-08-14,37.45,39.5,37.45,38.5,38.5,134917.0,51.89
2008-08-18,37.7,38.9,37.3,38.0,38.0,23023.0,8.77
2008-08-19,37.55,38.3,36.05,36.05,36.3,81118.0,29.68
2008-08-20,36.35,38.95,36.25,37.65,37.6,99249.0,37.29
2008-08-21,37.5,37.9,37.0,37.35,37.3,77122.0,28.93
2008-08-22,37.1,40.5,36.4,37.1,37.2,20826.0,7.87
2008-08-25,37.75,37.8,36.25,36.5,36.5,133846.0,48.94
2008-08-26,37.0,38.0,36.0,37.55,37.55,160887.0,60.32
2008-08-27,37.5,40.7,37.5,38.0,37.95,173813.0,67.52
2008-08-28,40.0,40.0,37.15,38.75,38.4,58717.0,22.6
2008-08-29,38.95,39.5,37.8,38.5,38.05,77368.0,29.59
2008-09-01,38.8,39.35,37.05,39.0,38.8,100606.0,38.36
2008-09-02,39.0,39.0,37.8,38.05,38.3,29609.0,11.35
2008-09-04,37.55,38.0,37.0,37.5,37.45,1696.0,0.64
2008-09-05,36.8,38.45,36.8,38.45,38.0,51645.0,19.59
2008-09-08,39.0,39.0,38.1,39.0,38.9,59985.0,23.01
2008-09-09,38.0,39.1,36.5,38.75,38.95,72709.0,28.33
2008-09-10,39.0,39.0,38.0,38.4,38.15,3752.0,1.45
2008-09-11,38.4,38.85,37.45,37.45,37.5,2384.0,0.9
2008-09-12,38.9,38.9,36.8,37.95,37.2,3733.0,1.38
2008-09-15,37.1,37.1,35.55,36.35,36.0,20446.0,7.48
2008-09-16,35.95,35.95,33.0,34.45,33.6,7363.0,2.51
2008-09-17,34.9,37.9,28.5,33.0,33.55,44477.0,15.86
2008-09-18,33.0,34.0,31.0,33.5,33.2,18346.0,6.08
2008-09-19,33.55,34.95,33.0,33.05,33.3,3341.0,1.13
2008-09-22,34.5,38.6,34.05,35.25,35.65,178639.0,64.68
2008-09-23,33.1,36.95,33.1,36.0,36.05,157585.0,56.48
2008-09-24,35.35,36.8,35.3,35.5,35.8,1173.0,0.42
2008-09-25,36.35,36.35,34.8,35.5,35.15,3427.0,1.2
2008-09-26,36.0,36.5,34.0,35.35,34.45,18661.0,6.47
2008-09-29,33.25,35.45,30.1,32.9,31.35,194902.0,65.42
2008-09-30,29.0,32.5,29.0,31.05,31.75,106606.0,33.5
2008-10-01,32.0,32.45,30.1,32.2,31.9,5791.0,1.84
2008-10-03,31.9,31.9,30.0,30.0,30.2,2630.0,0.8
2008-10-06,30.0,30.75,26.6,26.7,27.45,32934.0,9.55
2008-10-07,32.8,32.8,26.0,29.0,29.25,108930.0,31.45
2008-10-08,31.95,31.95,24.4,27.5,26.75,109451.0,29.51
2008-10-10,28.0,28.0,22.0,23.45,22.7,108443.0,26.07
2008-10-13,26.0,26.0,21.55,22.0,23.1,4093.0,0.92
2008-10-14,25.9,26.75,21.0,23.9,24.95,143748.0,34.48
2008-10-15,22.95,22.95,20.0,20.5,21.85,70511.0,15.1
2008-10-16,21.75,21.75,17.5,17.5,17.5,66085.0,11.58
2008-10-17,18.4,18.4,15.55,16.0,16.0,26938.0,4.37
2008-10-20,17.45,17.45,12.8,15.0,15.1,74317.0,10.91
2008-10-21,17.0,17.0,13.6,16.0,16.25,163720.0,26.56
2008-10-22,18.0,18.0,15.0,16.25,16.25,89911.0,14.73
2008-10-23,18.0,18.0,15.75,15.75,15.8,2332.0,0.37
2008-10-24,19.0,19.0,13.1,15.0,15.75,134198.0,21.05
2008-10-27,18.9,18.9,12.6,14.2,14.2,41424.0,6.01
2008-10-28,17.05,17.05,12.05,16.85,16.1,1420.0,0.22
2008-10-29,15.0,18.85,12.9,13.65,13.45,6879.0,0.95
2008-10-31,14.8,14.8,12.65,12.85,13.9,35084.0,4.84
2008-11-03,13.0,16.7,13.0,16.7,16.7,450739.0,63.47
2008-11-04,18.95,19.5,16.1,17.5,17.75,15317.0,2.74
2008-11-05,21.0,21.0,17.65,21.0,20.05,8670.0,1.66
2008-11-06,20.0,21.0,18.55,20.0,19.9,1650.0,0.32
2008-11-07,21.9,21.9,18.25,18.5,18.8,8740.0,1.66
2008-11-10,20.4,20.7,17.85,20.0,20.65,3002.0,0.6
2008-11-11,21.5,21.5,19.5,20.75,20.35,2913.0,0.59
2008-11-12,20.0,22.4,20.0,22.25,22.25,48430.0,10.18
2008-11-14,23.0,23.95,22.25,22.7,22.75,4359.0,0.99
2008-11-17,25.0,25.0,21.05,21.35,22.75,193967.0,44.73
2008-11-18,23.45,23.45,21.0,23.0,22.85,50614.0,11.23
2008-11-19,24.8,24.8,21.1,22.75,22.7,36113.0,8.29
2008-11-20,22.9,22.9,20.45,21.0,21.0,45485.0,9.44
2008-11-21,22.0,22.0,20.45,21.45,21.45,11113.0,2.37
2008-11-24,23.0,23.0,19.5,21.95,21.65,9239.0,1.97
2008-11-25,23.0,23.75,21.0,21.5,21.5,8043.0,1.72
2008-11-26,21.0,21.5,21.0,21.0,21.0,2375.0,0.5
2008-11-28,22.0,22.8,20.75,21.0,21.0,365.0,0.08
2008-12-01,22.0,22.05,22.0,22.0,22.0,996.0,0.22
2008-12-02,21.15,22.25,21.0,22.25,22.25,83.0,0.02
2008-12-03,22.5,23.0,21.15,23.0,23.0,7921.0,1.73
2008-12-04,22.0,24.15,22.0,24.15,23.85,2287.0,0.54
2008-12-05,23.05,25.0,23.05,25.0,25.0,371.0,0.09
2008-12-08,24.5,26.25,24.5,26.25,26.25,222.0,0.06
2008-12-10,27.0,27.6,27.0,27.6,27.55,457.0,0.12
2008-12-11,28.0,28.95,28.0,28.95,28.95,3369.0,0.96
2008-12-12,30.0,30.4,28.0,30.4,30.4,188486.0,56.52
2008-12-15,28.9,30.95,28.9,30.4,30.4,170268.0,51.08
2008-12-16,28.9,29.8,28.9,28.9,28.9,10300.0,2.98
2008-12-17,27.5,30.35,27.5,29.95,29.0,5215.0,1.53
2008-12-18,30.4,30.4,28.1,28.1,28.1,350.0,0.1
2008-12-19,28.5,29.55,28.5,29.5,29.5,990.0,0.29
2008-12-22,29.0,30.3,29.0,29.1,29.1,407.0,0.12
2008-12-23,29.0,30.4,29.0,29.0,29.0,736.0,0.21
2008-12-24,28.5,29.9,28.5,28.5,29.2,600.0,0.17
2008-12-26,29.05,29.5,28.5,28.5,28.5,26350.0,7.64
2008-12-29,28.5,28.5,28.5,28.5,28.5,302.0,0.09
2008-12-30,28.5,28.5,28.5,28.5,28.5,3990.0,1.14
2008-12-31,28.5,29.25,28.5,29.25,29.25,940.0,0.27
2009-01-01,30.0,30.5,28.75,29.95,29.95,517.0,0.15
2009-01-02,29.65,29.65,29.65,29.65,29.65,10.0,0.0
2009-01-05,29.0,29.5,28.2,29.5,29.5,4500.0,1.31
2009-01-06,29.5,29.6,29.5,29.5,29.5,931.0,0.27
2009-01-07,28.5,28.5,28.25,28.25,28.25,7400.0,2.1
2009-01-09,27.0,29.7,27.0,29.0,29.0,16700.0,4.86
2009-01-12,30.25,30.25,30.1,30.1,30.1,30.0,0.01
2009-01-13,29.0,29.25,28.6,28.6,28.6,17460.0,4.99
2009-01-14,28.6,30.05,27.2,28.95,28.95,1237.0,0.35
2009-01-15,27.5,29.0,27.5,28.0,28.0,703.0,0.2
2009-01-19,27.5,27.5,27.5,27.5,27.5,600.0,0.16
2009-01-20,27.0,28.9,27.0,28.9,28.9,487.0,0.13
2009-01-21,27.45,27.55,27.45,27.45,27.45,11199.0,3.09
2009-01-22,27.0,28.45,27.0,27.25,27.25,6201.0,1.69
2009-01-23,25.9,28.65,25.9,27.0,27.0,1251.0,0.33
2009-01-27,27.05,27.05,25.7,27.0,26.9,4414.0,1.19
2009-01-28,27.0,27.0,27.0,27.0,27.0,1000.0,0.27
2009-01-29,27.0,27.0,27.0,27.0,27.0,300.0,0.08
2009-01-30,27.0,27.9,25.65,27.9,27.9,9031.0,2.41
2009-02-02,26.5,27.0,26.5,26.5,27.0,1520.0,0.4
2009-02-03,27.0,27.0,25.65,27.0,27.0,7079.0,1.91
2009-02-04,27.0,27.0,27.0,27.0,27.0,306.0,0.08
2009-02-05,27.85,27.85,27.85,27.85,27.85,200.0,0.06
2009-02-06,27.85,27.85,27.0,27.0,27.0,400.0,0.11
2009-02-09,27.0,27.9,27.0,27.9,27.8,55085.0,15.27
2009-02-10,27.0,28.15,27.0,27.0,27.0,1265.0,0.34
2009-02-11,27.05,28.0,27.05,27.5,27.35,3029.0,0.83
2009-02-12,27.0,28.7,27.0,27.0,27.0,70879.0,19.33
2009-02-13,27.0,27.0,27.0,27.0,27.0,1019.0,0.28
2009-02-16,27.0,28.0,27.0,27.0,27.0,5750.0,1.56
2009-02-17,27.0,27.0,25.65,27.0,26.85,7540.0,2.03
2009-02-18,27.0,27.0,26.9,27.0,27.0,21790.0,5.86
2009-02-19,27.0,27.9,27.0,27.0,27.0,6311.0,1.75
2009-02-20,27.0,27.0,26.4,26.4,26.95,585.0,0.16
2009-02-24,27.9,27.9,26.1,27.9,26.95,67.0,0.02
2009-02-25,27.0,27.0,26.95,26.95,26.95,3100.0,0.84
2009-02-26,26.9,28.3,26.9,28.3,28.25,1100.0,0.31
2009-02-27,28.6,28.6,27.0,28.35,28.35,2555.0,0.72
2009-03-02,28.0,28.0,27.0,27.0,27.0,2260.0,0.61
2009-03-03,27.0,27.95,27.0,27.95,27.95,1558.0,0.43
2009-03-04,29.0,29.35,28.05,28.2,29.2,7239.0,2.09
2009-03-05,30.6,30.6,29.25,29.25,29.3,3220.0,0.97
2009-03-06,29.45,30.5,29.45,30.5,30.25,1658.0,0.5
2009-03-09,30.5,31.0,29.1,30.5,30.5,13753.0,4.19
2009-03-12,31.0,31.95,29.0,31.0,31.55,430.0,0.13
2009-03-13,32.45,32.45,31.0,31.0,31.0,165.0,0.05
2009-03-16,30.0,32.25,28.0,30.5,30.5,227953.0,67.74
2009-03-17,32.35,32.35,29.25,29.6,29.65,241302.0,73.9
2009-03-18,30.2,32.5,29.6,32.5,32.5,263488.0,81.95
2009-03-19,33.0,33.0,30.0,30.0,30.0,7793.0,2.38
2009-03-20,31.8,31.8,30.35,30.6,30.75,1555.0,0.47
2009-03-23,30.6,31.95,30.25,30.25,30.25,240.0,0.07
2009-03-24,27.25,31.95,27.25,27.45,29.15,1771.0,0.51
2009-03-25,31.0,31.0,28.0,30.5,30.5,489.0,0.15
2009-03-26,27.45,30.45,27.45,30.0,30.0,1839.0,0.55
2009-03-27,28.0,30.0,27.0,28.0,28.15,848.0,0.24
2009-03-30,27.0,30.0,26.1,29.8,29.5,11818.0,3.46
2009-03-31,29.8,29.8,26.65,29.0,28.05,6180.0,1.75
