Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2004-08-24,62.1,62.1,16.05,22.9,22.85,80667.0,19.33
2004-08-25,24.0,27.45,21.4,27.45,27.45,31143.0,8.24
2004-08-26,29.5,32.95,29.5,32.95,32.95,30792.0,9.96
2004-08-27,38.8,39.55,35.0,39.55,39.55,67340.0,26.25
2004-08-30,44.0,46.0,40.0,42.5,42.6,231831.0,99.6
2004-08-31,43.0,43.0,38.25,39.05,39.25,68296.0,26.99
2004-09-01,39.85,39.85,37.65,38.1,38.3,27802.0,10.8
2004-09-02,39.5,40.0,34.0,37.75,37.5,17692.0,6.83
2004-09-03,38.9,38.9,35.5,36.05,36.35,15916.0,5.79
2004-09-06,38.0,38.65,36.15,36.15,36.55,11918.0,4.41
2004-09-07,36.15,36.75,36.05,36.1,36.15,6583.0,2.39
2004-09-08,38.45,41.95,38.4,39.1,38.75,66044.0,26.22
2004-09-09,40.85,42.9,38.8,40.65,40.6,187449.0,77.21
2004-09-10,41.2,41.2,39.1,39.5,39.8,41182.0,16.51
2004-09-13,39.1,47.5,38.5,43.6,43.9,382072.0,169.94
2004-09-14,44.5,44.5,40.15,40.75,41.0,72927.0,30.82
2004-09-15,40.6,43.3,40.15,40.25,40.7,53731.0,22.22
2004-09-16,40.4,41.8,40.4,40.75,40.7,25659.0,10.53
2004-09-17,41.5,43.5,40.5,41.1,41.15,51559.0,21.53
2004-09-20,42.5,42.5,39.65,40.25,40.0,23621.0,9.58
2004-09-21,41.1,41.1,39.8,40.2,39.9,10242.0,4.12
2004-09-22,39.5,42.5,39.35,40.3,40.45,43024.0,17.75
2004-09-23,39.05,41.5,39.05,40.1,39.85,16006.0,6.45
2004-09-24,41.5,41.5,38.1,39.45,39.6,12553.0,5.03
2004-09-27,40.65,40.65,39.4,39.4,39.7,11791.0,4.7
2004-09-28,40.0,40.7,38.3,38.35,38.65,12986.0,5.13
2004-09-29,40.95,42.0,38.1,38.75,39.0,9936.0,3.89
2004-09-30,39.15,39.85,38.2,38.2,38.6,7724.0,3.02
2004-10-01,38.8,39.75,38.0,38.0,38.35,7939.0,3.08
2004-10-04,38.0,39.7,37.5,37.85,37.85,11153.0,4.26
2004-10-05,38.1,38.55,36.9,37.95,37.45,7864.0,2.96
