Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-01-16,80.0,143.0,75.0,109.5,110.7,7242230.0,8490.85
2007-01-17,110.1,115.75,101.45,104.2,104.4,1226724.0,1319.6
2007-01-18,106.4,106.4,95.6,96.1,96.9,623147.0,622.79
2007-01-19,96.9,106.4,92.3,101.1,101.5,1923875.0,1955.92
2007-01-22,100.1,102.0,95.5,96.5,96.35,376071.0,370.21
2007-01-23,96.4,100.75,93.65,94.1,94.5,433189.0,420.15
2007-01-24,95.7,97.5,93.6,94.1,94.15,227950.0,217.05
2007-01-25,110.0,110.0,93.65,93.65,94.0,168974.0,160.42
2007-01-29,95.0,95.0,90.5,90.75,90.9,101601.0,93.82
2007-01-31,90.7,91.9,86.65,87.25,87.05,100177.0,88.69
2007-02-01,87.25,87.25,80.6,81.7,81.75,83427.0,69.61
2007-02-02,82.8,86.9,80.55,82.5,82.85,155840.0,130.48
2007-02-05,82.05,99.45,82.05,99.45,99.4,1212647.0,1176.07
2007-02-06,100.0,111.8,98.15,99.55,99.75,1821518.0,1911.39
2007-02-07,101.7,104.5,93.6,96.0,95.35,540188.0,539.16
2007-02-08,96.25,97.3,90.9,93.4,93.75,384761.0,362.32
2007-02-09,94.4,94.4,87.1,87.1,88.4,194939.0,176.79
2007-02-12,87.9,87.9,78.35,81.9,80.8,177864.0,145.66
2007-02-13,80.75,85.4,77.2,81.0,80.55,149040.0,122.5
2007-02-14,78.4,81.85,78.0,78.45,79.05,68332.0,54.61
2007-02-15,80.45,88.7,80.0,85.0,85.2,317037.0,272.54
2007-02-19,85.5,87.85,81.0,82.15,82.55,94068.0,80.08
2007-02-20,83.5,97.8,82.5,92.6,93.35,1808312.0,1685.64
2007-02-21,94.2,95.5,87.55,87.7,88.25,873570.0,802.9
2007-02-22,88.8,91.5,84.25,84.65,84.95,276448.0,244.88
2007-02-23,86.75,86.75,81.5,81.7,82.15,162207.0,134.73
2007-02-26,82.25,82.5,79.15,80.0,80.1,91899.0,73.97
2007-02-27,80.4,83.95,80.0,80.1,81.0,93639.0,76.86
2007-02-28,75.25,79.4,75.05,76.25,76.8,65238.0,50.7
2007-03-01,78.3,78.5,75.0,76.55,75.85,49172.0,37.63
2007-03-02,76.05,80.4,75.0,75.0,75.3,71588.0,55.66
2007-03-05,74.1,74.1,65.6,69.1,68.85,53715.0,37.52
2007-03-06,72.4,72.45,67.0,68.15,67.9,45186.0,31.38
2007-03-07,71.45,71.45,62.55,65.0,64.25,40076.0,26.51
2007-03-08,66.0,66.0,61.1,63.4,64.15,26983.0,17.02
2007-03-09,69.4,71.45,63.6,70.25,69.2,66949.0,45.22
2007-03-12,67.3,73.4,67.3,70.35,70.4,54582.0,38.52
2007-03-13,70.95,73.3,70.6,72.4,72.0,33487.0,24.06
2007-03-14,67.1,72.9,67.1,70.95,70.95,28656.0,20.18
2007-03-15,71.2,75.8,70.5,71.5,71.8,87740.0,64.73
2007-03-16,71.1,71.85,68.1,68.7,68.85,23559.0,16.5
2007-03-19,71.0,71.0,68.0,68.2,68.25,12336.0,8.51
2007-03-20,70.0,70.65,68.0,68.05,68.2,11601.0,8.06
2007-03-21,68.05,71.0,68.05,71.0,70.15,34036.0,23.78
2007-03-22,71.75,72.0,70.05,71.05,70.9,26129.0,18.53
2007-03-23,70.0,71.25,69.6,70.95,70.5,25300.0,17.82
2007-03-26,70.9,71.35,69.15,69.7,69.8,31858.0,22.36
2007-03-28,69.05,71.7,68.55,70.75,70.95,43252.0,30.41
2007-03-29,71.25,71.25,68.5,70.75,70.2,18805.0,13.1
2007-03-30,70.5,71.7,70.1,71.0,71.1,16898.0,12.0
2007-04-02,68.5,70.2,68.5,69.5,69.6,9260.0,6.45
2007-04-03,69.1,71.2,69.05,71.15,71.05,13386.0,9.49
2007-04-04,71.95,72.5,70.55,71.5,71.55,12055.0,8.65
2007-04-05,70.55,72.95,70.35,72.95,72.6,13885.0,10.03
2007-04-09,73.0,73.25,72.0,73.0,73.0,5122.0,3.73
2007-04-10,72.3,77.1,72.3,74.5,74.8,19786.0,14.82
2007-04-11,77.0,77.5,75.0,75.0,75.1,9991.0,7.59
2007-04-12,74.5,75.45,74.5,75.25,74.9,7061.0,5.27
2007-04-13,75.25,79.0,75.0,77.6,77.25,18051.0,13.96
2007-04-16,78.4,92.5,77.0,88.0,87.5,124293.0,108.34
2007-04-17,89.4,95.0,87.0,87.5,87.5,178727.0,162.14
2007-04-18,90.4,94.4,86.1,86.9,86.7,26890.0,23.62
2007-04-19,85.1,87.0,82.5,83.5,83.4,17907.0,15.17
2007-04-20,70.0,87.4,70.0,83.25,83.55,13789.0,11.68
2007-04-23,83.0,85.5,82.25,85.0,85.0,14748.0,12.43
2007-04-24,84.0,86.0,82.6,86.0,85.55,13293.0,11.31
2007-04-25,85.5,102.7,85.0,102.7,102.7,238966.0,235.02
2007-04-26,117.7,117.7,98.1,99.1,99.6,455187.0,478.99
2007-04-27,95.1,99.0,92.25,93.0,93.9,56584.0,54.19
2007-04-30,92.95,95.7,91.4,93.2,93.55,52580.0,49.14
2007-05-03,95.4,104.65,94.0,99.0,98.95,119106.0,119.2
2007-05-04,100.5,100.5,95.05,96.15,95.85,19137.0,18.69
2007-05-07,98.5,99.5,92.1,92.5,93.45,21711.0,20.82
2007-05-08,94.0,99.0,93.5,97.0,96.9,47448.0,45.46
2007-05-09,97.8,103.0,95.0,97.6,98.55,117820.0,117.95
2007-05-10,99.0,102.4,97.0,97.0,97.35,42957.0,42.76
2007-05-11,97.0,100.0,92.0,100.0,99.8,48018.0,47.57
2007-05-14,99.8,103.0,99.8,103.0,102.4,54534.0,55.47
2007-05-15,100.0,107.8,100.0,104.15,104.25,79034.0,82.42
2007-05-16,105.9,107.5,103.5,104.5,104.7,41499.0,43.49
2007-05-17,106.9,107.0,98.0,98.1,99.1,39970.0,40.8
2007-05-18,99.0,101.7,97.3,97.4,98.15,36719.0,36.57
2007-05-21,100.0,101.0,98.0,100.0,98.7,13738.0,13.68
2007-05-22,100.5,100.5,95.1,97.5,96.7,9712.0,9.42
2007-05-23,96.5,100.0,96.5,97.15,97.65,12025.0,11.85
2007-05-24,96.3,96.8,94.45,95.9,95.05,5946.0,5.69
2007-05-25,90.1,97.0,90.1,95.5,96.2,12888.0,12.34
2007-05-28,97.0,97.0,95.0,95.0,95.1,11455.0,10.94
2007-05-29,94.5,95.0,93.5,94.2,93.95,6780.0,6.39
2007-05-30,92.65,94.15,92.0,92.05,92.0,11199.0,10.36
2007-05-31,93.5,93.5,90.15,90.6,90.8,5317.0,4.88
2007-06-01,90.1,93.0,90.1,91.1,91.2,6022.0,5.51
2007-06-04,90.4,95.5,90.4,91.9,91.45,5277.0,4.89
2007-06-05,91.9,92.8,90.0,90.25,90.4,3773.0,3.42
2007-06-06,91.5,92.0,89.0,90.0,89.5,5087.0,4.61
2007-06-07,88.5,92.9,88.5,92.5,91.55,7842.0,7.16
2007-06-08,90.0,92.4,90.0,92.4,90.6,4095.0,3.72
2007-06-11,90.0,93.0,90.0,92.9,91.9,4859.0,4.46
2007-06-12,91.0,94.0,91.0,91.4,91.7,11272.0,10.34
2007-06-13,92.0,92.8,91.05,92.0,91.8,7412.0,6.8
2007-06-14,92.25,93.0,90.5,90.6,90.8,11362.0,10.42
2007-06-15,90.15,102.0,90.15,99.0,96.1,339512.0,318.41
2007-06-18,103.95,108.65,97.8,99.0,98.8,307746.0,314.99
2007-06-19,99.0,100.0,95.5,95.6,96.2,41314.0,40.48
