Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,20.5,20.7,20.0,,,,
1998-03-24,20.25,21.0,20.0,20.0,20.05,1600.0,0.33
1998-03-25,21.25,22.0,20.25,21.0,21.0,2500.0,0.53
1998-03-26,20.3,21.9,20.3,20.5,20.5,1100.0,0.23
1998-03-27,20.9,20.9,20.6,20.65,20.65,300.0,0.06
1998-03-30,21.5,21.5,20.2,20.2,20.4,1200.0,0.25
1998-03-31,22.25,22.3,20.0,20.0,20.0,8400.0,1.77
1998-04-01,21.95,21.95,20.4,20.95,20.95,1500.0,0.31
1998-04-02,20.5,20.9,20.2,20.2,20.2,1500.0,0.31
1998-04-03,20.0,20.95,20.0,20.05,20.35,1200.0,0.24
1998-04-06,20.95,20.95,20.5,20.95,20.8,2800.0,0.58
1998-04-07,20.2,21.5,20.1,21.5,21.5,2700.0,0.56
1998-04-09,21.5,22.45,21.5,22.15,22.15,7800.0,1.72
1998-04-10,22.5,24.0,22.25,24.0,24.0,9300.0,2.15
1998-04-13,23.0,23.75,22.8,23.25,23.25,6400.0,1.49
1998-04-15,25.5,25.6,24.1,25.6,25.6,35300.0,8.92
1998-04-16,27.0,28.1,24.55,24.6,24.75,29500.0,7.51
1998-04-17,25.0,25.0,23.1,24.0,24.0,5500.0,1.31
1998-04-20,25.0,25.0,22.2,22.2,22.6,5000.0,1.14
1998-04-21,21.0,22.5,21.0,21.55,21.9,6400.0,1.4
1998-04-22,23.25,23.25,21.5,21.6,21.6,7700.0,1.72
1998-04-23,20.05,21.8,20.05,21.0,21.0,8900.0,1.88
1998-04-24,20.5,21.05,19.25,19.25,19.25,5700.0,1.16
1998-04-27,20.5,20.9,20.0,20.05,20.05,4900.0,0.99
1998-04-28,20.5,21.0,20.0,21.0,20.5,7100.0,1.44
1998-04-29,20.2,20.95,20.0,20.0,20.0,3000.0,0.6
1998-04-30,20.9,20.9,20.0,20.0,20.0,400.0,0.08
1998-05-04,20.1,20.5,20.0,20.1,20.1,4100.0,0.83
1998-05-05,20.15,20.35,20.0,20.0,20.0,3200.0,0.64
1998-05-06,20.2,20.5,20.1,20.1,20.1,3400.0,0.69
1998-05-08,20.85,20.85,20.0,20.05,20.15,2900.0,0.58
1998-05-11,20.8,20.8,20.0,20.0,20.15,2700.0,0.54
1998-05-12,20.7,20.7,20.05,20.1,20.1,1100.0,0.22
1998-05-13,20.1,20.2,20.0,20.0,20.05,5000.0,1.0
1998-05-14,20.0,20.3,20.0,20.0,20.0,17600.0,3.52
1998-05-15,20.1,20.25,20.0,20.0,20.0,13400.0,2.68
1998-05-18,20.15,20.3,20.1,20.25,20.25,1500.0,0.3
1998-05-19,20.05,20.4,20.05,20.3,20.25,1700.0,0.34
1998-05-20,20.5,20.8,20.25,20.3,20.3,5800.0,1.2
1998-05-21,20.5,20.5,20.0,20.0,20.0,12800.0,2.57
1998-05-22,20.5,20.5,19.5,19.9,19.9,4500.0,0.9
1998-05-25,20.0,20.25,20.0,20.05,20.1,4100.0,0.82
1998-05-26,19.95,20.0,19.5,19.5,19.5,3800.0,0.75
1998-05-27,20.0,20.0,20.0,20.0,20.0,1100.0,0.22
1998-05-28,20.05,20.05,19.5,19.5,19.5,2400.0,0.47
1998-05-29,20.0,20.0,19.5,19.8,19.8,2400.0,0.47
1998-06-01,20.0,20.45,19.55,19.8,19.8,3100.0,0.62
1998-06-02,20.0,20.05,18.6,19.0,19.0,9700.0,1.86
1998-06-03,20.0,20.0,19.0,19.0,19.0,4300.0,0.82
1998-06-04,19.05,19.05,19.05,19.05,19.05,200.0,0.04
1998-06-05,19.05,19.05,19.0,19.0,19.0,1900.0,0.36
1998-06-08,18.0,18.1,18.0,18.1,18.1,1400.0,0.25
1998-06-09,19.0,19.1,18.5,18.5,18.6,14000.0,2.62
1998-06-10,19.0,19.0,18.0,18.0,18.0,14700.0,2.77
1998-06-11,19.0,19.0,17.15,17.15,17.15,22100.0,4.03
1998-06-12,17.5,18.5,17.5,18.0,18.0,1400.0,0.25
1998-06-15,17.75,18.25,17.25,17.95,17.6,2000.0,0.35
1998-06-16,17.0,17.5,17.0,17.1,17.15,6400.0,1.1
1998-06-17,17.0,17.9,17.0,17.25,17.3,2600.0,0.45
1998-06-18,17.25,17.5,17.1,17.1,17.1,3600.0,0.62
1998-06-19,17.25,17.55,17.25,17.25,17.25,700.0,0.12
1998-06-22,21.0,21.0,17.1,17.1,17.1,1100.0,0.19
1998-06-23,17.05,17.5,17.0,17.0,17.0,4100.0,0.7
1998-06-24,17.25,17.25,16.7,17.0,17.05,9400.0,1.59
1998-06-25,17.0,17.0,16.5,16.9,16.9,10900.0,1.83
1998-06-26,16.75,18.0,16.75,18.0,18.0,900.0,0.16
1998-06-29,17.0,17.0,17.0,17.0,17.0,500.0,0.08
1998-06-30,16.0,17.0,16.0,16.2,16.2,4900.0,0.8
1998-07-01,16.0,16.3,16.0,16.3,16.3,2500.0,0.4
1998-07-02,16.15,16.5,16.15,16.5,16.5,1200.0,0.2
1998-07-03,15.0,16.5,15.0,16.3,16.3,1200.0,0.18
1998-07-06,16.1,16.1,16.1,16.1,16.1,400.0,0.06
1998-07-07,16.35,17.0,16.1,16.1,16.1,2700.0,0.45
1998-07-08,17.0,17.0,17.0,17.0,17.0,100.0,0.02
1998-07-09,16.0,16.5,16.0,16.15,16.15,600.0,0.1
1998-07-10,15.0,17.95,15.0,17.0,17.65,5000.0,0.83
1998-07-13,16.6,17.5,16.6,17.5,17.2,1400.0,0.24
1998-07-14,16.25,17.0,16.25,16.35,16.35,1600.0,0.27
1998-07-15,16.05,16.05,16.05,16.05,16.05,100.0,0.02
1998-07-16,17.0,17.0,16.5,16.5,16.5,500.0,0.08
1998-07-17,16.05,16.3,16.05,16.25,16.25,2100.0,0.34
1998-07-20,16.1,16.1,16.1,16.1,16.1,600.0,0.1
1998-07-21,16.0,16.1,16.0,16.0,16.0,9500.0,1.52
1998-07-22,16.1,16.1,15.8,15.8,15.8,8900.0,1.42
1998-07-23,14.0,16.1,14.0,16.0,16.0,1000.0,0.16
1998-07-24,16.0,16.0,15.6,15.6,15.6,600.0,0.1
1998-07-27,16.0,16.0,15.25,15.25,15.25,1600.0,0.25
