Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-07-15,328.0,328.0,300.25,315.0,314.05,153818.0,480.11
2014-07-16,321.75,353.7,321.75,325.1,326.95,271001.0,913.97
2014-07-17,332.0,332.8,315.5,320.0,318.65,130903.0,418.33
2014-07-18,320.15,328.7,316.0,317.6,318.5,164749.0,530.42
2014-07-21,324.55,324.55,312.5,313.55,314.2,112924.0,359.33
2014-07-22,315.0,319.0,291.4,296.9,297.3,154621.0,474.41
2014-07-23,298.1,303.0,285.05,291.0,292.3,80690.0,235.87
2014-07-24,292.85,303.0,285.05,293.75,294.6,109418.0,321.87
2014-07-25,296.0,302.0,286.55,290.0,292.1,124848.0,368.12
2014-07-28,295.1,295.1,286.1,293.25,292.85,42478.0,123.53
2014-07-30,294.9,312.0,292.35,295.95,295.6,177115.0,529.62
2014-07-31,296.1,304.9,293.1,294.2,294.75,59246.0,177.0
2014-08-01,291.0,295.8,287.95,290.0,290.1,74328.0,216.71
2014-08-04,292.0,295.45,288.0,290.0,290.1,49833.0,144.87
2014-08-05,290.5,297.0,285.6,287.75,287.0,79926.0,232.78
2014-08-06,287.7,295.0,287.7,288.0,289.45,80021.0,233.69
2014-08-07,291.0,291.95,281.55,282.25,284.55,71378.0,204.62
2014-08-08,283.5,283.5,267.0,267.9,269.65,85828.0,233.82
2014-08-11,270.4,298.75,270.4,281.5,283.05,409974.0,1178.31
2014-08-12,283.9,311.0,283.9,304.5,303.6,978374.0,2910.81
2014-08-13,305.95,313.8,292.7,306.0,305.9,563500.0,1720.98
2014-08-14,309.0,367.05,306.95,367.05,367.05,1316892.0,4511.99
2014-08-18,382.4,432.7,374.0,412.25,412.5,1873385.0,7631.37
2014-08-19,413.4,426.0,380.1,412.3,409.7,1047006.0,4279.46
2014-08-20,406.0,450.65,404.8,450.65,450.65,973751.0,4183.83
2014-08-21,463.7,495.7,460.0,495.7,495.7,1277908.0,6163.87
2014-08-22,513.2,539.0,485.0,498.5,505.65,1990531.0,10237.46
2014-08-25,505.3,524.8,475.75,484.0,486.6,580065.0,2955.93
2014-08-26,490.0,535.25,487.95,535.25,535.25,855886.0,4431.11
2014-08-27,562.0,562.0,548.25,562.0,562.0,187240.0,1050.13
2014-08-28,579.9,589.9,537.7,553.0,552.05,673544.0,3848.25
2014-09-01,552.7,579.65,552.7,579.65,579.65,130612.0,744.82
2014-09-02,590.0,608.6,586.0,608.6,608.6,214224.0,1288.54
2014-09-03,639.0,639.0,614.15,624.0,625.2,715117.0,4521.68
2014-09-04,641.5,656.45,636.0,656.45,656.45,401633.0,2591.88
2014-09-05,684.0,689.25,681.2,689.25,689.25,64483.0,443.58
2014-09-08,723.7,723.7,711.0,723.7,723.7,111795.0,808.37
2014-09-09,759.85,759.85,703.0,712.5,732.65,749082.0,5493.15
2014-09-10,728.0,728.0,696.05,696.05,696.05,114028.0,811.8
2014-09-11,661.25,674.0,661.25,661.25,661.25,85563.0,567.26
2014-09-12,628.2,628.2,628.2,628.2,628.2,11353.0,71.32
2014-09-15,596.8,659.6,596.8,596.8,600.25,583965.0,3658.25
2014-09-16,600.25,630.25,570.25,570.25,570.9,283130.0,1720.01
2014-09-17,585.0,599.4,551.4,599.4,599.4,260515.0,1514.19
2014-09-18,609.7,629.35,604.2,617.9,619.45,376557.0,2347.41
2014-09-19,620.05,625.0,592.0,602.0,595.25,301053.0,1814.75
2014-09-22,600.0,617.0,581.6,594.0,597.4,99273.0,598.37
2014-09-23,581.0,608.0,567.55,568.0,568.2,72139.0,419.9
2014-09-24,575.95,579.8,539.8,550.0,550.6,92404.0,506.49
2014-09-25,540.1,568.0,527.0,532.0,529.85,90395.0,487.5
2014-09-26,537.0,556.3,529.0,539.0,546.2,160612.0,883.88
2014-09-29,546.9,573.5,535.25,573.5,573.5,92309.0,522.11
2014-09-30,602.15,602.15,590.3,602.15,602.15,71203.0,427.88
2014-10-01,619.7,629.0,603.0,605.1,611.3,113057.0,698.24
2014-10-07,610.85,623.0,580.75,580.75,580.75,38855.0,231.78
2014-10-08,568.0,595.5,555.25,560.05,565.15,57389.0,327.98
2014-10-09,568.0,593.4,568.0,593.4,593.4,43268.0,252.78
2014-10-10,594.0,594.0,570.0,573.55,574.15,57894.0,337.02
2014-10-13,564.0,593.7,562.2,577.0,579.9,57460.0,334.89
2014-10-14,581.0,608.85,581.0,608.85,608.85,208485.0,1254.47
2014-10-16,614.0,615.95,578.45,578.45,578.45,62848.0,374.15
2014-10-17,588.0,600.0,565.95,569.0,575.55,49221.0,284.42
2014-10-20,594.0,594.0,578.1,589.9,586.95,34414.0,201.99
