Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-04-05,30.0,37.0,30.0,31.5,32.45,10038276.0,3407.31
2006-04-07,31.8,32.95,29.15,29.15,29.75,1676865.0,521.28
2006-04-10,30.0,30.25,27.5,27.7,27.7,383991.0,108.8
2006-04-12,28.8,28.9,25.0,25.1,25.35,380584.0,100.13
2006-04-13,26.3,26.3,21.55,22.7,22.45,549180.0,126.61
2006-04-17,22.95,23.5,22.1,22.4,22.35,182159.0,41.38
2006-04-18,23.2,23.2,21.6,21.95,21.8,182505.0,39.95
2006-04-19,22.0,22.5,21.05,21.45,21.3,136183.0,29.21
2006-04-20,22.0,22.0,20.1,20.55,20.4,155395.0,31.97
2006-04-21,19.75,21.9,19.75,21.0,20.85,263830.0,55.15
2006-04-24,20.45,23.5,20.0,22.8,22.75,440925.0,98.3
2006-04-25,22.6,24.5,22.55,22.7,22.8,293416.0,68.75
2006-04-26,23.35,23.45,22.0,22.35,22.3,105434.0,23.82
2006-04-27,21.75,22.65,21.7,21.85,21.9,73542.0,16.19
2006-04-28,21.1,22.3,20.45,21.5,21.65,54024.0,11.63
2006-04-29,21.0,22.4,21.0,22.25,22.1,29951.0,6.57
2006-05-02,22.55,23.25,22.1,22.6,22.7,98531.0,22.42
2006-05-03,22.7,23.15,22.4,22.5,22.55,53199.0,12.08
2006-05-04,23.0,23.0,22.1,22.7,22.7,42953.0,9.76
2006-05-05,22.9,23.35,22.25,22.5,22.3,80757.0,18.28
2006-05-08,22.1,23.0,22.1,22.7,22.75,64833.0,14.79
2006-05-09,22.35,22.75,22.35,22.6,22.55,36128.0,8.15
2006-05-10,22.4,23.5,22.2,22.75,22.8,78707.0,18.09
2006-05-11,23.0,23.0,22.4,22.4,22.55,31895.0,7.23
2006-05-12,22.5,23.3,22.3,22.95,22.95,51450.0,11.67
2006-05-15,23.0,23.15,22.2,22.2,22.4,57132.0,12.94
2006-05-16,22.05,22.4,20.5,21.0,21.35,60618.0,13.03
2006-05-17,21.85,22.4,21.85,21.9,22.0,33707.0,7.43
2006-05-18,21.3,21.75,20.45,20.6,20.6,43134.0,9.08
2006-05-19,20.0,22.0,18.25,19.5,19.05,43453.0,8.67
2006-05-22,19.5,19.5,16.05,18.0,17.7,57320.0,10.32
2006-05-23,16.5,18.8,15.3,18.25,18.35,30586.0,5.49
2006-05-24,19.65,20.0,18.5,18.9,19.1,35719.0,6.9
2006-05-25,18.05,19.4,18.0,19.4,19.1,14903.0,2.8
2006-05-26,19.25,19.75,17.7,18.0,18.05,43745.0,8.12
2006-05-29,18.5,19.15,18.45,18.6,18.75,10998.0,2.07
2006-05-30,19.0,19.2,18.3,18.8,18.7,10644.0,2.0
2006-05-31,18.35,18.35,17.05,17.95,17.9,13203.0,2.34
2006-06-01,17.6,18.25,17.2,17.2,17.35,12274.0,2.15
2006-06-02,16.5,17.0,15.55,16.9,16.5,33351.0,5.47
2006-06-05,16.1,17.0,16.05,17.0,16.9,12987.0,2.14
2006-06-06,16.6,17.0,15.65,15.65,15.85,13466.0,2.16
2006-06-07,16.2,16.2,14.0,14.5,14.45,21925.0,3.29
2006-06-08,14.0,14.0,13.0,13.55,13.5,31967.0,4.32
2006-06-09,14.0,14.5,13.1,13.95,14.1,23117.0,3.23
2006-06-12,14.15,14.6,13.5,14.25,14.15,14507.0,2.02
2006-06-13,13.1,13.8,12.05,12.65,13.0,29399.0,3.78
2006-06-14,12.1,14.0,12.1,12.7,12.95,18677.0,2.43
2006-06-15,12.75,13.9,12.75,13.25,13.3,13872.0,1.84
2006-06-16,13.35,15.0,13.35,14.2,14.2,31891.0,4.53
2006-06-19,14.0,14.15,13.6,13.85,13.9,17779.0,2.46
2006-06-20,13.25,14.55,13.25,14.5,14.4,11790.0,1.68
2006-06-21,14.6,16.75,14.25,15.75,15.85,46436.0,7.36
2006-06-22,16.5,17.0,15.45,15.5,15.55,49991.0,8.12
2006-06-23,15.0,16.1,15.0,16.0,15.95,9336.0,1.47
2006-06-25,16.25,16.8,15.55,16.0,15.65,1100.0,0.18
2006-06-26,16.0,16.2,15.0,15.75,15.25,8027.0,1.26
2006-06-27,15.05,15.05,14.05,14.65,14.5,8996.0,1.32
2006-06-28,13.95,14.6,13.95,14.6,14.5,3808.0,0.55
2006-06-29,14.7,14.7,14.0,14.1,14.1,5312.0,0.75
2006-06-30,14.5,14.9,14.0,14.15,14.15,15127.0,2.16
2006-07-03,15.75,16.8,14.0,15.7,15.85,40850.0,6.45
2006-07-04,16.4,16.5,15.65,15.9,15.8,35739.0,5.73
2006-07-05,16.25,16.25,15.5,16.0,15.75,13507.0,2.14
2006-07-06,15.7,15.75,15.15,15.2,15.2,9437.0,1.45
2006-07-07,15.0,15.4,15.0,15.0,15.05,15688.0,2.37
2006-07-10,15.15,16.25,14.4,14.9,14.95,19610.0,2.95
2006-07-11,14.6,14.9,14.4,14.8,14.7,3906.0,0.57
2006-07-12,14.4,14.6,14.0,14.1,14.3,10611.0,1.52
