Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-05-23,28.65,36.85,26.95,35.2,35.7,17199471.0,5843.76
2005-05-24,34.9,35.6,31.6,32.6,32.55,7028963.0,2365.28
2005-05-25,32.6,32.65,31.1,31.75,31.4,1840407.0,586.41
2005-05-26,31.8,31.8,29.75,29.95,29.95,822198.0,249.86
2005-05-27,29.8,35.35,29.5,34.1,34.2,5245105.0,1774.95
2005-05-30,34.2,35.35,33.05,33.05,33.35,1985160.0,677.73
2005-05-31,33.35,33.6,32.0,32.3,32.2,583616.0,189.31
2005-06-01,32.5,34.25,32.5,33.8,33.55,1319935.0,443.66
2005-06-02,33.85,39.2,32.9,37.4,37.55,5698592.0,2096.93
2005-06-03,38.25,38.25,35.75,36.1,36.5,4392719.0,1616.81
2005-06-04,36.3,38.0,36.1,37.8,37.45,1850615.0,689.82
2005-06-06,38.0,40.1,37.35,38.5,38.55,3009037.0,1171.47
2005-06-07,39.0,40.85,38.1,39.6,39.75,3598281.0,1435.4
2005-06-08,39.9,40.45,38.45,39.4,39.15,1269545.0,501.17
2005-06-09,39.4,39.75,38.55,38.75,38.8,961157.0,375.66
2005-06-10,39.3,39.7,37.6,38.0,38.3,840029.0,327.13
2005-06-13,38.5,38.5,36.25,36.3,36.5,528846.0,195.42
2005-06-14,36.6,36.8,35.3,35.75,35.7,320491.0,115.17
2005-06-15,36.25,36.35,35.55,35.8,35.75,270098.0,97.11
2005-06-16,36.0,36.0,33.6,33.6,34.0,269800.0,93.79
2005-06-17,34.1,34.1,32.2,32.9,32.7,277640.0,91.55
2005-06-20,33.3,33.4,31.0,31.2,31.2,221086.0,69.87
2005-06-21,32.0,32.8,31.0,32.35,32.2,270904.0,86.95
2005-06-22,32.55,32.55,31.25,31.5,31.4,134852.0,42.88
2005-06-23,31.5,31.8,30.65,31.15,31.2,138514.0,43.22
2005-06-24,31.2,33.8,30.9,32.0,32.15,460607.0,150.54
2005-06-27,32.4,32.75,31.1,31.5,31.5,176551.0,56.68
2005-06-28,28.9,31.9,28.9,30.7,30.5,142695.0,44.1
2005-06-29,30.5,31.7,30.35,30.85,30.9,114008.0,35.25
2005-06-30,31.45,31.45,30.5,30.5,30.65,67238.0,20.84
2005-07-01,30.1,31.0,30.1,31.0,30.8,62036.0,19.06
2005-07-04,31.5,31.75,30.75,30.85,30.9,122850.0,38.35
2005-07-05,31.45,31.7,30.65,30.7,30.85,95490.0,29.76
2005-07-06,30.9,31.75,30.9,31.15,30.95,128050.0,39.95
2005-07-07,31.4,31.4,30.2,30.6,30.5,80374.0,24.82
2005-07-08,31.0,31.25,30.5,30.7,30.6,72910.0,22.45
2005-07-11,31.25,31.25,30.6,30.75,30.7,72829.0,22.47
2005-07-12,30.6,31.0,30.45,30.75,30.55,62819.0,19.3
2005-07-13,31.5,31.7,30.05,30.25,30.2,49152.0,14.97
2005-07-14,30.4,30.6,29.6,29.6,29.75,67968.0,20.42
2005-07-15,29.8,30.0,29.6,29.6,29.75,107540.0,32.05
2005-07-18,30.0,30.9,29.7,29.9,29.8,113101.0,33.84
2005-07-19,30.5,33.85,30.0,33.4,33.4,676324.0,220.43
2005-07-20,33.95,34.5,32.5,33.0,32.8,318038.0,106.04
2005-07-21,33.45,33.5,31.5,32.0,31.75,105272.0,33.97
2005-07-22,31.75,32.25,31.55,31.7,31.9,72032.0,23.0
2005-07-25,31.6,32.7,31.4,31.4,31.65,87221.0,27.97
2005-07-26,32.5,32.5,30.5,30.65,30.8,76597.0,23.95
2005-07-27,30.75,31.45,30.6,30.6,30.75,48024.0,14.88
2005-07-29,32.4,32.4,30.1,30.3,30.3,54719.0,16.78
2005-08-01,31.3,31.3,29.3,29.6,29.55,85068.0,25.31
2005-08-02,29.8,30.45,29.6,29.8,29.75,97619.0,29.28
2005-08-03,30.0,30.35,29.6,29.9,29.7,70729.0,21.22
2005-08-04,29.8,30.0,29.65,29.95,29.75,41396.0,12.35
2005-08-05,30.0,31.0,30.0,30.1,30.15,94310.0,28.62
2005-08-08,30.0,30.5,29.5,29.8,29.65,54316.0,16.29
2005-08-09,29.75,29.95,29.3,29.4,29.45,29714.0,8.78
2005-08-10,29.75,29.85,29.35,29.4,29.55,54310.0,16.02
2005-08-11,29.75,30.9,29.75,30.4,30.25,85833.0,26.05
2005-08-12,30.7,31.0,30.0,30.2,30.25,105309.0,32.04
2005-08-16,30.75,32.6,30.3,31.65,31.5,230109.0,73.0
2005-08-17,31.0,32.4,31.0,31.65,31.85,156825.0,49.98
2005-08-18,31.65,32.3,31.15,31.5,31.35,89819.0,28.5
2005-08-19,31.05,32.15,31.05,31.5,31.4,86708.0,27.5
2005-08-22,32.35,32.35,31.5,31.75,31.7,106591.0,33.91
2005-08-23,32.25,32.25,30.2,30.25,30.4,77456.0,24.05
2005-08-24,30.3,30.65,29.3,29.75,29.7,76324.0,22.84
2005-08-25,30.15,30.6,29.8,30.4,30.3,43843.0,13.27
2005-08-26,30.3,31.35,30.05,30.75,30.9,93771.0,28.91
