Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-17,2.0,2.05,2.0,,,,
1998-03-24,1.75,1.75,1.75,1.75,1.75,4200.0,0.07
1998-03-26,2.05,2.05,2.05,2.05,2.05,100.0,0.0
1998-03-27,2.3,2.3,2.1,2.1,2.1,2500.0,0.05
1998-03-30,2.3,2.3,2.25,2.25,2.25,2600.0,0.06
1998-03-31,2.0,2.3,2.0,2.3,2.3,1300.0,0.03
1998-04-01,2.5,2.55,2.5,2.55,2.55,1300.0,0.03
1998-04-02,2.9,2.95,2.9,2.95,2.95,1200.0,0.04
1998-04-03,3.0,3.0,3.0,3.0,3.0,500.0,0.02
1998-04-06,3.0,3.0,3.0,3.0,3.0,200.0,0.01
1998-04-09,3.0,3.45,3.0,3.45,3.45,2400.0,0.07
1998-04-10,3.8,3.9,3.6,3.6,3.65,6900.0,0.26
1998-04-13,3.8,3.9,3.1,3.1,3.35,5700.0,0.21
1998-04-15,3.85,3.85,3.8,3.85,3.85,9000.0,0.35
1998-04-16,4.1,4.3,4.1,4.3,4.3,2100.0,0.09
1998-04-17,4.3,4.35,4.0,4.35,4.35,2600.0,0.11
1998-04-20,4.0,4.2,3.8,4.0,4.05,6400.0,0.26
1998-04-21,3.5,3.95,3.5,3.95,3.95,300.0,0.01
1998-04-22,3.7,3.75,3.7,3.7,3.7,1600.0,0.06
1998-04-23,3.2,3.2,3.2,3.2,3.2,1000.0,0.03
1998-04-27,3.5,3.5,3.25,3.25,3.25,1000.0,0.03
1998-04-28,3.0,3.0,3.0,3.0,3.0,500.0,0.02
1998-04-29,3.2,3.2,2.9,2.9,2.9,1400.0,0.04
1998-05-04,2.55,2.55,2.5,2.5,2.5,1000.0,0.03
1998-05-05,2.65,2.85,2.6,2.85,2.85,5600.0,0.15
1998-05-06,3.3,3.3,3.1,3.1,3.1,22400.0,0.73
1998-05-08,3.4,3.4,3.1,3.15,3.15,11600.0,0.38
1998-05-11,3.3,3.3,3.2,3.2,3.2,1500.0,0.05
1998-05-12,2.85,3.3,2.85,3.3,3.3,400.0,0.01
1998-05-13,3.3,3.3,2.9,2.9,2.9,1200.0,0.04
1998-05-14,2.9,2.95,2.9,2.95,2.95,900.0,0.03
1998-05-15,2.9,2.9,2.9,2.9,2.9,100.0,0.0
1998-05-18,2.95,2.95,2.95,2.95,2.95,200.0,0.01
1998-05-19,2.95,3.1,2.95,3.0,3.0,500.0,0.02
1998-05-20,3.25,3.4,3.25,3.4,3.35,4400.0,0.15
1998-05-21,3.05,3.05,3.05,3.05,3.05,200.0,0.01
1998-05-22,3.0,3.0,3.0,3.0,3.0,200.0,0.01
1998-05-25,2.75,2.9,2.7,2.9,2.9,1500.0,0.04
1998-05-26,3.2,3.2,3.2,3.2,3.2,300.0,0.01
1998-05-27,2.8,2.8,2.8,2.8,2.8,200.0,0.01
1998-05-28,2.8,2.8,2.75,2.75,2.75,300.0,0.01
1998-05-29,2.65,2.7,2.65,2.7,2.7,400.0,0.01
1998-06-01,2.7,3.1,2.7,3.1,3.1,400.0,0.01
1998-06-02,2.8,2.8,2.65,2.65,2.65,1800.0,0.05
1998-06-03,2.6,2.6,2.6,2.6,2.6,300.0,0.01
1998-06-04,2.75,2.75,2.75,2.75,2.75,100.0,0.0
1998-06-05,2.7,2.7,2.7,2.7,2.7,500.0,0.01
1998-06-08,2.35,2.35,2.35,2.35,2.35,2000.0,0.05
1998-06-09,2.1,2.1,2.1,2.1,2.1,900.0,0.02
1998-06-16,2.1,2.1,2.1,2.1,2.1,100.0,0.0
1998-06-17,2.1,2.1,1.9,1.9,1.9,500.0,0.01
1998-06-18,2.0,2.0,2.0,2.0,2.0,100.0,0.0
1998-06-23,2.0,2.0,2.0,2.0,2.0,200.0,0.0
1998-07-02,3.0,3.0,2.0,2.0,2.0,400.0,0.01
1998-07-07,1.25,1.3,1.25,1.25,1.25,400.0,0.01
1998-07-16,1.5,1.5,1.5,1.5,1.5,100.0,0.0
1998-07-17,1.5,1.8,1.5,1.75,1.75,1300.0,0.02
1998-07-20,1.8,1.85,1.8,1.85,1.85,900.0,0.02
1998-07-24,1.85,1.85,1.85,1.85,1.85,600.0,0.01
1998-07-28,2.0,2.0,1.35,1.35,1.8,300.0,0.01
1998-07-30,1.75,1.75,1.75,1.75,1.75,300.0,0.01
1998-08-04,1.75,2.15,1.75,2.15,2.15,10100.0,0.18
1998-08-11,1.5,1.65,1.5,1.65,1.65,700.0,0.01
1998-08-19,1.4,1.4,1.4,1.4,1.4,200.0,0.0
1998-08-20,1.7,1.75,1.25,1.25,1.25,5600.0,0.09
1998-08-21,1.75,1.75,1.75,1.75,1.75,100.0,0.0
1998-08-25,1.5,1.5,1.5,1.5,1.5,400.0,0.01
1998-08-31,1.5,1.5,1.5,1.5,1.5,400.0,0.01
1998-09-04,2.0,2.0,2.0,2.0,2.0,400.0,0.01
1998-09-07,1.5,1.5,1.5,1.5,1.5,100.0,0.0
1998-09-11,1.5,1.5,1.5,1.5,1.5,500.0,0.01
1998-09-16,1.9,2.0,1.9,2.0,2.0,300.0,0.01
1998-09-17,2.0,2.0,2.0,2.0,2.0,500.0,0.01
1998-09-21,2.0,2.0,2.0,2.0,2.0,700.0,0.01
1998-09-22,1.85,1.9,1.85,1.9,1.9,1300.0,0.02
1998-09-23,1.75,1.75,1.75,1.75,1.75,200.0,0.0
1998-09-28,1.65,2.0,1.65,1.7,1.7,1200.0,0.02
1998-10-05,1.75,1.75,1.6,1.65,1.65,4500.0,0.08
1998-10-14,1.5,1.5,1.5,1.5,1.5,1000.0,0.02
1998-10-15,1.5,1.5,1.5,1.5,1.5,1000.0,0.02
1998-10-16,1.5,1.5,1.5,1.5,1.5,500.0,0.01
1998-10-20,1.5,1.5,1.5,1.5,1.5,1000.0,0.02
1998-10-22,1.5,1.5,1.5,1.5,1.5,800.0,0.01
1998-10-23,1.5,1.5,1.5,1.5,1.5,500.0,0.01
1998-10-26,1.5,1.5,1.5,1.5,1.5,500.0,0.01
1998-10-27,1.0,1.5,1.0,1.5,1.5,1100.0,0.02
1998-10-28,1.4,1.5,1.4,1.5,1.5,7600.0,0.11
1998-10-29,1.5,1.5,1.5,1.5,1.5,1000.0,0.02
1998-10-30,2.0,2.0,2.0,2.0,2.0,1000.0,0.02
1998-10-31,2.15,2.35,2.15,2.15,2.15,1500.0,0.03
1998-11-02,2.1,2.1,2.1,2.1,2.1,100.0,0.0
1998-11-03,1.5,2.15,1.5,2.15,2.15,1200.0,0.02
1998-11-05,2.05,2.1,1.55,2.1,2.1,600.0,0.01
1998-11-06,2.5,2.5,2.0,2.0,2.0,1500.0,0.03
1998-11-09,2.0,2.0,1.9,1.9,1.9,200.0,0.0
1998-11-10,2.5,2.5,2.15,2.15,2.15,400.0,0.01
1998-11-12,1.5,1.5,1.5,1.5,1.5,100.0,0.0
1998-11-16,1.5,2.25,1.5,2.25,2.2,900.0,0.02
1998-11-17,1.6,1.6,1.55,1.55,1.55,500.0,0.01
1998-11-18,1.35,1.45,1.05,1.05,1.05,8200.0,0.11
1998-11-19,1.4,1.6,1.4,1.6,1.6,1200.0,0.02
1998-11-20,1.6,1.6,1.6,1.6,1.6,1000.0,0.02
1998-11-24,1.4,1.4,1.15,1.15,1.15,1000.0,0.01
1998-11-27,1.5,1.75,1.5,1.75,1.75,1800.0,0.03
1998-11-30,1.5,1.5,1.5,1.5,1.5,100.0,0.0
1998-12-01,1.5,1.7,1.5,1.7,1.7,1100.0,0.02
1998-12-07,1.75,1.8,1.7,1.8,1.8,2800.0,0.05
1998-12-08,1.75,1.85,1.65,1.85,1.85,2500.0,0.04
1998-12-09,1.5,1.5,1.5,1.5,1.5,5000.0,0.08
1998-12-14,1.55,1.55,1.55,1.55,1.55,4400.0,0.07
1998-12-15,1.6,1.6,1.5,1.5,1.5,700.0,0.01
1998-12-16,1.5,1.5,1.5,1.5,1.5,200.0,0.0
1998-12-17,1.55,1.55,1.55,1.55,1.55,900.0,0.01
1998-12-18,1.55,1.55,1.55,1.55,1.55,100.0,0.0
1998-12-21,1.55,1.55,1.5,1.5,1.5,1000.0,0.02
1998-12-22,1.5,1.5,1.5,1.5,1.5,2000.0,0.03
1998-12-23,1.5,1.5,1.5,1.5,1.5,200.0,0.0
1998-12-24,1.5,1.5,1.5,1.5,1.5,400.0,0.01
1998-12-28,1.5,1.5,1.5,1.5,1.5,300.0,0.0
1998-12-30,1.7,1.85,1.7,1.85,1.85,1700.0,0.03
1999-01-01,1.8,1.8,1.8,1.8,1.8,300.0,0.01
1999-01-05,1.6,1.7,1.6,1.7,1.7,200.0,0.0
1999-01-06,1.65,1.65,1.65,1.65,1.65,100.0,0.0
1999-01-07,1.75,1.75,1.75,1.75,1.75,300.0,0.01
1999-01-11,1.6,1.8,1.6,1.8,1.8,800.0,0.01
1999-01-12,2.0,2.0,2.0,2.0,2.0,2000.0,0.04
1999-01-14,2.0,2.0,2.0,2.0,2.0,100.0,0.0
1999-01-15,2.1,2.1,2.1,2.1,2.1,200.0,0.0
1999-01-18,1.8,1.8,1.8,1.8,1.8,100.0,0.0
1999-01-19,2.0,2.0,2.0,2.0,2.0,100.0,0.0
1999-01-21,2.0,2.0,2.0,2.0,2.0,800.0,0.02
1999-01-22,2.0,2.0,1.8,1.8,1.8,1600.0,0.03
1999-01-25,2.05,2.5,1.8,2.5,2.5,1700.0,0.04
1999-01-27,2.4,2.5,2.4,2.5,2.5,2600.0,0.06
1999-01-28,2.0,2.0,2.0,2.0,2.0,500.0,0.01
1999-01-29,1.9,1.9,1.9,1.9,1.9,100.0,0.0
1999-02-01,2.0,2.0,2.0,2.0,2.0,1200.0,0.02
1999-02-02,2.0,2.0,1.9,1.9,1.9,1000.0,0.02
1999-02-03,2.0,2.2,2.0,2.2,2.2,1500.0,0.03
1999-02-04,2.1,2.1,2.1,2.1,2.1,500.0,0.01
1999-02-10,2.0,2.5,1.8,2.1,2.1,3000.0,0.06
1999-02-12,1.5,1.5,1.5,1.5,1.5,200.0,0.0
1999-02-16,2.0,2.0,2.0,2.0,2.0,300.0,0.01
1999-02-17,2.35,2.35,1.85,1.85,1.85,700.0,0.02
1999-02-18,1.6,1.6,1.6,1.6,1.6,400.0,0.01
1999-02-19,1.75,2.4,1.75,2.4,2.4,800.0,0.02
1999-02-22,1.8,1.8,1.8,1.8,1.8,200.0,0.0
1999-02-23,1.85,1.85,1.8,1.8,1.8,500.0,0.01
1999-02-24,1.7,2.0,1.7,2.0,2.0,200.0,0.0
1999-02-25,2.0,2.0,2.0,2.0,2.0,2000.0,0.04
1999-02-26,1.8,2.25,1.8,2.25,2.25,2400.0,0.05
1999-03-01,2.45,2.5,1.8,1.8,1.8,1400.0,0.03
1999-03-03,1.8,1.85,1.8,1.85,1.85,1100.0,0.02
1999-03-04,2.4,2.45,2.4,2.45,2.45,500.0,0.01
1999-03-05,1.75,2.0,1.7,2.0,2.0,5700.0,0.1
1999-03-08,1.8,1.8,1.75,1.8,1.8,4400.0,0.08
1999-03-09,1.8,2.25,1.8,1.8,1.8,1500.0,0.03
1999-03-10,1.8,1.8,1.8,1.8,1.8,700.0,0.01
1999-03-11,1.9,2.1,1.9,2.1,2.1,300.0,0.01
1999-03-12,1.8,1.8,1.8,1.8,1.8,200.0,0.0
1999-03-16,1.8,1.85,1.8,1.8,1.8,4600.0,0.08
1999-03-17,1.8,1.85,1.8,1.85,1.85,1400.0,0.03
1999-03-18,1.9,1.9,1.85,1.85,1.85,600.0,0.01
1999-03-19,1.85,2.0,1.85,2.0,2.0,200.0,0.0
1999-03-23,1.95,2.05,1.95,2.05,2.05,400.0,0.01
1999-03-24,2.0,2.0,2.0,2.0,2.0,300.0,0.01
1999-03-25,2.1,2.25,2.1,2.25,2.25,600.0,0.01
1999-03-26,1.15,2.25,1.15,2.25,2.25,1200.0,0.03
1999-03-30,1.2,2.0,1.2,2.0,2.0,200.0,0.0
1999-03-31,1.8,1.8,1.8,1.8,1.8,100.0,0.0
1999-04-06,1.8,2.25,1.8,1.8,1.8,1200.0,0.02
1999-04-08,2.0,2.0,2.0,2.0,2.0,200.0,0.0
1999-04-12,2.25,2.25,2.25,2.25,2.25,100.0,0.0
1999-04-13,1.75,1.8,1.75,1.8,1.8,300.0,0.01
1999-04-15,1.85,1.85,1.85,1.85,1.85,300.0,0.01
1999-04-17,1.8,1.8,1.8,1.8,1.8,200.0,0.0
1999-04-20,1.75,1.75,1.75,1.75,1.75,400.0,0.01
1999-04-21,1.8,1.8,1.8,1.8,1.8,1000.0,0.02
1999-04-22,2.7,2.7,2.0,2.0,2.0,700.0,0.02
1999-04-26,2.0,2.0,1.8,1.8,1.8,1200.0,0.02
1999-04-30,1.9,1.9,1.9,1.9,1.9,100.0,0.0
1999-05-03,2.1,2.5,2.1,2.5,2.5,900.0,0.02
1999-05-05,2.8,2.8,2.8,2.8,2.8,100.0,0.0
1999-05-11,2.1,2.1,2.1,2.1,2.1,2900.0,0.06
1999-05-12,2.1,2.1,2.1,2.1,2.1,2900.0,0.06
1999-05-14,2.0,2.15,2.0,2.0,2.0,4100.0,0.08
1999-05-17,2.0,2.0,2.0,2.0,2.0,500.0,0.01
1999-05-18,2.25,2.25,1.85,1.85,1.85,2700.0,0.06
1999-05-20,2.0,2.05,2.0,2.05,2.05,1100.0,0.02
1999-05-21,2.0,2.05,2.0,2.05,2.05,400.0,0.01
1999-05-25,1.9,2.0,1.8,2.0,2.0,4300.0,0.08
1999-05-26,2.0,2.0,2.0,2.0,2.0,100.0,0.0
1999-05-27,1.95,2.0,1.95,1.95,1.95,4600.0,0.09
1999-05-28,1.95,2.0,1.95,2.0,2.0,2600.0,0.05
1999-05-31,1.95,1.95,1.95,1.95,1.95,1000.0,0.02
1999-06-07,1.9,1.9,1.9,1.9,1.9,400.0,0.01
1999-06-08,1.85,1.85,1.85,1.85,1.85,900.0,0.02
1999-06-09,2.0,2.0,2.0,2.0,2.0,1000.0,0.02
1999-06-10,2.0,2.0,2.0,2.0,2.0,500.0,0.01
1999-06-17,1.95,1.95,1.95,1.95,1.95,500.0,0.01
1999-06-21,1.95,1.95,1.95,1.95,1.95,100.0,0.0
1999-06-23,1.95,1.95,1.95,1.95,1.95,200.0,0.0
1999-06-30,2.5,2.5,2.5,2.5,2.5,3700.0,0.09
1999-07-01,2.5,2.5,2.15,2.25,2.25,3500.0,0.08
1999-07-02,2.5,2.5,2.5,2.5,2.5,2000.0,0.05
1999-07-05,2.05,2.5,2.05,2.5,2.45,2500.0,0.05
1999-07-06,2.5,2.7,2.4,2.7,2.7,3800.0,0.1
1999-07-07,2.5,2.9,2.5,2.9,2.85,4300.0,0.11
1999-07-08,2.75,4.3,2.75,4.3,4.3,20300.0,0.77
1999-07-09,4.5,4.7,4.25,4.4,4.4,17100.0,0.76
1999-07-12,4.0,4.2,3.6,3.75,3.75,4400.0,0.18
1999-07-13,3.25,3.5,2.0,2.15,2.15,1900.0,0.06
1999-07-14,2.6,3.0,2.6,3.0,3.0,400.0,0.01
1999-07-15,3.9,3.9,2.75,2.75,2.75,1200.0,0.04
1999-07-16,2.95,2.95,2.1,2.5,2.5,3500.0,0.09
1999-07-19,2.5,2.75,2.5,2.75,2.75,300.0,0.01
1999-07-20,2.1,2.1,2.1,2.1,2.1,2700.0,0.06
1999-07-21,2.3,2.3,2.3,2.3,2.3,400.0,0.01
1999-07-22,3.15,3.2,3.0,3.0,3.0,3500.0,0.11
1999-07-23,3.0,3.2,3.0,3.0,3.0,1200.0,0.04
1999-07-26,2.1,2.2,2.1,2.2,2.2,800.0,0.02
1999-07-27,2.5,3.1,2.5,2.6,2.6,3000.0,0.09
1999-07-28,3.15,3.4,3.0,3.35,3.35,6900.0,0.22
1999-07-29,2.2,2.8,2.2,2.8,2.8,900.0,0.02
1999-07-30,2.3,3.0,2.3,3.0,3.0,400.0,0.01
1999-08-02,2.3,2.75,2.3,2.75,2.75,200.0,0.01
1999-08-03,2.75,2.75,2.5,2.5,2.5,6800.0,0.17
1999-08-05,2.55,2.55,2.0,2.0,2.0,20100.0,0.41
1999-08-06,2.25,2.3,2.25,2.3,2.3,700.0,0.02
1999-08-10,2.45,2.45,2.45,2.45,2.45,100.0,0.0
1999-08-11,2.9,2.9,2.9,2.9,2.9,200.0,0.01
1999-08-12,3.25,3.4,3.0,3.25,3.25,2600.0,0.08
1999-08-13,3.25,3.75,3.25,3.5,3.5,1600.0,0.06
1999-08-16,2.9,3.0,2.7,2.7,2.7,600.0,0.02
1999-08-17,3.0,3.0,3.0,3.0,3.0,100.0,0.0
1999-08-18,4.5,4.5,3.1,3.15,3.15,5500.0,0.19
1999-08-19,3.2,4.0,3.0,3.6,3.6,9500.0,0.36
1999-08-20,2.15,3.85,2.15,3.5,3.5,1200.0,0.04
1999-08-23,4.0,5.2,4.0,4.75,4.75,13000.0,0.62
1999-08-24,5.1,6.5,5.1,6.0,5.95,42100.0,2.45
1999-08-25,6.5,6.9,5.1,5.1,5.15,29300.0,1.7
1999-08-26,5.0,5.5,4.8,5.3,5.3,16300.0,0.85
1999-08-27,5.25,5.65,5.0,5.3,5.3,5400.0,0.29
1999-08-30,5.8,5.85,4.3,4.75,4.65,11400.0,0.6
1999-08-31,3.15,4.9,3.05,4.5,4.55,13500.0,0.6
1999-09-01,4.0,4.0,3.7,3.7,3.7,600.0,0.02
1999-09-02,4.0,4.4,3.8,3.8,3.8,400.0,0.02
1999-09-03,4.0,4.0,3.7,3.7,3.7,1400.0,0.05
1999-09-06,3.5,3.5,3.2,3.5,3.5,2400.0,0.08
1999-09-07,3.55,3.8,3.5,3.8,3.8,10400.0,0.37
1999-09-08,3.8,3.8,2.1,2.5,2.35,54200.0,1.45
1999-09-09,2.5,3.45,2.45,3.2,3.25,37100.0,1.11
1999-09-10,3.25,3.7,3.25,3.5,3.5,13200.0,0.45
1999-09-14,3.05,3.45,3.05,3.15,3.3,2100.0,0.07
1999-09-15,3.35,3.5,3.3,3.5,3.5,2600.0,0.09
1999-09-16,3.7,4.15,3.7,4.05,4.05,14100.0,0.56
1999-09-17,3.95,5.0,3.95,5.0,5.0,9200.0,0.44
1999-09-20,5.0,5.0,4.1,4.1,4.1,5500.0,0.26
1999-09-21,4.45,5.0,3.7,4.85,4.85,7200.0,0.33
1999-09-22,4.9,5.2,4.6,4.7,4.7,11700.0,0.58
1999-09-23,4.9,5.6,4.55,5.25,5.25,13800.0,0.7
1999-09-24,4.65,5.2,4.6,5.05,5.15,3400.0,0.17
1999-09-27,5.25,5.3,4.95,4.95,4.95,7600.0,0.38
1999-09-28,4.2,5.1,4.2,5.1,5.1,2100.0,0.1
1999-09-29,5.35,5.35,4.55,4.75,4.75,5500.0,0.28
1999-09-30,5.0,5.25,5.0,5.25,5.25,30200.0,1.55
1999-10-01,5.0,5.5,5.0,5.1,5.1,4700.0,0.25
1999-10-04,5.35,5.35,5.0,5.1,5.1,11900.0,0.62
1999-10-05,4.9,5.0,4.6,5.0,4.95,7200.0,0.35
1999-10-06,5.25,5.5,5.25,5.4,5.4,2100.0,0.11
1999-10-07,5.0,5.6,5.0,5.6,5.55,3900.0,0.21
1999-10-08,5.75,7.9,5.15,7.25,7.2,11800.0,0.71
1999-10-11,8.5,8.5,7.15,8.2,8.25,36000.0,2.84
1999-10-12,8.75,8.8,7.1,7.95,7.5,28800.0,2.28
1999-10-13,8.5,8.5,7.0,7.3,7.3,16800.0,1.3
1999-10-14,8.45,8.45,6.5,6.7,6.7,9200.0,0.67
1999-10-15,6.5,6.85,6.0,6.8,6.8,1900.0,0.12
1999-10-18,6.25,6.25,5.9,5.9,5.95,5100.0,0.3
