Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2009-11-05,181.05,185.1,181.05,183.15,184.75,28116.0,51.88
2009-11-06,185.3,190.0,185.0,187.3,188.15,5889.0,11.12
2009-11-09,190.0,204.95,187.65,204.95,198.05,93706.0,179.87
2009-11-10,208.0,214.95,201.15,206.5,205.65,46543.0,96.93
2009-11-11,205.8,216.9,204.0,215.0,214.45,65193.0,139.06
2009-11-12,213.05,215.0,204.95,206.1,206.75,77013.0,161.75
2009-11-13,214.0,219.0,209.0,210.0,210.9,87460.0,187.13
2009-11-16,215.4,215.9,207.15,208.0,208.45,24902.0,52.95
2009-11-17,202.1,210.5,202.0,206.5,205.5,27097.0,56.09
2009-11-18,206.0,208.0,202.25,203.2,205.35,42776.0,87.99
2009-11-19,204.95,206.8,200.1,205.0,202.1,22391.0,45.44
2009-11-20,200.0,206.75,190.5,205.0,205.5,44251.0,89.48
2009-11-23,206.0,208.0,201.2,201.65,205.05,78381.0,160.85
2009-11-24,201.2,203.0,189.0,198.7,201.1,86618.0,172.9
2009-11-25,204.0,204.0,196.0,196.15,200.2,82045.0,163.24
2009-11-26,199.0,202.0,194.05,200.05,199.05,72985.0,143.9
2009-11-27,191.0,196.0,182.0,191.2,193.95,73909.0,140.5
2009-11-30,194.2,199.0,193.25,194.0,196.05,76462.0,149.17
2009-12-01,197.0,202.0,189.7,196.1,199.15,96372.0,189.56
2009-12-02,199.3,203.95,192.5,197.0,197.75,92358.0,181.68
2009-12-03,197.3,197.8,193.5,194.0,194.2,55492.0,108.8
2009-12-04,197.0,203.0,197.0,202.0,202.3,152268.0,304.16
2009-12-07,202.45,205.15,198.7,200.0,202.55,110012.0,221.82
2009-12-08,203.0,206.65,199.0,199.0,203.8,151181.0,304.78
2009-12-09,202.7,203.95,199.0,202.5,202.5,149290.0,300.2
2009-12-10,200.15,205.0,196.5,196.6,198.9,167029.0,334.73
2009-12-11,200.85,200.85,194.0,194.0,196.45,96530.0,190.68
2009-12-14,195.3,197.0,192.0,192.0,193.5,75181.0,145.72
2009-12-15,196.75,196.75,186.55,192.95,192.8,81287.0,157.05
2009-12-16,198.0,198.0,188.15,189.9,191.85,62184.0,118.77
2009-12-17,191.0,191.55,181.25,183.0,184.15,73885.0,137.87
2009-12-18,185.0,193.8,181.2,192.9,192.2,149726.0,285.37
2009-12-21,194.0,199.0,191.1,194.0,194.25,139734.0,272.4
2009-12-22,196.0,196.8,191.1,192.0,191.8,54903.0,106.7
2009-12-23,192.3,194.3,184.1,187.85,186.9,108300.0,205.57
2009-12-24,187.6,192.7,187.1,190.0,189.5,73890.0,140.1
2009-12-29,190.5,191.3,187.05,188.9,189.3,60445.0,114.68
2009-12-30,188.5,190.0,186.5,189.0,189.55,73553.0,138.62
2009-12-31,190.0,190.0,186.55,188.3,188.35,57841.0,109.2
2010-01-04,192.0,195.0,182.0,182.0,183.3,96085.0,179.37
2010-01-05,185.0,187.0,182.1,184.0,184.15,79260.0,146.67
2010-01-06,183.1,187.0,178.05,186.0,184.8,107928.0,198.16
2010-01-07,188.8,189.9,184.3,186.2,185.85,99318.0,184.8
2010-01-08,198.0,198.0,184.1,185.95,186.05,85218.0,159.25
2010-01-11,199.0,199.0,186.95,189.9,188.15,68176.0,128.76
2010-01-12,199.4,199.4,185.5,189.0,187.25,82654.0,157.2
2010-01-13,185.0,189.9,184.0,186.0,187.5,118706.0,222.89
2010-01-14,192.1,192.1,184.1,190.0,186.35,80262.0,150.45
2010-01-15,185.55,185.9,183.2,184.25,183.95,47611.0,87.82
