Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,128.0,131.8,126.6,,,,
1998-03-23,132.9,133.9,130.4,133.9,133.9,4200.0,5.56
1998-03-24,140.0,140.0,133.0,138.05,138.55,24400.0,33.48
1998-03-25,145.0,152.45,145.0,152.45,152.45,21800.0,33.14
1998-03-26,157.0,167.6,156.0,156.0,157.15,35200.0,57.36
1998-03-27,154.05,160.9,150.0,156.0,155.85,29100.0,45.39
1998-03-30,160.0,164.5,153.1,153.1,154.55,34100.0,54.46
1998-03-31,156.0,156.5,143.6,146.05,146.8,28300.0,42.39
1998-04-01,154.9,161.5,154.9,161.5,161.5,15300.0,24.5
1998-04-02,166.0,177.65,166.0,177.65,177.65,29300.0,50.9
1998-04-03,180.0,183.35,180.0,183.35,183.35,10200.0,18.68
1998-04-06,183.45,183.45,183.45,183.45,183.45,3100.0,5.69
1998-04-09,201.6,201.8,201.6,201.8,201.8,1600.0,3.23
1998-04-10,229.0,229.0,197.0,200.0,208.75,30600.0,66.54
1998-04-13,189.0,204.0,187.95,190.0,188.6,28500.0,55.03
1998-04-15,202.0,207.5,202.0,207.5,207.5,4100.0,8.48
1998-04-16,208.0,218.0,202.0,202.0,204.15,24800.0,52.34
1998-04-17,205.0,208.75,191.1,203.75,203.2,21500.0,43.14
1998-04-20,202.05,223.55,196.0,216.9,217.5,48200.0,104.81
1998-04-21,222.5,235.55,217.0,235.55,235.55,43200.0,99.04
1998-04-22,249.9,259.15,220.0,224.0,226.05,118300.0,295.25
1998-04-23,225.0,225.0,203.45,204.0,204.8,51400.0,108.27
1998-04-24,204.5,205.0,185.0,203.7,199.25,36200.0,70.57
1998-04-27,205.0,209.0,185.0,192.55,192.5,19300.0,37.8
1998-04-28,191.0,196.75,177.25,188.0,186.85,41400.0,77.19
1998-04-29,195.75,203.9,192.5,195.0,193.65,13400.0,26.55
1998-04-30,190.0,213.0,187.1,211.9,210.9,18800.0,37.86
1998-05-04,219.0,232.0,208.5,231.75,230.95,39000.0,88.49
