Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-10-06,111.0,111.7,108.0,111.7,111.7,2216.0,2.46
2006-10-09,114.0,117.3,112.5,117.3,117.3,25590.0,29.94
2006-10-10,121.0,123.0,113.6,115.6,114.9,19961.0,23.92
2006-10-11,115.5,116.0,109.15,109.15,109.15,4046.0,4.51
2006-10-12,108.1,111.35,106.7,107.3,108.45,1169.0,1.28
2006-10-13,108.15,109.95,104.0,104.1,104.65,7920.0,8.31
2006-10-16,108.65,109.9,107.5,107.5,109.85,4324.0,4.7
2006-10-17,108.1,113.5,107.0,110.65,109.7,5467.0,5.95
2006-10-18,108.0,110.25,107.5,108.0,107.8,4122.0,4.52
2006-10-19,105.0,110.0,105.0,107.8,107.4,5407.0,5.82
2006-10-20,108.2,108.2,105.15,105.15,105.45,7438.0,7.87
2006-10-21,109.05,110.25,109.0,110.25,110.25,285.0,0.31
2006-10-23,109.0,115.8,106.5,111.0,112.1,11805.0,13.27
2006-10-26,111.05,116.0,111.05,112.85,113.3,6574.0,7.51
2006-10-27,113.5,113.5,110.0,111.55,111.75,7166.0,8.03
2006-10-30,113.1,113.1,108.15,110.8,108.95,8189.0,9.03
2006-10-31,112.1,112.1,105.8,106.25,106.1,22187.0,24.09
2006-11-01,106.25,108.0,102.0,102.5,102.95,6499.0,6.76
2006-11-02,106.0,108.1,104.3,108.1,108.1,5175.0,5.49
2006-11-03,111.0,113.55,108.1,113.55,113.45,24544.0,27.69
2006-11-06,111.0,114.65,109.1,110.5,110.5,8046.0,8.95
2006-11-07,114.4,114.8,108.0,111.0,112.4,17833.0,20.09
2006-11-08,112.9,115.0,106.85,107.95,107.95,8388.0,9.19
2006-11-09,109.0,110.0,106.5,106.9,107.45,5476.0,5.9
2006-11-10,109.0,111.0,106.15,106.35,106.75,6821.0,7.35
2006-11-13,108.5,112.1,107.1,109.75,110.85,12266.0,13.59
2006-11-14,112.9,112.9,108.0,109.0,109.6,6859.0,7.58
2006-11-15,111.5,111.5,104.6,104.6,104.6,19380.0,20.55
2006-11-16,106.05,108.0,103.1,103.5,104.55,13476.0,14.11
2006-11-17,108.0,108.0,98.55,98.75,99.65,11124.0,11.28
2006-11-20,95.2,101.6,95.0,101.6,100.0,4974.0,4.87
2006-11-21,100.0,104.25,100.0,102.6,103.45,1288.0,1.32
2006-11-22,103.0,105.0,102.0,102.6,103.55,1610.0,1.66
2006-11-23,101.0,108.7,101.0,104.05,104.5,8025.0,8.55
2006-11-24,108.95,114.95,106.8,114.95,114.95,38885.0,44.29
2006-11-27,126.45,126.45,125.0,126.45,126.45,52834.0,66.81
2006-11-28,126.9,129.9,120.2,124.05,121.9,45754.0,57.02
2006-11-29,121.9,128.0,121.9,128.0,128.0,50284.0,64.13
2006-11-30,130.0,130.0,126.0,126.5,127.85,25604.0,32.52
2006-12-01,126.0,133.0,123.0,123.0,125.0,8190.0,10.38
2006-12-04,128.0,131.25,128.0,131.25,131.25,12214.0,15.97
2006-12-05,136.6,137.85,130.0,137.85,137.85,48325.0,65.79
2006-12-06,143.8,144.75,140.25,144.75,144.75,180466.0,260.44
2006-12-07,147.75,152.0,142.0,152.0,151.4,143707.0,212.48
2006-12-08,154.0,154.0,146.0,146.0,146.45,57015.0,84.26
2006-12-11,146.0,146.0,131.8,131.8,131.95,23316.0,31.84
2006-12-12,130.0,136.95,120.25,124.0,124.0,35820.0,46.43
2006-12-13,125.05,136.4,124.0,136.4,136.4,14746.0,19.34
2006-12-14,143.05,150.05,141.75,148.95,148.1,41066.0,60.91
2006-12-15,151.0,153.0,140.7,144.0,141.75,5234.0,7.56
2006-12-18,144.0,146.6,139.0,140.1,140.75,5551.0,7.88
2006-12-19,135.1,142.0,135.1,137.9,136.75,5471.0,7.58
2006-12-20,142.9,142.9,136.25,136.25,136.4,2064.0,2.84
2006-12-21,141.5,142.9,137.3,141.5,141.9,1994.0,2.82
2006-12-22,148.6,148.6,142.15,146.5,145.9,7377.0,10.66
2006-12-26,150.0,153.2,148.5,153.2,153.2,5722.0,8.72
2006-12-27,160.0,160.9,155.0,155.0,156.5,18678.0,29.83
2006-12-28,160.0,163.0,148.7,150.75,148.95,51891.0,77.84
2006-12-29,155.0,155.0,145.0,145.0,150.3,13443.0,20.18
2007-01-02,150.0,157.85,150.0,157.85,157.85,7226.0,11.33
2007-01-03,165.5,165.75,161.5,165.75,165.75,69056.0,114.17
2007-01-04,169.9,174.05,161.1,174.05,174.05,29624.0,50.52
2007-01-05,180.0,182.75,175.0,181.1,182.6,31020.0,56.32
2007-01-08,182.0,184.0,173.5,179.5,177.65,25318.0,45.16
2007-01-09,180.25,186.0,173.6,176.0,176.15,33213.0,60.33
2007-01-10,182.0,183.75,173.65,178.5,175.0,13417.0,23.69
2007-01-11,179.05,180.0,173.0,179.9,177.05,2656.0,4.67
2007-01-12,175.5,185.9,175.5,185.9,185.9,8913.0,16.4
2007-01-15,194.9,194.9,180.0,182.0,182.2,6355.0,11.8
2007-01-16,181.5,181.8,175.0,175.0,175.1,13670.0,24.12
2007-01-17,173.15,183.0,173.0,173.0,174.4,14723.0,26.0
2007-01-18,174.0,181.0,165.7,165.95,166.0,39524.0,66.42
2007-01-19,167.1,174.3,166.2,166.2,168.25,6729.0,11.5
2007-01-22,166.0,169.0,161.0,168.85,166.4,133178.0,222.29
2007-01-23,168.85,174.75,168.85,174.75,174.35,27618.0,47.85
2007-01-24,175.0,177.5,165.8,168.45,168.65,6671.0,11.47
2007-01-25,169.0,177.1,162.5,177.1,177.1,8966.0,15.47
2007-01-29,178.05,186.0,177.5,179.0,179.1,14851.0,27.42
2007-01-31,175.5,184.5,170.2,172.45,171.7,6164.0,10.68
2007-02-01,170.75,176.5,167.05,170.5,172.15,35349.0,60.58
2007-02-02,176.75,180.8,176.5,180.8,180.8,18402.0,33.23
2007-02-05,180.0,184.0,172.5,184.0,181.4,30171.0,53.58
2007-02-06,176.3,182.6,173.15,175.05,174.65,4526.0,8.02
2007-02-07,177.05,180.0,170.0,172.5,172.35,12312.0,21.33
2007-02-08,172.5,172.5,167.2,167.2,169.7,5011.0,8.52
2007-02-09,172.4,172.4,163.0,164.9,164.9,6755.0,11.12
2007-02-12,157.5,157.5,156.65,156.65,156.65,3507.0,5.49
2007-02-13,149.0,163.95,148.85,152.5,154.35,12542.0,19.45
2007-02-14,157.0,160.75,147.0,157.9,157.9,12287.0,18.42
2007-02-15,165.0,165.8,162.65,165.8,165.8,10126.0,16.77
2007-02-19,174.05,174.05,163.0,165.5,165.55,6838.0,11.51
2007-02-20,167.55,169.0,162.3,162.3,163.8,126355.0,210.32
2007-02-21,164.85,172.0,162.0,170.0,169.8,13189.0,22.49
2007-02-22,172.0,175.0,166.55,168.05,170.3,17318.0,29.72
2007-02-23,173.0,173.0,161.8,161.8,162.05,59868.0,97.59
2007-02-26,163.0,170.15,163.0,170.15,170.15,59433.0,100.88
2007-02-27,178.6,178.6,161.65,165.0,162.35,14912.0,25.28
2007-02-28,158.0,160.0,154.25,154.25,154.25,6913.0,10.86
2007-03-01,158.95,158.95,146.55,150.0,150.85,5920.0,8.96
2007-03-02,150.6,158.4,150.25,156.65,155.2,9740.0,15.24
2007-03-05,148.0,148.0,147.45,147.45,147.45,1130.0,1.67
2007-03-06,154.8,154.8,140.1,140.1,140.1,2430.0,3.47
2007-03-07,142.75,143.75,133.1,135.75,135.6,13557.0,18.34
2007-03-08,135.0,139.9,129.0,139.25,139.05,5237.0,7.08
2007-03-09,140.0,145.95,140.0,143.05,143.3,2392.0,3.4
2007-03-12,147.65,150.5,147.65,149.5,149.5,2097.0,3.14
2007-03-13,152.4,152.45,144.2,147.15,147.35,1763.0,2.61
2007-03-14,142.0,147.0,140.0,144.9,143.15,4621.0,6.6
2007-03-15,143.1,143.15,136.5,136.5,139.1,3216.0,4.54
2007-03-16,137.0,139.9,132.2,133.05,134.4,1393.0,1.89
2007-03-19,135.05,140.7,135.05,140.7,140.7,478.0,0.66
2007-03-20,141.0,142.65,134.25,137.75,136.9,7120.0,9.65
2007-03-21,136.1,139.55,133.2,133.2,133.95,780.0,1.06
2007-03-22,137.6,140.65,136.0,139.75,138.45,2339.0,3.25
2007-03-23,139.9,139.9,133.6,135.15,135.15,2031.0,2.76
2007-03-26,135.0,136.5,130.2,132.25,132.4,29465.0,39.13
2007-03-28,133.0,134.0,130.2,132.85,130.85,102339.0,136.09
2007-03-29,132.0,134.0,127.5,127.5,130.7,5729.0,7.51
2007-03-30,132.9,135.45,132.8,135.0,135.0,131824.0,178.17
2007-04-02,131.0,140.0,128.3,130.0,132.0,7778.0,10.24
2007-04-03,131.5,131.5,125.4,126.0,125.5,45888.0,58.06
2007-04-04,128.5,131.8,126.3,131.4,131.5,6830.0,8.9
2007-04-05,128.05,134.95,128.05,134.95,134.85,496.0,0.66
2007-04-09,133.6,139.4,133.6,137.5,137.75,2788.0,3.83
2007-04-10,138.0,144.0,138.0,138.25,138.7,2157.0,3.03
2007-04-11,141.95,142.0,139.75,140.1,141.6,85190.0,119.13
2007-04-12,140.5,146.0,135.0,138.75,136.4,3615.0,5.04
2007-04-13,140.0,150.05,140.0,150.0,149.55,12733.0,18.94
2007-04-16,147.5,158.0,147.5,153.15,154.2,12954.0,19.98
2007-04-17,150.0,154.0,146.0,148.6,149.05,3514.0,5.29
2007-04-18,148.0,154.2,146.6,146.6,146.95,484.0,0.72
2007-04-19,142.5,159.7,142.5,158.7,155.95,10912.0,16.89
2007-04-20,162.9,166.5,156.5,157.25,158.45,13714.0,22.19
2007-04-23,157.0,160.2,151.0,151.0,151.55,3901.0,6.03
2007-04-24,156.95,158.95,150.0,151.9,152.45,11588.0,17.96
2007-04-25,158.0,158.0,149.2,152.85,152.35,6623.0,10.06
2007-04-26,151.1,154.6,145.0,146.0,145.65,11707.0,17.21
2007-04-27,149.9,149.9,141.6,145.95,144.4,59985.0,85.41
2007-04-30,145.7,146.0,142.9,144.45,143.25,1481.0,2.13
2007-05-03,146.8,150.0,144.25,147.95,147.35,32367.0,47.17
2007-05-04,147.5,148.0,142.0,144.8,143.95,23608.0,33.67
2007-05-07,149.0,149.0,141.15,141.15,141.6,13939.0,19.97
2007-05-08,143.9,143.95,140.0,141.25,141.4,25103.0,35.68
2007-05-09,140.5,142.3,139.6,140.0,140.6,2003.0,2.81
2007-05-10,140.4,145.8,140.1,143.85,142.9,25578.0,36.37
2007-05-11,142.0,143.75,140.4,141.2,141.0,10260.0,14.51
2007-05-14,144.9,145.0,140.5,140.5,141.2,8715.0,12.32
2007-05-15,142.5,154.0,142.5,147.5,147.7,40612.0,60.26
2007-05-16,150.0,152.0,148.2,148.25,149.4,20869.0,31.41
2007-05-17,149.4,154.1,149.4,152.05,151.95,22264.0,33.85
2007-05-18,138.0,158.9,138.0,158.0,157.2,16258.0,25.37
2007-05-21,159.5,169.45,159.0,163.1,164.15,55680.0,91.32
2007-05-22,165.0,165.7,157.1,163.5,163.25,20909.0,34.08
2007-05-23,163.5,167.0,160.0,161.5,162.05,11551.0,18.87
2007-05-24,164.95,164.95,155.85,159.5,159.65,7981.0,12.63
2007-05-25,158.0,166.9,157.0,165.15,165.35,8852.0,14.49
2007-05-28,166.0,166.0,162.1,163.1,162.5,3207.0,5.23
2007-05-29,164.0,178.75,163.2,178.75,178.75,31708.0,55.38
2007-05-30,182.65,196.65,180.0,186.5,185.8,126035.0,239.89
2007-05-31,187.0,200.0,187.0,192.5,194.55,88760.0,172.9
2007-06-01,199.85,199.85,185.3,185.7,186.75,9984.0,18.9
2007-06-04,183.5,188.0,177.5,178.95,181.5,7919.0,14.47
2007-06-05,181.1,190.6,178.5,190.6,190.6,117746.0,224.1
2007-06-06,193.0,193.7,184.25,186.95,186.05,20080.0,37.72
2007-06-07,185.0,190.5,180.0,185.0,181.95,38791.0,71.39
2007-06-08,178.0,187.5,177.0,183.25,183.5,5367.0,9.83
2007-06-11,184.0,187.0,176.0,176.25,177.8,9081.0,16.7
2007-06-12,183.0,183.0,170.35,173.3,172.6,7621.0,13.18
2007-06-13,170.25,174.7,169.0,170.1,170.3,3593.0,6.16
2007-06-14,173.0,178.85,170.35,177.75,177.65,4939.0,8.67
2007-06-15,178.0,184.0,174.4,182.0,182.0,8476.0,15.26
2007-06-18,186.0,186.0,177.0,179.0,179.55,8058.0,14.54
2007-06-19,181.8,187.0,173.6,185.25,184.95,10044.0,18.15
2007-06-20,187.0,194.2,187.0,194.0,193.45,112232.0,216.22
2007-06-21,195.0,202.0,183.8,183.8,183.85,125138.0,238.31
2007-06-22,188.0,189.0,177.0,180.0,179.7,36439.0,66.3
2007-06-25,182.5,187.0,179.0,186.9,185.85,12881.0,23.8
2007-06-26,195.15,195.15,191.2,192.55,192.65,105319.0,204.39
2007-06-27,194.05,196.0,185.0,187.2,190.45,36180.0,68.67
2007-06-28,193.8,194.6,182.0,183.0,182.95,61263.0,113.49
2007-06-29,185.25,185.55,176.35,176.75,177.6,46200.0,83.09
2007-07-02,179.9,186.5,179.75,186.5,186.5,7264.0,13.33
2007-07-03,192.9,195.85,192.9,195.85,195.85,14084.0,27.58
2007-07-04,200.4,205.65,195.0,204.0,205.25,212975.0,432.26
2007-07-05,206.85,209.0,195.0,202.0,203.65,53225.0,105.91
2007-07-06,196.5,215.0,196.5,200.25,201.6,51262.0,105.85
2007-07-09,204.0,209.4,196.6,203.8,202.3,33268.0,67.4
2007-07-10,206.5,208.8,198.15,201.45,199.95,32862.0,66.61
2007-07-11,203.0,204.0,195.0,198.0,197.95,13225.0,26.44
2007-07-12,200.5,203.0,194.0,195.0,195.15,33396.0,65.66
2007-07-13,199.0,201.0,194.25,194.25,195.65,10430.0,20.49
2007-07-16,199.0,200.0,194.05,198.0,197.1,13671.0,26.89
2007-07-17,197.1,209.4,197.1,197.6,198.1,87610.0,176.04
