Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2001-09-27,31.0,39.0,29.7,30.4,29.95,19364.0,6.07
2001-09-28,31.1,33.9,27.55,32.3,32.75,61884.0,19.71
2001-10-01,32.55,32.95,31.15,31.4,31.75,25546.0,8.11
2001-10-03,32.85,32.85,30.0,30.1,30.2,12954.0,3.98
2001-10-04,31.0,33.0,29.35,32.4,32.25,46305.0,14.31
2001-10-05,32.3,32.9,32.05,32.2,32.3,32034.0,10.37
2001-10-08,30.0,31.0,28.65,31.0,30.75,15211.0,4.64
2001-10-09,30.6,31.3,30.5,31.15,31.05,15104.0,4.67
2001-10-10,31.5,32.0,30.75,31.85,31.75,25920.0,8.19
2001-10-11,31.75,34.8,31.65,33.8,34.15,62387.0,20.61
2001-10-12,34.0,35.35,34.0,34.25,34.3,47699.0,16.54
2001-10-15,35.1,35.75,34.0,34.75,34.85,32691.0,11.42
2001-10-16,35.5,35.7,34.75,35.2,35.2,32557.0,11.48
2001-10-17,36.1,36.1,34.45,34.5,34.6,56996.0,20.1
2001-10-18,34.15,35.8,34.1,35.5,35.65,24590.0,8.65
2001-10-19,36.0,36.0,34.65,34.65,34.9,43772.0,15.47
2001-10-22,36.0,41.9,36.0,41.9,41.9,118429.0,47.84
2001-10-23,49.7,49.7,43.05,44.3,43.8,155481.0,69.96
2001-10-24,44.75,44.8,42.0,43.0,43.0,62945.0,27.12
2001-10-25,43.0,45.0,42.5,44.5,44.1,45768.0,20.05
2001-10-29,45.25,47.0,45.0,45.0,45.15,63636.0,29.07
2001-10-30,43.25,44.75,42.1,42.5,42.6,45670.0,19.67
2001-10-31,41.75,43.5,41.0,41.3,41.15,53832.0,22.66
2001-11-01,42.5,44.2,41.65,43.5,43.75,65559.0,28.29
2001-11-02,44.4,46.25,43.25,44.5,44.3,123326.0,55.27
2001-11-05,46.25,47.0,43.1,44.1,43.95,66880.0,29.69
2001-11-06,44.15,45.2,43.25,43.25,43.85,36582.0,16.22
2001-11-07,45.0,48.5,43.95,46.25,46.35,175259.0,80.85
2001-11-08,45.9,49.6,45.8,49.4,49.2,252458.0,122.37
2001-11-09,50.0,52.0,48.2,48.2,48.9,162077.0,81.1
2001-11-12,50.35,50.85,49.05,49.1,49.65,86829.0,43.16
2001-11-13,49.5,49.9,47.05,48.0,47.7,57732.0,27.75
2001-11-14,49.1,49.35,47.5,48.1,48.0,35049.0,16.92
2001-11-15,49.5,49.5,48.0,48.45,48.4,52624.0,25.48
2001-11-19,49.0,54.0,49.0,52.5,52.95,232460.0,121.25
2001-11-20,53.0,55.55,52.4,53.0,52.95,174549.0,93.43
2001-11-21,53.0,54.0,52.5,52.55,52.85,78672.0,41.87
2001-11-22,53.0,63.45,53.0,63.45,63.25,401588.0,234.9
2001-11-23,65.0,67.0,60.35,62.7,63.15,308787.0,196.08
2001-11-26,65.0,70.0,64.75,66.5,65.95,228453.0,151.6
2001-11-27,68.0,68.6,62.25,62.55,63.55,156501.0,102.9
2001-11-28,64.0,65.0,59.5,60.85,60.05,144602.0,90.09
2001-11-29,60.05,61.25,56.0,61.0,60.55,94421.0,55.75
2001-12-03,63.8,67.0,61.0,64.5,64.4,192086.0,123.85
2001-12-04,64.5,70.85,64.5,69.65,69.1,330318.0,225.09
2001-12-05,72.95,76.2,71.05,75.0,74.65,405991.0,299.2
2001-12-06,82.0,84.0,75.1,75.75,77.15,461312.0,358.87
2001-12-07,75.0,75.0,71.15,71.55,71.5,141081.0,102.32
2001-12-10,73.0,74.5,72.25,73.15,72.7,146071.0,106.96
2001-12-11,73.0,74.0,69.3,69.5,69.95,92152.0,66.4
2001-12-12,71.7,73.0,70.0,70.5,71.1,142577.0,102.35
2001-12-13,70.5,71.75,60.3,65.05,64.45,160742.0,104.37
2001-12-14,66.0,66.4,62.5,65.05,65.1,89618.0,58.33
2001-12-18,65.1,66.0,60.25,61.45,62.15,76943.0,48.06
2001-12-19,63.6,63.6,56.0,57.1,57.05,64102.0,38.15
2001-12-20,55.1,57.1,52.15,55.85,54.05,116764.0,64.39
2001-12-21,52.1,54.8,50.0,51.2,51.15,72540.0,37.31
2001-12-24,49.0,49.5,45.0,49.3,48.7,108769.0,51.71
2001-12-26,50.0,54.0,48.5,49.75,50.55,63531.0,32.62
2001-12-27,50.55,51.5,48.0,48.25,48.9,43360.0,21.64
2001-12-28,49.0,51.5,48.0,51.0,50.7,42319.0,20.97
2001-12-31,52.0,57.9,52.0,57.9,57.05,95746.0,53.64
2002-01-01,59.6,62.0,55.75,55.75,56.8,110677.0,65.51
2002-01-02,57.5,60.0,56.5,59.3,58.7,63473.0,37.16
2002-01-03,63.1,63.1,58.7,59.05,59.2,54473.0,32.42
2002-01-04,58.0,62.35,58.0,59.7,60.4,144501.0,87.09
2002-01-07,64.1,64.1,61.15,62.35,61.6,94714.0,59.1
2002-01-08,64.0,64.0,59.15,60.0,59.9,49329.0,29.76
2002-01-09,60.0,61.0,57.0,57.0,57.35,56180.0,33.21
2002-01-10,61.6,61.6,56.3,58.05,57.5,37555.0,21.65
2002-01-11,58.5,60.4,54.1,56.5,55.1,84084.0,48.35
2002-01-14,60.0,60.0,58.1,59.3,58.85,36403.0,21.43
2002-01-15,62.0,62.0,57.85,58.1,58.4,28497.0,16.66
2002-01-16,60.0,60.0,57.2,57.4,57.6,19063.0,11.09
2002-01-17,58.9,59.8,56.1,59.0,58.2,49289.0,28.59
2002-01-18,60.1,69.3,60.1,66.15,66.85,567981.0,378.15
2002-01-21,66.25,69.8,65.0,65.5,65.3,213806.0,143.24
2002-01-22,66.65,68.9,65.65,67.5,66.85,193258.0,130.24
2002-01-23,68.4,68.4,63.6,64.7,64.35,122677.0,80.33
2002-01-24,65.0,65.0,57.5,58.3,57.85,293856.0,173.25
2002-01-25,59.0,60.5,58.15,59.35,58.65,100446.0,59.42
2002-01-28,61.0,61.0,58.0,58.0,58.25,38105.0,22.43
2002-01-29,60.5,60.5,57.0,57.25,57.1,49758.0,28.81
2002-01-30,56.75,56.95,54.05,54.7,54.45,74297.0,40.93
2002-01-31,56.2,58.0,55.4,56.85,56.3,79839.0,45.25
2002-02-01,58.35,58.35,55.65,55.8,56.15,54616.0,30.94
2002-02-04,56.75,56.85,55.0,55.0,55.1,31048.0,17.28
2002-02-05,54.65,55.85,54.55,54.7,54.75,28708.0,15.81
2002-02-06,55.3,55.5,54.1,55.0,55.05,51649.0,28.32
2002-02-07,56.0,56.0,50.0,52.05,50.85,159148.0,83.68
2002-02-08,52.5,53.8,52.35,52.5,52.65,74787.0,39.55
2002-02-11,55.0,55.0,53.2,54.0,54.05,77770.0,42.1
2002-02-12,55.0,56.0,48.5,52.05,51.8,245569.0,127.12
2002-02-13,52.9,53.6,51.9,53.0,52.3,68679.0,36.35
2002-02-14,54.0,54.0,51.5,52.35,52.55,48937.0,25.71
2002-02-15,54.3,54.3,52.25,52.85,53.2,52284.0,27.73
2002-02-18,54.0,54.3,51.1,51.8,51.7,81593.0,42.46
2002-02-19,52.0,52.9,50.85,51.0,51.1,68712.0,35.31
2002-02-20,52.3,54.85,50.7,52.9,52.35,87684.0,46.23
2002-02-21,53.8,55.4,53.0,53.9,53.9,179873.0,98.0
2002-02-22,54.5,55.0,52.5,52.95,52.9,78868.0,42.36
2002-02-25,54.0,54.5,52.0,53.5,53.0,44687.0,23.87
2002-02-26,53.9,53.95,52.55,53.15,52.95,41145.0,21.92
2002-02-27,53.75,54.95,51.25,52.4,51.95,118992.0,63.25
2002-02-28,52.2,52.9,48.05,48.65,48.95,145021.0,72.65
2002-03-01,45.6,58.7,45.6,50.0,49.95,54328.0,26.89
2002-03-04,51.95,51.95,49.6,50.0,50.0,51418.0,25.93
2002-03-05,51.5,51.5,49.5,49.85,49.6,39593.0,19.82
2002-03-06,50.9,50.9,48.6,48.8,48.9,29631.0,14.57
2002-03-07,48.9,50.0,47.75,48.5,48.15,65023.0,31.61
2002-03-08,48.95,48.95,46.85,46.85,47.1,79557.0,38.02
2002-03-11,47.85,47.85,45.8,46.2,45.95,100597.0,46.61
2002-03-12,46.75,46.75,44.85,44.9,45.05,96276.0,44.0
2002-03-13,45.5,46.55,45.25,46.0,45.95,86992.0,40.13
2002-03-14,47.0,50.9,45.75,48.0,48.0,271611.0,131.97
2002-03-15,49.0,50.95,48.5,50.15,50.35,289815.0,145.09
2002-03-18,51.9,57.9,50.85,55.5,55.4,745425.0,408.26
2002-03-19,58.0,59.0,53.6,54.4,53.95,332392.0,184.9
2002-03-20,55.0,55.0,52.0,52.4,52.25,136853.0,72.14
2002-03-21,52.5,53.6,51.7,52.75,52.15,105452.0,55.58
2002-03-22,52.6,55.95,51.75,51.75,51.9,258000.0,138.65
2002-03-26,52.5,53.0,51.5,51.55,51.8,120789.0,63.33
2002-03-27,52.6,53.0,51.8,52.25,52.2,66683.0,34.86
2002-03-28,53.0,53.0,52.2,52.25,52.35,72623.0,38.2
2002-04-01,52.75,53.0,52.0,52.0,52.1,42382.0,22.2
2002-04-02,52.5,53.0,51.0,51.5,51.2,78004.0,40.83
2002-04-03,51.5,51.5,49.9,50.05,50.35,57282.0,28.97
2002-04-04,50.0,54.7,50.0,53.0,52.8,175916.0,93.53
2002-04-05,53.0,54.2,52.4,53.45,52.95,258398.0,137.62
2002-04-08,53.95,55.85,53.1,53.35,53.5,272658.0,147.91
2002-04-09,53.85,54.5,52.4,52.55,52.6,149140.0,79.8
2002-04-10,52.75,53.85,52.0,52.5,52.55,85204.0,45.17
2002-04-11,54.0,60.75,53.45,59.2,59.15,1314539.0,762.28
2002-04-12,59.5,62.1,56.15,56.6,56.55,1181600.0,700.34
2002-04-15,57.1,58.5,55.5,55.5,56.05,313998.0,178.95
2002-04-16,56.5,56.5,53.5,53.65,53.75,183895.0,100.2
2002-04-17,55.0,55.25,53.6,54.0,53.85,155457.0,84.35
2002-04-18,54.0,54.5,53.25,53.5,53.55,99602.0,53.58
2002-04-19,54.0,56.25,52.3,52.8,52.75,376089.0,204.16
2002-04-22,52.5,53.2,51.9,52.55,52.4,85024.0,44.72
2002-04-23,52.35,53.5,52.15,52.2,52.4,98124.0,51.76
2002-04-24,52.95,54.0,52.8,53.3,53.25,149925.0,79.89
2002-04-25,53.5,53.5,51.75,52.0,52.05,148104.0,77.8
2002-04-26,52.5,53.0,51.5,51.55,51.7,108338.0,56.56
2002-04-29,51.95,52.0,51.1,51.1,51.3,82061.0,42.22
2002-04-30,51.5,52.75,51.0,51.3,51.5,98189.0,50.86
2002-05-02,51.5,52.2,50.0,50.0,50.15,171389.0,86.96
2002-05-03,52.1,54.5,50.4,51.5,51.05,134086.0,68.72
2002-05-06,51.95,53.35,51.65,52.7,52.7,175992.0,92.74
2002-05-07,44.0,54.9,44.0,52.6,52.75,263040.0,140.96
2002-05-08,53.45,53.8,51.95,52.1,52.3,99687.0,52.42
2002-05-09,53.0,53.0,51.55,51.85,51.95,100944.0,52.82
2002-05-10,52.8,52.8,50.65,50.65,51.0,92580.0,47.5
2002-05-13,51.7,51.7,50.5,51.0,50.75,56656.0,28.96
2002-05-14,50.8,51.5,50.5,50.65,50.6,48882.0,24.9
2002-05-15,51.9,51.9,49.25,49.5,49.55,91190.0,45.7
2002-05-16,50.0,50.0,47.2,47.25,47.6,109048.0,52.4
2002-05-17,48.9,48.9,46.15,47.95,47.45,98961.0,46.83
2002-05-20,48.4,48.5,45.0,45.0,45.15,78811.0,36.08
2002-05-21,44.6,44.65,41.7,42.55,42.55,123723.0,52.68
