Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-03-09,1408.0,1428.55,1282.2,1294.0,1296.7,7941567.0,106373.53
2012-03-12,1295.95,1329.9,1212.25,1241.0,1234.05,2970241.0,37520.03
2012-03-13,1234.0,1308.5,1234.0,1281.0,1293.15,2523025.0,32330.32
2012-03-14,1298.8,1329.0,1263.1,1277.1,1272.6,2198401.0,28406.84
2012-03-15,1272.0,1284.0,1257.0,1258.0,1268.05,571247.0,7266.45
2012-03-16,1272.0,1325.0,1242.85,1302.0,1297.2,1631266.0,21144.3
2012-03-19,1270.0,1310.0,1264.0,1292.0,1295.25,575324.0,7451.58
2012-03-20,1291.3,1303.0,1271.2,1273.95,1279.3,214823.0,2771.63
2012-03-21,1277.8,1294.0,1262.1,1281.9,1287.25,186596.0,2397.53
2012-03-22,1277.0,1294.7,1253.85,1254.0,1258.5,162355.0,2075.21
2012-03-23,1264.0,1283.2,1239.95,1251.45,1248.65,230145.0,2899.71
2012-03-26,1247.0,1265.0,1246.05,1259.0,1259.4,198871.0,2500.54
2012-03-27,1262.05,1290.0,1250.05,1259.0,1257.5,103574.0,1304.16
2012-03-28,1257.5,1260.0,1231.4,1233.1,1238.1,149912.0,1874.48
2012-03-29,1238.0,1254.8,1234.15,1249.55,1249.75,94140.0,1174.61
2012-03-30,1254.5,1280.65,1247.65,1271.9,1270.25,126223.0,1602.44
2012-04-02,1276.35,1316.0,1269.85,1308.0,1306.65,385598.0,5016.14
2012-04-03,1314.0,1323.75,1300.35,1305.0,1308.1,246259.0,3232.13
2012-04-04,1305.0,1308.0,1282.25,1288.3,1291.9,96759.0,1251.75
2012-04-09,1287.95,1288.0,1260.15,1264.35,1263.55,64166.0,816.22
2012-04-10,1265.25,1272.0,1248.65,1260.0,1257.2,145577.0,1834.77
2012-04-11,1262.0,1294.95,1255.1,1266.3,1270.75,378709.0,4836.43
2012-04-12,1274.7,1288.6,1261.0,1263.95,1265.65,150628.0,1923.67
2012-04-13,1270.6,1272.5,1241.0,1244.0,1246.5,140467.0,1764.31
2012-04-16,1250.0,1270.0,1243.15,1266.65,1263.95,90027.0,1137.02
2012-04-17,1270.0,1280.0,1262.05,1269.05,1269.65,190928.0,2430.51
2012-04-18,1273.55,1278.0,1259.0,1265.25,1265.95,107360.0,1361.55
2012-04-19,1266.9,1269.9,1258.1,1260.0,1260.7,65153.0,821.57
2012-04-20,1262.7,1263.65,1245.0,1246.0,1249.5,87381.0,1095.86
2012-04-23,1236.1,1254.95,1201.1,1214.1,1213.5,96686.0,1196.11
2012-04-24,1201.2,1226.0,1201.2,1210.0,1213.45,149867.0,1826.82
2012-04-25,1202.1,1227.0,1196.1,1201.0,1200.5,124153.0,1508.05
2012-04-26,1198.0,1198.0,1151.9,1157.0,1166.1,114835.0,1346.93
2012-04-27,1152.05,1172.0,1102.0,1105.95,1111.05,158682.0,1793.4
2012-04-28,1116.45,1148.9,1100.0,1140.0,1136.65,54544.0,618.1
2012-04-30,1136.0,1142.3,1090.15,1092.5,1094.55,141946.0,1569.94
2012-05-02,1100.1,1120.0,1100.0,1109.0,1109.9,181491.0,2016.57
2012-05-03,1119.0,1129.0,1055.0,1060.0,1057.65,261178.0,2800.04
2012-05-04,1055.05,1061.85,1007.0,1007.0,1011.65,298706.0,3053.97
2012-05-07,1005.15,1038.0,980.0,1034.5,1029.6,137919.0,1392.7
2012-05-08,1029.55,1042.5,1017.15,1021.55,1021.35,82846.0,853.45
2012-05-09,1020.0,1037.0,1015.05,1034.0,1032.1,90639.0,933.01
2012-05-10,1036.2,1049.9,1028.0,1033.3,1032.25,47096.0,488.6
2012-05-11,1031.4,1033.5,1000.0,1005.0,1004.5,44853.0,452.18
2012-05-14,1008.7,1016.95,995.0,996.0,1002.3,88792.0,889.38
2012-05-15,997.0,1005.0,980.0,997.0,999.15,74602.0,742.31
2012-05-16,994.8,996.7,978.7,979.0,984.0,96969.0,955.33
2012-05-17,988.85,998.5,960.6,965.9,964.3,102415.0,1000.57
2012-05-18,959.95,960.0,940.0,948.9,946.3,137655.0,1306.76
2012-05-21,947.0,958.4,931.2,932.0,934.7,46774.0,441.5
2012-05-22,948.95,951.95,900.1,903.0,910.5,126449.0,1163.22
2012-05-23,905.0,908.9,871.1,887.0,878.05,121449.0,1080.88
2012-05-24,878.95,921.5,876.1,890.65,887.55,314485.0,2804.72
2012-05-25,901.3,913.75,888.0,892.0,896.95,208650.0,1875.36
2012-05-28,905.9,905.9,887.0,887.0,893.15,84687.0,759.08
2012-05-29,894.0,905.7,889.1,896.5,898.9,90301.0,811.64
2012-05-30,892.5,898.9,860.0,860.5,862.5,75822.0,665.25
2012-05-31,858.0,948.9,838.0,940.35,936.55,866490.0,7973.25
2012-06-01,930.0,995.0,930.0,950.0,955.5,1174037.0,11374.24
2012-06-04,948.05,988.9,928.6,967.0,968.6,367020.0,3537.11
2012-06-05,969.15,1008.0,962.2,989.0,995.15,407654.0,4047.08
2012-06-06,1005.0,1017.9,991.1,992.2,996.8,266389.0,2677.11
2012-06-07,1002.0,1048.9,1002.0,1048.75,1044.25,325109.0,3338.28
2012-06-08,1035.0,1047.4,1021.05,1028.0,1032.15,122236.0,1262.32
2012-06-11,1038.95,1048.0,1001.0,1003.0,1009.45,91388.0,941.32
2012-06-12,1005.0,1034.0,1001.0,1020.05,1017.75,101403.0,1031.96
2012-06-13,1024.95,1040.45,1020.1,1025.5,1025.3,73203.0,754.04
2012-06-14,1026.0,1046.7,1007.0,1017.8,1018.9,98295.0,1015.05
2012-06-15,1024.25,1038.95,1005.0,1011.0,1014.3,63222.0,646.74
2012-06-18,1025.05,1028.8,1001.0,1005.0,1002.5,48277.0,487.98
2012-06-19,1008.0,1040.0,1001.0,1020.0,1017.15,126845.0,1299.89
2012-06-20,1020.5,1034.75,1013.05,1016.0,1015.6,40654.0,416.04
2012-06-21,1017.05,1027.0,1006.0,1013.0,1011.95,45454.0,461.2
2012-06-22,1011.0,1058.0,1011.0,1043.25,1046.6,275570.0,2878.4
2012-06-25,1057.0,1069.75,1032.5,1032.5,1041.4,125494.0,1326.2
2012-06-26,1039.55,1050.5,1025.05,1031.5,1032.15,63549.0,659.2
2012-06-27,1032.0,1042.4,1026.0,1026.15,1029.5,46337.0,478.14
2012-06-28,1031.0,1052.95,1025.05,1039.0,1038.3,61815.0,643.37
2012-06-29,1045.1,1075.0,1040.6,1056.0,1060.6,89598.0,945.83
2012-07-02,1066.0,1074.9,1055.05,1064.2,1062.5,61623.0,656.29
2012-07-03,1066.25,1079.0,1063.0,1066.0,1064.85,57357.0,613.25
2012-07-04,1069.0,1070.8,1042.0,1044.0,1047.7,60183.0,635.07
2012-07-05,1055.9,1061.35,1043.15,1047.45,1047.05,35393.0,372.43
2012-07-06,1050.0,1131.8,1047.75,1128.5,1120.3,541485.0,5950.78
2012-07-09,1105.1,1171.75,1052.1,1143.85,1144.85,441091.0,5064.84
2012-07-10,1150.05,1177.95,1148.0,1157.0,1156.45,246350.0,2874.19
2012-07-11,1183.65,1288.0,1123.0,1130.55,1128.7,1977286.0,23237.61
2012-07-12,1136.75,1149.0,1101.6,1108.0,1106.65,709605.0,7975.43
2012-07-13,1125.0,1131.0,1110.25,1115.0,1113.8,172307.0,1927.3
2012-07-16,1087.0,1123.0,1087.0,1100.9,1099.5,124913.0,1378.25
2012-07-17,1105.0,1114.7,1087.7,1096.0,1098.75,171269.0,1883.82
