Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2000-03-09,300.0,368.95,202.0,359.0,330.1,901800.0,2500.21
2000-03-10,356.55,356.55,310.0,317.5,316.2,415800.0,1367.03
2000-03-13,316.0,320.0,290.9,290.9,290.9,138300.0,414.42
2000-03-14,277.0,300.0,267.7,285.0,277.9,234900.0,652.27
2000-03-15,271.15,300.15,259.0,298.0,298.6,186400.0,516.81
2000-03-16,289.75,298.0,275.05,275.05,277.5,72700.0,207.91
2000-03-21,270.0,280.0,255.3,255.3,255.65,64700.0,169.8
2000-03-22,261.0,270.9,255.0,257.9,257.8,67100.0,176.08
2000-03-23,255.0,264.95,237.2,243.05,242.85,47700.0,117.27
2000-03-24,239.0,257.0,236.6,245.0,244.15,33100.0,82.18
2000-03-27,242.5,260.0,242.5,257.4,253.25,56500.0,142.34
2000-03-28,255.0,258.95,248.05,253.0,253.45,40800.0,102.73
2000-03-29,255.0,259.0,244.0,244.0,246.85,24500.0,61.32
2000-03-30,242.1,242.1,228.0,237.0,235.9,31500.0,73.85
2000-03-31,230.0,230.0,220.0,224.0,224.1,34700.0,78.08
2000-04-03,222.05,228.75,206.2,206.2,206.2,25300.0,54.48
2000-04-04,189.7,189.7,189.7,189.7,189.7,2400.0,4.55
2000-04-05,175.0,179.75,174.55,174.55,174.55,20400.0,35.72
2000-04-06,168.0,169.9,160.6,160.6,160.6,7100.0,11.53
2000-04-07,173.4,173.45,172.4,173.45,173.45,4700.0,8.15
2000-04-10,187.35,187.35,187.35,187.35,187.35,28100.0,52.65
2000-04-11,184.9,202.35,172.4,202.35,202.35,128200.0,240.44
2000-04-12,218.55,218.55,186.25,198.1,200.15,62000.0,123.71
2000-04-13,184.15,190.0,184.15,184.15,184.15,44200.0,81.8
2000-04-17,169.45,169.45,169.45,169.45,169.45,200.0,0.34
2000-04-18,169.45,174.95,155.9,155.9,155.9,30300.0,48.92
2000-04-19,164.95,167.95,143.45,143.55,143.75,21500.0,32.54
2000-04-20,132.3,132.5,132.25,132.25,132.25,10500.0,13.89
2000-04-24,125.0,125.0,121.7,121.7,121.7,47300.0,57.67
2000-04-25,112.1,116.8,112.0,112.0,112.0,7700.0,8.65
2000-04-26,119.9,119.9,119.9,119.9,119.9,1300.0,1.56
2000-04-27,129.45,129.5,124.0,129.4,129.35,51600.0,66.6
2000-04-28,131.5,135.45,122.0,128.7,125.6,39200.0,49.18
2000-05-02,128.0,130.95,115.55,115.55,115.55,26000.0,31.22
2000-05-03,107.0,113.05,106.35,109.15,109.95,16600.0,18.01
2000-05-04,111.4,118.75,108.0,118.75,118.75,21000.0,24.71
2000-05-05,125.0,128.25,124.7,128.25,128.25,29200.0,37.36
2000-05-08,138.5,138.55,132.0,138.55,138.55,50200.0,69.4
2000-05-09,136.25,149.65,132.25,149.65,149.65,64100.0,92.14
2000-05-10,145.0,161.65,145.0,159.0,160.3,68200.0,109.06
2000-05-11,151.25,151.95,147.5,147.5,147.5,38700.0,57.64
2000-05-12,145.0,150.0,135.7,135.7,135.7,34600.0,48.19
2000-05-15,125.6,135.1,124.85,124.85,125.75,34700.0,44.33
2000-05-16,120.0,125.0,115.7,121.95,120.45,24300.0,28.9
2000-05-17,127.5,129.75,115.0,117.4,116.5,24100.0,29.52
2000-05-18,110.05,116.5,110.05,115.0,114.45,10200.0,11.49
2000-05-19,111.6,113.0,109.5,112.9,112.5,11000.0,12.23
2000-05-22,107.6,110.5,103.5,103.5,103.5,17500.0,18.59
2000-05-23,95.25,103.0,95.25,103.0,98.45,45900.0,44.5
2000-05-24,92.0,97.75,90.6,94.25,95.65,8700.0,8.22
2000-05-25,96.5,101.0,96.5,96.55,96.85,15800.0,15.6
2000-05-26,94.25,94.25,89.1,89.1,89.1,15700.0,14.19
