Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-06-01,182.9,183.4,178.5,179.0,179.55,87802.0,158.76
2015-06-02,182.35,182.35,172.25,173.25,173.5,76931.0,135.42
2015-06-03,172.3,174.8,161.0,162.3,162.05,147374.0,242.53
2015-06-04,163.0,164.0,143.1,155.1,156.2,225374.0,348.39
2015-06-05,154.7,159.0,150.5,152.6,153.25,129572.0,201.17
2015-06-08,155.95,155.95,144.2,145.6,145.2,102778.0,152.35
2015-06-09,144.0,149.5,137.0,138.0,138.15,190314.0,268.53
2015-06-10,138.5,161.0,138.2,156.05,155.55,1228190.0,1907.29
2015-06-11,158.1,163.0,151.2,153.0,152.15,384323.0,602.34
2015-06-12,151.2,153.75,143.0,145.7,144.55,180238.0,262.85
2015-06-15,147.0,154.35,142.2,146.3,146.75,251015.0,374.81
2015-06-16,147.0,151.0,145.45,147.55,147.45,154216.0,228.04
2015-06-17,148.05,151.0,144.0,144.5,144.9,285877.0,420.16
2015-06-18,146.15,149.0,136.25,137.5,137.55,414470.0,586.89
2015-06-19,138.0,142.6,136.4,137.4,137.4,184668.0,256.45
2015-06-22,138.9,143.0,137.35,141.8,141.05,164572.0,231.56
2015-06-23,142.05,143.95,139.0,139.5,139.4,175275.0,247.37
2015-06-24,140.65,142.0,136.0,136.35,137.35,235350.0,328.75
2015-06-25,136.95,141.0,127.65,129.7,130.1,384743.0,515.2
2015-06-26,129.0,133.9,128.0,130.5,130.25,235342.0,307.88
2015-06-29,125.1,127.5,123.2,124.9,124.9,145134.0,181.79
2015-06-30,125.25,129.0,124.45,125.3,125.3,186742.0,235.92
2015-07-01,126.0,141.9,126.0,137.5,137.15,1129816.0,1548.03
2015-07-02,138.3,145.9,138.1,141.65,140.4,526753.0,747.28
2015-07-03,141.25,143.9,138.1,138.5,138.8,242383.0,341.19
2015-07-06,135.0,142.7,134.0,140.8,140.9,200933.0,279.9
2015-07-07,140.0,143.4,139.0,139.2,139.5,181211.0,256.4
2015-07-08,136.0,138.9,134.55,135.5,135.55,112209.0,153.11
2015-07-09,135.65,138.4,125.3,131.1,131.3,220354.0,294.74
2015-07-10,132.25,135.5,131.2,131.9,132.3,138073.0,183.33
2015-07-13,132.75,135.4,132.0,133.55,133.55,150730.0,201.55
2015-07-14,133.75,142.9,133.05,140.1,140.45,337256.0,469.36
2015-07-15,141.3,151.9,141.0,146.6,146.05,981984.0,1444.38
2015-07-16,146.95,150.8,146.0,148.0,146.4,505922.0,746.43
2015-07-17,147.0,152.45,147.0,149.5,149.35,595375.0,892.31
2015-07-20,149.65,150.75,145.15,146.5,146.55,158798.0,233.5
2015-07-21,146.8,146.8,138.25,140.0,139.2,144530.0,205.77
2015-07-22,139.0,142.0,137.1,139.25,140.1,99111.0,138.37
2015-07-23,141.6,143.4,138.1,140.6,139.75,131450.0,185.57
2015-07-24,140.45,144.55,134.0,134.95,135.15,213092.0,296.11
2015-07-27,134.1,136.55,127.2,128.1,128.1,212652.0,278.66
2015-07-28,129.0,131.2,126.5,127.45,127.55,167436.0,215.44
2015-07-29,128.0,131.0,126.4,126.5,126.75,155835.0,199.95
2015-07-30,127.8,129.8,122.8,123.2,124.8,217468.0,275.52
2015-07-31,125.25,128.5,122.85,123.0,123.95,255089.0,320.9
2015-08-03,124.7,128.5,124.5,124.6,125.0,227554.0,287.3
2015-08-04,125.95,127.4,123.45,123.85,124.0,173623.0,216.95
2015-08-05,124.65,141.15,124.65,128.65,128.5,1487443.0,1978.66
2015-08-06,129.45,134.85,129.45,130.75,130.5,372756.0,491.25
2015-08-07,130.5,131.9,127.15,128.0,127.7,204471.0,264.76
2015-08-10,128.0,131.65,126.3,128.5,128.35,175751.0,227.64
2015-08-11,129.0,130.65,123.0,123.0,123.45,192098.0,241.39
2015-08-12,123.0,123.5,116.5,118.4,117.8,223734.0,266.77
2015-08-13,118.5,120.9,101.1,103.0,104.35,430353.0,468.18
2015-08-14,104.0,106.95,98.05,105.0,104.9,372356.0,387.59
2015-08-17,85.2,97.9,85.2,89.0,89.3,1014910.0,926.38
2015-08-18,92.65,95.0,89.0,90.7,90.2,421264.0,385.88
2015-08-19,90.5,90.75,81.2,81.2,82.4,436270.0,373.72
2015-08-20,79.5,79.5,74.2,74.2,74.2,510054.0,382.82
2015-08-21,67.6,73.0,66.85,68.0,68.9,488847.0,338.98
2015-08-24,66.25,66.45,65.5,65.5,65.5,55851.0,36.63
2015-08-25,62.55,62.55,62.25,62.25,62.25,23190.0,14.45
2015-08-26,59.15,59.15,59.15,59.15,59.15,8997.0,5.32
2015-08-27,56.2,60.4,56.2,56.6,57.1,497739.0,287.06
2015-08-28,57.5,59.5,56.0,57.1,56.5,205090.0,119.02
2015-08-31,55.2,56.05,53.7,53.7,53.7,217544.0,118.87
