Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-10-05,130.0,142.0,108.55,110.5,111.35,26020771.0,30582.76
2010-10-06,112.0,112.5,97.6,102.2,101.45,5261233.0,5388.64
2010-10-07,101.0,112.0,101.0,105.95,105.05,2229211.0,2378.14
2010-10-08,105.45,107.8,101.5,101.75,102.75,713261.0,746.08
2010-10-11,103.8,105.5,99.5,100.3,100.4,567778.0,577.5
2010-10-12,100.4,101.75,94.1,94.75,95.4,405694.0,395.98
2010-10-13,95.9,99.8,94.0,94.45,95.25,640366.0,620.1
2010-10-14,95.4,96.2,90.1,90.3,90.95,359793.0,332.81
2010-10-15,91.0,94.15,87.0,87.6,87.95,409811.0,373.27
2010-10-18,79.75,88.95,79.75,84.9,84.9,275428.0,235.18
2010-10-19,85.0,96.1,83.0,89.8,90.75,1630127.0,1489.44
2010-10-20,90.0,94.4,88.05,89.0,88.65,606352.0,554.65
2010-10-21,89.3,93.4,89.1,91.35,91.7,415298.0,380.86
2010-10-22,92.5,93.1,88.1,88.5,88.7,274669.0,250.17
2010-10-25,89.2,91.5,87.3,88.2,88.55,282049.0,252.91
2010-10-26,88.5,91.7,88.0,88.5,88.5,254957.0,229.4
2010-10-27,89.0,89.5,86.0,86.3,86.25,113340.0,99.17
2010-10-28,86.9,87.45,85.0,85.0,85.25,89306.0,76.9
2010-10-29,85.7,85.8,80.55,81.0,81.4,169818.0,141.32
2010-11-01,82.95,83.8,80.25,81.15,81.05,138045.0,112.71
2010-11-02,81.0,82.6,80.1,80.5,80.4,131139.0,106.78
2010-11-03,81.0,81.35,79.35,79.5,79.5,113521.0,91.0
2010-11-04,80.0,82.45,79.1,80.7,80.25,112276.0,90.49
2010-11-05,80.05,83.0,80.05,82.5,82.2,62347.0,51.14
2010-11-08,83.8,89.5,82.1,86.55,87.75,633620.0,545.81
2010-11-09,87.75,93.4,87.0,92.0,91.6,1015029.0,928.66
2010-11-10,91.5,94.7,90.25,91.4,91.25,485888.0,452.93
2010-11-11,91.25,93.0,84.4,85.6,85.35,188047.0,165.3
2010-11-12,85.7,86.0,82.55,84.0,83.0,140523.0,118.55
2010-11-15,84.7,84.7,80.55,81.0,81.15,132737.0,109.23
2010-11-16,81.35,81.95,77.55,78.0,77.9,130956.0,103.4
2010-11-18,79.2,80.6,73.25,75.5,74.8,141669.0,107.56
2010-11-19,75.0,75.15,71.0,71.85,72.15,94207.0,69.24
