Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-03-07,627.0,673.75,576.0,625.0,621.2,12594176.0,79876.9
2007-03-08,625.0,641.9,601.0,636.0,633.2,3351482.0,20890.59
2007-03-09,634.0,668.8,613.1,649.0,652.55,2530004.0,16264.46
2007-03-12,651.3,783.1,645.3,783.1,780.8,8108044.0,59355.89
2007-03-13,799.0,914.0,799.0,870.0,879.05,9615361.0,84870.16
2007-03-14,830.1,1003.5,802.0,918.9,947.4,12585144.0,115441.8
2007-03-15,919.0,1023.2,917.25,927.0,930.15,7493267.0,72850.05
2007-03-16,942.0,980.0,878.1,883.2,897.3,5957200.0,54685.74
2007-03-19,910.15,940.0,892.1,903.0,900.65,3380524.0,30807.54
2007-03-20,913.5,932.0,885.55,889.1,893.05,2095486.0,18967.26
2007-03-21,895.2,906.0,854.0,872.75,862.7,2926140.0,25378.57
2007-03-22,882.0,900.0,867.15,869.0,873.1,2062713.0,18211.95
2007-03-23,878.0,886.0,850.3,868.35,862.25,1645212.0,14251.5
2007-03-26,866.35,880.0,847.0,850.8,854.05,1192264.0,10330.14
2007-03-28,843.1,857.4,820.0,820.0,830.75,963205.0,8120.92
2007-03-29,830.1,843.0,820.0,837.0,825.4,839458.0,6958.08
2007-03-30,835.0,848.0,825.6,830.0,830.8,984385.0,8225.85
2007-04-02,809.65,827.7,803.65,818.65,811.65,473271.0,3869.83
2007-04-03,821.0,825.0,786.55,788.0,793.2,603079.0,4832.47
2007-04-04,796.0,823.0,777.6,810.2,808.45,1222146.0,9778.08
2007-04-05,818.0,841.7,797.0,832.0,832.55,2235296.0,18410.25
2007-04-09,838.0,861.6,821.35,847.0,851.1,1168170.0,9938.33
2007-04-10,850.0,890.0,842.0,867.0,866.6,1870093.0,16329.77
2007-04-11,870.0,875.0,796.1,799.95,802.0,1760984.0,14598.49
2007-04-12,793.0,817.0,789.9,806.0,804.75,1214766.0,9742.64
2007-04-13,815.0,838.7,803.55,832.3,831.3,1043822.0,8624.68
2007-04-16,837.0,862.0,835.0,838.05,841.1,880538.0,7475.92
2007-04-17,842.7,848.4,806.5,815.0,811.95,467129.0,3849.49
2007-04-18,814.0,824.9,803.3,809.5,808.25,326802.0,2661.67
2007-04-19,801.95,815.0,788.5,815.0,809.1,277448.0,2231.74
2007-04-20,823.0,829.9,806.7,808.0,809.85,275952.0,2257.44
2007-04-23,816.0,823.0,800.0,805.0,804.0,182675.0,1478.5
2007-04-24,718.0,810.0,718.0,802.0,799.4,206110.0,1653.04
2007-04-25,801.35,805.0,774.15,777.1,778.25,260803.0,2051.66
2007-04-26,785.0,802.4,776.0,784.0,783.65,412659.0,3257.32
2007-04-27,725.0,795.0,700.0,784.1,778.4,1203958.0,9236.96
2007-04-30,787.6,815.0,787.0,792.0,794.55,653870.0,5233.08
2007-05-03,800.0,808.75,778.15,780.0,782.15,289092.0,2293.93
2007-05-04,788.7,795.0,775.0,778.0,779.0,238834.0,1872.96
2007-05-07,786.0,830.0,778.0,808.5,817.5,1769551.0,14402.03
2007-05-08,817.0,836.7,783.0,786.25,786.25,1288135.0,10546.76
2007-05-09,788.0,803.0,773.2,794.0,789.1,455889.0,3597.34
2007-05-10,809.0,809.0,779.0,782.0,782.45,272510.0,2157.32
2007-05-11,780.0,788.4,770.0,782.0,779.6,210227.0,1639.94
2007-05-14,788.4,799.0,785.1,786.25,787.15,201888.0,1596.5
2007-05-15,789.0,796.35,782.0,785.05,786.85,209797.0,1654.73
2007-05-16,793.4,793.4,784.3,787.0,787.2,127614.0,1006.38
2007-05-17,792.4,823.9,787.0,796.0,797.05,609568.0,4934.82
2007-05-18,798.0,805.0,783.65,789.0,786.95,171369.0,1362.45
2007-05-21,795.0,796.45,771.7,775.0,774.6,124116.0,970.7
2007-05-22,777.0,784.0,765.65,768.0,768.2,164502.0,1272.6
2007-05-23,775.0,777.85,755.65,759.0,759.35,107070.0,821.16
2007-05-24,761.0,778.0,755.15,758.5,759.9,175712.0,1345.88
2007-05-25,759.0,780.0,750.1,772.0,769.75,321068.0,2466.9
2007-05-28,788.85,788.85,762.0,765.25,765.6,128340.0,990.47
2007-05-29,770.0,773.8,756.0,758.1,758.45,64695.0,493.43
2007-05-30,753.0,778.0,751.15,759.0,762.85,211668.0,1625.43
2007-05-31,770.0,774.95,762.0,770.0,768.8,107968.0,831.46
2007-06-01,773.4,790.0,764.7,764.7,770.75,223148.0,1737.9
2007-06-04,771.0,782.0,767.2,772.6,771.0,84954.0,656.2
2007-06-05,769.0,772.0,755.0,762.0,765.45,71811.0,550.26
2007-06-06,766.35,790.0,766.35,774.0,772.5,246010.0,1913.53
2007-06-07,770.0,829.0,769.0,813.9,813.1,769348.0,6174.53
2007-06-08,804.7,834.4,794.0,799.0,798.8,950293.0,7748.6
2007-06-11,816.3,816.3,777.0,782.5,781.55,301385.0,2410.1
2007-06-12,786.0,786.0,757.0,764.3,762.45,163147.0,1252.89
2007-06-13,763.0,774.55,758.0,764.0,763.45,103571.0,792.65
2007-06-14,766.25,795.0,766.25,787.05,784.8,247520.0,1937.48
2007-06-15,794.0,822.9,775.1,778.3,778.55,649712.0,5215.55
2007-06-18,784.7,787.6,763.2,771.0,767.6,117350.0,909.99
2007-06-19,769.0,794.75,765.0,781.5,782.8,256947.0,2007.18
2007-06-20,788.4,793.9,768.1,774.0,773.0,195213.0,1530.8
2007-06-21,783.0,784.0,770.0,775.0,773.95,91907.0,712.77
2007-06-22,779.65,779.65,767.0,768.0,768.6,77126.0,595.21
2007-06-25,774.0,774.0,765.0,767.15,768.3,73113.0,562.42
2007-06-26,768.9,792.0,768.3,775.0,774.7,258990.0,2023.18
2007-06-27,779.0,780.0,766.05,769.1,769.1,74243.0,573.95
2007-06-28,771.0,779.0,766.0,766.0,769.5,60138.0,464.72
2007-06-29,766.6,798.95,766.6,792.9,792.8,233222.0,1831.92
2007-07-02,801.0,804.45,771.75,777.25,777.3,87188.0,685.64
2007-07-03,784.75,789.0,770.7,775.0,773.65,63322.0,492.72
2007-07-04,776.0,778.75,768.0,768.1,769.4,47331.0,365.09
2007-07-05,774.0,774.0,761.0,761.0,765.3,40834.0,313.1
2007-07-06,765.0,786.0,762.0,781.0,777.1,126729.0,985.91
2007-07-09,788.0,790.0,767.55,768.6,771.35,90624.0,706.71
2007-07-10,779.7,782.0,766.3,769.9,770.3,88775.0,687.33
2007-07-11,770.0,774.3,762.0,763.0,764.05,54789.0,420.35
2007-07-12,768.0,776.0,755.2,758.9,758.5,86975.0,665.29
2007-07-13,760.15,767.4,751.7,754.0,754.15,50946.0,386.96
2007-07-16,758.6,758.6,741.0,741.1,743.85,55920.0,418.81
2007-07-17,749.9,753.7,738.0,738.0,741.05,48778.0,363.89
2007-07-18,741.0,746.7,730.0,732.0,731.45,36273.0,267.56
2007-07-19,735.0,737.9,715.1,727.0,725.5,64648.0,469.77
2007-07-20,726.6,731.0,715.0,719.0,717.65,57027.0,411.02
2007-07-23,717.65,719.0,704.1,706.9,706.05,44266.0,313.7
2007-07-24,709.05,773.0,696.0,732.9,733.7,464728.0,3455.84
2007-07-25,711.0,720.95,667.0,672.0,674.2,306823.0,2122.16
2007-07-26,674.2,687.0,658.0,670.1,670.55,326814.0,2190.26
2007-07-27,668.0,686.25,635.1,662.0,665.65,170053.0,1133.09
2007-07-30,670.0,672.75,645.05,646.0,648.75,57572.0,379.3
2007-07-31,650.15,658.4,642.0,644.0,645.35,54426.0,353.52
2007-08-01,645.35,645.35,613.1,615.05,618.3,55100.0,346.94
2007-08-02,622.0,624.0,601.0,604.0,603.75,55988.0,343.46
2007-08-03,612.0,625.0,600.0,602.9,603.65,86225.0,527.09
2007-08-06,600.0,600.0,583.2,589.9,589.3,49451.0,291.27
2007-08-07,607.4,611.0,569.1,572.0,573.2,183923.0,1093.33
2007-08-08,585.0,622.0,585.0,592.0,592.05,330564.0,1995.82
2007-08-09,603.7,610.0,583.0,590.1,588.75,142259.0,850.43
2007-08-10,551.05,589.95,520.55,587.0,581.4,93125.0,532.76
2007-08-13,580.0,598.0,564.6,568.9,569.5,117267.0,678.2
2007-08-14,569.0,570.0,542.0,548.0,548.95,129353.0,720.59
2007-08-16,525.0,572.9,521.15,563.7,561.45,255215.0,1425.05
2007-08-17,565.0,575.0,542.0,555.0,553.2,96034.0,535.85
2007-08-20,570.0,576.0,558.5,559.9,560.35,45575.0,256.45
2007-08-21,569.9,569.9,530.05,536.7,533.95,49511.0,269.3
2007-08-22,538.8,544.95,525.0,527.9,527.45,49688.0,263.87
2007-08-23,539.0,539.0,520.35,521.25,522.85,47076.0,249.59
2007-08-24,529.0,544.5,520.0,544.0,541.3,71577.0,383.48
2007-08-27,547.0,558.0,543.15,550.0,549.8,42938.0,236.49
2007-08-28,549.5,558.95,541.2,545.0,544.95,41246.0,226.1
2007-08-29,544.95,556.9,530.0,553.85,551.15,45610.0,249.88
2007-08-30,558.0,566.9,551.5,552.0,554.4,67034.0,374.02
2007-08-31,557.0,569.7,555.0,563.0,563.2,61496.0,346.25
2007-09-03,563.25,582.9,562.05,573.0,572.45,75797.0,434.75
2007-09-04,585.0,607.8,580.0,586.5,588.5,129061.0,765.34
2007-09-05,588.5,598.0,575.0,581.85,581.0,38903.0,227.67
2007-09-06,577.0,600.0,575.1,583.25,587.65,48721.0,286.34
2007-09-07,582.1,614.0,582.1,585.8,589.5,166758.0,1001.56
2007-09-10,572.1,602.0,515.0,593.0,593.0,73554.0,435.83
2007-09-11,595.0,598.4,580.1,583.9,581.9,27193.0,159.63
2007-09-12,585.15,589.7,568.05,569.0,570.1,34272.0,196.98
2007-09-13,575.0,585.0,566.1,568.05,568.85,71474.0,409.75
2007-09-14,576.5,576.5,560.0,561.0,561.2,43011.0,244.25
2007-09-17,564.0,565.0,550.2,550.2,554.3,39837.0,221.99
2007-09-18,553.0,569.0,550.0,550.75,552.85,87406.0,485.65
2007-09-19,570.0,570.0,550.0,553.3,551.4,42136.0,234.97
2007-09-20,555.0,555.0,458.85,537.0,537.1,39888.0,215.98
2007-09-21,540.1,544.25,515.05,520.1,523.15,79842.0,420.12
2007-09-24,540.0,540.0,517.0,517.9,518.15,104344.0,544.99
2007-09-25,507.0,524.0,507.0,519.95,518.25,50089.0,259.91
2007-09-26,520.8,534.9,517.3,522.9,520.5,129249.0,680.75
2007-09-27,528.0,537.5,519.1,521.6,521.05,87029.0,459.36
2007-09-28,520.0,528.9,510.0,512.0,511.1,81435.0,421.14
2007-10-01,525.0,527.0,504.0,508.0,506.35,65869.0,336.95
2007-10-03,524.4,524.4,500.0,507.7,509.2,105249.0,535.57
2007-10-04,505.3,509.9,497.0,502.0,503.3,56518.0,284.52
2007-10-05,500.0,508.0,485.0,485.4,486.15,107679.0,529.78
2007-10-08,498.5,498.5,475.0,485.0,483.4,99964.0,484.4
2007-10-09,495.65,514.9,466.2,503.25,504.6,128502.0,641.19
2007-10-10,507.0,516.55,500.0,502.85,501.8,108490.0,551.22
2007-10-11,500.0,505.0,490.1,498.0,498.9,43764.0,217.81
2007-10-12,490.0,498.9,480.0,494.0,492.05,162378.0,796.12
2007-10-15,493.05,506.0,493.0,500.0,499.55,47168.0,235.71
2007-10-16,500.0,502.95,492.2,493.0,496.7,48827.0,243.5
2007-10-17,489.95,493.0,427.15,487.0,487.1,26971.0,130.9
2007-10-18,492.9,507.8,484.0,485.0,488.4,61476.0,306.42
2007-10-19,485.05,499.0,475.0,477.9,478.85,34570.0,168.05
2007-10-22,477.0,486.0,452.0,475.5,476.4,20621.0,98.82
2007-10-23,480.0,495.0,480.0,489.0,486.45,44173.0,216.43
2007-10-24,497.0,529.0,495.0,525.0,523.4,276276.0,1431.25
2007-10-25,530.0,533.0,496.4,499.0,501.95,83268.0,429.86
2007-10-26,510.0,510.0,486.6,488.1,489.9,85686.0,423.95
2007-10-29,504.0,504.0,483.0,485.0,485.0,61983.0,303.39
2007-10-30,492.0,492.0,476.0,477.5,477.95,41097.0,198.58
2007-10-31,475.0,480.0,469.0,470.0,470.25,42619.0,200.93
2007-11-01,477.0,477.0,455.0,457.8,459.15,41995.0,195.2
2007-11-02,452.0,466.0,445.1,453.9,453.5,46448.0,211.02
2007-11-05,459.65,464.0,448.0,453.4,453.75,44852.0,204.89
2007-11-06,459.0,459.0,441.6,443.7,444.6,37755.0,169.49
2007-11-07,450.0,450.0,431.1,432.95,433.2,26110.0,114.04
2007-11-08,430.0,438.0,425.0,429.25,428.55,35938.0,153.86
