Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-10-29,733.0,806.0,666.15,675.0,674.9,187361.0,1279.53
2010-11-01,676.0,698.8,673.0,676.0,676.5,41730.0,281.61
2010-11-02,675.0,684.95,674.0,674.0,674.5,72249.0,488.17
2010-11-03,695.0,695.0,675.0,675.0,675.4,59006.0,398.65
2010-11-04,680.0,680.0,666.0,675.0,673.45,142509.0,961.23
2010-11-05,675.5,680.0,675.0,680.0,676.45,32260.0,218.23
2010-11-08,675.2,679.8,669.0,669.0,669.0,94509.0,635.59
2010-11-09,670.05,674.0,668.0,669.0,669.05,123639.0,827.53
2010-11-10,670.5,671.8,669.1,670.0,670.0,51705.0,346.33
2010-11-11,674.95,684.95,669.1,679.5,678.65,187779.0,1261.51
2010-11-12,680.0,689.95,675.15,687.95,685.05,63748.0,435.85
2010-11-15,699.95,712.0,696.5,699.0,703.0,59576.0,417.8
2010-11-16,710.0,710.0,696.0,707.0,703.55,59437.0,418.69
2010-11-18,712.0,712.0,680.0,683.1,683.9,31292.0,218.62
2010-11-19,699.9,699.9,685.1,687.0,687.65,50136.0,347.49
2010-11-22,678.0,700.0,678.0,690.1,693.7,35231.0,241.41
2010-11-23,693.0,695.0,631.05,678.0,668.5,43628.0,291.9
2010-11-24,665.0,665.0,533.8,533.8,533.8,242337.0,1418.58
2010-11-25,427.05,427.05,427.05,427.05,427.05,7625.0,32.56
2010-11-26,384.35,384.35,384.35,384.35,384.35,564.0,2.17
2010-11-29,345.95,345.95,345.95,345.95,345.95,377.0,1.3
2010-11-30,311.35,311.35,311.35,311.35,311.35,2963.0,9.23
2010-12-01,295.8,295.8,295.8,295.8,295.8,1921.0,5.68
2010-12-02,281.05,281.05,281.05,281.05,281.05,1440.0,4.05
2010-12-03,267.0,267.0,267.0,267.0,267.0,1735.0,4.63
2010-12-06,253.65,253.65,253.65,253.65,253.65,802.0,2.03
2010-12-07,241.0,241.0,241.0,241.0,241.0,227.0,0.55
2010-12-08,228.95,228.95,228.95,228.95,228.95,155.0,0.35
2010-12-09,217.5,217.5,217.5,217.5,217.5,38.0,0.08
2010-12-10,206.65,206.65,206.65,206.65,206.65,111.0,0.23
2010-12-13,196.35,196.35,196.35,196.35,196.35,151.0,0.3
2010-12-14,186.55,186.55,186.55,186.55,186.55,313.0,0.58
2010-12-15,177.25,177.25,177.25,177.25,177.25,1613.0,2.86
