Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2004-02-23,19.35,19.95,16.8,16.9,17.05,17226.0,3.05
2004-02-24,17.9,17.9,16.4,17.05,17.05,12037.0,2.08
2004-02-25,16.75,18.15,15.65,15.7,15.75,23052.0,3.75
2004-02-26,16.1,16.1,14.65,15.05,15.0,43150.0,6.58
2004-02-27,14.3,16.5,14.3,16.5,16.5,111872.0,17.96
2004-03-01,17.0,17.0,15.2,15.6,16.0,32514.0,5.14
2004-03-03,17.0,17.0,15.2,15.5,15.55,32313.0,5.1
2004-03-04,15.4,15.9,14.75,15.0,14.95,35993.0,5.45
2004-03-05,13.6,16.0,13.6,16.0,15.95,39245.0,6.03
2004-03-08,15.55,16.0,15.15,15.85,15.6,17159.0,2.69
2004-03-09,14.85,15.85,14.65,14.65,14.65,14505.0,2.18
2004-03-10,15.95,15.95,14.0,14.0,14.0,17347.0,2.46
2004-03-11,14.05,14.45,13.75,13.8,13.9,29241.0,4.1
2004-03-12,14.55,15.25,14.2,15.2,14.8,13860.0,2.05
2004-03-15,14.9,14.9,13.9,13.9,14.05,32498.0,4.58
2004-03-16,14.0,14.5,13.7,13.85,13.85,18375.0,2.61
2004-03-17,14.45,14.45,13.95,14.35,14.3,4700.0,0.67
2004-03-18,13.15,14.1,13.15,13.65,13.7,25218.0,3.47
2004-03-19,12.4,14.15,12.4,13.7,13.7,9097.0,1.25
2004-03-22,12.65,13.9,12.65,13.45,13.5,21674.0,2.95
2004-03-23,12.25,13.7,12.25,13.3,13.4,24300.0,3.21
2004-03-24,13.3,13.4,12.35,12.5,12.55,26528.0,3.39
2004-03-25,12.15,13.85,12.1,13.5,13.55,75085.0,9.81
2004-03-26,13.4,13.6,13.2,13.3,13.45,34021.0,4.58
2004-03-29,13.3,13.7,12.7,13.5,13.5,20130.0,2.65
2004-03-30,13.5,14.0,13.25,13.25,13.5,34274.0,4.68
2004-03-31,13.5,14.0,13.3,13.45,13.4,18179.0,2.48
