Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-02-19,598.0,628.55,550.0,602.15,606.05,25555.0,157.43
2007-02-20,605.0,605.0,574.0,581.1,587.55,3694.0,21.95
2007-02-21,600.0,612.0,570.0,584.0,586.0,4616.0,27.55
2007-02-22,595.0,598.0,575.15,580.5,582.25,9470.0,55.48
2007-02-23,570.0,584.5,566.05,568.5,568.5,600.0,3.43
2007-02-26,555.0,570.0,555.0,568.0,566.05,531.0,2.98
2007-02-27,581.0,581.9,561.25,565.0,564.7,2834.0,16.13
2007-02-28,538.0,589.95,538.0,551.0,551.0,3210.0,18.02
2007-03-01,535.0,550.0,530.0,545.0,544.3,617.0,3.29
2007-03-02,522.0,545.0,522.0,541.05,541.85,131.0,0.71
2007-03-05,540.0,540.0,525.5,530.0,529.5,128.0,0.69
2007-03-06,530.0,540.0,504.0,539.0,507.65,200.0,1.06
2007-03-07,496.0,524.0,496.0,498.5,498.5,582.0,2.91
2007-03-08,511.0,523.0,505.0,523.0,523.0,583.0,3.01
2007-03-09,523.0,527.0,523.0,527.0,527.0,200.0,1.05
2007-03-12,520.0,530.0,520.0,520.0,520.0,249.0,1.3
2007-03-13,501.1,525.9,501.0,525.9,525.9,35.0,0.18
2007-03-14,500.0,500.0,500.0,500.0,500.0,2.0,0.01
2007-03-15,480.0,503.75,480.0,503.75,496.7,208.0,1.01
2007-03-16,487.1,520.0,487.1,520.0,519.65,2146.0,10.49
2007-03-19,510.0,520.0,505.0,505.0,505.0,345.0,1.75
2007-03-20,520.0,528.0,520.0,528.0,527.85,200.0,1.05
2007-03-21,540.0,554.25,538.95,554.25,554.25,166.0,0.91
2007-03-22,560.0,582.0,560.0,582.0,582.0,46.0,0.27
2007-03-23,610.5,611.0,575.0,590.0,590.3,598.0,3.59
2007-03-26,597.5,618.75,567.0,616.0,601.5,3024.0,17.59
2007-03-28,630.0,630.0,572.0,572.0,572.0,192.0,1.13
2007-03-29,597.0,597.0,546.0,556.0,556.0,260.0,1.49
2007-03-30,541.0,583.0,541.0,568.0,563.95,48.0,0.27
2007-04-02,538.0,540.0,536.0,536.0,536.0,140.0,0.75
2007-04-03,510.0,545.0,510.0,526.0,525.45,59.0,0.31
2007-04-04,545.0,545.0,545.0,545.0,545.0,10.0,0.05
2007-04-05,519.0,547.0,519.0,547.0,547.0,516.0,2.68
2007-04-09,558.0,558.0,558.0,558.0,558.0,6.0,0.03
2007-04-10,537.7,537.7,531.0,531.0,531.0,15.0,0.08
2007-04-11,505.0,532.9,505.0,505.0,505.55,492.0,2.5
2007-04-12,485.0,506.0,485.0,492.0,492.45,2331.0,11.48
2007-04-13,499.0,499.0,499.0,499.0,499.0,5.0,0.02
2007-04-16,480.0,480.0,480.0,480.0,480.0,10.0,0.05
2007-04-18,480.0,480.0,480.0,480.0,480.0,9.0,0.04
2007-04-20,460.0,504.0,460.0,504.0,504.0,20.0,0.1
2007-04-23,480.0,500.15,480.0,500.15,500.15,57.0,0.28
2007-04-25,492.0,523.0,492.0,523.0,523.0,201.0,0.99
2007-04-26,540.0,540.0,497.0,540.0,518.5,116.0,0.6
2007-05-03,523.7,528.75,495.0,502.0,502.0,3602.0,18.4
2007-05-09,502.0,505.0,500.0,505.0,505.0,23.0,0.12
2007-05-10,510.0,510.0,500.0,500.0,500.0,45.0,0.23
2007-05-11,475.0,509.0,475.0,509.0,509.0,5.0,0.02
2007-05-14,531.0,531.0,531.0,531.0,531.0,1.0,0.01
2007-05-15,525.0,525.0,525.0,525.0,525.0,10.0,0.05
2007-05-16,550.0,570.0,550.0,570.0,570.0,12.0,0.07
2007-05-17,597.9,626.9,582.0,585.0,584.2,1985.0,11.73
2007-05-18,594.0,594.0,594.0,594.0,594.0,100.0,0.59
2007-05-21,624.0,624.0,570.05,575.5,575.5,136.0,0.79
2007-05-22,575.0,601.0,575.0,601.0,601.0,4.0,0.02
2007-05-23,585.0,585.0,570.0,570.0,570.0,12.0,0.07
2007-05-24,531.0,531.0,525.55,525.55,526.1,550.0,2.89
2007-05-25,540.0,575.0,540.0,575.0,557.5,2.0,0.01
2007-05-28,555.0,555.0,550.0,555.0,555.0,832.0,4.62
2007-05-29,500.0,610.5,500.0,610.5,610.5,54388.0,279.37
2007-05-30,615.0,665.0,615.0,640.0,640.7,2714.0,17.4
2007-05-31,630.05,630.05,600.2,610.0,614.05,2213.0,13.53
2007-06-01,610.0,634.0,600.0,611.0,600.05,75652.0,454.09
2007-06-04,600.0,621.95,590.0,592.0,593.7,129360.0,766.29
2007-06-05,601.0,601.0,566.05,598.5,598.35,62.0,0.37
2007-06-06,581.1,581.1,575.0,575.0,579.55,70.0,0.41
2007-06-07,575.0,607.5,550.6,602.0,603.95,3077.0,17.93
2007-06-08,602.0,633.95,602.0,625.0,624.9,8837.0,54.74
2007-06-11,656.0,656.0,633.0,642.0,642.0,267.0,1.72
2007-06-12,658.0,672.6,638.0,662.9,667.3,1261.0,8.42
2007-06-13,696.0,700.7,681.0,700.25,700.4,3941.0,27.54
2007-06-14,734.9,735.45,709.0,735.45,735.45,4895.0,35.97
2007-06-15,772.25,772.25,772.25,772.25,772.25,3094.0,23.89
2007-06-18,810.9,810.9,810.9,810.9,810.9,1064.0,8.63
2007-06-19,851.45,851.45,830.0,851.45,851.45,59565.0,506.79
2007-06-20,875.0,894.05,874.0,894.05,894.05,10702.0,95.48
2007-06-21,929.3,937.7,900.0,920.0,926.2,6571.0,60.97
2007-06-22,930.0,937.0,886.6,918.0,918.95,5017.0,46.12
2007-06-25,929.0,929.7,880.0,880.0,886.55,4504.0,40.88
2007-06-26,885.0,910.0,861.05,910.0,907.9,3485.0,31.62
2007-06-27,924.0,924.0,889.0,909.9,902.25,3967.0,35.9
2007-06-28,920.0,920.0,873.0,911.0,914.2,862.0,7.87
2007-06-29,920.0,939.9,910.0,925.0,934.85,4991.0,46.43
2007-07-02,947.0,981.6,930.15,981.6,981.55,3852.0,37.23
2007-07-03,1029.85,1030.65,960.05,1030.65,1030.65,5113.0,52.69
2007-07-04,1070.0,1082.2,1060.0,1082.2,1082.2,7915.0,85.56
2007-07-05,1036.3,1129.0,1036.3,1121.0,1121.1,4921.0,54.76
2007-07-06,1140.0,1151.0,1117.1,1125.0,1118.7,1573.0,17.9
2007-07-09,1139.0,1139.0,1111.0,1138.9,1128.2,2464.0,27.71
2007-07-10,1149.8,1149.8,1107.0,1125.0,1125.75,2922.0,32.59
