Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-06-30,61.25,130.0,44.0,97.2,95.05,22219082.0,19877.66
2008-07-01,98.0,101.85,76.6,82.0,80.25,4497211.0,3818.61
2008-07-02,80.0,83.8,65.35,73.0,72.2,4583648.0,3360.08
2008-07-03,70.0,77.3,60.25,75.8,76.3,3455653.0,2532.46
2008-07-04,75.0,76.3,66.5,72.15,69.75,1207740.0,860.88
2008-07-07,70.1,83.7,65.6,83.7,80.8,1518775.0,1134.42
2008-07-08,80.1,97.0,77.35,96.1,95.05,3113328.0,2752.95
2008-07-09,98.0,113.45,95.05,113.2,110.4,5760324.0,6055.28
2008-07-10,113.75,113.75,102.4,104.6,105.5,1694278.0,1813.24
2008-07-11,103.25,105.45,99.0,101.0,101.1,825118.0,841.25
2008-07-14,100.6,107.25,98.0,105.6,105.15,733805.0,762.6
2008-07-15,100.05,104.8,96.0,98.1,97.6,212267.0,215.28
2008-07-16,98.0,102.4,93.1,102.0,100.4,385628.0,383.39
2008-07-17,101.2,105.0,96.0,99.9,101.0,465060.0,470.25
2008-07-18,103.0,103.0,99.1,101.0,101.65,166449.0,169.59
2008-07-21,101.25,102.8,97.0,99.1,99.15,91365.0,91.41
2008-07-22,99.85,102.7,97.6,97.6,99.6,60097.0,60.42
2008-07-23,102.0,102.0,97.5,98.5,98.7,38885.0,38.9
2008-07-24,90.0,99.0,90.0,90.7,92.0,26818.0,25.29
2008-07-25,94.5,94.5,82.8,83.0,83.9,34904.0,30.86
2008-07-28,80.1,90.5,79.05,84.0,84.95,120331.0,104.14
2008-07-29,84.0,91.0,84.0,86.55,86.95,64869.0,57.03
2008-07-30,86.5,92.8,85.0,86.15,86.2,59293.0,52.98
2008-07-31,85.1,88.0,85.0,85.0,85.15,13542.0,11.58
2008-08-01,85.0,87.4,83.0,83.0,83.2,20100.0,17.05
2008-08-04,81.5,87.7,81.45,83.5,84.75,31544.0,26.97
2008-08-05,84.1,90.8,84.1,89.5,87.55,53746.0,47.55
2008-08-06,92.15,96.3,87.3,88.5,88.55,36646.0,32.66
2008-08-07,87.0,88.85,85.55,87.45,86.4,9397.0,8.14
2008-08-08,86.0,86.0,83.0,85.0,84.75,10623.0,9.0
2008-08-11,77.0,88.4,77.0,88.0,87.45,6342.0,5.48
2008-08-12,87.0,88.5,83.85,85.1,85.1,13175.0,11.35
2008-08-13,88.9,88.9,82.0,85.8,84.0,8938.0,7.63
2008-08-14,82.0,86.35,82.0,84.3,83.7,6896.0,5.78
2008-08-18,83.0,85.95,83.0,84.0,84.25,4695.0,3.94
2008-08-19,83.0,83.8,81.0,81.0,82.25,3030.0,2.5
2008-08-20,81.55,85.0,81.55,82.1,82.75,8575.0,7.15
2008-08-21,81.7,85.9,81.0,84.0,82.55,15012.0,12.51
2008-08-22,83.5,83.9,78.3,81.5,80.95,7213.0,5.88
2008-08-25,80.0,83.0,78.5,82.95,82.6,2774.0,2.28
2008-08-26,80.5,84.9,80.5,83.15,83.75,3955.0,3.29
2008-08-27,83.0,83.7,81.0,83.4,82.55,1583.0,1.31
2008-08-28,78.05,81.95,78.05,80.0,80.9,1316.0,1.06
2008-08-29,80.0,84.5,80.0,84.4,82.55,5176.0,4.24
2008-09-01,80.85,85.0,80.85,81.1,83.75,19480.0,16.23
2008-09-02,82.0,86.5,82.0,86.5,85.4,30694.0,26.06
2008-09-04,83.0,93.95,83.0,93.95,93.75,21023.0,18.98
2008-09-05,93.8,95.95,86.05,88.0,87.7,29744.0,27.08
2008-09-08,91.5,95.0,91.0,91.0,91.05,15634.0,14.5
2008-09-09,92.95,92.95,90.0,92.0,91.6,7502.0,6.83
2008-09-10,95.6,95.6,87.0,89.25,89.8,9230.0,8.39
2008-09-11,94.95,94.95,87.15,87.15,88.75,1991.0,1.77
2008-09-12,97.35,97.35,81.0,84.95,84.95,2993.0,2.57
2008-09-15,88.95,88.95,69.85,85.0,83.35,9295.0,7.11
2008-09-16,78.2,84.0,73.5,82.2,83.35,2559.0,2.06
2008-09-17,72.95,94.0,72.95,82.5,83.4,2445.0,2.02
2008-09-18,76.0,82.5,76.0,80.1,80.1,3727.0,2.99
2008-09-19,80.55,87.85,80.55,87.25,85.6,3594.0,3.05
2008-09-22,85.5,93.0,84.75,91.9,90.65,8300.0,7.46
2008-09-23,87.0,101.2,87.0,91.25,91.45,23708.0,22.47
2008-09-24,92.0,93.0,89.25,91.95,91.95,8123.0,7.43
2008-09-25,90.05,94.9,90.0,92.5,92.3,5707.0,5.23
2008-09-26,91.25,93.5,90.0,90.0,90.7,2859.0,2.61
2008-09-29,89.75,89.75,85.0,85.55,85.25,3600.0,3.09
2008-09-30,80.1,80.1,69.05,78.5,76.2,14782.0,10.79
2008-10-01,82.0,84.75,80.1,84.0,82.9,3686.0,3.02
2008-10-03,82.0,83.9,77.7,81.0,80.8,2575.0,2.09
2008-10-06,80.0,81.0,70.25,74.0,73.25,13665.0,10.2
2008-10-07,74.0,76.95,68.0,70.0,70.5,3176.0,2.28
2008-10-08,77.0,77.0,62.0,65.1,66.3,1059.0,0.7
2008-10-10,62.0,62.0,58.0,58.05,58.1,2562.0,1.51
2008-10-13,58.5,68.95,58.5,68.5,67.35,3029.0,1.93
2008-10-14,70.7,80.5,70.7,76.0,75.5,2913.0,2.21
2008-10-15,68.45,73.05,66.05,67.25,70.05,1372.0,0.96
2008-10-16,66.3,69.8,58.0,62.35,62.85,7049.0,4.44
2008-10-17,63.0,65.95,61.5,61.5,64.2,1539.0,0.99
2008-10-20,57.5,61.0,55.05,55.5,57.4,1347.0,0.77
2008-10-21,51.5,67.9,51.5,67.0,66.2,1117.0,0.7
2008-10-22,63.0,67.5,61.1,62.5,62.75,738.0,0.47
2008-10-23,57.35,64.8,57.3,62.0,62.25,6495.0,4.03
2008-10-24,59.0,61.0,55.0,58.0,58.0,3017.0,1.75
2008-10-27,51.0,54.0,51.0,52.5,52.3,2230.0,1.17
2008-10-28,52.0,59.0,52.0,56.5,58.35,323.0,0.19
2008-10-29,58.55,59.75,58.5,59.75,59.75,729.0,0.43
2008-10-31,62.0,69.45,61.5,69.45,67.4,1811.0,1.16
2008-11-03,69.5,71.0,64.0,70.0,67.1,594.0,0.39
2008-11-04,64.0,70.0,64.0,70.0,69.3,360.0,0.25
2008-11-05,67.0,71.0,64.0,64.0,64.9,343.0,0.23
2008-11-06,62.0,68.45,62.0,63.0,63.2,313.0,0.2
2008-11-07,56.2,69.4,56.2,66.9,66.9,187.0,0.12
2008-11-10,65.0,67.2,62.1,62.15,63.85,800.0,0.51
2008-11-11,63.0,63.0,59.0,59.6,59.6,468.0,0.28
2008-11-12,57.0,62.0,55.0,57.0,57.0,98.0,0.06
2008-11-14,54.0,62.0,51.0,60.85,60.85,585.0,0.34
2008-11-17,55.2,58.9,49.3,49.3,49.45,8370.0,4.17
2008-11-18,43.2,50.4,43.2,43.25,44.1,1635.0,0.76
2008-11-19,42.0,43.0,36.3,42.0,37.45,1311.0,0.5
2008-11-20,41.5,41.5,30.0,32.5,32.4,10320.0,3.2
2008-11-21,30.3,34.1,30.3,32.25,33.3,1417.0,0.46
2008-11-24,34.9,35.4,32.0,34.0,34.55,1695.0,0.58
2008-11-25,33.05,38.05,33.05,38.05,36.45,6457.0,2.33
2008-11-26,35.0,38.9,35.0,38.5,38.25,802.0,0.29
2008-11-28,34.85,36.0,34.85,36.0,36.0,248.0,0.09
2008-12-01,34.6,39.4,34.6,36.15,36.15,286.0,0.1
2008-12-02,32.85,37.85,32.85,33.5,33.7,297.0,0.1
2008-12-03,34.5,37.1,34.5,34.6,35.65,512.0,0.19
2008-12-04,39.0,39.25,38.0,39.25,39.25,215.0,0.08
2008-12-05,41.0,43.0,38.05,40.0,40.0,23.0,0.01
2008-12-08,39.0,44.0,39.0,44.0,44.0,1192.0,0.5
2008-12-10,44.0,48.4,43.0,48.0,47.9,495.0,0.22
2008-12-11,46.0,47.5,45.6,47.5,47.45,436.0,0.2
2008-12-12,47.9,47.95,45.15,47.95,46.0,128.0,0.06
2008-12-15,44.0,48.3,44.0,48.3,48.3,521.0,0.24
2008-12-16,46.0,50.0,46.0,50.0,50.0,12.0,0.01
2008-12-17,48.0,50.0,47.5,47.5,47.5,15.0,0.01
2008-12-18,46.0,47.0,45.15,47.0,46.25,5.0,0.0
2008-12-19,48.1,48.5,46.75,48.2,48.2,1499.0,0.72
2008-12-22,46.0,50.6,45.8,45.8,45.85,60463.0,29.29
2008-12-23,44.0,47.5,43.75,47.5,45.85,39.0,0.02
2008-12-24,44.0,46.9,43.6,45.75,45.75,968.0,0.43
2008-12-26,43.5,45.85,43.5,43.5,43.5,90.0,0.04
2008-12-29,42.0,43.4,41.5,43.4,43.4,191.0,0.08
2008-12-30,44.25,44.25,43.95,44.25,44.25,32.0,0.01
2008-12-31,44.5,46.5,43.0,43.5,43.5,1120.0,0.5
2009-01-01,42.0,45.0,42.0,45.0,45.0,38.0,0.02
2009-01-02,45.85,45.85,42.75,44.8,44.75,60.0,0.03
2009-01-05,42.55,42.55,42.55,42.55,42.55,673.0,0.29
2009-01-06,40.5,44.7,40.5,40.5,40.5,253.0,0.1
2009-01-07,40.5,40.5,36.5,36.5,36.5,631.0,0.24
2009-01-09,34.9,39.95,33.0,39.0,33.2,4915.0,1.68
2009-01-12,32.0,34.9,32.0,34.9,34.9,422.0,0.14
2009-01-13,34.9,35.05,34.9,34.9,34.9,292.0,0.1
2009-01-14,33.5,36.65,33.45,36.5,36.5,796.0,0.29
2009-01-15,35.7,38.3,35.7,37.3,37.25,110040.0,41.02
2009-01-16,36.3,39.15,36.3,39.15,39.15,247026.0,95.34
2009-01-19,39.3,41.1,39.2,41.1,41.1,50822.0,19.98
2009-01-20,40.25,42.9,39.6,41.75,41.75,211.0,0.09
2009-01-21,41.1,42.9,41.1,41.3,41.75,681.0,0.28
2009-01-22,41.3,42.9,40.3,42.9,42.9,1260.0,0.53
2009-01-23,41.9,44.8,41.9,43.2,42.7,1858.0,0.79
2009-01-27,42.3,44.0,41.3,43.95,43.05,2240.0,0.96
2009-01-28,42.6,44.15,42.6,42.9,42.85,582.0,0.25
2009-01-29,43.0,44.4,41.4,44.4,44.4,1434.0,0.61
2009-01-30,43.5,45.0,43.5,44.0,44.0,666.0,0.29
2009-02-02,42.25,45.4,42.25,43.5,43.15,383.0,0.16
2009-02-03,43.15,45.0,43.15,45.0,44.85,2410.0,1.07
2009-02-04,43.5,45.7,43.5,45.65,45.65,669.0,0.3
2009-02-05,45.65,46.7,45.5,46.3,46.25,3683.0,1.7
2009-02-06,45.2,48.55,45.2,47.5,47.6,2890.0,1.36
2009-02-09,48.0,49.0,47.8,48.8,48.45,917.0,0.44
2009-02-10,49.1,50.0,48.5,49.95,49.95,701.0,0.35
2009-02-11,48.4,52.0,48.4,50.1,50.25,442.0,0.22
2009-02-12,49.2,51.5,49.0,49.2,49.4,3193.0,1.58
2009-02-13,49.1,50.8,49.1,49.1,49.65,1162.0,0.58
2009-02-16,48.55,50.8,48.55,50.8,50.8,59.0,0.03
2009-02-17,50.5,50.5,49.0,49.55,49.55,265.0,0.13
2009-02-18,50.0,50.0,49.0,49.0,49.0,82.0,0.04
2009-02-19,49.0,50.95,48.0,50.5,50.5,705.0,0.34
2009-02-20,48.25,50.0,48.25,49.6,49.6,25596.0,12.68
2009-02-24,48.1,51.5,48.05,49.9,49.9,1787.0,0.86
2009-02-25,48.1,49.5,48.0,48.5,48.25,32028.0,15.5
2009-02-26,48.05,48.05,48.0,48.0,48.0,546.0,0.26
2009-02-27,48.0,49.9,48.0,49.9,49.9,937.0,0.46
2009-03-02,48.1,49.9,48.0,48.0,48.0,650.0,0.32
2009-03-03,48.0,50.0,48.0,48.0,48.0,1200.0,0.6
2009-03-04,45.6,48.95,45.6,48.9,48.9,2040.0,1.0
2009-03-05,46.75,49.8,46.45,46.45,46.45,1288.0,0.63
2009-03-06,48.0,48.65,48.0,48.0,48.5,711.0,0.34
2009-03-09,46.1,47.9,46.1,46.1,46.1,3461.0,1.65
2009-03-12,44.0,46.0,44.0,44.0,44.0,150.0,0.07
2009-03-13,42.0,44.0,42.0,44.0,44.0,235.0,0.1
2009-03-16,44.1,44.1,44.0,44.0,44.0,76.0,0.03
2009-03-17,44.0,44.0,44.0,44.0,44.0,30.0,0.01
2009-03-18,44.6,44.6,44.6,44.6,44.6,20.0,0.01
2009-03-19,44.5,46.0,44.5,44.5,44.9,500.0,0.22
2009-03-20,46.9,47.15,46.9,47.15,47.15,550.0,0.26
2009-03-23,49.5,49.55,47.3,49.55,49.55,1928.0,0.94
2009-03-24,52.05,52.05,52.05,52.05,52.05,258.0,0.13
2009-03-25,54.65,54.65,53.0,54.65,54.65,964.0,0.52
