Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-03-11,151.2,151.2,151.2,151.2,151.2,4071.0,6.16
2008-03-12,121.0,121.0,121.0,121.0,121.0,4860.0,5.88
2008-03-13,96.8,96.8,96.8,96.8,96.8,3402.0,3.29
2008-03-14,77.45,97.0,77.45,77.55,77.85,557268.0,435.7
2008-03-17,74.5,78.0,70.1,73.0,72.1,50310.0,37.13
2008-03-18,65.1,75.0,65.1,72.0,71.05,36558.0,26.03
2008-03-19,74.1,74.1,65.05,65.5,68.85,16911.0,12.16
2008-03-24,66.0,66.5,62.0,63.0,62.8,14834.0,9.44
2008-03-25,62.0,62.0,58.5,59.5,60.05,22532.0,13.59
2008-03-26,60.0,66.0,58.1,60.3,59.9,52145.0,31.53
2008-03-27,61.85,64.0,57.5,57.5,59.95,26169.0,16.02
2008-03-28,60.3,61.85,59.1,60.75,60.0,69628.0,41.92
2008-03-31,57.25,61.9,57.25,59.75,60.05,23757.0,14.31
2008-04-01,59.25,61.0,58.25,60.0,60.05,22723.0,13.64
2008-04-02,60.4,62.0,59.6,59.7,59.7,11120.0,6.72
2008-04-03,59.3,60.35,56.6,58.25,57.95,23945.0,14.01
2008-04-04,59.4,60.0,56.55,57.75,57.6,11489.0,6.69
2008-04-07,57.75,59.0,57.75,58.0,57.8,5838.0,3.4
2008-04-08,58.0,58.0,56.65,57.4,57.55,5918.0,3.39
2008-04-09,57.25,58.95,56.2,57.0,56.65,21716.0,12.38
2008-04-10,57.0,61.4,57.0,59.7,59.05,8488.0,5.04
2008-04-11,58.4,60.3,58.4,58.65,59.1,2456.0,1.46
2008-04-15,60.0,60.0,57.5,57.65,59.05,3009.0,1.77
2008-04-16,59.0,60.8,58.45,58.7,59.35,7943.0,4.75
2008-04-17,59.0,61.0,58.5,59.5,59.75,13470.0,8.04
2008-04-21,61.0,61.05,59.55,60.3,60.5,21871.0,13.17
2008-04-22,61.0,61.5,60.0,60.0,60.05,6275.0,3.82
2008-04-23,61.85,62.1,59.25,59.25,59.45,29679.0,17.92
2008-04-24,59.25,60.75,53.55,60.0,60.1,11741.0,7.03
2008-04-25,60.0,60.95,59.5,59.5,59.65,7296.0,4.37
2008-04-28,60.0,60.0,58.5,59.0,59.2,14937.0,8.9
2008-04-29,59.0,60.4,59.0,59.1,59.3,3343.0,1.99
2008-04-30,59.1,59.1,57.65,58.8,58.55,20407.0,11.86
2008-05-02,57.5,58.9,57.5,58.2,58.3,3270.0,1.9
2008-05-05,60.45,60.45,58.7,60.0,59.9,5571.0,3.33
2008-05-06,60.35,60.35,58.75,58.75,58.8,9014.0,5.32
