Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-03-23,149.05,149.05,149.05,149.05,149.05,21459.0,31.98
2007-03-26,121.6,132.0,119.25,123.8,122.55,281391.0,350.61
2007-03-28,102.3,124.95,102.3,112.0,113.7,73187.0,84.87
2007-03-29,116.0,127.9,114.9,119.2,118.95,100269.0,121.88
2007-03-30,119.55,123.5,115.65,116.0,116.25,54066.0,64.26
2007-04-02,114.0,116.0,106.3,108.4,108.05,42549.0,47.28
2007-04-03,108.0,113.9,106.3,107.35,107.95,56091.0,61.18
2007-04-04,110.0,110.55,107.1,108.0,108.6,20302.0,22.09
2007-04-05,107.25,111.0,107.0,108.4,108.15,32246.0,35.21
2007-04-09,109.0,117.5,108.0,114.5,113.7,46444.0,52.93
2007-04-10,115.75,121.0,112.25,115.6,116.15,63281.0,74.5
2007-04-11,117.25,118.95,115.0,116.45,116.5,20573.0,24.05
2007-04-12,116.5,117.0,113.0,113.1,113.85,13799.0,15.85
2007-04-13,114.05,115.25,111.75,112.85,112.9,18537.0,21.05
2007-04-16,113.05,114.95,112.8,113.7,113.35,13090.0,14.92
2007-04-17,114.0,114.8,110.1,110.1,110.45,8675.0,9.66
2007-04-18,107.5,114.0,107.5,113.3,112.25,15896.0,17.91
2007-04-19,110.8,112.0,108.5,110.0,109.4,13806.0,15.2
2007-04-20,110.0,111.75,108.3,108.4,108.9,9202.0,10.09
2007-04-23,110.3,112.4,107.9,107.9,108.25,16504.0,18.09
2007-04-24,110.95,110.95,107.0,110.0,109.9,21619.0,23.53
2007-04-25,112.75,112.75,110.0,111.25,111.0,22806.0,25.19
2007-04-26,109.1,112.05,108.25,108.25,109.15,19283.0,21.22
2007-04-27,109.0,110.0,106.3,108.85,107.35,11164.0,12.04
2007-04-30,102.5,111.0,102.5,107.2,107.8,23754.0,25.92
2007-05-03,109.0,109.65,107.0,107.0,107.3,10204.0,11.0
2007-05-04,106.45,108.3,106.0,106.0,106.75,11494.0,12.32
2007-05-07,107.0,107.15,103.1,104.5,104.05,17967.0,18.91
2007-05-08,104.5,104.95,98.05,98.95,98.75,23018.0,23.23
2007-05-09,99.9,100.4,96.8,98.0,97.9,15745.0,15.4
2007-05-10,99.0,100.0,96.55,96.95,97.05,12105.0,11.92
2007-05-11,96.05,96.4,93.1,94.9,94.95,18086.0,17.19
2007-05-14,96.0,98.0,92.1,93.35,93.7,19782.0,18.71
2007-05-15,93.1,96.95,92.9,93.55,94.25,21690.0,20.57
2007-05-16,94.4,101.8,94.4,98.5,98.4,52170.0,51.7
2007-05-17,101.4,101.4,95.5,96.0,96.9,11774.0,11.6
2007-05-18,96.55,98.3,95.25,95.6,95.55,8634.0,8.32
2007-05-21,96.25,97.0,94.0,94.95,94.45,21778.0,20.8
2007-05-22,94.5,95.85,92.8,93.0,92.95,28218.0,26.41
2007-05-23,93.0,95.0,92.0,93.8,92.9,24715.0,23.08
2007-05-24,93.9,94.25,92.0,93.6,93.1,10206.0,9.52
2007-05-25,93.0,95.0,92.0,92.35,92.8,14844.0,13.8
2007-05-28,93.5,94.85,92.35,92.35,92.6,10411.0,9.71
2007-05-29,92.2,93.4,90.35,90.5,91.0,24490.0,22.49
2007-05-30,91.5,92.3,88.55,90.0,89.7,22999.0,20.74
2007-05-31,90.0,94.8,90.0,92.2,92.05,36756.0,33.98
2007-06-01,93.95,108.0,93.05,104.0,103.0,260783.0,267.43
2007-06-04,106.0,107.0,97.6,99.4,98.6,118485.0,122.1
2007-06-05,98.4,102.8,95.0,95.0,95.9,78084.0,76.54
2007-06-06,96.35,96.35,92.1,92.5,92.75,36200.0,34.07
2007-06-07,92.75,95.0,91.5,93.5,92.85,21019.0,19.59
2007-06-08,92.0,93.0,91.0,92.3,92.05,21873.0,20.2
2007-06-11,92.0,93.45,90.65,90.65,91.1,20135.0,18.56
2007-06-12,92.9,93.95,87.1,89.0,89.3,19080.0,17.18
2007-06-13,89.2,90.75,88.3,88.3,88.95,18778.0,16.8
2007-06-14,88.1,92.0,88.0,88.9,88.3,22523.0,20.18
2007-06-15,89.1,93.9,89.0,91.0,91.2,53769.0,49.03
2007-06-18,90.1,91.05,87.8,88.45,88.2,19845.0,17.69
2007-06-19,88.75,89.25,87.1,88.05,88.6,14664.0,12.91
2007-06-20,89.1,89.7,87.25,88.75,88.3,8565.0,7.6
2007-06-21,89.6,89.6,87.05,87.05,87.45,12134.0,10.65
2007-06-22,86.6,88.45,86.0,86.75,86.3,18687.0,16.27
2007-06-25,87.0,88.0,85.15,86.0,86.05,23318.0,20.12
2007-06-26,87.95,87.95,85.0,85.25,85.25,16118.0,13.83
2007-06-27,87.5,87.5,83.75,84.05,84.2,18100.0,15.34
2007-06-28,85.3,86.0,83.7,84.0,84.1,21676.0,18.33
2007-06-29,85.9,87.9,84.5,86.0,86.45,49656.0,43.03
2007-07-02,85.1,87.0,85.1,86.0,85.6,10247.0,8.8
2007-07-03,86.0,86.5,84.05,84.9,84.55,20576.0,17.49
2007-07-04,86.25,97.7,84.65,92.8,93.2,151631.0,140.57
2007-07-05,99.7,99.7,88.3,88.5,88.8,41596.0,37.38
2007-07-06,90.0,95.9,88.5,91.15,91.35,64042.0,59.28
2007-07-09,91.95,92.0,89.1,89.35,89.5,32144.0,28.9
2007-07-10,91.0,91.5,87.0,88.0,87.6,44710.0,39.55
2007-07-11,87.05,88.5,85.9,86.3,86.2,31677.0,27.4
2007-07-12,87.5,89.0,86.5,88.0,88.2,29929.0,26.38
2007-07-13,88.45,90.25,87.0,87.0,87.45,20534.0,18.16
2007-07-16,87.8,88.0,85.8,85.9,86.3,14393.0,12.48
2007-07-17,86.9,87.65,85.1,85.85,85.45,16966.0,14.64
2007-07-18,86.5,86.55,85.05,85.55,85.7,8369.0,7.18
2007-07-19,84.2,91.7,84.2,88.0,88.4,37598.0,33.45
2007-07-20,88.1,88.55,86.05,87.0,86.55,8257.0,7.2
2007-07-23,85.3,87.0,85.3,85.4,85.65,7656.0,6.57
2007-07-24,85.25,86.45,83.2,83.2,83.95,14423.0,12.18
2007-07-25,82.9,83.9,82.0,82.7,82.4,11827.0,9.78
2007-07-26,82.55,84.5,82.55,83.7,83.85,11029.0,9.2
2007-07-27,83.0,87.0,82.0,83.15,83.35,28188.0,23.71
2007-07-30,82.0,84.5,82.0,82.65,83.2,9288.0,7.74
2007-07-31,83.6,85.0,83.5,84.8,84.0,11352.0,9.56
2007-08-01,83.0,83.05,80.0,80.6,80.9,15598.0,12.71
2007-08-02,78.2,82.5,78.2,80.9,80.1,12851.0,10.36
2007-08-03,71.0,81.95,71.0,79.55,79.7,17340.0,13.86
2007-08-06,77.4,79.7,77.4,78.9,78.4,8194.0,6.41
2007-08-07,79.5,79.95,78.0,78.1,78.15,12805.0,10.12
2007-08-08,78.9,83.45,78.9,83.0,82.05,17680.0,14.28
2007-08-09,83.45,84.95,79.5,79.95,79.9,21601.0,17.85
2007-08-10,70.05,81.85,70.05,80.0,79.15,11913.0,9.36
2007-08-13,79.05,82.4,79.05,82.0,81.5,11619.0,9.45
2007-08-14,80.3,83.4,80.3,81.55,81.7,11528.0,9.43
2007-08-16,81.0,81.0,78.05,78.05,78.7,15820.0,12.58
2007-08-17,72.0,84.7,72.0,76.0,76.35,53131.0,41.03
2007-08-20,79.0,79.45,77.1,78.0,78.05,9878.0,7.75
2007-08-21,79.0,79.0,75.1,75.75,75.2,7715.0,5.94
2007-08-22,76.0,76.05,74.1,76.0,75.55,7300.0,5.47
2007-08-23,76.05,77.35,73.0,73.0,73.25,18217.0,13.59
2007-08-24,73.0,75.45,72.25,74.85,74.85,12334.0,9.21
2007-08-27,77.35,77.45,74.9,75.3,75.1,30111.0,22.74
2007-08-28,76.0,77.0,75.0,76.05,75.95,15427.0,11.73
2007-08-29,74.1,77.0,74.05,77.0,76.15,6418.0,4.87
2007-08-30,76.6,88.5,76.6,83.0,83.15,105441.0,88.77
2007-08-31,78.0,86.0,78.0,82.5,82.7,33455.0,27.88
2007-09-03,82.95,87.5,82.4,86.7,86.4,24756.0,21.1
2007-09-04,86.6,86.7,84.05,84.5,84.6,13846.0,11.77
2007-09-05,85.5,87.9,84.1,84.6,84.85,18724.0,16.17
2007-09-06,84.0,86.5,84.0,86.0,85.7,10360.0,8.87
2007-09-07,86.05,88.9,85.15,85.25,85.65,45484.0,39.74
2007-09-10,84.5,86.5,83.9,86.0,85.45,18589.0,15.86
2007-09-11,85.4,86.0,84.1,84.4,84.6,11830.0,10.07
2007-09-12,84.0,85.85,84.0,85.35,85.0,9705.0,8.26
2007-09-13,85.0,86.8,85.0,85.45,85.75,26284.0,22.59
