Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-03-14,12.0,12.4,11.0,12.0,11.8,50462.0,6.03
2013-03-15,11.9,13.25,11.0,12.15,12.8,324681.0,40.98
2013-03-18,11.95,12.25,11.55,11.6,11.6,30809.0,3.66
2013-03-19,11.9,12.0,10.8,11.75,11.55,54794.0,6.19
2013-03-20,11.0,11.9,10.7,11.5,11.55,101898.0,11.72
2013-03-21,11.5,12.9,10.75,12.0,12.4,378781.0,46.59
2013-03-22,11.1,11.65,11.1,11.25,11.45,28276.0,3.22
2013-03-25,11.25,11.75,10.5,10.5,10.5,53056.0,5.73
2013-03-26,10.7,11.0,10.05,10.5,10.8,16356.0,1.76
2013-03-28,10.35,12.8,9.95,12.2,11.95,106315.0,12.59
2013-04-01,11.2,13.0,11.2,12.95,12.75,72441.0,8.97
2013-04-02,12.85,13.0,12.05,12.65,12.65,135831.0,16.95
2013-04-03,12.55,13.0,12.0,12.0,12.55,24349.0,3.04
2013-04-04,12.4,12.6,11.8,12.35,12.2,32205.0,3.95
2013-04-05,11.85,14.6,11.85,14.6,14.4,307617.0,42.88
2013-04-08,14.2,15.0,13.25,14.5,14.35,137208.0,19.23
2013-04-09,13.9,14.15,13.45,13.5,13.7,26511.0,3.64
2013-04-10,13.45,14.75,12.9,14.15,14.5,125632.0,18.0
2013-04-11,14.0,14.0,13.5,13.5,13.75,15322.0,2.1
2013-04-12,13.1,14.0,12.6,13.85,13.7,68745.0,9.28
2013-04-15,13.75,14.0,12.5,13.05,13.55,105322.0,13.99
2013-04-16,13.35,13.7,12.9,13.2,13.15,51746.0,6.85
2013-04-17,14.45,14.45,13.05,13.05,13.15,15178.0,2.03
2013-04-18,13.9,15.2,12.5,13.75,14.5,363537.0,52.53
2013-04-22,14.0,14.45,13.65,13.7,14.1,33127.0,4.63
2013-04-23,14.3,14.3,13.55,13.6,13.85,17427.0,2.41
2013-04-25,13.3,14.2,13.3,13.55,13.95,64500.0,8.94
2013-04-26,13.55,13.8,13.15,13.15,13.45,20554.0,2.76
2013-04-29,13.25,13.5,12.55,12.85,13.35,35530.0,4.67
2013-04-30,12.8,13.5,12.7,13.1,13.35,39198.0,5.17
2013-05-02,13.0,14.8,12.8,13.7,14.0,117605.0,16.43
2013-05-03,13.65,13.95,12.95,12.95,13.1,47033.0,6.28
2013-05-06,13.0,13.3,12.8,13.2,13.25,15569.0,2.03
2013-05-07,13.3,14.35,12.6,13.3,13.75,244596.0,32.38
2013-05-08,13.3,13.7,13.15,13.35,13.4,7683.0,1.03
2013-05-09,13.2,13.5,13.1,13.15,13.35,12584.0,1.67
2013-05-10,13.15,13.45,13.05,13.1,13.15,16143.0,2.13
2013-05-11,12.9,13.55,12.9,13.35,13.5,7528.0,1.01
2013-05-13,13.5,13.5,12.8,13.15,13.15,40893.0,5.34
2013-05-14,13.05,13.3,12.8,13.0,12.95,65774.0,8.52
2013-05-15,13.45,13.45,12.8,12.8,13.0,57921.0,7.53
2013-05-16,13.75,13.75,12.75,13.2,13.0,7808.0,1.02
2013-05-17,12.85,13.45,12.75,12.8,12.85,55081.0,7.18
2013-05-20,12.25,13.15,12.25,12.65,13.0,6818.0,0.88
2013-05-21,12.15,13.0,12.15,12.75,12.85,14061.0,1.8
2013-05-22,12.6,13.1,12.0,12.3,12.65,63874.0,7.97
2013-05-23,12.5,12.5,11.9,12.15,12.0,16910.0,2.06
2013-05-24,11.6,12.4,11.6,12.4,12.05,14311.0,1.72
2013-05-27,11.65,12.2,11.65,11.75,12.05,11305.0,1.35
2013-05-28,11.95,12.0,11.7,11.8,11.95,8808.0,1.05
2013-05-29,12.2,12.2,11.6,12.0,11.85,59116.0,7.0
2013-05-30,11.6,11.6,11.1,11.25,11.25,27834.0,3.17
2013-05-31,11.2,11.85,10.85,11.75,11.55,31524.0,3.61
2013-06-03,11.05,11.5,11.0,11.45,11.4,669.0,0.07
2013-06-04,10.9,11.5,10.85,10.95,11.25,49210.0,5.51
2013-06-05,10.75,11.2,10.6,10.85,11.0,23954.0,2.61
2013-06-06,11.0,11.0,10.4,10.5,10.5,29104.0,3.07
2013-06-07,10.55,10.75,10.1,10.5,10.4,44876.0,4.71
2013-06-10,10.05,10.5,10.0,10.15,10.15,5392.0,0.55
2013-06-11,9.75,10.5,9.55,10.0,10.4,31163.0,3.22
2013-06-12,9.75,10.25,9.75,10.05,10.05,1256.0,0.13
2013-06-13,10.0,10.5,9.8,9.95,10.35,9255.0,0.94
2013-06-14,10.0,10.75,9.75,10.0,10.0,47162.0,4.88
2013-06-17,9.95,10.25,9.65,10.0,10.1,19513.0,1.95
2013-06-18,9.55,10.45,9.55,10.45,10.25,44506.0,4.56
2013-06-19,9.65,9.95,9.6,9.75,9.75,3350.0,0.33
2013-06-20,10.0,10.1,9.6,10.0,9.8,7581.0,0.74
