Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1999-04-28,24.55,26.65,24.3,26.65,26.65,9600.0,2.47
1999-04-29,25.0,26.9,24.55,24.55,24.55,52900.0,13.26
1999-04-30,24.7,25.5,24.0,25.1,25.1,26100.0,6.53
1999-05-03,24.15,25.45,24.15,25.1,25.1,18300.0,4.53
1999-05-04,25.0,27.0,25.0,26.05,26.05,27600.0,7.18
1999-05-05,27.0,28.15,26.8,26.8,26.8,80100.0,21.8
1999-05-06,26.1,28.1,26.1,26.65,26.65,65300.0,17.79
1999-05-07,27.0,27.95,26.5,26.5,26.5,66700.0,18.22
1999-05-10,28.6,28.65,27.95,28.65,28.65,153100.0,43.65
1999-05-11,30.95,30.95,29.55,30.95,30.95,373000.0,113.86
1999-05-12,33.4,33.45,30.0,30.6,30.6,522100.0,164.82
1999-05-13,31.45,32.0,30.65,31.15,31.15,163400.0,50.85
1999-05-14,31.9,31.9,30.5,31.75,31.75,123500.0,38.31
1999-05-17,30.9,31.5,29.55,30.0,30.0,62800.0,19.24
1999-05-18,28.15,31.7,28.15,30.25,30.25,128500.0,39.7
1999-05-19,31.25,31.75,30.8,31.5,31.5,60200.0,18.84
1999-05-20,30.6,32.4,30.6,32.0,32.0,53300.0,16.94
1999-05-21,31.65,32.4,30.1,31.0,31.0,48200.0,14.95
1999-05-24,31.0,31.75,31.0,31.5,31.5,34300.0,10.76
1999-05-25,31.15,31.9,30.25,31.0,31.0,122900.0,38.43
1999-05-26,32.5,32.5,30.55,31.0,31.0,45500.0,14.28
1999-05-27,31.0,31.9,30.6,31.0,31.0,9276.0,2.91
1999-05-28,30.15,30.15,28.55,29.0,29.0,132800.0,38.04
1999-05-31,27.65,28.9,26.7,26.7,26.7,271920.0,73.23
1999-06-01,26.25,26.9,25.0,25.35,25.35,164350.0,42.5
1999-06-02,25.5,26.5,25.0,26.0,26.0,49472.0,12.65
1999-06-03,26.35,27.95,25.85,25.85,25.85,112796.0,30.38
1999-06-04,26.25,27.95,26.15,27.5,27.5,469350.0,128.79
1999-06-07,27.95,28.7,27.25,27.5,27.5,102953.0,28.79
1999-06-08,27.0,28.0,26.75,28.0,28.0,219350.0,59.43
1999-06-09,30.2,30.25,29.0,30.25,30.0,1074201.0,322.35
1999-06-10,31.8,32.4,31.8,32.4,32.4,56559.0,18.29
1999-06-11,35.0,35.0,34.95,35.0,35.0,339201.0,118.72
1999-06-14,34.0,37.8,33.25,37.8,37.8,383166.0,137.81
1999-06-15,40.75,40.85,36.25,39.2,39.1,426633.0,167.61
1999-06-16,42.0,42.0,37.75,39.7,39.6,209340.0,82.31
1999-06-17,41.0,42.8,40.9,42.8,42.8,592478.0,253.12
1999-06-18,43.45,46.25,43.25,43.9,43.75,321255.0,145.69
1999-06-21,45.0,47.2,42.75,42.75,43.35,257459.0,115.1
1999-06-22,43.0,43.4,40.05,40.25,40.3,133037.0,54.97
1999-06-23,41.0,41.25,37.55,38.0,38.3,153271.0,59.5
1999-06-24,38.0,39.9,37.0,38.6,39.0,103766.0,40.5
1999-06-25,38.0,41.45,36.6,36.75,37.0,148184.0,57.69
1999-06-28,37.5,39.25,37.1,38.5,38.7,98476.0,37.89
1999-06-29,39.0,41.35,39.0,40.0,40.15,220654.0,88.42
1999-06-30,40.55,42.0,39.35,41.1,40.85,181815.0,74.12
1999-07-01,42.2,44.15,40.7,41.5,41.2,392013.0,168.0
1999-07-02,41.9,43.25,40.0,41.0,40.9,213317.0,89.23
1999-07-05,41.5,42.0,40.05,41.5,41.75,461690.0,192.56
1999-07-06,41.5,43.4,41.5,43.05,43.05,196942.0,83.49
1999-07-07,44.0,45.45,43.5,43.8,44.0,548679.0,245.75
1999-07-08,44.75,47.55,44.75,47.55,47.55,749957.0,352.38
1999-07-09,50.05,51.35,50.05,51.35,51.35,651261.0,334.03
1999-07-12,55.4,55.5,53.0,55.5,55.5,1111132.0,611.4
1999-07-13,59.95,59.95,55.0,55.85,55.95,545057.0,309.05
1999-07-14,57.0,57.85,53.0,57.0,56.1,585679.0,324.77
1999-07-15,57.1,57.1,51.65,51.65,51.65,175911.0,93.85
1999-07-16,49.35,53.5,48.5,52.95,53.05,269574.0,139.67
1999-07-19,53.0,54.85,50.0,50.25,51.6,241190.0,127.85
1999-07-20,51.0,51.5,47.5,47.6,48.05,422643.0,208.17
1999-07-21,45.1,51.9,45.1,50.85,50.2,204999.0,103.84
1999-07-22,51.25,51.95,48.1,48.5,48.4,97885.0,48.71
1999-07-23,49.75,49.9,46.5,47.5,47.15,93394.0,44.68
1999-07-26,45.3,50.95,45.3,49.9,50.1,176261.0,87.19
1999-07-27,50.55,50.55,46.1,46.1,46.1,161123.0,75.91
1999-07-28,47.5,49.45,47.0,47.0,47.15,146723.0,70.59
1999-07-29,48.45,49.2,46.5,46.5,46.85,91200.0,43.09
1999-07-30,46.25,46.65,43.25,45.0,45.05,151275.0,67.44
1999-08-02,44.1,44.9,43.25,44.3,44.1,73660.0,32.39
1999-08-03,43.3,47.65,42.6,47.65,47.65,200666.0,93.86
1999-08-04,49.0,50.9,46.0,46.5,46.85,232330.0,114.74
1999-08-05,47.0,47.5,44.85,45.3,45.2,91500.0,41.44
1999-08-06,45.15,46.4,43.85,44.0,44.0,133887.0,60.13
1999-08-09,44.8,47.55,44.0,47.45,46.8,271946.0,128.08
1999-08-10,47.5,50.55,46.5,50.55,50.55,278075.0,138.17
1999-08-11,50.6,54.5,49.5,53.0,52.85,332170.0,175.71
1999-08-12,53.9,54.85,52.6,52.85,53.05,195031.0,105.16
1999-08-13,54.0,57.3,52.95,57.3,57.3,455378.0,257.13
1999-08-16,61.8,61.9,60.05,61.9,61.9,76472.0,47.16
1999-08-17,66.85,66.85,64.0,66.85,66.85,322195.0,214.29
1999-08-18,72.2,72.2,72.2,72.2,72.2,58175.0,42.0
1999-08-19,77.5,77.5,70.0,72.75,73.45,534841.0,394.5
1999-08-20,74.5,79.35,72.5,79.35,79.0,345637.0,266.65
1999-08-23,82.0,85.0,74.0,74.25,74.9,240607.0,186.0
1999-08-24,75.0,75.0,70.55,72.0,71.95,194340.0,140.46
1999-08-25,75.0,75.0,66.2,67.05,66.2,559819.0,394.13
1999-08-26,69.0,71.4,66.5,66.5,66.85,477545.0,333.04
1999-08-27,65.05,67.7,65.05,67.0,67.05,181690.0,121.73
1999-08-30,67.95,67.95,62.0,62.9,62.8,155340.0,99.58
1999-08-31,62.0,63.85,58.2,62.25,62.15,361515.0,223.63
1999-09-01,63.75,67.15,62.25,65.5,66.0,461363.0,301.45
1999-09-02,66.55,69.7,63.1,66.7,67.15,391363.0,262.79
1999-09-03,66.5,68.5,65.15,65.35,65.85,156111.0,104.45
1999-09-06,66.0,67.1,64.8,65.0,65.05,146224.0,96.26
1999-09-07,65.7,67.5,63.5,64.2,64.45,730390.0,474.75
1999-09-08,66.9,69.65,66.75,69.3,69.15,404137.0,279.21
1999-09-09,71.85,71.85,68.1,69.7,69.0,218475.0,152.38
1999-09-10,69.25,69.7,66.5,68.0,67.85,170970.0,115.14
1999-09-14,69.4,73.3,69.0,73.3,73.25,517461.0,377.82
1999-09-15,75.5,75.5,72.15,72.6,72.8,312922.0,231.35
1999-09-16,73.9,73.9,70.0,71.0,70.7,174075.0,123.92
1999-09-17,70.1,71.6,69.45,70.5,70.8,109136.0,76.92
1999-09-20,71.9,75.0,69.6,70.0,70.0,147254.0,105.59
1999-09-21,69.8,69.8,65.55,66.5,66.05,182150.0,121.87
1999-09-22,67.5,70.5,67.0,68.45,68.6,182575.0,126.24
1999-09-23,69.45,69.5,66.1,66.5,66.5,92853.0,62.5
1999-09-24,69.45,71.0,67.0,67.9,67.75,177084.0,120.54
1999-09-27,68.2,71.0,67.5,68.65,68.6,198295.0,137.27
